Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Alzheimer disease	14/171	7.447025e-12	1.653239e-09	0	0	1.489550e+01	3.816704e+02	APP;ATP5PD;ATP2A2;ITPR3;IDE;ATP5F1C;TNF;ATP5F1A;ATP5F1B;UQCRC1;ATP5PO;NDUFS1;UQCRC2;MAPT
KEGG_2019_Human	Parkinson disease	11/142	2.599875e-09	2.885861e-07	0	0	1.369674e+01	2.707544e+02	ATP5F1A;ATP5PD;ATP5F1B;UQCRC1;VDAC3;ATP5PO;NDUFS1;VDAC1;UQCRC2;ATP5F1C;SLC25A4
KEGG_2019_Human	Huntington disease	12/193	5.883600e-09	4.353864e-07	0	0	1.087680e+01	2.061272e+02	ATP5F1A;ATP5PD;ATP5F1B;SIN3A;UQCRC1;VDAC3;ATP5PO;NDUFS1;VDAC1;UQCRC2;ATP5F1C;SLC25A4
KEGG_2019_Human	Oxidative phosphorylation	10/133	1.886406e-08	1.046956e-06	0	0	1.315807e+01	2.340295e+02	ATP6V1A;ATP5F1A;ATP5PD;ATP5F1B;UQCRC1;ATP5PO;NDUFS1;UQCRC2;ATP5F1C;ATP5MG
KEGG_2019_Human	Fluid shear stress and atherosclerosis	10/139	2.880271e-08	1.278840e-06	0	0	1.254225e+01	2.177686e+02	HSP90AA1;HSP90AB1;SUMO1;SRC;CAV1;SUMO3;MGST1;FOS;TNF;ACTB
KEGG_2019_Human	Endocytosis	12/244	7.952390e-08	2.942384e-06	0	0	8.463793e+00	1.383594e+02	RAB5C;HSPA1L;SRC;CHMP1B;CAV1;NEDD4;MDM2;CHMP4B;EGFR;RAB11A;RAB7A;PLD2
KEGG_2019_Human	Proteoglycans in cancer	11/201	9.634905e-08	3.055641e-06	0	0	9.415311e+00	1.521071e+02	SMO;SRC;MYC;CAV1;PTCH1;STAT3;MDM2;ITPR3;TNF;EGFR;ACTB
KEGG_2019_Human	Necroptosis	10/162	1.229561e-07	3.213235e-06	0	0	1.063201e+01	1.691706e+02	HSP90AA1;HSP90AB1;CHMP1B;STAT3;VDAC3;CHMP4B;VDAC1;TNF;SLC25A4;SPATA2L
KEGG_2019_Human	Hepatitis B	10/163	1.302663e-07	3.213235e-06	0	0	1.056198e+01	1.674464e+02	PCNA;YWHAQ;SRC;MYC;STAT3;VDAC3;FOS;TNF;YWHAZ;TIRAP
KEGG_2019_Human	Thermogenesis	11/231	3.906966e-07	8.673464e-06	0	0	8.119008e+00	1.197987e+02	ATP5F1A;ATP5PD;ATP5F1B;UQCRC1;ATP5PO;NDUFS1;UQCRC2;ATP5F1C;ATP5MG;ACTB;SMARCA4
KEGG_2019_Human	Antigen processing and presentation	7/77	7.612707e-07	1.536383e-05	0	0	1.583840e+01	2.231358e+02	PDIA3;CD74;HSP90AA1;HSP90AB1;HSPA5;HSPA1L;TNF
KEGG_2019_Human	Cellular senescence	9/160	1.173856e-06	2.171633e-05	0	0	9.554353e+00	1.304668e+02	MYC;MDM2;VDAC3;ATM;ITPR3;VDAC1;SIRT1;SLC25A4;HIPK2
KEGG_2019_Human	Pathogenic Escherichia coli infection	6/55	1.639387e-06	2.799568e-05	0	0	1.926045e+01	2.565720e+02	TUBA1A;KRT18;YWHAQ;TUBB;YWHAZ;ACTB
KEGG_2019_Human	Estrogen signaling pathway	8/137	3.561553e-06	5.647605e-05	0	0	9.871968e+00	1.238469e+02	HSP90AA1;KRT18;HSP90AB1;HSPA1L;SRC;ITPR3;FOS;EGFR
KEGG_2019_Human	Cell cycle	7/124	1.843538e-05	2.728437e-04	0	0	9.453470e+00	1.030545e+02	PCNA;YWHAQ;MYC;MDM2;ATM;YWHAZ;YWHAG
KEGG_2019_Human	Apoptosis	7/143	4.615055e-05	6.403389e-04	0	0	8.124941e+00	8.111618e+01	TUBA1A;LMNA;ATM;ITPR3;FOS;TNF;ACTB
KEGG_2019_Human	Phagosome	7/152	6.797229e-05	8.607219e-04	0	0	7.617159e+00	7.309738e+01	ATP6V1A;RAB5C;TUBA1A;TUBB;STX7;ACTB;RAB7A
KEGG_2019_Human	Central carbon metabolism in cancer	5/65	6.978826e-05	8.607219e-04	0	0	1.299738e+01	1.243855e+02	PDHA1;MYC;PGAM1;EGFR;HK1
KEGG_2019_Human	Hepatitis C	7/155	7.688648e-05	8.983578e-04	0	0	7.461622e+00	7.068529e+01	YWHAQ;MYC;STAT3;TNF;YWHAZ;EGFR;YWHAG
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	8/219	1.046781e-04	1.161927e-03	0	0	6.010396e+00	5.508300e+01	XPO1;MYC;VDAC3;ATM;VDAC1;FOS;TNF;SLC25A4
KEGG_2019_Human	Protein processing in endoplasmic reticulum	7/165	1.137481e-04	1.202480e-03	0	0	6.985823e+00	6.344192e+01	PDIA3;BCAP31;ATXN3;HSP90AA1;HSP90AB1;HSPA1L;HSPA5
KEGG_2019_Human	Thyroid hormone signaling pathway	6/116	1.208294e-04	1.217865e-03	0	0	8.553247e+00	7.715996e+01	SIN3A;SRC;MYC;MDM2;ATP2A2;ACTB
KEGG_2019_Human	Human cytomegalovirus infection	8/225	1.261752e-04	1.217865e-03	0	0	5.842426e+00	5.245236e+01	PDIA3;SRC;MYC;STAT3;MDM2;ITPR3;TNF;EGFR
KEGG_2019_Human	Tight junction	7/170	1.369478e-04	1.261124e-03	0	0	6.769816e+00	6.022368e+01	PCNA;TUBA1A;SRC;NEDD4;MYH9;MYH10;ACTB
KEGG_2019_Human	Influenza A	7/171	1.420185e-04	1.261124e-03	0	0	6.728195e+00	5.960880e+01	XPO1;HSPA1L;TMPRSS2;VDAC1;KPNA2;TNF;ACTB
KEGG_2019_Human	Bladder cancer	4/41	1.519197e-04	1.297161e-03	0	0	1.674916e+01	1.472612e+02	SRC;MYC;MDM2;EGFR
KEGG_2019_Human	FoxO signaling pathway	6/132	2.446783e-04	2.011800e-03	0	0	7.461073e+00	6.204305e+01	IRS1;STAT3;MDM2;ATM;SIRT1;EGFR
KEGG_2019_Human	Salmonella infection	5/86	2.634592e-04	2.088855e-03	0	0	9.617478e+00	7.926353e+01	MYH9;FOS;MYH10;ACTB;RAB7A
KEGG_2019_Human	Gap junction	5/88	2.932636e-04	2.244984e-03	0	0	9.384783e+00	7.633994e+01	TUBA1A;SRC;TUBB;ITPR3;EGFR
KEGG_2019_Human	Epstein-Barr virus infection	7/201	3.811520e-04	2.729540e-03	0	0	5.679093e+00	4.470759e+01	PDIA3;SIN3A;MYC;NEDD4;STAT3;MDM2;TNF
KEGG_2019_Human	Viral carcinogenesis	7/201	3.811520e-04	2.729540e-03	0	0	5.679093e+00	4.470759e+01	YWHAQ;SRC;STAT3;MDM2;VDAC3;YWHAZ;YWHAG
KEGG_2019_Human	Prostate cancer	5/97	4.601592e-04	3.192354e-03	0	0	8.462855e+00	6.502806e+01	HSP90AA1;HSP90AB1;MDM2;TMPRSS2;EGFR
KEGG_2019_Human	PI3K-Akt signaling pathway	9/354	5.793168e-04	3.897222e-03	0	0	4.140615e+00	3.086274e+01	HSP90AA1;HSP90AB1;YWHAQ;IRS1;MYC;MDM2;YWHAZ;EGFR;YWHAG
KEGG_2019_Human	cGMP-PKG signaling pathway	6/166	8.262388e-04	5.354411e-03	0	0	5.865476e+00	4.163683e+01	IRS1;VDAC3;ATP2A2;ITPR3;VDAC1;SLC25A4
KEGG_2019_Human	MicroRNAs in cancer	8/299	8.441640e-04	5.354411e-03	0	0	4.340317e+00	3.071713e+01	ABCB1;IRS1;MYC;STAT3;MDM2;ATM;SIRT1;EGFR
KEGG_2019_Human	NOD-like receptor signaling pathway	6/178	1.185320e-03	7.309476e-03	0	0	5.452935e+00	3.674047e+01	HSP90AA1;HSP90AB1;VDAC3;ITPR3;VDAC1;TNF
KEGG_2019_Human	Tuberculosis	6/179	1.219899e-03	7.319391e-03	0	0	5.421140e+00	3.637036e+01	CD74;RAB5C;SRC;TNF;TIRAP;RAB7A
KEGG_2019_Human	Calcium signaling pathway	6/188	1.567004e-03	9.154601e-03	0	0	5.150706e+00	3.326630e+01	VDAC3;ATP2A2;ITPR3;VDAC1;SLC25A4;EGFR
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	4/85	2.429156e-03	1.382750e-02	0	0	7.633873e+00	4.595753e+01	LMNA;ATP2A2;TNF;ACTB
KEGG_2019_Human	Pathways in cancer	10/530	2.736587e-03	1.518806e-02	0	0	3.049811e+00	1.799707e+01	HSP90AA1;HSP90AB1;SMO;MYC;PTCH1;STAT3;MDM2;MGST1;FOS;EGFR
KEGG_2019_Human	Dilated cardiomyopathy (DCM)	4/91	3.110647e-03	1.644314e-02	0	0	7.105244e+00	4.101804e+01	LMNA;ATP2A2;TNF;ACTB
KEGG_2019_Human	Non-alcoholic fatty liver disease (NAFLD)	5/149	3.110865e-03	1.644314e-02	0	0	5.392607e+00	3.113074e+01	IRS1;UQCRC1;NDUFS1;UQCRC2;TNF
KEGG_2019_Human	GnRH signaling pathway	4/93	3.364047e-03	1.645838e-02	0	0	6.944874e+00	3.954835e+01	SRC;ITPR3;EGFR;PLD2
KEGG_2019_Human	IL-17 signaling pathway	4/93	3.364047e-03	1.645838e-02	0	0	6.944874e+00	3.954835e+01	HSP90AA1;HSP90AB1;FOS;TNF
KEGG_2019_Human	Type II diabetes mellitus	3/46	3.467442e-03	1.645838e-02	0	0	1.072201e+01	6.073310e+01	IRS1;TNF;HK1
KEGG_2019_Human	MAPK signaling pathway	7/295	3.477774e-03	1.645838e-02	0	0	3.807222e+00	2.155407e+01	HSPA1L;MYC;HSPB1;MAPT;FOS;TNF;EGFR
KEGG_2019_Human	Oxytocin signaling pathway	5/153	3.484432e-03	1.645838e-02	0	0	5.245797e+00	2.968833e+01	SRC;ITPR3;FOS;EGFR;ACTB
KEGG_2019_Human	Amoebiasis	4/96	3.769953e-03	1.743603e-02	0	0	6.717391e+00	3.748770e+01	RAB5C;HSPB1;TNF;RAB7A
KEGG_2019_Human	Hippo signaling pathway	5/160	4.214165e-03	1.909275e-02	0	0	5.007112e+00	2.738542e+01	YWHAQ;MYC;YWHAZ;ACTB;YWHAG
KEGG_2019_Human	HIF-1 signaling pathway	4/100	4.361142e-03	1.936347e-02	0	0	6.436198e+00	3.498087e+01	PDHA1;STAT3;EGFR;HK1
KEGG_2019_Human	Glucagon signaling pathway	4/103	4.843490e-03	2.108343e-02	0	0	6.240215e+00	3.326109e+01	PDHA1;PGAM1;ITPR3;SIRT1
KEGG_2019_Human	C-type lectin receptor signaling pathway	4/104	5.011912e-03	2.139701e-02	0	0	6.177500e+00	3.271566e+01	SRC;MDM2;ITPR3;TNF
KEGG_2019_Human	Hepatocellular carcinoma	5/168	5.174919e-03	2.167608e-02	0	0	4.759432e+00	2.505332e+01	MYC;MGST1;EGFR;ACTB;SMARCA4
KEGG_2019_Human	Parathyroid hormone synthesis, secretion and action	4/106	5.360456e-03	2.203743e-02	0	0	6.055760e+00	3.166379e+01	ITPR3;FOS;EGFR;PLD2
KEGG_2019_Human	Th17 cell differentiation	4/107	5.540658e-03	2.236411e-02	0	0	5.996663e+00	3.115651e+01	HSP90AA1;HSP90AB1;STAT3;FOS
KEGG_2019_Human	Legionellosis	3/55	5.740173e-03	2.275569e-02	0	0	8.862254e+00	4.573159e+01	RAB1A;HSPA1L;TNF
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	5/186	7.886502e-03	3.018627e-02	0	0	4.282203e+00	2.073701e+01	SRC;MYC;STAT3;ITPR3;FOS
KEGG_2019_Human	Transcriptional misregulation in cancer	5/186	7.886502e-03	3.018627e-02	0	0	4.282203e+00	2.073701e+01	SIN3A;MYC;MDM2;TMPRSS2;ATM
KEGG_2019_Human	Mitophagy	3/65	9.112070e-03	3.428609e-02	0	0	7.429107e+00	3.490310e+01	SRC;OPTN;RAB7A
KEGG_2019_Human	Oocyte meiosis	4/125	9.505134e-03	3.516900e-02	0	0	5.099948e+00	2.374497e+01	YWHAQ;ITPR3;YWHAZ;YWHAG
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	3/68	1.030649e-02	3.690387e-02	0	0	7.085152e+00	3.241444e+01	ATP6V1A;SRC;EGFR
KEGG_2019_Human	Glycolysis / Gluconeogenesis	3/68	1.030649e-02	3.690387e-02	0	0	7.085152e+00	3.241444e+01	PDHA1;PGAM1;HK1
KEGG_2019_Human	Adipocytokine signaling pathway	3/69	1.072384e-02	3.778877e-02	0	0	6.977449e+00	3.164473e+01	IRS1;STAT3;TNF
KEGG_2019_Human	Prolactin signaling pathway	3/70	1.115087e-02	3.867959e-02	0	0	6.872961e+00	3.090246e+01	SRC;STAT3;FOS
KEGG_2019_Human	Adherens junction	3/72	1.203411e-02	3.988907e-02	0	0	6.673070e+00	2.949504e+01	SRC;ACTB;EGFR
KEGG_2019_Human	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	3/72	1.203411e-02	3.988907e-02	0	0	6.673070e+00	2.949504e+01	LMNA;ATP2A2;ACTB
KEGG_2019_Human	Spliceosome	4/134	1.203859e-02	3.988907e-02	0	0	4.744712e+00	2.096991e+01	HNRNPM;HSPA1L;ALYREF;CDC5L
KEGG_2019_Human	Bacterial invasion of epithelial cells	3/74	1.295649e-02	4.229913e-02	0	0	6.484442e+00	2.818241e+01	SRC;CAV1;ACTB
KEGG_2019_Human	Measles	4/138	1.329086e-02	4.233871e-02	0	0	4.602146e+00	1.988439e+01	HSPA1L;STAT3;RACK1;FOS
KEGG_2019_Human	Human immunodeficiency virus 1 infection	5/212	1.335004e-02	4.233871e-02	0	0	3.739397e+00	1.614012e+01	PDIA3;ATM;ITPR3;FOS;TNF
KEGG_2019_Human	Regulation of actin cytoskeleton	5/214	1.385422e-02	4.291459e-02	0	0	3.703236e+00	1.584676e+01	SRC;MYH9;MYH10;EGFR;ACTB
KEGG_2019_Human	Pertussis	3/76	1.391825e-02	4.291459e-02	0	0	6.306148e+00	2.695598e+01	FOS;TNF;TIRAP
KEGG_2019_Human	Cardiac muscle contraction	3/78	1.491960e-02	4.537194e-02	0	0	6.137364e+00	2.580810e+01	UQCRC1;ATP2A2;UQCRC2
KEGG_2019_Human	ErbB signaling pathway	3/85	1.873858e-02	5.621575e-02	0	0	5.611458e+00	2.231772e+01	SRC;MYC;EGFR
KEGG_2019_Human	Colorectal cancer	3/86	1.932426e-02	5.719982e-02	0	0	5.543570e+00	2.187711e+01	MYC;FOS;EGFR
KEGG_2019_Human	SNARE interactions in vesicular transport	2/34	2.112941e-02	6.172012e-02	0	0	9.536538e+00	3.678328e+01	STX7;STX6
KEGG_2019_Human	Human papillomavirus infection	6/330	2.237980e-02	6.376433e-02	0	0	2.872428e+00	1.091407e+01	ATP6V1A;BCAP31;MDM2;ATM;TNF;EGFR
KEGG_2019_Human	Rheumatoid arthritis	3/91	2.240368e-02	6.376433e-02	0	0	5.227273e+00	1.985595e+01	ATP6V1A;FOS;TNF
