Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteoglycans in cancer	15/201	2.595856e-11	2.849778e-09	0	0	1.192457e+01	2.906557e+02	DDX5;TGFB1;SRC;RPS6;IQGAP1;TNF;ESR1;THBS1;EGFR;ACTB;CDC42;MYC;MDM2;RAF1;TP53
KEGG_2019_Human	Ubiquitin mediated proteolysis	13/137	2.849778e-11	2.849778e-09	0	0	1.532043e+01	3.719984e+02	CUL2;CUL1;SYVN1;KEAP1;UBE2D1;RCHY1;PML;CDC27;UBE2N;MDM2;UBA1;STUB1;SKP1
KEGG_2019_Human	Pathways in cancer	22/530	5.741543e-11	3.827695e-09	0	0	6.648669e+00	1.567803e+02	NCOA1;TCF7L2;HSP90AA1;TGFB1;HSP90AB1;CUL2;CUL1;KEAP1;FOS;ESR1;PML;EGFR;CDC42;AR;CDH1;MYC;MDM2;RARA;PPARG;RAF1;TP53;SKP1
KEGG_2019_Human	Protein processing in endoplasmic reticulum	13/165	2.968735e-10	1.484367e-08	0	0	1.248051e+01	2.737938e+02	PDIA3;HSPA8;HSP90AA1;HSP90AB1;RPN2;RPN1;CUL1;SYVN1;UBE2D1;SSR1;STUB1;CRYAB;SKP1
KEGG_2019_Human	Bladder cancer	8/41	5.775126e-10	2.310050e-08	0	0	3.431861e+01	7.300356e+02	SRC;CDH1;MYC;MDM2;RAF1;THBS1;TP53;EGFR
KEGG_2019_Human	Cell cycle	11/124	2.071007e-09	6.903356e-08	0	0	1.402552e+01	2.804434e+02	TGFB1;YWHAQ;PRKDC;MYC;CDC27;CUL1;MDM2;TP53;YWHAZ;YWHAG;SKP1
KEGG_2019_Human	Hepatocellular carcinoma	12/168	4.517320e-09	1.290663e-07	0	0	1.114027e+01	2.140642e+02	TCF7L2;SMARCD1;TGFB1;MYC;KEAP1;RAF1;ARID1A;BRD7;TP53;EGFR;ACTB;SMARCA4
KEGG_2019_Human	Estrogen signaling pathway	11/137	5.973428e-09	1.493357e-07	0	0	1.257015e+01	2.380277e+02	NCOA1;HSPA8;HSP90AA1;HSP90AB1;CREB1;SRC;RARA;FOS;RAF1;ESR1;EGFR
KEGG_2019_Human	Thyroid hormone signaling pathway	10/116	1.513957e-08	3.364348e-07	0	0	1.349877e+01	2.430582e+02	NCOA1;THRB;SIN3A;SRC;MYC;MDM2;RAF1;TP53;ESR1;ACTB
KEGG_2019_Human	Prostate cancer	9/97	4.280164e-08	8.560328e-07	0	0	1.454186e+01	2.467272e+02	AR;TCF7L2;HSP90AA1;HSP90AB1;CREB1;MDM2;RAF1;TP53;EGFR
KEGG_2019_Human	Fluid shear stress and atherosclerosis	10/139	8.555401e-08	1.555527e-06	0	0	1.107909e+01	1.803025e+02	HSP90AA1;HSP90AB1;SUMO1;SRC;SUMO3;KEAP1;FOS;TNF;TP53;ACTB
KEGG_2019_Human	Hepatitis B	10/163	3.802577e-07	6.107057e-06	0	0	9.329829e+00	1.379174e+02	TGFB1;CREB1;YWHAQ;SRC;MYC;FOS;RAF1;TP53;TNF;YWHAZ
KEGG_2019_Human	PI3K-Akt signaling pathway	14/354	3.969587e-07	6.107057e-06	0	0	5.995786e+00	8.837449e+01	NGFR;HSP90AA1;HSP90AB1;RPS6;YWHAZ;THBS1;EGFR;CREB1;YWHAQ;MYC;MDM2;RAF1;TP53;YWHAG
KEGG_2019_Human	Adherens junction	7/72	1.038261e-06	1.483230e-05	0	0	1.511282e+01	2.082239e+02	CDC42;TCF7L2;CDH1;SRC;IQGAP1;ACTB;EGFR
KEGG_2019_Human	Ribosome	9/153	2.101174e-06	2.801565e-05	0	0	8.861511e+00	1.158467e+02	RPS26;RPL5;RPS7;RPL23;RPS6;RPL11;RPS3;RPL26;RPL28
KEGG_2019_Human	Hippo signaling pathway	9/160	3.040488e-06	3.800610e-05	0	0	8.447711e+00	1.073154e+02	TCF7L2;TGFB1;YWHAQ;CDH1;MYC;NF2;YWHAZ;ACTB;YWHAG
KEGG_2019_Human	Necroptosis	9/162	3.367572e-06	3.860032e-05	0	0	8.336437e+00	1.050501e+02	HSP90AA1;HSP90AB1;AIFM1;H2AFZ;H2AFX;HMGB1;PPIA;TNF;HIST2H2AC
KEGG_2019_Human	Colorectal cancer	7/86	3.474029e-06	3.860032e-05	0	0	1.242580e+01	1.561948e+02	TCF7L2;TGFB1;MYC;FOS;RAF1;TP53;EGFR
KEGG_2019_Human	Endometrial cancer	6/58	4.372313e-06	4.602434e-05	0	0	1.608884e+01	1.985398e+02	TCF7L2;CDH1;MYC;RAF1;TP53;EGFR
KEGG_2019_Human	Human papillomavirus infection	12/330	6.552980e-06	6.552980e-05	0	0	5.420089e+00	6.469196e+01	CDC42;TCF7L2;CREB1;PKM;MDM2;PSEN1;RAF1;TUBG1;TP53;TNF;THBS1;EGFR
KEGG_2019_Human	Human cytomegalovirus infection	10/225	7.000007e-06	6.666674e-05	0	0	6.618470e+00	7.855859e+01	PDIA3;AKAP13;CREB1;SRC;MYC;MDM2;RAF1;TP53;TNF;EGFR
KEGG_2019_Human	Thyroid cancer	5/37	7.467561e-06	6.788692e-05	0	0	2.165647e+01	2.556534e+02	TCF7L2;CDH1;MYC;PPARG;TP53
KEGG_2019_Human	Transcriptional misregulation in cancer	9/186	1.035173e-05	9.001506e-05	0	0	7.197293e+00	8.261310e+01	NGFR;DDX5;SIN3A;MYC;MDM2;RARA;PPARG;TP53;PML
KEGG_2019_Human	Apoptosis	8/143	1.138365e-05	9.486377e-05	0	0	8.345820e+00	9.500324e+01	NGFR;AIFM1;LMNA;FOS;RAF1;TNF;TP53;ACTB
KEGG_2019_Human	MAPK signaling pathway	11/295	1.274210e-05	1.019368e-04	0	0	5.532230e+00	6.235155e+01	CDC42;NGFR;HSPA8;TGFB1;MYC;HSPB1;FOS;RAF1;TP53;TNF;EGFR
KEGG_2019_Human	Breast cancer	8/147	1.392330e-05	1.071023e-04	0	0	8.104008e+00	9.061859e+01	NCOA1;TCF7L2;MYC;FOS;RAF1;TP53;ESR1;EGFR
KEGG_2019_Human	Gastric cancer	8/149	1.536209e-05	1.137932e-04	0	0	7.988247e+00	8.853860e+01	TCF7L2;TGFB1;ABCB1;CDH1;MYC;RAF1;TP53;EGFR
KEGG_2019_Human	Viral carcinogenesis	9/201	1.922752e-05	1.373395e-04	0	0	6.629946e+00	7.199570e+01	CDC42;CREB1;PKM;YWHAQ;SRC;MDM2;TP53;YWHAZ;YWHAG
KEGG_2019_Human	Hepatitis C	8/155	2.045059e-05	1.410386e-04	0	0	7.659864e+00	8.270737e+01	YWHAQ;MYC;RAF1;TP53;TNF;YWHAZ;EGFR;YWHAG
KEGG_2019_Human	Antigen processing and presentation	6/77	2.282117e-05	1.515062e-04	0	0	1.177207e+01	1.258178e+02	PDIA3;HSPA8;HSP90AA1;HSP90AB1;CREB1;TNF
KEGG_2019_Human	Wnt signaling pathway	8/158	2.348347e-05	1.515062e-04	0	0	7.505524e+00	8.000298e+01	RNF43;TCF7L2;MYC;CHD8;CUL1;PSEN1;TP53;SKP1
KEGG_2019_Human	Oocyte meiosis	7/125	4.055756e-05	2.534847e-04	0	0	8.302560e+00	8.396204e+01	AR;YWHAQ;CDC27;CUL1;YWHAZ;YWHAG;SKP1
KEGG_2019_Human	Pathogenic Escherichia coli infection	5/55	5.354910e-05	3.245400e-04	0	0	1.384755e+01	1.361895e+02	CDC42;YWHAQ;CDH1;YWHAZ;ACTB
KEGG_2019_Human	TGF-beta signaling pathway	6/90	5.538699e-05	3.258058e-04	0	0	9.943662e+00	9.745948e+01	TGFB1;MYC;CUL1;TNF;THBS1;SKP1
KEGG_2019_Human	Central carbon metabolism in cancer	5/65	1.198218e-04	6.846961e-04	0	0	1.153380e+01	1.041445e+02	PKM;MYC;RAF1;TP53;EGFR
KEGG_2019_Human	Acute myeloid leukemia	5/66	1.288770e-04	7.159833e-04	0	0	1.134415e+01	1.016056e+02	TCF7L2;MYC;RARA;RAF1;PML
KEGG_2019_Human	Rap1 signaling pathway	8/206	1.519455e-04	8.213272e-04	0	0	5.672150e+00	4.986948e+01	CDC42;NGFR;CDH1;SRC;RAF1;THBS1;EGFR;ACTB
KEGG_2019_Human	Melanoma	5/72	1.947211e-04	1.024848e-03	0	0	1.032512e+01	8.821725e+01	CDH1;MDM2;RAF1;TP53;EGFR
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	8/219	2.306509e-04	1.179853e-03	0	0	5.319160e+00	4.454587e+01	TGFB1;CREB1;XPO1;MYC;CDC27;FOS;TP53;TNF
KEGG_2019_Human	Pancreatic cancer	5/75	2.359706e-04	1.179853e-03	0	0	9.881119e+00	8.252516e+01	CDC42;TGFB1;RAF1;TP53;EGFR
KEGG_2019_Human	Chronic myeloid leukemia	5/76	2.510974e-04	1.224865e-03	0	0	9.741456e+00	8.075345e+01	TGFB1;MYC;MDM2;RAF1;TP53
KEGG_2019_Human	Influenza A	7/171	2.873182e-04	1.368182e-03	0	0	5.959869e+00	4.860225e+01	HSPA8;XPO1;RAF1;KPNA2;TNF;PML;ACTB
