Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteoglycans in cancer	15/201	5.469219e-12	1.175882e-09	0	0	1.345066e+01	3.488009e+02	DDX5;CAV1;ESR1;EGFR;ACTB;PPP1CA;CDC42;SMO;MYC;PDCD4;MDM2;FLNA;RAF1;TP53;HBEGF
KEGG_2019_Human	Huntington disease	14/193	4.239013e-11	4.556938e-09	0	0	1.293986e+01	3.090570e+02	CLTC;ATP5F1C;UQCRH;ATP5F1A;ATP5F1B;DLG4;SP1;SIN3A;PPIF;VDAC3;VDAC2;VDAC1;TP53;SLC25A4
KEGG_2019_Human	Thyroid hormone signaling pathway	10/116	5.393806e-09	3.550103e-07	0	0	1.515647e+01	2.885490e+02	HDAC3;SIN3A;MYC;MDM2;ATP2A2;ATP1A3;RAF1;TP53;ESR1;ACTB
KEGG_2019_Human	Bladder cancer	7/41	9.133986e-09	3.550103e-07	0	0	3.240686e+01	5.998920e+02	RB1;MYC;MDM2;RAF1;TP53;EGFR;HBEGF
KEGG_2019_Human	Endocytosis	13/244	9.415408e-09	3.550103e-07	0	0	9.208802e+00	1.701871e+02	RAB5C;HSPA1L;CAV1;CLTC;ARRB2;EGFR;RAB11A;PLD2;CDC42;CHMP1B;MDM2;CHMP4B;RAB7A
KEGG_2019_Human	Cellular senescence	11/160	9.907263e-09	3.550103e-07	0	0	1.193190e+01	2.199048e+02	RB1;MYC;MDM2;VDAC3;VDAC2;VDAC1;RAF1;TP53;SIRT1;SLC25A4;PPP1CA
KEGG_2019_Human	Protein processing in endoplasmic reticulum	11/165	1.366149e-08	3.910076e-07	0	0	1.154157e+01	2.090026e+02	BCAP31;DNAJA1;SEC61A1;HSP90AA1;HSP90AB1;HSPA1L;HSPA5;RPN1;CANX;SSR1;MAP3K5
KEGG_2019_Human	cGMP-PKG signaling pathway	11/166	1.454912e-08	3.910076e-07	0	0	1.146653e+01	2.069219e+02	OPRD1;PPIF;VDAC3;ATP1A3;VDAC2;ATP2A2;VDAC1;ATP2A1;RAF1;SLC25A4;PPP1CA
KEGG_2019_Human	Prostate cancer	9/97	1.687388e-08	4.030984e-07	0	0	1.631332e+01	2.919677e+02	RB1;AR;HSP90AA1;HSP90AB1;MDM2;IKBKG;RAF1;TP53;EGFR
KEGG_2019_Human	Fluid shear stress and atherosclerosis	10/139	3.096186e-08	6.656801e-07	0	0	1.243965e+01	2.150880e+02	HSP90AA1;HSP90AB1;SUMO1;MGST3;CAV1;SUMO2;IKBKG;TP53;ACTB;MAP3K5
KEGG_2019_Human	Pathways in cancer	17/530	8.757978e-08	1.711787e-06	0	0	5.528971e+00	8.984973e+01	RB1;HSP90AA1;HSP90AB1;MGST3;ESR1;EGFR;CDC42;AR;GNG2;SMO;SP1;MYC;GNB2;MDM2;IKBKG;RAF1;TP53
KEGG_2019_Human	Parkinson disease	9/142	4.585588e-07	8.215846e-06	0	0	1.076922e+01	1.571787e+02	ATP5F1A;ATP5F1B;PPIF;VDAC3;VDAC2;VDAC1;ATP5F1C;SLC25A4;UQCRH
KEGG_2019_Human	Hepatitis B	9/163	1.459791e-06	2.414270e-05	0	0	9.290794e+00	1.248424e+02	RB1;PCNA;DDX3X;MYC;VDAC3;IKBKG;RAF1;TP53;IKBKE
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	10/219	2.107569e-06	3.236623e-05	0	0	7.646944e+00	9.994538e+01	RB1;XPO1;MYC;CANX;VDAC3;VDAC2;VDAC1;IKBKG;TP53;SLC25A4
KEGG_2019_Human	Human cytomegalovirus infection	10/225	2.685462e-06	3.849162e-05	0	0	7.431272e+00	9.532582e+01	RB1;GNG2;SP1;MYC;GNB2;MDM2;IKBKG;RAF1;TP53;EGFR
KEGG_2019_Human	NOD-like receptor signaling pathway	9/178	3.022562e-06	4.061568e-05	0	0	8.459725e+00	1.075181e+02	PANX1;HSP90AA1;HSP90AB1;ERBIN;VDAC3;VDAC2;VDAC1;IKBKG;IKBKE
KEGG_2019_Human	Estrogen signaling pathway	8/137	3.767847e-06	4.765218e-05	0	0	9.792496e+00	1.222986e+02	HSP90AA1;HSP90AB1;HSPA1L;SP1;RAF1;ESR1;EGFR;HBEGF
KEGG_2019_Human	Central carbon metabolism in cancer	6/65	4.623139e-06	5.349123e-05	0	0	1.586120e+01	1.948460e+02	PDHA1;MYC;PGAM1;RAF1;TP53;EGFR
KEGG_2019_Human	Calcium signaling pathway	9/188	4.727132e-06	5.349123e-05	0	0	7.983060e+00	9.788981e+01	PPIF;VDAC3;VDAC2;ATP2A2;VDAC1;ATP2A1;SLC25A4;EGFR;NTSR1
KEGG_2019_Human	Viral carcinogenesis	9/201	8.127899e-06	8.737491e-05	0	0	7.437626e+00	8.717052e+01	RB1;CDC42;DDX3X;HDAC3;MDM2;VDAC3;IKBKG;TP53;YWHAG
KEGG_2019_Human	Hepatitis C	8/155	9.381605e-06	9.604977e-05	0	0	8.585578e+00	9.939318e+01	RB1;MYC;IKBKG;RAF1;TP53;IKBKE;EGFR;YWHAG
KEGG_2019_Human	Pancreatic cancer	6/75	1.067437e-05	1.043177e-04	0	0	1.355563e+01	1.551803e+02	RB1;CDC42;IKBKG;RAF1;TP53;EGFR
KEGG_2019_Human	Chronic myeloid leukemia	6/76	1.152655e-05	1.077482e-04	0	0	1.336130e+01	1.519295e+02	RB1;MYC;MDM2;IKBKG;RAF1;TP53
KEGG_2019_Human	Necroptosis	8/162	1.295333e-05	1.160403e-04	0	0	8.192416e+00	9.219873e+01	HSP90AA1;HSP90AB1;CHMP1B;VDAC3;CHMP4B;VDAC2;VDAC1;SLC25A4
KEGG_2019_Human	Salmonella infection	6/86	2.347903e-05	2.019196e-04	0	0	1.168524e+01	1.245576e+02	CDC42;MYH9;FLNA;MYH10;ACTB;RAB7A
