Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	17/201	1.452934e-14	2.833222e-12	0	0	1.624025e+01	5.174566e+02	HDAC4;USP7;HDAC2;PXN;CHD4;RELA;NFKB1;DLG1;HNRNPK;HIST4H4;CDK2;EP300;KRAS;RAC1;PRKACA;YWHAG;YWHAH
KEGG_2019_Human	Pathways in cancer	24/530	4.800344e-14	4.680335e-12	0	0	8.747600e+00	2.682671e+02	HSP90AA1;EGLN3;HDAC2;HSP90AB1;CTBP2;CUL1;PTEN;CBL;HIF1A;RELA;NFKB1;RUNX1;RBX1;MAPK9;MAPK8;MYC;CDK2;CTNNA1;CTNNB1;EP300;PPARG;KRAS;RAC1;PRKACA
KEGG_2019_Human	Autophagy	13/128	2.041166e-12	1.326758e-10	0	0	1.925247e+01	5.182285e+02	PRKAA2;PTEN;HIF1A;GABARAP;MAPK9;MAPK8;RRAGC;RRAGB;LAMP2;RRAGD;ULK1;KRAS;PRKACA
KEGG_2019_Human	FoxO signaling pathway	13/132	3.039355e-12	1.481686e-10	0	0	1.860156e+01	4.933019e+02	USP7;PRKAA2;PLK1;PTEN;CSNK1E;MAPK14;SIRT1;GABARAP;MAPK9;MAPK8;CDK2;EP300;KRAS
KEGG_2019_Human	Wnt signaling pathway	13/158	3.030933e-11	1.182064e-09	0	0	1.524602e+01	3.692519e+02	CTBP2;FBXW11;CUL1;CSNK1E;RBX1;MAPK9;MAPK8;MYC;CTNNB1;EP300;RAC1;BTRC;PRKACA
KEGG_2019_Human	Longevity regulating pathway	11/102	5.650863e-11	1.836531e-09	0	0	2.026262e+01	4.781295e+02	HSPA8;HDAC2;PRKAA2;ULK1;PPARG;KRAS;PRKACA;SIRT1;NFKB1;RELA;HSPA1A
KEGG_2019_Human	Fluid shear stress and atherosclerosis	12/139	1.026955e-10	2.860803e-09	0	0	1.594508e+01	3.667250e+02	MAPK9;HSP90AA1;MAPK8;PRKAA2;HSP90AB1;CAV1;CTNNB1;RAC1;MAPK14;RELA;ACTB;NFKB1
KEGG_2019_Human	Shigellosis	9/65	3.433668e-10	8.369566e-09	0	0	2.653795e+01	5.783208e+02	MAPK9;MAPK8;FBXW11;RAC1;BTRC;MAPK14;ACTB;RELA;NFKB1
KEGG_2019_Human	Hippo signaling pathway	12/160	5.295164e-10	1.147285e-08	0	0	1.366805e+01	2.919367e+02	DLG1;FBXW11;PPP2R1A;MYC;CTNNA1;CTNNB1;CSNK1E;BTRC;LIMD1;ACTB;YWHAG;YWHAH
KEGG_2019_Human	Protein processing in endoplasmic reticulum	12/165	7.553758e-10	1.472983e-08	0	0	1.321803e+01	2.776290e+02	PRKN;PDIA3;HSPA8;MAPK9;HSP90AA1;MAPK8;HSP90AB1;AMFR;CUL1;P4HB;RBX1;HSPA1A
KEGG_2019_Human	Human immunodeficiency virus 1 infection	13/212	1.179226e-09	2.090446e-08	0	0	1.107850e+01	2.277562e+02	PDIA3;FBXW11;PXN;CUL1;MAPK14;RELA;NFKB1;RBX1;MAPK9;MAPK8;KRAS;RAC1;BTRC
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	12/186	2.975310e-09	4.834879e-08	0	0	1.161037e+01	2.279455e+02	MAPK9;MAPK8;MYC;CTNNB1;EP300;KRAS;RAC1;MAPK14;HIF1A;RELA;NFKB1;GABARAP
KEGG_2019_Human	mTOR signaling pathway	11/152	4.184867e-09	6.277300e-08	0	0	1.304424e+01	2.516467e+02	FLCN;PRKAA2;RRAGC;RRAGB;RRAGD;PTEN;ULK1;KRAS;LAMTOR1;LAMTOR4;LAMTOR3
KEGG_2019_Human	Epstein-Barr virus infection	12/201	7.150652e-09	9.355549e-08	0	0	1.068078e+01	2.003293e+02	PDIA3;MAPK9;USP7;HDAC2;MAPK8;MYC;CDK2;ISG15;RAC1;MAPK14;RELA;NFKB1
KEGG_2019_Human	MAPK signaling pathway	14/295	7.244752e-09	9.355549e-08	0	0	8.487080e+00	1.590732e+02	HSPA8;HSPB1;MAPK14;RELA;NFKB1;PPM1A;MAPK9;MAPK8;MYC;KRAS;RAC1;PRKACA;LAMTOR3;HSPA1A
KEGG_2019_Human	Cell cycle	10/124	7.676348e-09	9.355549e-08	0	0	1.456361e+01	2.721229e+02	HDAC2;PRKDC;MYC;PLK1;CDK2;CUL1;EP300;YWHAG;RBX1;YWHAH
KEGG_2019_Human	Oocyte meiosis	10/125	8.298722e-09	9.519123e-08	0	0	1.443624e+01	2.686176e+02	PPP2R1A;FBXW11;PLK1;CDK2;CUL1;BTRC;PRKACA;YWHAG;RBX1;YWHAH
KEGG_2019_Human	Mitophagy	8/65	8.922438e-09	9.665974e-08	0	0	2.298275e+01	4.259782e+02	PRKN;MAPK9;MAPK8;ULK1;KRAS;HIF1A;RELA;GABARAP
KEGG_2019_Human	Prostate cancer	9/97	1.291052e-08	1.319180e-07	0	0	1.686051e+01	3.062750e+02	HSP90AA1;HSP90AB1;CDK2;PTEN;EP300;CTNNB1;KRAS;NFKB1;RELA
KEGG_2019_Human	Tight junction	11/170	1.353005e-08	1.319180e-07	0	0	1.155698e+01	2.093934e+02	MAPK9;DLG1;MAPK8;PRKAA2;PPP2R1A;NEDD4L;MYH9;RAC1;PRKACA;ACTB;RUNX1
KEGG_2019_Human	Progesterone-mediated oocyte maturation	9/99	1.546940e-08	1.436445e-07	0	0	1.648417e+01	2.964579e+02	MAPK9;HSP90AA1;MAPK8;HSP90AB1;PLK1;CDK2;KRAS;PRKACA;MAPK14
KEGG_2019_Human	Human papillomavirus infection	14/330	2.978592e-08	2.552502e-07	0	0	7.533572e+00	1.305510e+02	HDAC2;PXN;PTEN;ISG15;CHD4;RELA;NFKB1;DLG1;PPP2R1A;CDK2;CTNNB1;EP300;KRAS;PRKACA
KEGG_2019_Human	Th17 cell differentiation	9/107	3.068437e-08	2.552502e-07	0	0	1.513240e+01	2.617831e+02	MAPK9;HSP90AA1;MAPK8;HSP90AB1;MAPK14;HIF1A;NFKB1;RELA;RUNX1
KEGG_2019_Human	Chronic myeloid leukemia	8/76	3.141541e-08	2.552502e-07	0	0	1.925425e+01	3.326359e+02	HDAC2;CTBP2;MYC;KRAS;CBL;RELA;NFKB1;RUNX1
KEGG_2019_Human	Transcriptional misregulation in cancer	11/186	3.434463e-08	2.678881e-07	0	0	1.049182e+01	1.803210e+02	CDK9;HDAC2;HIST1H3A;EWSR1;FUS;MYC;PPARG;RUNX2;RELA;NFKB1;RUNX1
KEGG_2019_Human	Circadian rhythm	6/31	4.131223e-08	3.098417e-07	0	0	3.872390e+01	6.583879e+02	PRKAA2;FBXW11;CUL1;CSNK1E;BTRC;RBX1
KEGG_2019_Human	Proteoglycans in cancer	11/201	7.602298e-08	5.402486e-07	0	0	9.656155e+00	1.582859e+02	MYC;CAV1;PXN;CTNNB1;KRAS;RAC1;MAPK14;PRKACA;CBL;HIF1A;ACTB
KEGG_2019_Human	Sphingolipid signaling pathway	9/119	7.757416e-08	5.402486e-07	0	0	1.347341e+01	2.205871e+02	MAPK9;MAPK8;PPP2R1A;PTEN;KRAS;RAC1;MAPK14;NFKB1;RELA
KEGG_2019_Human	Salmonella infection	8/86	8.376988e-08	5.632802e-07	0	0	1.677728e+01	2.733891e+02	MAPK9;MAPK8;MYH9;RAC1;MAPK14;ACTB;RELA;NFKB1
KEGG_2019_Human	Cellular senescence	10/160	8.800282e-08	5.720183e-07	0	0	1.104818e+01	1.794876e+02	FBXW11;MYC;CDK2;PTEN;KRAS;MAPK14;BTRC;SIRT1;RELA;NFKB1
KEGG_2019_Human	IL-17 signaling pathway	8/93	1.548392e-07	9.739883e-07	0	0	1.539018e+01	2.413315e+02	MAPK9;HSP90AA1;MAPK8;HSP90AB1;MAPK14;ELAVL1;RELA;NFKB1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	11/219	1.812715e-07	1.104623e-06	0	0	8.812459e+00	1.367982e+02	MAPK9;DLG1;MAPK8;MYC;CDK2;PTEN;EP300;KRAS;PRKACA;RELA;NFKB1
