Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	27/530	5.941920e-18	1.241861e-15	0	0	1.130621e+01	4.484550e+02	CTBP2;ARAF;CUL1;EGFR;ADCY6;ADCY5;CDC42;NRAS;GNA11;RAC1;SMAD2;NTRK1;FZD7;AXIN1;BRAF;NFKB1;RHOA;AR;CCNE1;GNAQ;GNB2;CDK2;GNAS;MDM2;CTNNB1;KRAS;CALM1
KEGG_2019_Human	Proteoglycans in cancer	17/201	3.649494e-15	3.813721e-13	0	0	1.784149e+01	5.931257e+02	SMAD2;DDX5;FZD7;CAV1;ARAF;BRAF;EGFR;ACTB;RHOA;CDC42;NRAS;MDM2;FLNA;CTNNB1;KRAS;FLNC;RAC1
KEGG_2019_Human	Rap1 signaling pathway	15/206	1.507045e-12	1.049908e-10	0	0	1.486861e+01	4.047364e+02	BRAF;EGFR;ADCY6;ACTB;RHOA;ADCY5;CDC42;AFDN;NRAS;GNAQ;GNAS;CTNNB1;KRAS;RAC1;CALM1
KEGG_2019_Human	Human cytomegalovirus infection	15/225	5.393566e-12	2.818138e-10	0	0	1.351030e+01	3.505358e+02	EGFR;ADCY6;NFKB1;RHOA;ADCY5;NRAS;GNAQ;GNB2;GNA11;GNAS;MDM2;CTNNB1;KRAS;RAC1;CALM1
KEGG_2019_Human	Cushing syndrome	13/155	8.424743e-12	3.521543e-10	0	0	1.704803e+01	4.347223e+02	FZD7;AXIN1;BRAF;EGFR;ADCY6;CRHR1;ADCY5;CCNE1;GNAQ;GNA11;CDK2;GNAS;CTNNB1
KEGG_2019_Human	Prostate cancer	11/97	1.336621e-11	4.655897e-10	0	0	2.344369e+01	5.869900e+02	AR;NRAS;CCNE1;CDK2;ARAF;MDM2;CTNNB1;BRAF;KRAS;NFKB1;EGFR
KEGG_2019_Human	Colorectal cancer	10/86	9.169047e-11	2.737615e-09	0	0	2.390753e+01	5.525653e+02	SMAD2;NRAS;ARAF;AXIN1;CTNNB1;BRAF;KRAS;RAC1;RHOA;EGFR
KEGG_2019_Human	GnRH signaling pathway	10/93	2.020636e-10	5.278913e-09	0	0	2.188350e+01	4.884930e+02	CDC42;NRAS;GNA11;GNAQ;GNAS;KRAS;CALM1;EGFR;ADCY6;ADCY5
KEGG_2019_Human	MAPK signaling pathway	15/295	2.493789e-10	5.791132e-09	0	0	1.009667e+01	2.232580e+02	NTRK1;HSPA8;ARAF;BRAF;EGFR;NFKB1;DUSP6;STK3;CDC42;NRAS;FLNA;KRAS;FLNC;MAPT;RAC1
KEGG_2019_Human	cAMP signaling pathway	13/212	4.292156e-10	8.970606e-09	0	0	1.212980e+01	2.616284e+02	GLP1R;ATP2A2;BRAF;ATP1A1;ADRB2;ADCY6;NFKB1;RHOA;ADCY5;AFDN;GNAS;RAC1;CALM1
