Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	13/201	5.721217e-11	1.012655e-08	0	0	1.449553e+01	3.418663e+02	HDAC4;RANBP1;HDAC2;HDAC7;CCNA2;DLG1;KAT2A;HNRNPK;CCNE1;HIST4H4;CDK2;EP300;PRKACA
KEGG_2019_Human	Citrate cycle (TCA cycle)	7/30	1.891246e-10	1.673753e-08	0	0	6.047391e+01	1.353927e+03	CS;ACLY;IDH3G;IDH1;IDH2;IDH3B;IDH3A
KEGG_2019_Human	Pathways in cancer	17/530	3.113850e-09	1.837172e-07	0	0	7.135802e+00	1.397719e+02	NTRK1;HSP90AA1;HDAC2;HSP90AB1;JUP;CUL1;ESR1;HIF1A;FOXO1;CDH1;CCNE1;CDK2;CTNNA1;CTNNB1;EP300;CALM1;PRKACA
KEGG_2019_Human	Thyroid hormone signaling pathway	9/116	1.209032e-08	5.349968e-07	0	0	1.698207e+01	3.095978e+02	KAT2A;HDAC2;CTNNB1;EP300;PRKACA;ESR1;HIF1A;FOXO1;ACTB
KEGG_2019_Human	Fluid shear stress and atherosclerosis	9/139	5.870230e-08	2.078062e-06	0	0	1.396130e+01	2.324667e+02	HSP90AA1;HSP90AB1;GPC1;CAV1;SUMO2;PECAM1;CTNNB1;CALM1;ACTB
KEGG_2019_Human	Transcriptional misregulation in cancer	9/186	7.021119e-07	2.071230e-05	0	0	1.022968e+01	1.449461e+02	CDK9;NTRK1;DDX5;HDAC2;HIST1H3A;JUP;EWSR1;FUS;FOXO1
KEGG_2019_Human	Prostate cancer	7/97	8.900646e-07	2.250592e-05	0	0	1.540233e+01	2.145849e+02	HSP90AA1;HSP90AB1;CCNE1;CDK2;EP300;CTNNB1;FOXO1
KEGG_2019_Human	Adherens junction	6/72	2.388186e-06	5.283861e-05	0	0	1.784608e+01	2.310171e+02	AFDN;CDH1;CTNNA1;EP300;CTNNB1;ACTB
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	9/219	2.719539e-06	5.348426e-05	0	0	8.607726e+00	1.103084e+02	CCNA2;FDPS;RANBP1;DLG1;KAT2A;CCNE1;CDK2;EP300;PRKACA
KEGG_2019_Human	Human papillomavirus infection	10/330	1.113743e-05	1.971325e-04	0	0	6.305735e+00	7.191816e+01	CCNA2;DLG1;HDAC2;CCNE1;CDK2;CTNNB1;EP300;ISG15;PRKACA;FOXO1
KEGG_2019_Human	Proteoglycans in cancer	8/201	1.260402e-05	2.028101e-04	0	0	8.248286e+00	9.305300e+01	DDX5;GPC1;CAV1;CTNNB1;PRKACA;ESR1;HIF1A;ACTB
KEGG_2019_Human	Hippo signaling pathway	7/160	2.453042e-05	3.618237e-04	0	0	9.031373e+00	9.587341e+01	YAP1;DLG1;CDH1;CTNNA1;CTNNB1;CSNK1E;ACTB
KEGG_2019_Human	Bacterial invasion of epithelial cells	5/74	4.792410e-05	6.434400e-04	0	0	1.408355e+01	1.400734e+02	CDH1;CAV1;CTNNA1;CTNNB1;ACTB
KEGG_2019_Human	Alcoholism	7/180	5.204398e-05	6.434400e-04	0	0	7.979191e+00	7.870212e+01	HDAC4;HDAC2;HIST1H3A;HIST4H4;CALM1;PRKACA;HDAC7
KEGG_2019_Human	Cell cycle	6/124	5.452881e-05	6.434400e-04	0	0	9.955529e+00	9.773126e+01	CCNA2;HDAC2;CCNE1;CDK2;CUL1;EP300
KEGG_2019_Human	Estrogen signaling pathway	6/137	9.488839e-05	1.049703e-03	0	0	8.961681e+00	8.301034e+01	HSPA8;HSP90AA1;HSP90AB1;CALM1;PRKACA;ESR1
