Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	19/201	6.329112e-16	1.335443e-13	0	0	1.591831e+01	5.570803e+02	HDAC2;YWHAB;HLA-B;CHD4;YWHAZ;RELA;NFKB1;RHOA;CDC42;SNW1;YWHAQ;HIST4H4;CASP3;CDK2;MDM2;EP300;HIST1H2BB;PRKACB;YWHAG
KEGG_2019_Human	Cell cycle	15/124	2.123587e-14	2.240385e-12	0	0	2.042802e+01	6.431371e+02	HDAC2;TGFB1;MCM7;PRKDC;YWHAB;PLK1;CUL1;YWHAZ;RBX1;YWHAQ;MYC;CDK2;MDM2;EP300;YWHAG
KEGG_2019_Human	Pathways in cancer	25/530	1.428993e-13	1.005058e-11	0	0	7.786766e+00	2.303064e+02	HDAC2;HSP90AB1;CUL1;PTEN;RELA;EGFR;CDC42;MAPK8;MYC;CASP3;AKT1;EP300;PRKACB;TCF7L2;TGFB1;NOS2;NFKB1;RHOA;RBX1;SP1;CDK2;MDM2;BIRC5;CTNNB1;CALM1
KEGG_2019_Human	Hepatitis C	13/155	1.358249e-10	6.093726e-09	0	0	1.336620e+01	3.036754e+02	CD81;YWHAB;YWHAZ;RELA;EGFR;NFKB1;YWHAQ;MYC;CASP3;CDK2;AKT1;CTNNB1;YWHAG
KEGG_2019_Human	Prostate cancer	11/97	1.444011e-10	6.093726e-09	0	0	1.845408e+01	4.181405e+02	TCF7L2;HSP90AB1;CDK2;MDM2;PTEN;AKT1;EP300;CTNNB1;NFKB1;RELA;EGFR
KEGG_2019_Human	Hepatitis B	13/163	2.549985e-10	8.967448e-09	0	0	1.264820e+01	2.793957e+02	TGFB1;YWHAB;YWHAZ;RELA;NFKB1;MAPK8;YWHAQ;MYC;CASP3;CDK2;AKT1;BIRC5;EP300
KEGG_2019_Human	Human papillomavirus infection	17/330	3.970591e-10	1.196850e-08	0	0	8.100944e+00	1.753606e+02	TCF7L2;HDAC2;HLA-B;PTEN;ISG15;CHD4;RELA;EGFR;NFKB1;CDC42;CASP3;CDK2;MDM2;AKT1;CTNNB1;EP300;PRKACB
KEGG_2019_Human	Colorectal cancer	10/86	7.936226e-10	2.093180e-08	0	0	1.885584e+01	3.951130e+02	TCF7L2;MAPK8;TGFB1;MYC;CASP3;AKT1;BIRC5;CTNNB1;RHOA;EGFR
KEGG_2019_Human	Thyroid hormone signaling pathway	11/116	1.012407e-09	2.373532e-08	0	0	1.510024e+01	3.127402e+02	HDAC2;THRB;THRA;MYC;MDM2;AKT1;EP300;CTNNB1;ATP1A1;PRKACB;ACTB
KEGG_2019_Human	Hippo signaling pathway	12/160	2.591571e-09	5.468214e-08	0	0	1.174722e+01	2.322543e+02	YAP1;TCF7L2;TGFB1;YWHAQ;YWHAB;MYC;BIRC5;CTNNB1;CSNK1E;YWHAZ;ACTB;YWHAG
