Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cellular senescence	18/160	4.273202e-18	7.862691e-16	0	0	2.429003e+01	9.714596e+02	SMAD2;CDKN2B;SMAD3;RRAS2;CCNA2;CDK6;CDK4;CCNE1;MYC;CHEK1;CDK2;AKT1;MAPK1;KRAS;CALM1;E2F5;BTRC;HRAS
KEGG_2019_Human	Cell cycle	16/124	3.649878e-17	3.357887e-15	0	0	2.789559e+01	1.055827e+03	SMAD2;CREBBP;SMAD4;CDKN2B;HDAC2;SMAD3;CUL1;CCNA2;FZR1;CDK6;CDK4;CCNE1;MYC;CHEK1;CDK2;E2F5
KEGG_2019_Human	Pathways in cancer	26/530	1.031530e-16	6.326718e-15	0	0	1.052109e+01	3.872848e+02	HDAC2;CTBP2;CUL1;GLI2;CDH1;MYC;DVL1;CTNNA1;AKT1;MAPK1;HRAS;CAMK2G;SMAD2;CREBBP;SMAD4;CDKN2B;SMAD3;ESR1;CDK6;SP1;CDK4;CCNE1;CDK2;CTNNB1;KRAS;CALM1
KEGG_2019_Human	Gastric cancer	15/149	1.620675e-14	7.455103e-13	0	0	2.085152e+01	6.621056e+02	SMAD2;SMAD4;CDKN2B;SMAD3;CDH1;CCNE1;MYC;CDK2;DVL1;CTNNA1;AKT1;CTNNB1;MAPK1;KRAS;HRAS
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	17/219	2.026349e-14	7.456964e-13	0	0	1.592293e+01	5.020494e+02	SMAD2;CREBBP;SMAD4;CDKN2B;SMAD3;RELB;CCNA2;XPO1;CDK4;CCNE1;MYC;CHEK1;CDK2;AKT1;MAPK1;KRAS;HRAS
KEGG_2019_Human	Hippo signaling pathway	15/160	4.701884e-14	1.441911e-12	0	0	1.925895e+01	5.910229e+02	SMAD2;SMAD1;SMAD4;SMAD3;CSNK1D;CSNK1E;ACTB;ACTG1;GLI2;CDH1;MYC;DVL1;CTNNA1;CTNNB1;BTRC
KEGG_2019_Human	Adherens junction	11/72	5.537055e-13	1.455454e-11	0	0	3.248852e+01	9.168958e+02	SMAD2;CREBBP;SMAD4;SMAD3;CDH1;CTNND1;CTNNA1;MAPK1;CTNNB1;ACTB;ACTG1
KEGG_2019_Human	Chronic myeloid leukemia	11/76	1.028251e-12	2.364977e-11	0	0	3.048308e+01	8.414293e+02	HDAC2;SMAD4;SMAD3;CDK6;CTBP2;CDK4;MYC;AKT1;MAPK1;KRAS;HRAS
KEGG_2019_Human	Hepatocellular carcinoma	14/168	1.751362e-12	3.580563e-11	0	0	1.675871e+01	4.536688e+02	SMAD2;SMAD4;SMAD3;ACTB;ACTG1;CDK6;CDK4;MYC;DVL1;AKT1;CTNNB1;MAPK1;KRAS;HRAS
KEGG_2019_Human	TGF-beta signaling pathway	11/90	6.959104e-12	1.280475e-10	0	0	2.506329e+01	6.439003e+02	SMAD2;SMAD1;CREBBP;SMAD4;CDKN2B;SMAD3;SP1;MYC;CUL1;MAPK1;E2F5
