Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	14/201	4.720784e-12	8.780659e-10	0	0	1.552806e+01	4.049570e+02	HDAC2;DDX3X;CHD4;HDAC6;HDAC7;CCNA2;HNRNPK;CDK6;CCNE1;HIST4H4;CDK2;EP300;MAPK1;MAPK3
KEGG_2019_Human	Pathways in cancer	19/530	7.005958e-11	6.515541e-09	0	0	8.006523e+00	1.872059e+02	HSP90AA1;HDAC2;EGLN2;HSP90AB1;ZBTB16;NCOA3;CUL1;PTEN;HIF1A;GLI2;AR;CDK6;CCNE1;CDK2;CTNNB1;EP300;MAPK1;CALM1;MAPK3
KEGG_2019_Human	Prostate cancer	10/97	1.285580e-10	7.970596e-09	0	0	2.299315e+01	5.236607e+02	AR;HSP90AA1;HSP90AB1;CCNE1;CDK2;PTEN;EP300;MAPK1;CTNNB1;MAPK3
KEGG_2019_Human	Progesterone-mediated oocyte maturation	9/99	3.490622e-09	1.623139e-07	0	0	1.980100e+01	3.855886e+02	CCNA2;HSP90AA1;FZR1;HSP90AB1;CDK2;MAPK1;PGR;AURKA;MAPK3
KEGG_2019_Human	Oocyte meiosis	9/125	2.742144e-08	1.020077e-06	0	0	1.534267e+01	2.671457e+02	AR;CCNE1;CDK2;CUL1;MAPK1;PGR;CALM1;AURKA;MAPK3
KEGG_2019_Human	Estrogen signaling pathway	9/137	6.086080e-08	1.886685e-06	0	0	1.389586e+01	2.308752e+02	HSPA8;HSP90AA1;HSP90AB1;NCOA3;MAPK1;PGR;CALM1;HSPA1A;MAPK3
KEGG_2019_Human	Thyroid hormone signaling pathway	8/116	2.341758e-07	6.222385e-06	0	0	1.450898e+01	2.215115e+02	HDAC2;NCOA3;CTNNB1;EP300;MAPK1;ATP1A1;HIF1A;MAPK3
KEGG_2019_Human	Cell cycle	8/124	3.914727e-07	9.101740e-06	0	0	1.350290e+01	1.992130e+02	CCNA2;FZR1;HDAC2;CDK6;CCNE1;CDK2;CUL1;EP300
KEGG_2019_Human	Human papillomavirus infection	11/330	1.901522e-06	3.929813e-05	0	0	6.886700e+00	9.071750e+01	CCNA2;HDAC2;CDK6;CCNE1;CDK2;PTEN;CTNNB1;EP300;MAPK1;CHD4;MAPK3
KEGG_2019_Human	Adherens junction	6/72	2.660877e-06	4.561198e-05	0	0	1.749779e+01	2.246166e+02	AFDN;SNAI1;EP300;MAPK1;CTNNB1;MAPK3
KEGG_2019_Human	Cellular senescence	8/160	2.697483e-06	4.561198e-05	0	0	1.028609e+01	1.319005e+02	CCNA2;CDK6;CCNE1;CDK2;PTEN;MAPK1;CALM1;MAPK3
KEGG_2019_Human	Hepatitis B	8/163	3.098089e-06	4.802038e-05	0	0	1.008547e+01	1.279314e+02	CCNA2;DDX3X;CCNE1;CDK2;EP300;MAPK1;MYD88;MAPK3
KEGG_2019_Human	Protein processing in endoplasmic reticulum	8/165	3.392329e-06	4.853641e-05	0	0	9.955982e+00	1.253856e+02	HSPA8;HSP90AA1;GANAB;HSP90AB1;HSPA5;DDIT3;CUL1;HSPA1A
KEGG_2019_Human	Alcoholism	8/180	6.454928e-06	8.575833e-05	0	0	9.080820e+00	1.085218e+02	HDAC2;HIST1H3A;HIST4H4;MAPK1;CALM1;HDAC6;HDAC7;MAPK3
