Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ubiquitin mediated proteolysis	15/137	2.734932e-15	4.567336e-13	0	0	2.381991e+01	7.987453e+02	UBE2I;FBXW7;CUL3;CBL;PML;UBE2L3;PIAS1;CDC20;CUL4A;FZR1;SOCS1;NEDD4;CDC27;MDM2;CUL4B
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	17/219	1.139711e-14	9.516588e-13	0	0	1.656322e+01	5.317690e+02	EGR1;JUN;CHUK;CDKN2A;PTEN;BUB1B;PIK3R1;ETS1;RELA;RELB;CDC20;PPP3CA;DLG1;CDC27;E2F1;AKT1;MAD2L1
KEGG_2019_Human	Viral carcinogenesis	15/201	8.184724e-13	4.556163e-11	0	0	1.557321e+01	4.334233e+02	JUN;HDAC2;HDAC3;CDKN2A;HDAC1;PXN;CHD4;PIK3R1;RELA;HIST2H2BE;CDC20;DLG1;HIST4H4;MDM2;HIST1H2BB
KEGG_2019_Human	Chronic myeloid leukemia	10/76	2.190834e-11	9.146732e-10	0	0	2.806146e+01	6.887447e+02	HDAC2;CHUK;HDAC1;CDKN2A;E2F1;MDM2;AKT1;PIK3R1;CBL;RELA
KEGG_2019_Human	Pathways in cancer	20/530	3.196811e-11	1.067735e-09	0	0	7.832222e+00	1.892757e+02	JUN;HDAC2;CHUK;CDKN2A;HDAC1;NCOA3;PTEN;PIK3R1;CBL;ETS1;PML;RELA;AR;SUFU;E2F1;MDM2;DVL2;FAS;AKT1;CTNNB1
KEGG_2019_Human	Transcriptional misregulation in cancer	13/186	6.802432e-11	1.893343e-09	0	0	1.424133e+01	3.334060e+02	HDAC2;KMT2A;HDAC1;PAX5;BMI1;PML;RELA;HIST1H3A;SIN3A;HIST3H3;MDM2;HIST2H3C;MEN1
KEGG_2019_Human	Human papillomavirus infection	16/330	9.383477e-11	2.238629e-09	0	0	9.872738e+00	2.279564e+02	HDAC2;CHUK;CSNK1A1;HDAC1;PXN;PTEN;CHD4;PIK3R1;RELA;DLG1;E2F1;MDM2;DVL2;FAS;AKT1;CTNNB1
KEGG_2019_Human	Epstein-Barr virus infection	13/201	1.790993e-10	3.738699e-09	0	0	1.309508e+01	2.938939e+02	JUN;HDAC2;CHUK;HDAC1;PIK3R1;RELA;RELB;SIN3A;NEDD4;E2F1;MDM2;FAS;AKT1
KEGG_2019_Human	Cellular senescence	11/160	2.542147e-09	4.717095e-08	0	0	1.374408e+01	2.719989e+02	PPP3CA;CDKN2A;E2F1;MDM2;PTEN;AKT1;PIK3R1;ETS1;HIPK3;RELA;PPP1CA
KEGG_2019_Human	Cell cycle	10/124	2.963524e-09	4.949085e-08	0	0	1.620676e+01	3.182502e+02	CDC20;FZR1;HDAC2;CDKN2A;HDAC1;CDC27;E2F1;MDM2;BUB1B;MAD2L1
KEGG_2019_Human	Prostate cancer	9/97	5.457110e-09	8.284885e-08	0	0	1.874527e+01	3.566539e+02	AR;CHUK;MDM2;PTEN;E2F1;AKT1;CTNNB1;PIK3R1;RELA
KEGG_2019_Human	C-type lectin receptor signaling pathway	9/104	1.013947e-08	1.411077e-07	0	0	1.735789e+01	3.195038e+02	PPP3CA;JUN;CHUK;CARD9;MDM2;AKT1;PIK3R1;RELA;RELB
KEGG_2019_Human	MicroRNAs in cancer	13/299	2.215340e-08	2.845860e-07	0	0	8.565122e+00	1.509626e+02	DNMT1;UBE2I;CDKN2A;HDAC1;PTEN;BMI1;SOCS1;ERBB3;PDCD4;E2F1;FSCN1;MDM2;MDM4
KEGG_2019_Human	Thyroid hormone signaling pathway	9/116	2.653772e-08	3.065325e-07	0	0	1.540187e+01	2.686810e+02	HDAC2;HDAC3;SIN3A;HDAC1;NCOA3;MDM2;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Proteoglycans in cancer	11/201	2.753286e-08	3.065325e-07	0	0	1.075586e+01	1.872368e+02	SDC4;ERBB3;PXN;PDCD4;MDM2;FAS;AKT1;CTNNB1;PIK3R1;CBL;PPP1CA
KEGG_2019_Human	Human cytomegalovirus infection	11/225	8.728429e-08	9.110297e-07	0	0	9.537956e+00	1.550309e+02	PPP3CA;CHUK;CDKN2A;PXN;E2F1;MDM2;FAS;AKT1;CTNNB1;PIK3R1;RELA
KEGG_2019_Human	Alcoholism	10/180	1.054200e-07	1.035597e-06	0	0	1.083727e+01	1.741042e+02	HDAC2;HIST1H3A;HDAC3;HIST4H4;HDAC1;HIST3H3;HIST1H2BB;HIST2H3C;HIST2H2BE;PPP1CA
KEGG_2019_Human	Apoptosis	9/143	1.626689e-07	1.509205e-06	0	0	1.228172e+01	1.919823e+02	DAXX;JUN;CHUK;PARP1;FAS;AKT1;PIK3R1;RELA;MAP3K5
KEGG_2019_Human	Breast cancer	9/147	2.059564e-07	1.810248e-06	0	0	1.192331e+01	1.835665e+02	JUN;CSNK1A1;NCOA3;E2F1;DVL2;PTEN;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	10/212	4.816096e-07	4.021440e-06	0	0	9.105672e+00	1.324523e+02	CUL4A;PPP3CA;JUN;CHUK;PXN;FAS;AKT1;PIK3R1;RELA;CUL4B
KEGG_2019_Human	Osteoclast differentiation	8/127	8.090900e-07	6.434192e-06	0	0	1.218965e+01	1.709886e+02	PPP3CA;JUN;SOCS1;CHUK;AKT1;PIK3R1;RELA;RELB
KEGG_2019_Human	NF-kappa B signaling pathway	7/95	1.413464e-06	1.056550e-05	0	0	1.431457e+01	1.928096e+02	UBE2I;CSNK2A1;CHUK;PARP1;CSNK2A2;RELA;RELB
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	9/186	1.493458e-06	1.056550e-05	0	0	9.277778e+00	1.244560e+02	PPP3CA;JUN;CHUK;E2F1;FAS;AKT1;CTNNB1;PIK3R1;RELA
KEGG_2019_Human	Measles	8/138	1.518395e-06	1.056550e-05	0	0	1.115201e+01	1.494130e+02	JUN;CSNK2A1;CHUK;CSNK2A2;FAS;AKT1;PIK3R1;RELA
KEGG_2019_Human	Fluid shear stress and atherosclerosis	8/139	1.603335e-06	1.071028e-05	0	0	1.106632e+01	1.476626e+02	JUN;SDC4;CHUK;AKT1;CTNNB1;PIK3R1;RELA;MAP3K5
KEGG_2019_Human	T cell receptor signaling pathway	7/101	2.137501e-06	1.372933e-05	0	0	1.339681e+01	1.749070e+02	PPP3CA;JUN;DLG1;CHUK;AKT1;PIK3R1;RELA
KEGG_2019_Human	Hepatitis C	8/155	3.624523e-06	2.180914e-05	0	0	9.853835e+00	1.234468e+02	CHUK;E2F1;FAS;AKT1;CTNNB1;PIK3R1;RELA;PIAS1
KEGG_2019_Human	B cell receptor signaling pathway	6/71	3.700463e-06	2.180914e-05	0	0	1.648067e+01	2.061245e+02	PPP3CA;JUN;CHUK;AKT1;PIK3R1;RELA
