Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	23/530	8.171462e-13	1.487206e-10	0	0	7.984221e+00	2.222245e+02	EGLN1;CAMK2B;HSP90AA1;HSP90AB1;ARAF;ARNT;BRAF;GNAI1;GNAI2;BCR;CASP9;CDC42;TRAF6;RASSF5;CTNNB1;MAPK1;KRAS;RAF1;FGFR3;HRAS;BCL2L1;FGFR1;JAK1
KEGG_2019_Human	Prostate cancer	11/97	4.525669e-11	4.118359e-09	0	0	2.073875e+01	4.939695e+02	CASP9;HSP90AA1;HSP90AB1;ARAF;MAPK1;CTNNB1;BRAF;KRAS;RAF1;HRAS;FGFR1
KEGG_2019_Human	Proteoglycans in cancer	14/201	7.299985e-11	4.428657e-09	0	0	1.238125e+01	2.889854e+02	CAMK2B;DDX5;CAV1;ARAF;BRAF;ACTB;CDC42;ERBB3;CTNNB1;MAPK1;KRAS;RAF1;HRAS;FGFR1
KEGG_2019_Human	Renal cell carcinoma	9/69	7.825124e-10	3.560431e-08	0	0	2.396008e+01	5.024072e+02	CDC42;EGLN1;ARAF;ARNT;MAPK1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Rap1 signaling pathway	13/206	1.213353e-09	4.416605e-08	0	0	1.104326e+01	2.267169e+02	BRAF;ACTB;GNAI1;GNAI2;CDC42;RASSF5;CTNNB1;MAPK1;KRAS;RAF1;FGFR3;HRAS;FGFR1
KEGG_2019_Human	Pancreatic cancer	9/75	1.676979e-09	5.086835e-08	0	0	2.177529e+01	4.399975e+02	CASP9;CDC42;ARAF;MAPK1;BRAF;KRAS;RAF1;JAK1;BCL2L1
KEGG_2019_Human	Endometrial cancer	8/58	4.482662e-09	1.165492e-07	0	0	2.536576e+01	4.876072e+02	CASP9;ARAF;MAPK1;CTNNB1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Long-term depression	8/60	5.917436e-09	1.346217e-07	0	0	2.438769e+01	4.620337e+02	ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;GNAI1;GNAI2
KEGG_2019_Human	Bladder cancer	7/41	9.133986e-09	1.847095e-07	0	0	3.240686e+01	5.998920e+02	ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;FGFR3
KEGG_2019_Human	Non-small cell lung cancer	8/66	1.284737e-08	2.338222e-07	0	0	2.185821e+01	3.971664e+02	CASP9;RASSF5;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Progesterone-mediated oocyte maturation	9/99	2.021104e-08	3.344008e-07	0	0	1.594919e+01	2.825725e+02	HSP90AA1;HSP90AB1;ARAF;MAPK1;BRAF;KRAS;RAF1;GNAI1;GNAI2
KEGG_2019_Human	Estrogen signaling pathway	10/137	2.695266e-08	4.087821e-07	0	0	1.263684e+01	2.202497e+02	HSP90AA1;HSP90AB1;MAPK1;KRAS;RAF1;HRAS;GNAI1;HSPA1A;FKBP5;GNAI2
KEGG_2019_Human	Parkinson disease	10/142	3.796391e-08	5.186418e-07	0	0	1.215509e+01	2.076895e+02	CASP9;UQCRC1;COX2;CYC1;CYTB;SLC25A5;ATP5F1C;GNAI1;SLC25A6;GNAI2
KEGG_2019_Human	Chronic myeloid leukemia	8/76	3.989552e-08	5.186418e-07	0	0	1.863435e+01	3.174735e+02	BCR;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;BCL2L1
KEGG_2019_Human	Toxoplasmosis	9/113	6.445836e-08	7.332138e-07	0	0	1.379242e+01	2.283644e+02	CASP9;TRAF6;MAPK1;PIK3CG;GNAI1;BCL2L1;JAK1;GNAI2;HSPA1A
KEGG_2019_Human	Serotonergic synapse	9/113	6.445836e-08	7.332138e-07	0	0	1.379242e+01	2.283644e+02	APP;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;GNAI1;GNAI2
KEGG_2019_Human	Oxytocin signaling pathway	10/153	7.708443e-08	8.252568e-07	0	0	1.121383e+01	1.836641e+02	CAMK2B;PRKAB2;MAPK1;KRAS;RAF1;HRAS;ACTB;GNAI1;PIK3CG;GNAI2
KEGG_2019_Human	Hepatitis C	10/155	8.714053e-08	8.810876e-07	0	0	1.105803e+01	1.797565e+02	CASP9;TRAF6;ARAF;CTNNB1;MAPK1;BRAF;KRAS;RAF1;HRAS;JAK1
KEGG_2019_Human	ErbB signaling pathway	8/85	9.685210e-08	9.277412e-07	0	0	1.644883e+01	2.656500e+02	CAMK2B;ERBB3;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Colorectal cancer	8/86	1.061936e-07	9.663616e-07	0	0	1.623713e+01	2.607358e+02	CASP9;ARAF;MAPK1;CTNNB1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Gap junction	8/88	1.272196e-07	1.102570e-06	0	0	1.582960e+01	2.513321e+02	TUBA1A;MAPK1;CSNK1D;KRAS;RAF1;HRAS;GNAI1;GNAI2
KEGG_2019_Human	Regulation of actin cytoskeleton	11/214	1.962116e-07	1.623205e-06	0	0	8.733909e+00	1.348871e+02	CDC42;CFL1;ARAF;MAPK1;BRAF;KRAS;RAF1;FGFR3;HRAS;ACTB;FGFR1
KEGG_2019_Human	Mitophagy	7/65	2.477775e-07	1.960674e-06	0	0	1.897414e+01	2.886106e+02	CALCOCO2;ATG9A;CSNK2B;PGAM5;KRAS;HRAS;BCL2L1
KEGG_2019_Human	Long-term potentiation	7/67	3.061179e-07	2.321394e-06	0	0	1.833981e+01	2.750843e+02	CAMK2B;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Axon guidance	10/181	3.708817e-07	2.604780e-06	0	0	9.364332e+00	1.386613e+02	CDC42;CAMK2B;CFL1;MAPK1;KRAS;RAF1;EPHB2;HRAS;GNAI1;GNAI2
KEGG_2019_Human	Melanogenesis	8/101	3.721114e-07	2.604780e-06	0	0	1.360791e+01	2.014525e+02	CAMK2B;MAPK1;CTNNB1;KRAS;RAF1;HRAS;GNAI1;GNAI2
KEGG_2019_Human	Thermogenesis	11/231	4.216434e-07	2.842189e-06	0	0	8.052049e+00	1.181969e+02	PRKAB2;UQCRC1;COX2;KRAS;CYC1;CYTB;ATP5F1C;HRAS;ACTB;FGFR1;ATP5ME
KEGG_2019_Human	Melanoma	7/72	5.044413e-07	3.278868e-06	0	0	1.692479e+01	2.454063e+02	ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;FGFR1
KEGG_2019_Human	MAPK signaling pathway	12/295	6.646679e-07	4.055724e-06	0	0	6.862950e+00	9.761845e+01	CDC42;ERBB3;TRAF6;ARAF;MAPK1;BRAF;KRAS;RAF1;FGFR3;HRAS;HSPA1A;FGFR1
KEGG_2019_Human	Glioma	7/75	6.685260e-07	4.055724e-06	0	0	1.617565e+01	2.299885e+02	CAMK2B;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	PI3K-Akt signaling pathway	13/354	7.097245e-07	4.166769e-06	0	0	6.203275e+00	8.782838e+01	HSP90AA1;HSP90AB1;PIK3CG;CASP9;ERBB3;MAPK1;KRAS;RAF1;FGFR3;HRAS;BCL2L1;FGFR1;JAK1
KEGG_2019_Human	Cellular senescence	9/160	1.250528e-06	7.112375e-06	0	0	9.476821e+00	1.288084e+02	IGFBP3;RASSF5;MAPK1;KRAS;RAF1;SLC25A5;SIRT1;HRAS;SLC25A6
KEGG_2019_Human	Neurotrophin signaling pathway	8/119	1.306577e-06	7.205970e-06	0	0	1.139085e+01	1.543243e+02	CAMK2B;CDC42;TRAF6;MAPK1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Necroptosis	9/162	1.386912e-06	7.424058e-06	0	0	9.351992e+00	1.261437e+02	CAMK2B;HSP90AA1;HSP90AB1;HIST1H2AE;PGAM5;DNM1L;SLC25A5;SLC25A6;JAK1
KEGG_2019_Human	Hepatitis B	9/163	1.459791e-06	7.590914e-06	0	0	9.290794e+00	1.248424e+02	CASP9;TRAF6;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;JAK1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	10/212	1.572873e-06	7.946611e-06	0	0	7.914755e+00	1.057618e+02	CASP9;TRAF6;CFL1;MAPK1;KRAS;RAF1;HRAS;GNAI1;BCL2L1;GNAI2
KEGG_2019_Human	RNA transport	9/165	1.615520e-06	7.946611e-06	0	0	9.170751e+00	1.222998e+02	EEF1A1;FXR1;PRMT5;FXR2;FMR1;NUP153;NUP98;PABPC1;KPNB1
KEGG_2019_Human	Hepatocellular carcinoma	9/168	1.875935e-06	8.984741e-06	0	0	8.996348e+00	1.186295e+02	ARAF;CTNNB1;MAPK1;BRAF;KRAS;RAF1;HRAS;ACTB;BCL2L1
KEGG_2019_Human	Autophagy	8/128	2.265802e-06	1.057374e-05	0	0	1.053173e+01	1.368871e+02	ATG16L1;TRAF6;ATG9A;MAPK1;KRAS;RAF1;HRAS;BCL2L1
KEGG_2019_Human	VEGF signaling pathway	6/59	2.605516e-06	1.185510e-05	0	0	1.766216e+01	2.270979e+02	CASP9;CDC42;MAPK1;KRAS;RAF1;HRAS
KEGG_2019_Human	FoxO signaling pathway	8/132	2.854189e-06	1.266981e-05	0	0	1.018994e+01	1.300921e+02	PRKAB2;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;SIRT1
KEGG_2019_Human	Tuberculosis	9/179	3.164864e-06	1.371441e-05	0	0	8.409535e+00	1.064933e+02	HSPA9;CASP9;CAMK2B;KSR1;TRAF6;MAPK1;RAF1;HSPD1;JAK1
KEGG_2019_Human	Alcoholism	9/180	3.312892e-06	1.402201e-05	0	0	8.359932e+00	1.054830e+02	ARAF;HIST1H2AE;MAPK1;BRAF;KRAS;RAF1;HRAS;GNAI1;GNAI2
KEGG_2019_Human	Ras signaling pathway	10/232	3.529729e-06	1.460024e-05	0	0	7.194390e+00	9.032045e+01	CDC42;KSR1;RASSF5;MAPK1;KRAS;RAF1;FGFR3;HRAS;BCL2L1;FGFR1
KEGG_2019_Human	Apelin signaling pathway	8/137	3.767847e-06	1.523885e-05	0	0	9.792496e+00	1.222986e+02	PRKAB2;MAPK1;KRAS;RAF1;HRAS;GNAI1;PIK3CG;GNAI2
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	8/139	4.197116e-06	1.660598e-05	0	0	9.642015e+00	1.193789e+02	CTNNB1;MAPK1;KRAS;RAF1;FGFR3;HRAS;FGFR1;JAK1
KEGG_2019_Human	Thyroid cancer	5/37	4.430389e-06	1.715598e-05	0	0	2.421265e+01	2.984699e+02	MAPK1;CTNNB1;BRAF;KRAS;HRAS
KEGG_2019_Human	Central carbon metabolism in cancer	6/65	4.623139e-06	1.752940e-05	0	0	1.586120e+01	1.948460e+02	MAPK1;KRAS;RAF1;HRAS;FGFR3;FGFR1
KEGG_2019_Human	Acute myeloid leukemia	6/66	5.057892e-06	1.848918e-05	0	0	1.559606e+01	1.901871e+02	ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Chemokine signaling pathway	9/190	5.152461e-06	1.848918e-05	0	0	7.894047e+00	9.611821e+01	CDC42;MAPK1;BRAF;KRAS;RAF1;HRAS;GNAI1;PIK3CG;GNAI2
KEGG_2019_Human	Apoptosis	8/143	5.181033e-06	1.848918e-05	0	0	9.354430e+00	1.138481e+02	CASP9;TUBA1A;MAPK1;KRAS;RAF1;HRAS;ACTB;BCL2L1
KEGG_2019_Human	Breast cancer	8/147	6.353646e-06	2.223776e-05	0	0	9.083396e+00	1.086963e+02	ARAF;CTNNB1;MAPK1;BRAF;KRAS;RAF1;HRAS;FGFR1
KEGG_2019_Human	Parathyroid hormone synthesis, secretion and action	7/106	6.920128e-06	2.376346e-05	0	0	1.109315e+01	1.317986e+02	ARAF;MAPK1;BRAF;RAF1;GNAI1;FGFR1;GNAI2
