Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Transcriptional misregulation in cancer	16/186	6.122569e-13	1.040837e-10	0	0	1.403351e+01	3.946451e+02	CCNT1;FUS;HDAC1;HMGA2;BMI1;PML;RELA;NFKB1;AFF1;CDK9;MYC;HIST3H3;NSD2;MDM2;RARA;ATM
KEGG_2019_Human	Cell cycle	12/124	1.344907e-10	1.143171e-08	0	0	1.555147e+01	3.534776e+02	YWHAE;YWHAQ;HDAC1;CDKN2A;MYC;CUL1;MDM2;EP300;ATM;YWHAZ;RBX1;MCM2
KEGG_2019_Human	Viral carcinogenesis	12/201	3.375949e-08	1.913038e-06	0	0	9.179739e+00	1.579283e+02	YWHAE;HDAC5;YWHAQ;CDKN2A;HIST4H4;HDAC1;MDM2;EP300;CHD4;YWHAZ;RELA;NFKB1
KEGG_2019_Human	Chronic myeloid leukemia	8/76	9.163924e-08	3.894668e-06	0	0	1.662521e+01	2.694183e+02	HDAC1;CTBP1;CDKN2A;MYC;MDM2;AKT1;RELA;NFKB1
KEGG_2019_Human	Hepatitis C	10/155	2.381807e-07	8.098144e-06	0	0	9.848576e+00	1.501931e+02	YWHAE;YWHAQ;PPP2R1A;MYC;TRAF6;AKT1;CTNNB1;YWHAZ;RELA;NFKB1
KEGG_2019_Human	MicroRNAs in cancer	13/299	3.612642e-07	1.023582e-05	0	0	6.587879e+00	9.772233e+01	DNMT1;CDKN2A;HDAC1;DNMT3A;HMGA2;BRCA1;BMI1;NFKB1;MYC;MDM2;EP300;ATM;EZH2
KEGG_2019_Human	Ubiquitin mediated proteolysis	9/137	8.351760e-07	2.028285e-05	0	0	9.977293e+00	1.396384e+02	PRKN;TRAF6;CUL1;MDM2;HUWE1;WWP2;BRCA1;PML;RBX1
KEGG_2019_Human	Pathways in cancer	16/530	2.058283e-06	4.373852e-05	0	0	4.560311e+00	5.971107e+01	CTBP1;CDKN2A;HDAC1;CUL1;FN1;PML;RELA;NFKB1;RBX1;MYC;TRAF6;MDM2;RARA;AKT1;CTNNB1;EP300
KEGG_2019_Human	Human papillomavirus infection	12/330	6.552980e-06	1.200140e-04	0	0	5.420089e+00	6.469196e+01	ITGA4;PPP2R1A;HDAC1;MDM2;FN1;AKT1;CTNNB1;EP300;ATM;CHD4;RELA;NFKB1
KEGG_2019_Human	Spliceosome	8/134	7.059644e-06	1.200140e-04	0	0	8.946032e+00	1.061099e+02	EFTUD2;TCERG1;SNRNP70;U2AF2;SRSF1;CDC5L;PRPF8;CTNNBL1
