Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	ErbB signaling pathway	15/85	5.145763e-18	1.044590e-15	0	0	3.823166e+01	1.521940e+03	SHC1;SRC;PIK3R3;CBLB;CBL;PTK2;ERBB3;ERBB4;NCK2;ABL1;AKT1;ABL2;PLCG1;CRK;NCK1
KEGG_2019_Human	Bacterial invasion of epithelial cells	13/74	9.883354e-16	1.003160e-13	0	0	3.736675e+01	1.291040e+03	SHC1;SRC;CLTA;PIK3R3;CBL;ACTB;PTK2;ACTG1;CDC42;CDH1;RAC1;MET;CRK
KEGG_2019_Human	Proteoglycans in cancer	17/201	9.726897e-15	6.581867e-13	0	0	1.668977e+01	5.384767e+02	SRC;PIK3R3;CBL;ACTB;PTK2;ACTG1;VAV2;CDC42;ERBB3;ERBB4;AKT1;PLCG1;RAC1;EZR;PRKACA;MET;FGFR1
KEGG_2019_Human	Chemokine signaling pathway	15/190	1.087319e-12	5.518145e-11	0	0	1.521158e+01	4.190381e+02	SHC1;SRC;PIK3R3;PTK2;VAV1;VAV2;CDC42;HCK;AKT1;PTK2B;RAC1;PRKACA;JAK2;CRK;JAK3
KEGG_2019_Human	Leukocyte transendothelial migration	12/112	5.947685e-12	2.061739e-10	0	0	2.081474e+01	5.380197e+02	CDC42;TXK;PIK3R3;PTK2B;PLCG1;RAC1;EZR;ACTB;PTK2;VAV1;ACTG1;VAV2
KEGG_2019_Human	Regulation of actin cytoskeleton	15/214	6.093810e-12	2.061739e-10	0	0	1.336072e+01	3.450239e+02	SRC;PIK3R3;ACTB;PTK2;VAV1;ACTG1;VAV2;CDC42;CFL1;RAC1;PFN1;EZR;ARHGEF7;CRK;FGFR1
KEGG_2019_Human	Axon guidance	14/181	8.494969e-12	2.463541e-10	0	0	1.475075e+01	3.760194e+02	SRC;PIK3R3;PTK2;CDC42;ABLIM1;CDK5;RASA1;CFL1;ABL1;NCK2;PLCG1;RAC1;MET;NCK1
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	11/91	1.230436e-11	3.122232e-10	0	0	2.366674e+01	5.945337e+02	CDC42;HCK;SYK;CFL1;AKT1;PIK3R3;RAC1;PLCG1;CRK;VAV1;VAV2
KEGG_2019_Human	Rap1 signaling pathway	14/206	4.858078e-11	1.095766e-09	0	0	1.281380e+01	3.042995e+02	SRC;PIK3R3;ACTB;ACTG1;VAV2;CDC42;CDH1;AKT1;PLCG1;RAC1;PFN1;MET;CRK;FGFR1
KEGG_2019_Human	Pathogenic Escherichia coli infection	9/55	5.829348e-11	1.183358e-09	0	0	3.315719e+01	7.813668e+02	CDC42;CDH1;NCK2;ABL1;EZR;YWHAZ;ACTB;ACTG1;NCK1
