Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Protein processing in endoplasmic reticulum	15/165	4.678655e-12	1.015268e-09	0	0	1.357931e+01	3.542572e+02	PDIA3;BCAP31;HSPA8;HSP90AA1;HSP90AB1;RPN2;RPN1;CUL1;SYVN1;UBE2D1;PDIA4;UBE2J1;LMAN1;STUB1;MAP2K7
KEGG_2019_Human	Pathways in cancer	23/530	4.222461e-11	4.581370e-09	0	0	6.401748e+00	1.529251e+02	TCF7L2;HSP90AA1;HSP90AB1;PTCH1;CUL2;CUL1;PTK2;RHOA;MTOR;CDC42;AR;MSH2;CDH1;CTNNA1;AKT1;STAT6;GRB2;RAC1;RAF1;CALM1;PRKACA;TP53;APPL1
KEGG_2019_Human	Tight junction	14/170	9.414827e-11	6.810058e-09	0	0	1.209940e+01	2.793286e+02	ACTR3;MAGI1;ACTR2;SRC;SCRIB;RHOA;CDC42;MYL6;TUBA1A;SYMPK;NF2;RAC1;PRKACA;MAP2K7
KEGG_2019_Human	Adherens junction	10/72	2.832940e-10	1.536870e-08	0	0	2.126667e+01	4.675378e+02	CDC42;TCF7L2;CSNK2A1;CDH1;SRC;CTNNA1;FYN;RAC1;RHOA;VCL
KEGG_2019_Human	Bacterial invasion of epithelial cells	10/74	3.743979e-10	1.624887e-08	0	0	2.060000e+01	4.471375e+02	CDC42;CDH1;SRC;CAV1;CTNNA1;ILK;RAC1;RHOA;VCL;PTK2
KEGG_2019_Human	Colorectal cancer	10/86	1.700005e-09	6.148352e-08	0	0	1.733684e+01	3.500765e+02	TCF7L2;MSH2;AKT1;GRB2;RAC1;RAF1;TP53;RHOA;MTOR;APPL1
KEGG_2019_Human	Proteoglycans in cancer	13/201	8.698782e-09	2.696622e-07	0	0	9.244319e+00	1.715753e+02	SRC;CAV1;PTCH1;PTK2;RHOA;MTOR;CDC42;AKT1;GRB2;RAC1;RAF1;PRKACA;TP53
KEGG_2019_Human	Human papillomavirus infection	16/330	9.982131e-09	2.707653e-07	0	0	6.909413e+00	1.272884e+02	MAGI1;BCAP31;TCF7L2;SCRIB;PSEN1;PTK2;MTOR;CDC42;RHEB;AKT1;GRB2;ATM;RAF1;PRKACA;TP53;ATR
KEGG_2019_Human	Ubiquitin mediated proteolysis	11/137	1.352520e-08	3.261076e-07	0	0	1.155076e+01	2.092849e+02	HERC2;CUL3;CUL2;CUL1;UBE2N;SYVN1;UBE2D1;UBA1;STUB1;UBE2A;UBE2J1
KEGG_2019_Human	Fluid shear stress and atherosclerosis	11/139	1.574250e-08	3.416123e-07	0	0	1.136913e+01	2.042680e+02	HSP90AA1;HSP90AB1;SRC;CAV1;AKT1;RAC1;MAP2K7;CALM1;TP53;PTK2;RHOA
KEGG_2019_Human	Endometrial cancer	8/58	1.920965e-08	3.789539e-07	0	0	2.083158e+01	3.701324e+02	TCF7L2;CDH1;CTNNA1;ILK;AKT1;GRB2;RAF1;TP53
