Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	33/354	4.726796e-31	1.006808e-28	0	0	2.483154e+01	1.733910e+03	CSF1R;FLT1;IRS1;PIK3R3;PIK3R2;PIK3R1;RELA;EGFR;IGF1R;ERBB3;ERBB4;KDR;AKT1;JAK2;HRAS;JAK3;YWHAH;MAPK3;JAK1;PDGFRB;NTRK1;PDGFRA;NGFR;MAP2K1;PDPK1;NFKB1;PTK2;PIK3CA;GNB1;KIT;GNB3;GRB2;TP53
KEGG_2019_Human	Ras signaling pathway	27/232	5.392717e-28	5.743244e-26	0	0	2.979462e+01	1.870725e+03	CSF1R;FLT1;PIK3R3;PIK3R2;PIK3R1;RELA;EGFR;IGF1R;KDR;AKT1;HRAS;MAPK3;PDGFRB;NTRK1;PDGFRA;NGFR;MAP2K1;GAB1;GAB2;NFKB1;PIK3CA;GNB1;KIT;GNB3;GRB2;CALM1;ARF6
KEGG_2019_Human	Pathways in cancer	35/530	8.485904e-28	6.024992e-26	0	0	1.735545e+01	1.081834e+03	CSF1R;NOTCH1;HDAC1;PIK3R3;PIK3R2;PIK3R1;CBL;RELA;EGFR;IGF1R;AKT1;JAK2;HRAS;JAK3;MAPK3;APPL1;JAK1;PDGFRB;NTRK1;PDGFRA;MAP2K1;ESR1;NFKB1;PTK2;AR;PIK3CA;GNAQ;GNB1;KIT;GNB3;GRB2;ARHGEF1;CALM1;TP53;CRK
KEGG_2019_Human	Proteoglycans in cancer	25/201	1.125600e-26	5.993822e-25	0	0	3.145748e+01	1.879550e+03	DDX5;PIK3R3;PIK3R2;PIK3R1;CBL;EGFR;ACTB;IGF1R;ERBB3;ERBB4;KDR;AKT1;HRAS;MAPK3;MAP2K1;CAV2;PDPK1;CAV1;GAB1;ESR1;PTK2;PIK3CA;GRB2;ARHGEF1;TP53
KEGG_2019_Human	Human cytomegalovirus infection	24/225	5.515734e-24	2.349703e-22	0	0	2.611609e+01	1.398632e+03	PDGFRA;MAP2K1;PIK3R3;PIK3R2;PIK3R1;RELA;EGFR;NFKB1;PTK2;TNFRSF1A;PIK3CA;GNAQ;GNB1;AKT1;GNB3;GRB2;ARHGEF1;CALM1;TP53;CRK;HRAS;BCAR1;MAPK3;JAK1
KEGG_2019_Human	Focal adhesion	23/199	8.072384e-24	2.865696e-22	0	0	2.830482e+01	1.505069e+03	PDGFRB;PDGFRA;MAP2K1;FLT1;CAV2;PDPK1;CAV1;ILK;PIK3R3;PIK3R2;PIK3R1;EGFR;ACTB;PTK2;IGF1R;PIK3CA;KDR;AKT1;GRB2;CRK;HRAS;BCAR1;MAPK3
KEGG_2019_Human	Chemokine signaling pathway	22/190	7.980176e-23	2.428254e-21	0	0	2.806651e+01	1.428094e+03	MAP2K1;PIK3R3;PIK3R2;ARRB1;PIK3R1;ARRB2;RELA;NFKB1;PTK2;FGR;HCK;PIK3CA;GNB1;AKT1;GNB3;GRB2;JAK2;CRK;HRAS;JAK3;BCAR1;MAPK3
KEGG_2019_Human	Prostate cancer	18/97	1.152820e-22	3.069383e-21	0	0	4.701028e+01	2.374709e+03	PDGFRB;PDGFRA;MAP2K1;PDPK1;PIK3R3;PIK3R2;PIK3R1;NFKB1;RELA;EGFR;IGF1R;AR;PIK3CA;AKT1;GRB2;TP53;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	19/119	1.476103e-22	3.493443e-21	0	0	3.957200e+01	1.989184e+03	NTRK1;NGFR;MAP2K1;IRS1;PDPK1;GAB1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PIK3CA;AKT1;GRB2;CALM1;TP53;CRK;HRAS;MAPK3
KEGG_2019_Human	Rap1 signaling pathway	22/206	4.874281e-22	1.038222e-20	0	0	2.560515e+01	1.256519e+03	PDGFRB;PDGFRA;NGFR;CSF1R;MAP2K1;FLT1;PIK3R3;PIK3R2;PIK3R1;EGFR;ACTB;IGF1R;PIK3CA;GNAQ;KIT;KDR;AKT1;CALM1;CRK;HRAS;BCAR1;MAPK3
