Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	23/530	3.751378e-16	6.977563e-14	0	0	1.222206e+01	4.341182e+02	HSP90AA1;MAP2K1;TGFB1;CSF3R;SPI1;CDKN2A;NCOA3;CUL1;TRAF2;CBL;HIF1A;PML;NFKBIA;CCND1;CCNE2;DVL1;CCDC6;MDM2;ABL1;EP300;CALM1;HRAS;MAPK3
KEGG_2019_Human	Cellular senescence	13/160	6.650957e-13	6.185390e-11	0	0	2.130861e+01	5.974689e+02	MAP2K1;TGFB1;CDKN2A;FOXM1;HIPK2;CCND1;CCNE2;CDK1;MDM2;CALM1;SQSTM1;HRAS;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	14/219	2.194773e-12	1.233116e-10	0	0	1.660945e+01	4.458799e+02	ATF2;MAP2K1;TGFB1;SPI1;CDKN2A;RELB;NFKBIA;CCND1;CCNE2;EP300;ANAPC5;CALR;HRAS;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	10/76	2.651863e-12	1.233116e-10	0	0	3.536364e+01	9.426446e+02	NFKBIA;MAP2K1;TGFB1;CCND1;CDKN2A;ABL1;MDM2;CBL;HRAS;MAPK3
KEGG_2019_Human	Cell cycle	11/124	1.667317e-11	6.202419e-10	0	0	2.293637e+01	5.692169e+02	TGFB1;CCND1;CCNE2;CDKN2A;PLK1;CDK1;MDM2;CUL1;ABL1;EP300;ANAPC5
KEGG_2019_Human	Prostate cancer	9/97	8.472319e-10	2.626419e-08	0	0	2.356673e+01	4.922865e+02	NFKBIA;HSP90AA1;MAP2K1;CCND1;CCNE2;MDM2;EP300;HRAS;MAPK3
KEGG_2019_Human	Viral carcinogenesis	11/201	3.002740e-09	7.978708e-08	0	0	1.358803e+01	2.666480e+02	NFKBIA;ATF2;CCND1;CCNE2;CDKN2A;CDK1;MDM2;EP300;TRAF2;HRAS;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	10/168	7.305023e-09	1.698418e-07	0	0	1.470365e+01	2.754685e+02	MAP2K1;TGFB1;CCND1;CDKN2A;DVL1;ACTL6A;BRD7;HRAS;SMARCA4;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	11/225	9.752553e-09	2.015528e-07	0	0	1.204945e+01	2.222611e+02	NFKBIA;ATF2;MAP2K1;CCND1;CDKN2A;MDM2;TRAF2;CALR;CALM1;HRAS;MAPK3
KEGG_2019_Human	Ubiquitin mediated proteolysis	9/137	1.818412e-08	3.382247e-07	0	0	1.616942e+01	2.881830e+02	CUL7;FBXW7;CUL3;MDM2;CUL1;ANAPC5;BRCA1;CBL;PML
