Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	35/530	2.106903e-28	4.192738e-26	0	0	1.828485e+01	1.165242e+03	CSF1R;NOTCH1;HDAC1;CUL1;PIK3R3;CSF2RB;PIK3R2;PIK3R1;CBL;RELA;IGF1R;AKT3;ABL1;EP300;JAK2;HRAS;MAPK3;JAK1;PDGFRB;PDGFRA;CREBBP;MAP2K1;CDKN2A;ESR1;NFKB1;PTK2;PIK3CA;GNB1;KIT;GNB3;GRB2;ARHGEF1;CALM1;TP53;CRK
KEGG_2019_Human	PI3K-Akt signaling pathway	30/354	1.865194e-27	1.855868e-25	0	0	2.264583e+01	1.393770e+03	CSF1R;FLT1;IRS1;PIK3R3;PIK3R2;PIK3R1;BRCA1;RELA;IGF1R;ERBB3;ERBB4;CD19;AKT3;KDR;JAK2;HRAS;YWHAH;MAPK3;JAK1;PDGFRB;PDGFRA;MAP2K1;NFKB1;PTK2;PIK3CA;GNB1;KIT;GNB3;GRB2;TP53
KEGG_2019_Human	Chronic myeloid leukemia	17/76	3.103883e-23	2.058909e-21	0	0	6.144104e+01	3.184293e+03	MAP2K1;HDAC1;CDKN2A;PIK3R3;PIK3R2;PIK3R1;CBL;RELA;NFKB1;PIK3CA;AKT3;ABL1;GRB2;HRAS;TP53;CRK;MAPK3
KEGG_2019_Human	Ras signaling pathway	23/232	1.205502e-22	5.997372e-21	0	0	2.489485e+01	1.256442e+03	PDGFRB;PDGFRA;CSF1R;MAP2K1;FLT1;GAB1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;IGF1R;PIK3CA;AKT3;GNB1;KIT;KDR;ABL1;GNB3;GRB2;CALM1;HRAS;MAPK3
KEGG_2019_Human	Prostate cancer	17/97	2.797318e-21	9.417530e-20	0	0	4.526478e+01	2.142184e+03	PDGFRB;PDGFRA;MAP2K1;CREBBP;PIK3R3;PIK3R2;PIK3R1;NFKB1;RELA;IGF1R;PIK3CA;AKT3;EP300;GRB2;TP53;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	18/119	2.910277e-21	9.417530e-20	0	0	3.833427e+01	1.812676e+03	MAP2K1;IRS1;PRKCD;GAB1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PIK3CA;AKT3;ABL1;GRB2;CALM1;TP53;CRK;HRAS;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	21/201	3.312699e-21	9.417530e-20	0	0	2.583708e+01	1.218387e+03	MAP2K1;DDX5;CAV1;GAB1;PIK3R3;PIK3R2;PIK3R1;CBL;ESR1;PTK2;IGF1R;PIK3CA;ERBB3;ERBB4;AKT3;KDR;GRB2;ARHGEF1;TP53;HRAS;MAPK3
KEGG_2019_Human	ErbB signaling pathway	16/85	1.297202e-20	3.226789e-19	0	0	4.889547e+01	2.238996e+03	MAP2K1;GAB1;PIK3R3;PIK3R2;PIK3R1;CBL;PTK2;PIK3CA;ERBB3;ERBB4;AKT3;ABL1;GRB2;HRAS;CRK;MAPK3
KEGG_2019_Human	Chemokine signaling pathway	20/190	2.707934e-20	5.987543e-19	0	0	2.577778e+01	1.161431e+03	MAP2K1;PRKCD;PIK3R3;PIK3R2;ARRB1;PIK3R1;RELA;NFKB1;PTK2;FGR;HCK;PIK3CA;AKT3;GNB1;GNB3;GRB2;JAK2;CRK;HRAS;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	21/225	3.597118e-20	7.158264e-19	0	0	2.276966e+01	1.019434e+03	PDGFRA;MAP2K1;CDKN2A;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;PIK3CA;AKT3;GNB1;GNB3;GRB2;ARHGEF1;CALM1;TP53;CRK;HRAS;MAPK3;JAK1
