Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	ErbB signaling pathway	15/85	3.497588e-16	6.855272e-14	0	0	2.804730e+01	9.981836e+02	SRC;ARAF;PIK3R3;CBLB;PRKCA;PTK2;MAPK9;ERBB4;MYC;AKT1;HRAS;SOS2;CRK;NCK1;PAK4
KEGG_2019_Human	Proteoglycans in cancer	18/201	7.602372e-14	7.450325e-12	0	0	1.306004e+01	3.945140e+02	DDX5;SRC;STAT3;ARAF;PIK3R3;PRKCA;HIF1A;THBS1;PTK2;IGF1R;PPP1CC;ERBB4;MYC;PLCE1;AKT1;TP53;SOS2;HRAS
KEGG_2019_Human	Cell cycle	15/124	1.175422e-13	7.679425e-12	0	0	1.797649e+01	5.351956e+02	RB1;PRKDC;YWHAB;YWHAZ;CDK7;PTTG1;CDK4;MYC;CHEK1;CDK1;ATM;TP53;YWHAG;ANAPC2;ATR
KEGG_2019_Human	Hepatitis C	16/155	2.145439e-13	1.051265e-11	0	0	1.511367e+01	4.408697e+02	RB1;YWHAB;STAT3;ARAF;PIK3R3;YWHAZ;PPP2CA;CDK4;MYC;PSME3;TRAF6;AKT1;TP53;HRAS;SOS2;YWHAG
KEGG_2019_Human	Hepatitis B	16/163	4.722527e-13	1.851231e-11	0	0	1.428535e+01	4.054363e+02	RB1;MAP3K1;YWHAB;SRC;STAT3;ARAF;PIK3R3;PRKCA;YWHAZ;MAPK9;MYC;TRAF6;AKT1;TP53;HRAS;SOS2
KEGG_2019_Human	MAPK signaling pathway	20/295	5.680081e-13	1.855493e-11	0	0	9.742964e+00	2.747189e+02	DAXX;MAP3K1;ARAF;PRKCA;EFNA4;IGF1R;MAPK9;RPS6KA3;MAPK7;ERBB4;MYC;TRAF6;RPS6KA2;AKT1;TP53;SOS2;CRK;HRAS;MAP2K5;MAP4K4
KEGG_2019_Human	Neurotrophin signaling pathway	14/119	1.177183e-12	3.296111e-11	0	0	1.730614e+01	4.753633e+02	MAP3K1;PRKCD;PIK3R3;RPS6KA3;MAPK9;MAPK7;RPS6KA2;TRAF6;AKT1;TP53;HRAS;SOS2;CRK;MAP2K5
KEGG_2019_Human	Viral carcinogenesis	16/201	1.194257e-11	2.925930e-10	0	0	1.132915e+01	2.849385e+02	RB1;LYN;USP7;YWHAB;SRC;STAT3;PIK3R3;YWHAZ;HNRNPK;PKM;CDK4;CHEK1;CDK1;TP53;HRAS;YWHAG
KEGG_2019_Human	Chronic myeloid leukemia	11/76	3.315170e-11	7.219703e-10	0	0	2.158402e+01	5.208208e+02	RB1;BCR;CDK4;MYC;ARAF;AKT1;PIK3R3;HRAS;SOS2;TP53;CRK
KEGG_2019_Human	Bladder cancer	9/41	4.192651e-11	8.217597e-10	0	0	3.547333e+01	8.476388e+02	RB1;SRC;CDK4;MYC;DAPK3;ARAF;THBS1;HRAS;TP53
KEGG_2019_Human	Cellular senescence	14/160	6.839541e-11	1.218682e-09	0	0	1.242033e+01	2.907067e+02	RB1;FBXW11;PIK3R3;PPP1CC;CDK4;MYC;CHEK1;CDK1;AKT1;ATM;CAPN1;TP53;HRAS;ATR
KEGG_2019_Human	FoxO signaling pathway	13/132	7.575186e-11	1.237280e-09	0	0	1.407673e+01	3.280379e+02	USP7;SETD7;STAT3;ARAF;PIK3R3;CSNK1E;IGF1R;MAPK9;AKT1;ATM;HRAS;SOS2;RAG1
KEGG_2019_Human	PI3K-Akt signaling pathway	19/354	1.282977e-10	1.934334e-09	0	0	7.523221e+00	1.713539e+02	HSP90AA1;HSP90AB1;YWHAB;PIK3R3;PRKCA;EFNA4;YWHAZ;THBS1;PTK2;IGF1R;PPP2CA;CDK4;ERBB4;MYC;AKT1;TP53;SOS2;HRAS;YWHAG
KEGG_2019_Human	Non-small cell lung cancer	10/66	1.670196e-10	2.338274e-09	0	0	2.263965e+01	5.096845e+02	RB1;CDK4;STAT3;ARAF;AKT1;PIK3R3;PRKCA;HRAS;SOS2;TP53
KEGG_2019_Human	p53 signaling pathway	10/72	4.067563e-10	5.314949e-09	0	0	2.044251e+01	4.420245e+02	COP1;CD82;CDK4;CHEK1;CDK1;ATM;MDM4;TP53;THBS1;ATR
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	15/219	4.482841e-10	5.491480e-09	0	0	9.558824e+00	2.057594e+02	RB1;MAP3K1;TRRAP;PIK3R3;MAPK9;PTTG1;CDK4;MYC;CHEK1;AKT1;ATM;TP53;HRAS;ATR;ANAPC2
KEGG_2019_Human	Oocyte meiosis	12/125	5.611303e-10	6.388800e-09	0	0	1.359913e+01	2.896759e+02	PPP2CA;PPP1CC;RPS6KA3;PTTG1;FBXW11;YWHAB;RPS6KA2;CDK1;YWHAZ;YWHAG;IGF1R;ANAPC2
KEGG_2019_Human	Glioma	10/75	6.155354e-10	6.388800e-09	0	0	1.949606e+01	4.134826e+02	RB1;CDK4;ARAF;AKT1;PIK3R3;PRKCA;HRAS;SOS2;TP53;IGF1R
KEGG_2019_Human	Progesterone-mediated oocyte maturation	11/99	6.193225e-10	6.388800e-09	0	0	1.592419e+01	3.376310e+02	RPS6KA3;MAPK9;HSP90AA1;HSP90AB1;RPS6KA2;ARAF;CDK1;AKT1;PIK3R3;IGF1R;ANAPC2
KEGG_2019_Human	Human immunodeficiency virus 1 infection	14/212	2.809449e-09	2.753260e-08	0	0	9.134237e+00	1.798557e+02	FBXW11;PIK3R3;PRKCA;PTK2;MAPK9;TRAF6;CHEK1;CDK1;AKT1;ATM;CRK;HRAS;PAK4;ATR
KEGG_2019_Human	Pathways in cancer	21/530	3.231830e-09	3.016375e-08	0	0	5.498611e+00	1.074990e+02	RB1;HSP90AA1;HSP90AB1;STAT3;DAPK3;ARAF;PIK3R3;PRKCA;HIF1A;PTK2;IGF1R;BCR;MAPK9;CDK4;MYC;TRAF6;AKT1;TP53;SOS2;CRK;HRAS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	13/186	5.332806e-09	4.751045e-08	0	0	9.656315e+00	1.839469e+02	RB1;LYN;BECN1;SRC;STAT3;PIK3R3;HIF1A;MAPK9;CDK4;MYC;AKT1;TP53;HRAS
KEGG_2019_Human	Prostate cancer	10/97	7.986815e-09	6.806155e-08	0	0	1.454981e+01	2.712881e+02	RB1;HSP90AA1;HSP90AB1;ARAF;AKT1;PIK3R3;TP53;HRAS;SOS2;IGF1R
KEGG_2019_Human	Autophagy	11/128	9.723794e-09	7.941098e-08	0	0	1.195958e+01	2.206386e+02	PPP2CA;BECN1;MAPK9;TRAF6;PRKCD;DAPK3;AKT1;PIK3R3;HIF1A;HRAS;IGF1R
KEGG_2019_Human	Focal adhesion	13/199	1.203653e-08	9.436639e-08	0	0	8.975473e+00	1.636706e+02	SRC;PIK3R3;PRKCA;THBS1;PTK2;IGF1R;PPP1CC;MAPK9;AKT1;SOS2;CRK;HRAS;PAK4
KEGG_2019_Human	Hepatocellular carcinoma	12/168	1.654309e-08	1.247095e-07	0	0	9.829171e+00	1.761122e+02	RB1;CSNK1A1;CDK4;MYC;ARAF;AKT1;PIK3R3;PRKCA;TP53;SOS2;HRAS;IGF1R
KEGG_2019_Human	Ubiquitin mediated proteolysis	11/137	1.984034e-08	1.440262e-07	0	0	1.110026e+01	1.968691e+02	COP1;UBE2I;MAP3K1;FBXW7;FBXW11;SMURF1;TRAF6;WWP1;CBLB;TRIM32;ANAPC2
KEGG_2019_Human	Axon guidance	12/181	3.798215e-08	2.658750e-07	0	0	9.067087e+00	1.549216e+02	EFNB1;RYK;SRC;PIK3R3;PRKCA;EPHB2;EFNA4;HRAS;EPHA3;PTK2;PAK4;NCK1
KEGG_2019_Human	Breast cancer	11/147	4.127152e-08	2.789385e-07	0	0	1.027884e+01	1.747721e+02	RB1;CDK4;CSNK1A1;MYC;ARAF;AKT1;PIK3R3;TP53;HRAS;SOS2;IGF1R
KEGG_2019_Human	Human cytomegalovirus infection	13/225	5.171656e-08	3.378815e-07	0	0	7.864287e+00	1.319430e+02	RB1;SRC;STAT3;PIK3R3;PRKCA;PTK2;CDK4;MYC;AKT1;TP53;SOS2;CRK;HRAS
