Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	30/530	6.252974e-20	1.213077e-17	0	0	1.150634e+01	5.087946e+02	CXCL8;PTEN;STK4;HIF1A;CCND2;CCND1;MYC;ERBB2;AKT1;EP300;E2F3;ITGAV;POLK;JAK2;HRAS;NTRK1;CREBBP;HSP90AA1;EGLN3;CDKN2B;HGF;ESR1;MSH6;CDK6;RAD51;CDK4;CTNNB1;GRB2;TP53;FGFR1
KEGG_2019_Human	Breast cancer	16/147	2.122990e-15	2.059300e-13	0	0	2.096303e+01	7.082558e+02	PTEN;BRCA1;ESR1;CDK6;CCND1;CDK4;MYC;ERBB2;AKT1;CTNNB1;E2F3;GRB2;POLK;TP53;HRAS;FGFR1
KEGG_2019_Human	Thyroid hormone signaling pathway	14/116	3.025732e-14	1.956640e-12	0	0	2.318904e+01	7.218525e+02	CREBBP;ATP2A2;ATP1A1;HIF1A;ESR1;ACTB;CCND1;MYC;AKT1;EP300;CTNNB1;ITGAV;TP53;HRAS
KEGG_2019_Human	Prostate cancer	13/97	6.504244e-14	3.154558e-12	0	0	2.594885e+01	7.879040e+02	CREBBP;HSP90AA1;PTEN;CCND1;ERBB2;AKT1;EP300;CTNNB1;GRB2;E2F3;TP53;HRAS;FGFR1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	16/186	8.894791e-14	3.451179e-12	0	0	1.612194e+01	4.844761e+02	CREBBP;CXCL8;HLA-A;HIF1A;HCK;CDK6;CCND1;CDK4;MYC;AKT1;CTNNB1;EP300;E2F3;JAK2;TP53;HRAS
KEGG_2019_Human	Cellular senescence	15/160	1.552606e-13	5.020093e-12	0	0	1.758977e+01	5.187870e+02	CDKN2B;MRE11;CXCL8;PTEN;HLA-A;CCND2;CDK6;CCND1;CDK4;MYC;AKT1;E2F3;BTRC;TP53;HRAS
KEGG_2019_Human	Non-small cell lung cancer	11/66	4.914407e-13	1.361993e-11	0	0	3.302333e+01	9.359287e+02	CDK6;CCND1;CDK4;ERBB2;AKT1;E2F3;GRB2;POLK;STK4;HRAS;TP53
KEGG_2019_Human	Melanoma	11/72	1.337814e-12	3.244199e-11	0	0	2.976612e+01	8.138053e+02	CDK6;CCND1;CDK4;HGF;PTEN;AKT1;E2F3;POLK;HRAS;TP53;FGFR1
KEGG_2019_Human	Cell cycle	13/124	1.650186e-12	3.557068e-11	0	0	1.961017e+01	5.320265e+02	CREBBP;CDKN2B;SMC3;CDC25B;FZR1;CCND2;CDK6;CCND1;CDK4;MYC;EP300;E2F3;TP53
KEGG_2019_Human	Endometrial cancer	10/58	4.100088e-12	7.954172e-11	0	0	3.412707e+01	8.948121e+02	CCND1;MYC;ERBB2;PTEN;AKT1;CTNNB1;GRB2;POLK;HRAS;TP53
KEGG_2019_Human	Hepatocellular carcinoma	14/168	5.268334e-12	9.291426e-11	0	0	1.531857e+01	3.978127e+02	HGF;PTEN;ACTB;CDK6;CCND1;CDK4;MYC;AKT1;CTNNB1;E2F3;GRB2;POLK;TP53;HRAS
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	15/219	1.501821e-11	2.427944e-10	0	0	1.246514e+01	3.106531e+02	CREBBP;CDKN2B;PTEN;HLA-A;CCND2;CCND1;CDK4;LCK;MYC;CANX;AKT1;EP300;E2F3;TP53;HRAS
KEGG_2019_Human	PI3K-Akt signaling pathway	18/354	1.823346e-11	2.720993e-10	0	0	9.260272e+00	2.289858e+02	NTRK1;HSP90AA1;HGF;PTEN;BRCA1;CCND2;CDK6;CCND1;CDK4;MYC;ERBB2;AKT1;GRB2;ITGAV;JAK2;TP53;HRAS;FGFR1
KEGG_2019_Human	Small cell lung cancer	11/93	2.403295e-11	3.330280e-10	0	0	2.211961e+01	5.408598e+02	CDKN2B;CDK6;CCND1;CDK4;MYC;PTEN;AKT1;ITGAV;E2F3;POLK;TP53
KEGG_2019_Human	Glioma	10/75	5.930668e-11	7.204900e-10	0	0	2.517991e+01	5.929441e+02	CDK6;CCND1;CDK4;PTEN;AKT1;E2F3;GRB2;POLK;HRAS;TP53
KEGG_2019_Human	Proteoglycans in cancer	14/201	5.942186e-11	7.204900e-10	0	0	1.259418e+01	2.965470e+02	HGF;ESR1;HIF1A;ACTB;CCND1;MYC;ERBB2;AKT1;CTNNB1;GRB2;ITGAV;TP53;HRAS;FGFR1
KEGG_2019_Human	Chronic myeloid leukemia	10/76	6.791699e-11	7.750527e-10	0	0	2.479715e+01	5.805690e+02	CDK6;CCND1;CDK4;MYC;AKT1;E2F3;GRB2;POLK;HRAS;TP53
KEGG_2019_Human	MicroRNAs in cancer	16/299	1.231746e-10	1.327549e-09	0	0	9.629006e+00	2.197091e+02	CREBBP;PTEN;KIF23;BRCA1;CDC25B;CCND2;CDK6;CCND1;MYC;ERBB2;EP300;E2F3;GRB2;TP53;HRAS;PAK4
KEGG_2019_Human	Bladder cancer	8/41	2.174930e-10	2.220718e-09	0	0	3.909534e+01	8.698266e+02	CXCL8;CCND1;CDK4;MYC;ERBB2;E2F3;HRAS;TP53
KEGG_2019_Human	Gastric cancer	12/149	2.772959e-10	2.689770e-09	0	0	1.452395e+01	3.196132e+02	CDKN2B;CCND1;MYC;HGF;ERBB2;AKT1;CTNNB1;E2F3;GRB2;POLK;TP53;HRAS
KEGG_2019_Human	Central carbon metabolism in cancer	9/65	3.941226e-10	3.640942e-09	0	0	2.610026e+01	5.651845e+02	NTRK1;MYC;ERBB2;PTEN;AKT1;HRAS;TP53;HIF1A;FGFR1
KEGG_2019_Human	Human papillomavirus infection	16/330	5.239100e-10	4.619934e-09	0	0	8.664636e+00	1.851607e+02	CREBBP;PTEN;HLA-A;PRKCZ;CCND2;CDK6;CCND1;CDK4;ATP6V1B2;AKT1;CTNNB1;EP300;GRB2;ITGAV;TP53;HRAS
KEGG_2019_Human	Renal cell carcinoma	9/69	6.835112e-10	5.765269e-09	0	0	2.435533e+01	5.139894e+02	CREBBP;EGLN3;HGF;AKT1;EP300;GRB2;HRAS;HIF1A;PAK4
