Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	30/530	3.063718e-20	5.667878e-18	0	0	1.186041e+01	5.329127e+02	HDAC2;FLT4;GLI2;CCND2;CDH1;MYC;DVL1;ERBB2;RAC2;AKT1;MAPK1;HRAS;SMAD2;CREBBP;SMAD4;CDKN2B;SMAD3;EGF;FN1;ESR1;CDK6;SP1;CDK4;CDK2;CTNNB1;GRB2;KRAS;FGFR4;FGFR3;FGFR1
KEGG_2019_Human	FoxO signaling pathway	17/132	9.844874e-18	9.106508e-16	0	0	2.631171e+01	1.030356e+03	PLK4;SMAD2;USP7;CREBBP;SMAD4;CDKN2B;SMAD3;EGF;FOXG1;FOXO3;CCND2;CDK2;AKT1;MAPK1;GRB2;KRAS;HRAS
KEGG_2019_Human	Breast cancer	17/147	6.354896e-17	3.708852e-15	0	0	2.325807e+01	8.674034e+02	EGF;FLT4;BRCA1;ESR1;CDK6;SP1;CDK4;MYC;DVL1;ERBB2;AKT1;CTNNB1;MAPK1;GRB2;KRAS;HRAS;FGFR1
KEGG_2019_Human	Gastric cancer	17/149	8.019140e-17	3.708852e-15	0	0	2.290336e+01	8.488469e+02	SMAD2;SMAD4;CDKN2B;SMAD3;EGF;GAB1;CDH1;MYC;CDK2;DVL1;ERBB2;AKT1;CTNNB1;MAPK1;GRB2;KRAS;HRAS
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	16/139	5.908555e-16	2.186165e-14	0	0	2.293728e+01	8.042949e+02	SMAD2;SMAD1;SMAD4;SMAD3;SMAD5;MYC;DVL1;AKT1;CTNNB1;MAPK1;GRB2;KRAS;FGFR4;FGFR3;HRAS;FGFR1
KEGG_2019_Human	PI3K-Akt signaling pathway	21/354	9.826444e-15	3.029820e-13	0	0	1.151579e+01	3.714267e+02	EGF;FLT4;FN1;BRCA1;FOXO3;PPP2CB;CCND2;CDK6;CDK4;MYC;CDK2;ERBB2;AKT1;MAPK1;GRB2;KRAS;FGFR4;FGFR3;HRAS;EPHA2;FGFR1
KEGG_2019_Human	Cell cycle	14/124	5.614364e-14	1.483796e-12	0	0	2.206284e+01	6.731563e+02	SMAD2;CREBBP;SMAD4;HDAC2;CDKN2B;SMAD3;CDKN2C;FZR1;CCND2;CDK6;CDK4;MYC;CHEK1;CDK2
KEGG_2019_Human	Endometrial cancer	11/58	8.405556e-14	1.943785e-12	0	0	3.965721e+01	1.193971e+03	CDH1;EGF;MYC;ERBB2;AKT1;MAPK1;CTNNB1;KRAS;GRB2;FOXO3;HRAS
KEGG_2019_Human	Cellular senescence	15/160	1.097047e-13	2.255040e-12	0	0	1.805951e+01	5.389134e+02	SMAD2;CDKN2B;SMAD3;FOXO3;CCND2;CDK6;CDK4;MYC;CHEK1;CDK2;AKT1;MAPK1;KRAS;BTRC;HRAS
KEGG_2019_Human	Proteoglycans in cancer	16/201	2.065015e-13	3.799674e-12	0	0	1.520232e+01	4.440364e+02	SMAD2;CAV1;FN1;GAB1;ESR1;ACTB;PAK1;MYC;ERBB2;AKT1;CTNNB1;MAPK1;GRB2;KRAS;HRAS;FGFR1
KEGG_2019_Human	Hepatocellular carcinoma	15/168	2.259265e-13	3.799674e-12	0	0	1.710828e+01	4.981685e+02	SMAD2;SMAD4;SMAD3;GAB1;ACTB;CDK6;CDK4;MYC;DVL1;AKT1;CTNNB1;MAPK1;GRB2;KRAS;HRAS
KEGG_2019_Human	Colorectal cancer	12/86	2.858652e-13	4.407088e-12	0	0	2.767661e+01	7.993905e+02	SMAD2;SMAD4;SMAD3;EGF;MYC;RAC2;AKT1;MAPK1;CTNNB1;KRAS;GRB2;HRAS
KEGG_2019_Human	TGF-beta signaling pathway	12/90	5.011889e-13	7.132304e-12	0	0	2.625199e+01	7.435034e+02	SMAD2;PPP2CB;SMAD1;CREBBP;SMAD4;CDKN2B;SMAD3;SMURF2;SP1;MYC;MAPK1;SMAD5
