Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Prostate cancer	18/97	1.198694e-21	2.277518e-19	0	0	4.062675e+01	1.957115e+03	MAP2K1;HSP90AA1;HSP90AB1;EGF;PTEN;PIK3CD;BRAF;PIK3R1;EGFR;NFKBIA;CCNE2;PIK3CA;ERBB2;MDM2;GRB2;KRAS;HRAS;MAPK3
KEGG_2019_Human	Glioma	15/75	9.905753e-19	9.410465e-17	0	0	4.344518e+01	1.801063e+03	MAP2K1;SHC1;EGF;PTEN;PIK3CD;BRAF;PIK3R1;EGFR;PIK3CA;MDM2;KRAS;GRB2;CALM1;HRAS;MAPK3
KEGG_2019_Human	ErbB signaling pathway	15/85	7.405530e-18	4.690169e-16	0	0	3.721992e+01	1.468114e+03	MAP2K1;SHC1;EGF;PIK3CD;NRG1;BRAF;PIK3R1;EGFR;PIK3CA;ERBB3;ERBB2;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	Cellular senescence	18/160	1.397414e-17	6.637714e-16	0	0	2.253026e+01	8.743843e+02	MAP2K1;TGFB1;IGFBP3;HLA-B;PTEN;PIK3CD;HLA-A;PIK3R1;FOXM1;HIPK2;PIK3CA;CCNE2;MDM2;KRAS;CALM1;SQSTM1;HRAS;MAPK3
KEGG_2019_Human	Endometrial cancer	13/58	4.442112e-17	1.623684e-15	0	0	4.937510e+01	1.859111e+03	MAP2K1;EGF;PTEN;PIK3CD;BRAF;PIK3R1;EGFR;PIK3CA;ERBB2;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	14/76	5.127423e-17	1.623684e-15	0	0	3.889565e+01	1.458950e+03	MAP2K1;TGFB1;SHC1;PIK3CD;PTPN11;BRAF;PIK3R1;NFKBIA;PIK3CA;MDM2;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	FoxO signaling pathway	16/132	2.898216e-16	7.866587e-15	0	0	2.411352e+01	8.627158e+02	MAP2K1;TGFB1;EGF;PLK2;PLK1;PTEN;PIK3CD;BRAF;PIK3R1;EGFR;PIK3CA;MDM2;GRB2;KRAS;HRAS;MAPK3
KEGG_2019_Human	Pathways in cancer	26/530	5.430742e-16	1.289801e-14	0	0	9.699915e+00	3.409451e+02	CSF3R;HSP90AB1;PTEN;PIK3CD;PIK3R1;HIF1A;EGFR;DVL1;ERBB2;HRAS;MAPK3;MAP2K1;HSP90AA1;TGFB1;JAG1;EGF;TRAF2;BRAF;PML;NFKBIA;PIK3CA;CCNE2;MDM2;GRB2;KRAS;CALM1
KEGG_2019_Human	Proteoglycans in cancer	18/201	8.414217e-16	1.776335e-14	0	0	1.744617e+01	6.055816e+02	MAP2K1;TGFB1;PIK3CD;PTPN11;BRAF;PIK3R1;HIF1A;EGFR;ACTB;PIK3CA;ERBB3;ERBB2;MDM2;PTPN6;GRB2;KRAS;HRAS;MAPK3
KEGG_2019_Human	Breast cancer	16/147	1.654715e-15	3.143958e-14	0	0	2.133622e+01	7.261812e+02	MAP2K1;JAG1;EGF;SHC1;PTEN;PIK3CD;BRAF;PIK3R1;EGFR;PIK3CA;DVL1;ERBB2;GRB2;KRAS;HRAS;MAPK3
