Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Glioma	21/75	3.416545e-29	6.354774e-27	0	0	7.069929e+01	4.634079e+03	CAMK2B;EGF;ARAF;PTEN;PIK3CD;PIK3R2;BRAF;PIK3CB;PIK3R1;EGFR;NRAS;PIK3CA;PLCG2;MDM2;MAPK1;KRAS;GRB2;RAF1;CALM1;HRAS;SOS2
KEGG_2019_Human	Prostate cancer	22/97	2.746488e-28	2.554234e-26	0	0	5.376420e+01	3.411987e+03	HSP90AB1;EGF;ARAF;PTEN;PIK3CD;PIK3R2;BRAF;PIK3R1;PIK3CB;EGFR;NRAS;PIK3CA;ERBB2;MDM2;MAPK1;CTNNB1;GRB2;KRAS;RAF1;HRAS;SOS2;FGFR1
KEGG_2019_Human	Endometrial cancer	19/58	5.427352e-28	3.364958e-26	0	0	8.703835e+01	5.464348e+03	EGF;ARAF;PTEN;PIK3CD;PIK3R2;BRAF;PIK3CB;PIK3R1;EGFR;NRAS;PIK3CA;ERBB2;MAPK1;CTNNB1;KRAS;GRB2;RAF1;HRAS;SOS2
KEGG_2019_Human	Pathways in cancer	36/530	8.494033e-27	3.535186e-25	0	0	1.502145e+01	9.017441e+02	CAMK2B;HSP90AB1;ARAF;LPAR1;PTEN;PIK3CD;PIK3R2;PIK3R1;PIK3CB;EGFR;GNAI1;GNAI2;NRAS;FRAT2;RASSF5;ERBB2;PLCG2;RAC2;MAPK1;HRAS;JAK1;EGLN1;EGF;BRAF;PIK3CA;TRAF6;MDM2;CTNNB1;GRB2;KRAS;RAF1;CALM1;FGFR3;SOS2;BCL2L1;FGFR1
KEGG_2019_Human	Non-small cell lung cancer	19/66	9.503188e-27	3.535186e-25	0	0	7.219417e+01	4.325743e+03	EGF;ARAF;PIK3CD;PIK3R2;BRAF;PIK3CB;PIK3R1;EGFR;NRAS;PIK3CA;RASSF5;ERBB2;PLCG2;MAPK1;KRAS;GRB2;RAF1;HRAS;SOS2
KEGG_2019_Human	Proteoglycans in cancer	26/201	1.372658e-26	4.255240e-25	0	0	2.813571e+01	1.675495e+03	CAMK2B;ARAF;PIK3CD;PIK3R2;PIK3R1;PIK3CB;EGFR;ACTB;NRAS;ERBB3;ERBB2;PLCG2;FLNA;MAPK1;HRAS;PTPN11;BRAF;PIK3CA;MDM2;CTNNB1;PTPN6;GRB2;KRAS;RAF1;SOS2;FGFR1
KEGG_2019_Human	ErbB signaling pathway	20/85	3.902702e-26	1.037004e-24	0	0	5.539860e+01	3.241125e+03	CAMK2B;EGF;ARAF;PIK3CD;PIK3R2;BRAF;PIK3CB;PIK3R1;EGFR;NRAS;PIK3CA;ERBB3;ERBB2;PLCG2;MAPK1;KRAS;GRB2;RAF1;HRAS;SOS2
KEGG_2019_Human	Ras signaling pathway	25/232	1.457244e-23	3.388091e-22	0	0	2.261675e+01	1.189254e+03	PIK3CD;PIK3R2;PIK3R1;PIK3CB;EGFR;NRAS;RASSF5;PLCG2;RAC2;MAPK1;HRAS;KSR1;EGF;PTPN11;PIK3CA;GRB2;KRAS;RIN1;RAF1;CALM1;RGL2;FGFR3;SOS2;BCL2L1;FGFR1
KEGG_2019_Human	Colorectal cancer	18/86	1.335324e-22	2.759670e-21	0	0	4.680095e+01	2.357256e+03	EGF;ARAF;PIK3CD;PIK3R2;BRAF;PIK3CB;PIK3R1;EGFR;NRAS;PIK3CA;RAC2;MAPK1;CTNNB1;KRAS;GRB2;RAF1;HRAS;SOS2
KEGG_2019_Human	Breast cancer	21/147	1.588767e-22	2.916011e-21	0	0	3.018960e+01	1.515334e+03	EGF;ARAF;PTEN;PIK3CD;BRAF;PIK3R2;PIK3R1;PIK3CB;EGFR;NRAS;FRAT2;PIK3CA;ERBB2;CTNNB1;MAPK1;GRB2;KRAS;RAF1;SOS2;HRAS;FGFR1
KEGG_2019_Human	B cell receptor signaling pathway	17/71	1.724522e-22	2.916011e-21	0	0	5.520682e+01	2.766520e+03	LYN;PIK3CD;PIK3R2;PIK3CB;PIK3R1;NRAS;PIK3CA;RAC2;BTK;PLCG2;MAPK1;PTPN6;KRAS;GRB2;RAF1;HRAS;SOS2
KEGG_2019_Human	Melanoma	17/72	2.245508e-22	3.480537e-21	0	0	5.420032e+01	2.701774e+03	EGF;ARAF;PTEN;PIK3CD;PIK3R2;BRAF;PIK3CB;PIK3R1;EGFR;NRAS;PIK3CA;MDM2;MAPK1;KRAS;RAF1;HRAS;FGFR1
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	20/131	4.309937e-22	5.871747e-21	0	0	3.236527e+01	1.592240e+03	ARAF;HLA-B;PIK3CD;PTPN11;BRAF;PIK3R2;PIK3R1;PIK3CB;NRAS;PIK3CA;LCK;PLCG2;RAC2;MAPK1;PTPN6;GRB2;KRAS;RAF1;SOS2;HRAS
KEGG_2019_Human	Rap1 signaling pathway	23/206	4.419594e-22	5.871747e-21	0	0	2.312451e+01	1.137051e+03	EGF;LPAR1;PIK3CD;BRAF;PIK3R2;PIK3R1;PIK3CB;EGFR;ACTB;GNAI1;GNAI2;NRAS;PIK3CA;RASSF5;RAC2;CTNNB1;MAPK1;KRAS;RAF1;CALM1;FGFR3;HRAS;FGFR1
KEGG_2019_Human	Chronic myeloid leukemia	17/76	6.195883e-22	7.682895e-21	0	0	5.051552e+01	2.466824e+03	ARAF;PIK3CD;PIK3R2;PTPN11;BRAF;PIK3CB;PIK3R1;NRAS;PIK3CA;MDM2;MAPK1;KRAS;GRB2;RAF1;HRAS;SOS2;BCL2L1
KEGG_2019_Human	Neurotrophin signaling pathway	19/119	2.037240e-21	2.368292e-20	0	0	3.384054e+01	1.612254e+03	CAMK2B;PIK3CD;PIK3R2;BRAF;PTPN11;PIK3R1;PIK3CB;NRAS;PIK3CA;TRAF6;PLCG2;MAPK1;GRB2;KRAS;RAF1;CALM1;HRAS;SOS2;SH2B1
KEGG_2019_Human	Hepatocellular carcinoma	21/168	2.858539e-21	3.127578e-20	0	0	2.584928e+01	1.222774e+03	ARAF;PTEN;PIK3CD;BRAF;PIK3R2;PIK3R1;PIK3CB;EGFR;ACTB;NRAS;FRAT2;PIK3CA;PLCG2;CTNNB1;MAPK1;GRB2;KRAS;RAF1;SOS2;HRAS;BCL2L1
KEGG_2019_Human	Fc epsilon RI signaling pathway	16/68	4.329582e-21	4.473902e-20	0	0	5.348988e+01	2.508077e+03	LYN;PIK3CD;PIK3R2;PIK3CB;PIK3R1;NRAS;PIK3CA;RAC2;BTK;PLCG2;MAPK1;KRAS;GRB2;RAF1;HRAS;SOS2
KEGG_2019_Human	Renal cell carcinoma	16/69	5.606383e-21	5.488354e-20	0	0	5.247799e+01	2.447069e+03	EGLN1;ARAF;PIK3CD;PIK3R2;PTPN11;BRAF;PIK3CB;PIK3R1;NRAS;PIK3CA;MAPK1;KRAS;GRB2;RAF1;HRAS;SOS2
KEGG_2019_Human	Hepatitis C	20/155	1.406727e-20	1.308256e-19	0	0	2.657912e+01	1.214943e+03	EGF;ARAF;PIK3CD;BRAF;PIK3R2;PIK3R1;CFLAR;PIK3CB;EGFR;NRAS;PIK3CA;TRAF6;CTNNB1;MAPK1;GRB2;KRAS;RAF1;SOS2;HRAS;JAK1
