Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteoglycans in cancer	16/201	8.472626e-15	1.462363e-12	0	0	1.915336e+01	6.206058e+02	SMAD2;CAV1;EGFR;ACTB;RHOA;CDC42;TIAM1;ERBB3;MYC;ERBB2;FLNA;GRB2;KRAS;RAC1;RAF1;HRAS
KEGG_2019_Human	MAPK signaling pathway	18/295	1.643104e-14	1.462363e-12	0	0	1.465306e+01	4.650822e+02	HSPA8;EGFR;CDC42;RPS6KA6;ERBB3;MYC;TRAF6;ERBB2;KIT;RPS6KA1;NF1;FLNA;RAC3;GRB2;KRAS;RAC1;RAF1;HRAS
KEGG_2019_Human	B cell receptor signaling pathway	11/71	9.616075e-14	5.705538e-12	0	0	3.868528e+01	1.159505e+03	CD79B;LYN;INPPL1;BLNK;BTK;RAC3;KRAS;GRB2;RAC1;RAF1;HRAS
KEGG_2019_Human	Colorectal cancer	11/86	8.611006e-13	3.831898e-11	0	0	3.092482e+01	8.591091e+02	SMAD2;SMAD3;MYC;RAC3;KRAS;GRB2;RAC1;RAF1;HRAS;RHOA;EGFR
KEGG_2019_Human	Ras signaling pathway	15/232	1.299405e-12	4.625883e-11	0	0	1.511367e+01	4.136478e+02	KSR1;GAB2;EGFR;RHOA;CDC42;TIAM1;KIT;NF1;RAC3;GRB2;KRAS;RAC1;RAF1;CALM1;HRAS
KEGG_2019_Human	Fc epsilon RI signaling pathway	10/68	2.316576e-12	6.872507e-11	0	0	3.600181e+01	9.645221e+02	LYN;BTK;RAC3;LCP2;KRAS;GRB2;RAC1;GAB2;RAF1;HRAS
KEGG_2019_Human	Rap1 signaling pathway	14/206	3.907827e-12	8.884760e-11	0	0	1.578766e+01	4.147109e+02	EGFR;ACTB;RHOA;CDC42;TIAM1;KIT;RAC3;LCP2;KRAS;RAC1;PFN1;RAF1;CALM1;HRAS
KEGG_2019_Human	Pathways in cancer	20/530	3.993151e-12	8.884760e-11	0	0	8.943483e+00	2.347346e+02	SMAD2;SMAD3;HSP90AB1;PML;EGFR;ESR2;RHOA;CDC42;MYC;TRAF6;ERBB2;KIT;RAC3;GRB2;KRAS;RAC1;RAF1;CALM1;HRAS;BIRC3
KEGG_2019_Human	Neurotrophin signaling pathway	11/119	3.217507e-11	6.363513e-10	0	0	2.143981e+01	5.179823e+02	CDC42;RPS6KA6;TRAF6;RPS6KA1;GRB2;KRAS;RAC1;RAF1;CALM1;HRAS;RHOA
KEGG_2019_Human	Focal adhesion	13/199	3.958541e-11	7.046204e-10	0	0	1.497294e+01	3.586403e+02	CAV1;EGFR;ACTB;RHOA;CDC42;ERBB2;FLNA;RAC3;GRB2;RAC1;RAF1;HRAS;BIRC3
