Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	22/201	3.593730e-19	7.367147e-17	0	0	1.803677e+01	7.660203e+02	LYN;USP7;CREBBP;YWHAB;CDKN2A;SRC;PXN;PIK3R3;YWHAZ;CDC42;CREB1;PKM;CDK4;CDK2;CDK1;REL;EP300;MAPK1;TP53;HRAS;YWHAG;MAPK3
KEGG_2019_Human	Hepatitis B	18/163	6.218390e-16	6.373850e-14	0	0	1.772024e+01	6.204538e+02	CREBBP;CHUK;YWHAB;SRC;ARAF;PIK3R3;PRKCA;YWHAZ;MAVS;CREB1;TRAF6;CDK2;AKT1;EP300;MAPK1;TP53;HRAS;MAPK3
KEGG_2019_Human	Prostate cancer	15/97	1.083235e-15	7.402107e-14	0	0	2.563830e+01	8.834656e+02	CREBBP;HSP90AB1;CHUK;ARAF;PTEN;PIK3R3;HSP90B1;CREB1;CDK2;AKT1;EP300;MAPK1;TP53;HRAS;MAPK3
KEGG_2019_Human	Hepatitis C	17/155	4.667670e-15	2.392181e-13	0	0	1.746439e+01	5.762921e+02	CHUK;YWHAB;ARAF;PIK3R3;CFLAR;YWHAZ;MAVS;CDK4;PSME3;TRAF6;CDK2;AKT1;MAPK1;TP53;HRAS;YWHAG;MAPK3
KEGG_2019_Human	Pathways in cancer	27/530	8.009349e-15	3.283833e-13	0	0	8.047945e+00	2.612215e+02	HSP90AB1;ARAF;PTEN;PIK3R3;HSP90B1;CDC42;PLCG2;AKT1;EP300;MAPK1;HRAS;MAPK3;CREBBP;CHUK;CDKN2A;DAPK1;DAPK3;PRKCA;PTK2;BCR;MSH2;CDK4;TRAF6;CDK2;CALM1;TP53;BCL2L1
KEGG_2019_Human	Glioma	13/75	1.987976e-14	6.792253e-13	0	0	2.900587e+01	9.151082e+02	CDKN2A;ARAF;PTEN;PIK3R3;PRKCA;CDK4;PLCG2;AKT1;MAPK1;CALM1;HRAS;TP53;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	16/168	2.863305e-13	8.385393e-12	0	0	1.480602e+01	4.276218e+02	SMARCD1;SMARCB1;CDKN2A;ARAF;PTEN;PIK3R3;PRKCA;ACTB;CDK4;PLCG2;AKT1;MAPK1;TP53;HRAS;BCL2L1;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	17/201	3.537841e-13	9.065718e-12	0	0	1.306772e+01	3.746527e+02	DDX5;SRC;PXN;ARAF;PIK3R3;PRKCA;ACTB;PTK2;CDC42;PPP1CC;ERBB3;PLCG2;AKT1;MAPK1;TP53;HRAS;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	21/354	5.536366e-13	1.163001e-11	0	0	9.114248e+00	2.572247e+02	HSP90AB1;CHUK;YWHAB;PTEN;PIK3R3;PRKCA;YWHAZ;PTK2;HSP90B1;CREB1;ERBB3;CDK4;CDC37;CDK2;AKT1;MAPK1;TP53;HRAS;YWHAG;BCL2L1;MAPK3
KEGG_2019_Human	Bladder cancer	10/41	5.673176e-13	1.163001e-11	0	0	4.377596e+01	1.234388e+03	SRC;CDKN2A;DAPK1;CDK4;DAPK3;ARAF;MAPK1;HRAS;TP53;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	12/76	6.670460e-13	1.243131e-11	0	0	2.575521e+01	7.220709e+02	BCR;CHUK;CDKN2A;CDK4;ARAF;AKT1;PIK3R3;MAPK1;HRAS;TP53;MAPK3;BCL2L1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	17/212	8.444950e-13	1.351801e-11	0	0	1.232367e+01	3.425984e+02	CHUK;PXN;PIK3R3;PRKCA;CDC25C;PTK2;CUL4A;TRAF6;PLCG2;CDK1;AKT1;MAPK1;CALM1;HRAS;BCL2L1;CUL4B;MAPK3
KEGG_2019_Human	Cell cycle	14/124	8.883214e-13	1.351801e-11	0	0	1.768732e+01	4.908134e+02	CREBBP;CCNH;YWHAB;CDKN2A;TTK;CDC25C;YWHAZ;CDK7;CDK4;CDK2;CDK1;EP300;TP53;YWHAG
KEGG_2019_Human	VEGF signaling pathway	11/59	9.231812e-13	1.351801e-11	0	0	3.128678e+01	8.669865e+02	CDC42;SRC;PXN;PLCG2;AKT1;PIK3R3;MAPK1;PRKCA;HRAS;PTK2;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	16/186	1.393615e-12	1.833691e-11	0	0	1.322622e+01	3.610641e+02	LYN;CREBBP;CHUK;SRC;PIK3R3;CREB1;UBB;CDK4;PLCG2;AKT1;EP300;MAPK1;CALM1;TP53;HRAS;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	17/219	1.431173e-12	1.833691e-11	0	0	1.189237e+01	3.243350e+02	CREBBP;CHUK;TRRAP;CDKN2A;PTEN;PIK3R3;CREB1;CDK4;CDK2;CANX;AKT1;EP300;MAPK1;TP53;HRAS;BCL2L1;MAPK3
KEGG_2019_Human	ErbB signaling pathway	12/85	2.664145e-12	3.212645e-11	0	0	2.256963e+01	6.015064e+02	ERBB3;SRC;ARAF;PLCG2;AKT1;PIK3R3;MAPK1;CBLB;PRKCA;HRAS;PTK2;MAPK3
