Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	29/530	8.631173e-20	1.614029e-17	0	0	1.206046e+01	5.294098e+02	CAMK2B;HSP90AB1;CUL2;ARAF;ETS1;HIF1A;GNAI1;GNAI2;CASP9;NRAS;FRAT2;ABL1;CTNNA1;MAPK1;HRAS;JAK1;EGLN1;GADD45A;ARNT;CCNA1;RAD51;TRAF6;CTNNB1;KRAS;RAF1;FGFR3;SOS2;FGFR1;BCL2L1
KEGG_2019_Human	Renal cell carcinoma	12/69	1.003634e-14	9.383973e-13	0	0	3.793493e+01	1.222740e+03	EGLN1;NRAS;CUL2;ARAF;ARNT;MAPK1;KRAS;RAF1;ETS1;HRAS;SOS2;HIF1A
KEGG_2019_Human	Fanconi anemia pathway	11/54	2.106927e-14	1.313318e-12	0	0	4.571234e+01	1.439526e+03	RAD51;FANCM;FANCL;FANCC;BRCA1;FANCB;FANCE;PALB2;FANCG;FAAP100;FANCF
KEGG_2019_Human	Endometrial cancer	11/58	4.910478e-14	2.295649e-12	0	0	4.181349e+01	1.281367e+03	CASP9;NRAS;GADD45A;ARAF;CTNNA1;MAPK1;CTNNB1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Prostate cancer	12/97	7.037301e-13	2.631950e-11	0	0	2.540278e+01	7.108303e+02	CASP9;NRAS;HSP90AB1;CREB1;ARAF;MAPK1;CTNNB1;KRAS;RAF1;HRAS;SOS2;FGFR1
KEGG_2019_Human	Chronic myeloid leukemia	10/76	3.334597e-11	1.039283e-09	0	0	2.680195e+01	6.465724e+02	NRAS;GADD45A;ARAF;ABL1;MAPK1;KRAS;RAF1;HRAS;SOS2;BCL2L1
KEGG_2019_Human	Alcoholism	13/180	7.690368e-11	2.054427e-09	0	0	1.407697e+01	3.278309e+02	ARAF;GNAI1;GNAI2;NRAS;CREB1;HIST4H4;HIST1H2AE;MAPK1;KRAS;RAF1;HIST1H2BB;SOS2;HRAS
KEGG_2019_Human	Breast cancer	12/147	1.025355e-10	2.169360e-09	0	0	1.595394e+01	3.669536e+02	NRAS;FRAT2;GADD45A;ARAF;CTNNB1;MAPK1;KRAS;BRCA1;RAF1;SOS2;HRAS;FGFR1
KEGG_2019_Human	ErbB signaling pathway	10/85	1.044077e-10	2.169360e-09	0	0	2.357500e+01	5.418176e+02	CAMK2B;NRAS;ERBB3;ARAF;ABL1;MAPK1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Colorectal cancer	10/86	1.175440e-10	2.198073e-09	0	0	2.326363e+01	5.319044e+02	CASP9;NRAS;GADD45A;ARAF;MAPK1;CTNNB1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Non-small cell lung cancer	9/66	2.396334e-10	4.073767e-09	0	0	2.769585e+01	6.135161e+02	CASP9;NRAS;GADD45A;ARAF;MAPK1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Proteoglycans in cancer	13/201	3.041435e-10	4.739570e-09	0	0	1.249122e+01	2.737265e+02	CAMK2B;ARAF;HIF1A;NRAS;ERBB3;FLNA;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;FGFR1
KEGG_2019_Human	Hepatitis B	12/163	3.419890e-10	4.919380e-09	0	0	1.425190e+01	3.106378e+02	CASP9;CCNA1;NRAS;CREB1;TRAF6;ARAF;MAPK1;KRAS;RAF1;SOS2;HRAS;JAK1
KEGG_2019_Human	Hepatocellular carcinoma	12/168	4.851562e-10	6.206204e-09	0	0	1.379161e+01	2.957824e+02	NRAS;FRAT2;GADD45A;ARAF;CTNNB1;MAPK1;KRAS;RAF1;BRD7;SOS2;HRAS;BCL2L1
KEGG_2019_Human	PI3K-Akt signaling pathway	16/354	4.978238e-10	6.206204e-09	0	0	8.726136e+00	1.869206e+02	HSP90AB1;BRCA1;CASP9;NRAS;CREB1;ERBB3;CDC37;MAPK1;KRAS;RAF1;FGFR3;SOS2;HRAS;FGFR1;BCL2L1;JAK1
KEGG_2019_Human	Melanogenesis	10/101	5.907677e-10	6.904597e-09	0	0	1.941425e+01	4.125449e+02	CAMK2B;NRAS;CREB1;MAPK1;CTNNB1;KRAS;RAF1;HRAS;GNAI1;GNAI2
KEGG_2019_Human	Glioma	9/75	7.766741e-10	8.068781e-09	0	0	2.390829e+01	5.015002e+02	CAMK2B;NRAS;GADD45A;ARAF;MAPK1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Pancreatic cancer	9/75	7.766741e-10	8.068781e-09	0	0	2.390829e+01	5.015002e+02	CASP9;RAD51;GADD45A;ARAF;MAPK1;KRAS;RAF1;JAK1;BCL2L1
KEGG_2019_Human	Gastric cancer	11/149	1.869444e-09	1.839927e-08	0	0	1.417548e+01	2.848935e+02	NRAS;FRAT2;GADD45A;ARAF;CTNNA1;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS
KEGG_2019_Human	Hepatitis C	11/155	2.841249e-09	2.656509e-08	0	0	1.358071e+01	2.672550e+02	CASP9;NRAS;TRAF6;ARAF;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;JAK1
KEGG_2019_Human	Long-term depression	8/60	2.983246e-09	2.656509e-08	0	0	2.675574e+01	5.252219e+02	NRAS;ARAF;MAPK1;KRAS;RAF1;HRAS;GNAI1;GNAI2
KEGG_2019_Human	Gap junction	9/88	3.306740e-09	2.810729e-08	0	0	1.996091e+01	3.897826e+02	NRAS;CDK1;MAPK1;KRAS;RAF1;HRAS;SOS2;GNAI1;GNAI2
KEGG_2019_Human	Bladder cancer	7/41	4.999685e-09	4.064961e-08	0	0	3.552634e+01	6.790466e+02	NRAS;ARAF;MAPK1;KRAS;RAF1;HRAS;FGFR3
KEGG_2019_Human	Central carbon metabolism in cancer	8/65	5.737624e-09	4.470565e-08	0	0	2.440259e+01	4.630688e+02	NRAS;MAPK1;KRAS;RAF1;HRAS;HIF1A;FGFR3;FGFR1
KEGG_2019_Human	Autophagy	10/128	6.077107e-09	4.545676e-08	0	0	1.495157e+01	2.828649e+02	NRAS;STX17;ATG16L1;TRAF6;MAPK1;KRAS;RAF1;HIF1A;HRAS;BCL2L1
KEGG_2019_Human	Acute myeloid leukemia	8/66	6.495980e-09	4.672109e-08	0	0	2.398064e+01	4.520850e+02	CCNA1;NRAS;ARAF;MAPK1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Progesterone-mediated oocyte maturation	9/99	9.472450e-09	6.560549e-08	0	0	1.751150e+01	3.235229e+02	CCNA1;HSP90AB1;ARAF;CDK1;MAPK1;KRAS;RAF1;GNAI1;GNAI2
