Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	28/530	6.279139e-18	1.086291e-15	0	0	1.059105e+01	4.195040e+02	CAMK2B;HSP90AB1;IL5RA;PIK3R1;CBL;ETS1;EGFR;CDC42;ABL1;DVL2;AKT1;DVL3;RAC1;JAK1;STAT5A;NTRK1;HSP90AA1;ESR1;PML;RHOA;TGFBR2;AR;MDM2;GRB2;IL6ST;RAF1;IL7R;TP53
KEGG_2019_Human	JAK-STAT signaling pathway	16/162	8.876775e-15	7.678410e-13	0	0	1.896083e+01	6.134840e+02	STAT5A;CNTFR;IL5RA;PTPN11;STAM;PIK3R1;EGFR;GFAP;AKT1;GRB2;IL6ST;RAF1;IL7R;IL13RA2;STAM2;JAK1
KEGG_2019_Human	Neurotrophin signaling pathway	13/119	8.740603e-13	5.040414e-11	0	0	2.071698e+01	5.752200e+02	YWHAE;CAMK2B;NTRK1;PTPN11;PIK3R1;RHOA;CDC42;ABL1;AKT1;GRB2;RAC1;RAF1;TP53
KEGG_2019_Human	Chronic myeloid leukemia	11/76	2.278378e-12	9.853985e-11	0	0	2.816484e+01	7.550304e+02	STAT5A;ABL1;MDM2;AKT1;PTPN11;GRB2;PIK3R1;RAF1;CBL;TP53;TGFBR2
KEGG_2019_Human	FoxO signaling pathway	13/132	3.358363e-12	1.161993e-10	0	0	1.844164e+01	4.872202e+02	INSR;IRS2;PIK3R1;SIRT1;EGFR;GABARAP;TGFBR2;BCL6;MDM2;AKT1;GRB2;RAF1;IL7R
KEGG_2019_Human	Proteoglycans in cancer	14/201	5.353911e-11	1.543711e-09	0	0	1.270339e+01	3.004430e+02	CAMK2B;PTPN11;PIK3R1;CBL;ESR1;EGFR;RHOA;CDC42;MDM2;AKT1;GRB2;RAC1;RAF1;TP53
KEGG_2019_Human	Osteoclast differentiation	11/127	6.693743e-10	1.420677e-08	0	0	1.574138e+01	3.325316e+02	CYLD;TEC;BTK;AKT1;GRB2;FYN;PIK3R1;RAC1;JAK1;TNFRSF1A;TGFBR2
KEGG_2019_Human	Viral carcinogenesis	13/201	6.753169e-10	1.420677e-08	0	0	1.163239e+01	2.456276e+02	STAT5A;YWHAE;HDAC4;HDAC3;PIK3R1;RHOA;CDC42;MDM2;GRB2;RAC1;IL6ST;TP53;JAK1
KEGG_2019_Human	Prostate cancer	10/97	7.390805e-10	1.420677e-08	0	0	1.894923e+01	3.984193e+02	AR;HSP90AA1;HSP90AB1;MDM2;AKT1;GRB2;PIK3R1;RAF1;TP53;EGFR
KEGG_2019_Human	Adherens junction	9/72	9.430380e-10	1.631456e-08	0	0	2.338489e+01	4.859827e+02	CDC42;FER;CSNK2A1;INSR;FYN;RAC1;RHOA;EGFR;TGFBR2
KEGG_2019_Human	Pancreatic cancer	9/75	1.368987e-09	2.153044e-08	0	0	2.231856e+01	4.555038e+02	CDC42;AKT1;RAC1;PIK3R1;RAF1;TP53;EGFR;JAK1;TGFBR2
KEGG_2019_Human	Ras signaling pathway	13/232	3.882595e-09	5.597408e-08	0	0	9.970066e+00	1.930879e+02	NTRK1;INSR;PTPN11;PIK3R1;ETS1;EGFR;RHOA;CDC42;ABL1;AKT1;GRB2;RAC1;RAF1
KEGG_2019_Human	ErbB signaling pathway	9/85	4.249579e-09	5.655209e-08	0	0	1.937212e+01	3.734256e+02	CAMK2B;STAT5A;ABL1;AKT1;GRB2;PIK3R1;RAF1;CBL;EGFR
KEGG_2019_Human	Colorectal cancer	9/86	4.720460e-09	5.833140e-08	0	0	1.911957e+01	3.665481e+02	AKT1;GRB2;RAC1;PIK3R1;RAF1;TP53;RHOA;EGFR;TGFBR2
KEGG_2019_Human	Endocytosis	13/244	7.125004e-09	8.217504e-08	0	0	9.446368e+00	1.772106e+02	SMURF1;ARRB1;STAM;CBL;PML;EGFR;RHOA;TGFBR2;CDC42;HGS;MDM2;CHMP4B;STAM2
KEGG_2019_Human	PI3K-Akt signaling pathway	15/354	1.046169e-08	1.131170e-07	0	0	7.514813e+00	1.380888e+02	YWHAE;NTRK1;HSP90AA1;HSP90AB1;INSR;PIK3R1;EGFR;MDM2;AKT1;GRB2;RAC1;RAF1;IL7R;TP53;JAK1
KEGG_2019_Human	Renal cell carcinoma	8/69	1.537264e-08	1.564392e-07	0	0	2.129428e+01	3.830984e+02	CDC42;AKT1;PTPN11;GRB2;RAC1;PIK3R1;RAF1;ETS1
KEGG_2019_Human	Glioma	8/75	3.002364e-08	2.885606e-07	0	0	1.938145e+01	3.357116e+02	CAMK2B;MDM2;AKT1;GRB2;PIK3R1;RAF1;TP53;EGFR
KEGG_2019_Human	Breast cancer	10/147	4.244938e-08	3.865128e-07	0	0	1.200304e+01	2.037511e+02	CSNK1A1;DVL2;AKT1;DVL3;GRB2;PIK3R1;RAF1;TP53;ESR1;EGFR
KEGG_2019_Human	Gastric cancer	10/149	4.826977e-08	4.175335e-07	0	0	1.182914e+01	1.992791e+02	CSNK1A1;DVL2;AKT1;DVL3;GRB2;PIK3R1;RAF1;TP53;EGFR;TGFBR2
KEGG_2019_Human	Hepatocellular carcinoma	10/168	1.497051e-07	1.233285e-06	0	0	1.039662e+01	1.633788e+02	CSNK1A1;DVL2;AKT1;DVL3;GRB2;PIK3R1;RAF1;TP53;EGFR;TGFBR2
KEGG_2019_Human	Non-small cell lung cancer	7/66	2.359029e-07	1.847555e-06	0	0	1.910941e+01	2.916067e+02	STAT5A;AKT1;GRB2;PIK3R1;RAF1;TP53;EGFR
KEGG_2019_Human	Human papillomavirus infection	13/330	2.456287e-07	1.847555e-06	0	0	6.853488e+00	1.043063e+02	CSNK1A1;PIK3R1;EGFR;TNFRSF1A;CDC42;MDM2;DVL2;AKT1;DVL3;GRB2;RAF1;TP53;JAK1
KEGG_2019_Human	Human cytomegalovirus infection	11/225	2.572966e-07	1.854680e-06	0	0	8.490379e+00	1.288248e+02	MDM2;AKT1;GRB2;PIK3R1;RAC1;RAF1;TP53;EGFR;RHOA;TNFRSF1A;JAK1
KEGG_2019_Human	Estrogen signaling pathway	9/137	2.784381e-07	1.879326e-06	0	0	1.147198e+01	1.731588e+02	HSP90AA1;HSP90AB1;AKT1;GRB2;PIK3R1;RAF1;KRT31;ESR1;EGFR
KEGG_2019_Human	Fc epsilon RI signaling pathway	7/68	2.905101e-07	1.879326e-06	0	0	1.848101e+01	2.781692e+02	BTK;AKT1;FYN;GRB2;RAC1;PIK3R1;RAF1
KEGG_2019_Human	Axon guidance	10/181	2.997288e-07	1.879326e-06	0	0	9.599903e+00	1.441943e+02	CDC42;CAMK2B;ABL1;PTPN11;FYN;PIK3R1;RAC1;RAF1;RHOA;RND1
KEGG_2019_Human	T cell receptor signaling pathway	8/101	3.123230e-07	1.879326e-06	0	0	1.394465e+01	2.088801e+02	CDC42;TEC;AKT1;GRB2;FYN;PIK3R1;RAF1;RHOA
