Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Breast cancer	11/147	2.704463e-09	2.325924e-07	0	0	1.364354e+01	2.691647e+02	CSNK1A1;DVL2;E2F2;DVL3;CTNNB1;MAPK1;E2F3;GRB2;FOS;ESR1;ESR2
KEGG_2019_Human	Transcriptional misregulation in cancer	12/186	2.720379e-09	2.325924e-07	0	0	1.171106e+01	2.309713e+02	TLX3;BCL6;MAX;PAX7;LMO2;PPARG;ERG;ETV4;KLF3;RELA;MEN1;KDM6A
KEGG_2019_Human	Prostate cancer	8/97	2.025128e-07	9.113303e-06	0	0	1.481873e+01	2.283931e+02	AR;E2F2;MAPK1;CTNNB1;GRB2;E2F3;ERG;RELA
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	9/139	2.759779e-07	9.113303e-06	0	0	1.148533e+01	1.734623e+02	DVL2;DVL3;CTNNB1;MAPK1;GRB2;PAX6;HNF1A;MAPK14;KLF4
KEGG_2019_Human	Pathways in cancer	16/530	2.861080e-07	9.113303e-06	0	0	5.380211e+00	8.106309e+01	MAX;FOS;ESR1;ETS1;RELA;ESR2;AR;DVL2;STAT4;E2F2;DVL3;CTNNB1;MAPK1;E2F3;GRB2;PPARG
KEGG_2019_Human	Prolactin signaling pathway	7/70	3.197650e-07	9.113303e-06	0	0	1.819008e+01	2.720450e+02	MAPK1;GRB2;FOS;MAPK14;ESR1;RELA;ESR2
KEGG_2019_Human	Cushing syndrome	9/155	6.943053e-07	1.696089e-05	0	0	1.021837e+01	1.449001e+02	KMT2D;DVL2;WDR5;E2F2;DVL3;CTNNB1;MAPK1;E2F3;MEN1
KEGG_2019_Human	Gastric cancer	8/149	5.284990e-06	1.129667e-04	0	0	9.329078e+00	1.133543e+02	CSNK1A1;DVL2;E2F2;DVL3;CTNNB1;MAPK1;E2F3;GRB2
KEGG_2019_Human	Hepatitis B	8/163	1.023072e-05	1.943837e-04	0	0	8.480430e+00	9.744112e+01	STAT4;E2F2;MAPK1;E2F3;GRB2;FOS;MAPK14;RELA
KEGG_2019_Human	Hepatocellular carcinoma	8/168	1.275277e-05	2.180724e-04	0	0	8.213333e+00	9.256231e+01	CSNK1A1;DVL2;E2F2;DVL3;CTNNB1;MAPK1;E2F3;GRB2
KEGG_2019_Human	Maturity onset diabetes of the young	4/26	2.145297e-05	3.334962e-04	0	0	2.910557e+01	3.128746e+02	HNF4A;PAX6;HNF1B;HNF1A
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	8/186	2.659660e-05	3.653017e-04	0	0	7.376030e+00	7.770446e+01	E2F2;CTNNB1;MAPK1;E2F3;FOS;MAPK14;RELA;GABARAP
KEGG_2019_Human	Th1 and Th2 cell differentiation	6/92	2.777147e-05	3.653017e-04	0	0	1.131491e+01	1.187104e+02	STAT4;MAPK1;FOS;GATA3;MAPK14;RELA
KEGG_2019_Human	Thyroid hormone signaling pathway	6/116	1.019881e-04	1.245712e-03	0	0	8.835469e+00	8.120375e+01	HDAC3;MAPK1;CTNNB1;ATP1A1;MED4;ESR1
KEGG_2019_Human	Chronic myeloid leukemia	5/76	1.274897e-04	1.453383e-03	0	0	1.133688e+01	1.016632e+02	E2F2;MAPK1;E2F3;GRB2;RELA
KEGG_2019_Human	Osteoclast differentiation	6/127	1.678043e-04	1.793408e-03	0	0	8.027774e+00	6.978313e+01	MAPK1;GRB2;PPARG;FOS;MAPK14;RELA
KEGG_2019_Human	mRNA surveillance pathway	5/91	2.973059e-04	2.990547e-03	0	0	9.352430e+00	7.594873e+01	WDR82;CSTF2;CSTF2T;SMG7;SRRM1
KEGG_2019_Human	T cell receptor signaling pathway	5/101	4.812730e-04	4.411750e-03	0	0	8.373984e+00	6.396950e+01	MAPK1;GRB2;FOS;MAPK14;RELA
