Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Spliceosome	28/134	8.025173e-32	1.019197e-29	0	0	3.860713e+01	2.764276e+03	TCERG1;SF3B2;SF3B3;SF3B6;EIF4A3;PRPF19;PRPF8;PUF60;U2AF2;MAGOH;DHX15;SF3B1;SF3A3;SF3A1;SF3A2;CDC5L;PRPF40A;HNRNPM;SNRNP40;HNRNPK;SNW1;SNRPG;SRSF3;SNRPE;SNRPA1;PRPF31;SRSF6;RBMX
KEGG_2019_Human	Cell cycle	12/124	4.137328e-10	2.627203e-08	0	0	1.399598e+01	3.023943e+02	YWHAE;STAG2;MCM7;MDM2;EP300;MCM4;MCM5;SMC3;SMC1A;YWHAZ;YWHAG;MCM2
KEGG_2019_Human	DNA replication	6/36	4.250935e-07	1.799563e-05	0	0	2.523185e+01	3.701753e+02	MCM7;RPA1;RPA2;MCM4;MCM5;MCM2
KEGG_2019_Human	Ribosome	9/153	4.652481e-06	1.477163e-04	0	0	7.992289e+00	9.813020e+01	RPS19;RPL31;RPS8;RPLP0;RPL13;RPSA;RPL26;RPS10;RPL19
KEGG_2019_Human	Viral carcinogenesis	10/201	6.100704e-06	1.549579e-04	0	0	6.722787e+00	8.072122e+01	YWHAE;HDAC5;HNRNPK;SNW1;HIST4H4;MDM2;EP300;CHD4;YWHAZ;YWHAG
KEGG_2019_Human	Oocyte meiosis	7/125	7.479713e-05	1.583206e-03	0	0	7.498533e+00	7.124155e+01	YWHAE;SMC3;CALM1;SMC1A;YWHAZ;YWHAG;PPP1CA
KEGG_2019_Human	Transcriptional misregulation in cancer	7/186	8.459362e-04	1.534770e-02	0	0	4.927876e+00	3.486505e+01	CDK9;HIST1H3A;TAF15;EWSR1;FUS;H3F3A;MDM2
KEGG_2019_Human	Adherens junction	4/72	2.844470e-03	4.515595e-02	0	0	7.313725e+00	4.287583e+01	YES1;CSNK2A1;EP300;ACTB
KEGG_2019_Human	Alcoholism	6/180	3.623419e-03	5.113046e-02	0	0	4.318691e+00	2.427250e+01	HDAC5;HIST1H3A;HIST4H4;H3F3A;CALM1;PPP1CA
KEGG_2019_Human	Homologous recombination	3/41	4.514437e-03	5.733335e-02	0	0	9.769243e+00	5.275855e+01	RPA1;RPA2;BRCA1
KEGG_2019_Human	mRNA surveillance pathway	4/91	6.560636e-03	6.864950e-02	0	0	5.710981e+00	2.870720e+01	NUDT21;EIF4A3;MAGOH;PPP1CA
KEGG_2019_Human	Nucleotide excision repair	3/47	6.627029e-03	6.864950e-02	0	0	8.434517e+00	4.231259e+01	RPA1;RPA2;ERCC6
KEGG_2019_Human	Notch signaling pathway	3/48	7.027115e-03	6.864950e-02	0	0	8.246667e+00	4.088680e+01	SNW1;CTBP1;EP300
KEGG_2019_Human	Hepatitis C	5/155	8.873513e-03	8.010118e-02	0	0	4.153376e+00	1.962339e+01	YWHAE;PSME3;IKBKE;YWHAZ;YWHAG
KEGG_2019_Human	Fanconi anemia pathway	3/54	9.726382e-03	8.010118e-02	0	0	7.274265e+00	3.370104e+01	RPA1;RPA2;BRCA1
KEGG_2019_Human	Hippo signaling pathway	5/160	1.009149e-02	8.010118e-02	0	0	4.018375e+00	1.846870e+01	YWHAE;YWHAZ;ACTB;YWHAG;PPP1CA
KEGG_2019_Human	Mismatch repair	2/23	1.492846e-02	1.061377e-01	0	0	1.172198e+01	4.928488e+01	RPA1;RPA2
KEGG_2019_Human	Thyroid hormone signaling pathway	4/116	1.504314e-02	1.061377e-01	0	0	4.430593e+00	1.859446e+01	MDM2;EP300;ESR1;ACTB
KEGG_2019_Human	Long-term potentiation	3/67	1.740073e-02	1.163101e-01	0	0	5.792871e+00	2.346833e+01	EP300;CALM1;PPP1CA
KEGG_2019_Human	Ubiquitin mediated proteolysis	4/137	2.591128e-02	1.641249e-01	0	0	3.727053e+00	1.361521e+01	CUL3;MDM2;BRCA1;PRPF19
KEGG_2019_Human	Fluid shear stress and atherosclerosis	4/139	2.713876e-02	1.641249e-01	0	0	3.671465e+00	1.324221e+01	SUMO1;SUMO2;CALM1;ACTB
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	3/85	3.229067e-02	1.864052e-01	0	0	4.517149e+00	1.550727e+01	ACTC1;LMNA;ACTB
KEGG_2019_Human	Dilated cardiomyopathy (DCM)	3/91	3.835369e-02	2.117791e-01	0	0	4.207884e+00	1.372151e+01	ACTC1;LMNA;ACTB
KEGG_2019_Human	Wnt signaling pathway	4/158	4.052687e-02	2.144547e-01	0	0	3.215388e+00	1.030786e+01	CSNK2A1;CTBP1;CSNK1A1;EP300
KEGG_2019_Human	RNA transport	4/165	4.625439e-02	2.349723e-01	0	0	3.074495e+00	9.449765e+00	SUMO1;MAGOH;EIF4A3;SUMO2
KEGG_2019_Human	Influenza A	4/171	5.150464e-02	2.507935e-01	0	0	2.963130e+00	8.788891e+00	EP300;IKBKE;ACTB;KPNA1
KEGG_2019_Human	C-type lectin receptor signaling pathway	3/104	5.331830e-02	2.507935e-01	0	0	3.663861e+00	1.074052e+01	MDM2;CALM1;IKBKE
KEGG_2019_Human	Hedgehog signaling pathway	2/47	5.621059e-02	2.549552e-01	0	0	5.463630e+00	1.572788e+01	CSNK1A1;CUL3
KEGG_2019_Human	Pathogenic Escherichia coli infection	2/55	7.406592e-02	3.243576e-01	0	0	4.637056e+00	1.206933e+01	YWHAZ;ACTB
KEGG_2019_Human	Proteoglycans in cancer	4/201	8.237960e-02	3.487403e-01	0	0	2.508061e+00	6.261168e+00	MDM2;ESR1;ACTB;PPP1CA
KEGG_2019_Human	Systemic lupus erythematosus	3/133	9.501178e-02	3.885017e-01	0	0	2.842356e+00	6.690207e+00	HIST1H3A;HIST4H4;H3F3A
