Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Non-homologous end-joining	5/13	3.892961e-09	6.189807e-07	0	0	1.281572e+02	2.481649e+03	XRCC6;RAD50;MRE11;XRCC5;PRKDC
KEGG_2019_Human	Ubiquitin mediated proteolysis	9/137	3.404330e-08	1.824897e-06	0	0	1.494708e+01	2.570244e+02	CUL4A;DET1;FZR1;FBXW7;AIRE;CUL3;UBR5;BRCA1;CUL4B
KEGG_2019_Human	Prostate cancer	8/97	3.443202e-08	1.824897e-06	0	0	1.894239e+01	3.255112e+02	CREBBP;HSP90AB1;CCND1;PTEN;EP300;ERG;TP53;HRAS
KEGG_2019_Human	Pathways in cancer	15/530	7.673876e-08	3.050366e-06	0	0	6.489120e+00	1.063103e+02	NTRK1;CREBBP;JUN;HSP90AB1;NCOA3;PTEN;ESR1;HIF1A;MSH6;CCND1;MSH3;EP300;TP53;HRAS;NFE2L2
KEGG_2019_Human	Thyroid hormone signaling pathway	8/116	1.397963e-07	4.445521e-06	0	0	1.559496e+01	2.461364e+02	CREBBP;CCND1;NCOA3;EP300;TP53;ESR1;HIF1A;HRAS
KEGG_2019_Human	Breast cancer	8/147	8.611217e-07	1.951662e-05	0	0	1.209796e+01	1.689484e+02	JUN;CCND1;NCOA3;PTEN;BRCA1;TP53;ESR1;HRAS
KEGG_2019_Human	Viral carcinogenesis	9/201	8.940527e-07	1.951662e-05	0	0	9.932460e+00	1.383343e+02	CREBBP;JUN;SNW1;CCND1;EP300;HIST1H2BG;TP53;HRAS;HDAC6
KEGG_2019_Human	Mitophagy	6/65	9.819685e-07	1.951662e-05	0	0	2.101589e+01	2.907277e+02	JUN;PINK1;HRAS;TP53;HIF1A;GABARAP
KEGG_2019_Human	Homologous recombination	5/41	2.024301e-06	3.576265e-05	0	0	2.843929e+01	3.728472e+02	BARD1;RAD50;MRE11;BRCA1;NBN
KEGG_2019_Human	Cell cycle	7/124	3.367309e-06	5.354022e-05	0	0	1.245767e+01	1.569840e+02	FZR1;CREBBP;CCND1;PRKDC;EP300;SMC3;TP53
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	8/186	5.008619e-06	6.793523e-05	0	0	9.428640e+00	1.150704e+02	CREBBP;JUN;CCND1;EP300;TP53;HIF1A;HRAS;GABARAP
KEGG_2019_Human	Colorectal cancer	6/86	5.127187e-06	6.793523e-05	0	0	1.548281e+01	1.885954e+02	MSH6;JUN;CCND1;MSH3;HRAS;TP53
KEGG_2019_Human	Estrogen signaling pathway	7/137	6.518544e-06	7.972681e-05	0	0	1.120453e+01	1.337918e+02	HSPA8;JUN;HSP90AB1;NCOA3;ESR1;HRAS;FKBP5
KEGG_2019_Human	Cellular senescence	7/160	1.796174e-05	2.039941e-04	0	0	9.509116e+00	1.039086e+02	RAD50;MRE11;CCND1;PTEN;NBN;TP53;HRAS
KEGG_2019_Human	Central carbon metabolism in cancer	5/65	2.025247e-05	2.146762e-04	0	0	1.704296e+01	1.841872e+02	NTRK1;PTEN;HRAS;TP53;HIF1A
KEGG_2019_Human	Renal cell carcinoma	5/69	2.711504e-05	2.694557e-04	0	0	1.597455e+01	1.679791e+02	JUN;CREBBP;EP300;HRAS;HIF1A
KEGG_2019_Human	Thyroid cancer	4/37	3.699941e-05	3.460533e-04	0	0	2.457019e+01	2.507292e+02	NTRK1;CCND1;HRAS;TP53
KEGG_2019_Human	FoxO signaling pathway	6/132	5.911754e-05	5.222049e-04	0	0	9.807540e+00	9.548604e+01	CREBBP;CCND1;PTEN;EP300;HRAS;GABARAP
KEGG_2019_Human	Fluid shear stress and atherosclerosis	6/139	7.878757e-05	6.593275e-04	0	0	9.288064e+00	8.776064e+01	JUN;HSP90AB1;SUMO1;TP53;PRKCZ;NFE2L2
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	7/219	1.312600e-04	1.043517e-03	0	0	6.842205e+00	6.115789e+01	CREBBP;JUN;CCND1;PTEN;EP300;TP53;HRAS
KEGG_2019_Human	MicroRNAs in cancer	8/299	1.476909e-04	1.118231e-03	0	0	5.734298e+00	5.057874e+01	CREBBP;CCND1;PTEN;EP300;KIF23;BRCA1;TP53;HRAS
KEGG_2019_Human	Protein processing in endoplasmic reticulum	6/165	2.016547e-04	1.457414e-03	0	0	7.759041e+00	6.602132e+01	HSPA8;GANAB;HSP90AB1;BAG2;HYOU1;NFE2L2
KEGG_2019_Human	Endometrial cancer	4/58	2.189626e-04	1.513698e-03	0	0	1.499924e+01	1.263928e+02	CCND1;PTEN;HRAS;TP53
KEGG_2019_Human	Human papillomavirus infection	8/330	2.883047e-04	1.910019e-03	0	0	5.174045e+00	4.217619e+01	CREBBP;CCND1;ATP6V1B2;PTEN;EP300;TP53;PRKCZ;HRAS
KEGG_2019_Human	Alcoholism	6/180	3.221506e-04	2.048878e-03	0	0	7.084770e+00	5.696503e+01	HIST1H3A;H2AFY;H2AFZ;HIST1H2BG;HRAS;HDAC6
KEGG_2019_Human	Melanoma	4/72	5.027544e-04	3.074537e-03	0	0	1.190276e+01	9.040634e+01	CCND1;PTEN;HRAS;TP53
KEGG_2019_Human	Glioma	4/75	5.870752e-04	3.457221e-03	0	0	1.139810e+01	8.480596e+01	CCND1;PTEN;HRAS;TP53
KEGG_2019_Human	Spliceosome	5/134	6.202882e-04	3.522351e-03	0	0	7.899385e+00	5.833953e+01	EFTUD2;HSPA8;SNW1;SNRNP70;CDC5L
KEGG_2019_Human	Apoptosis	5/143	8.320961e-04	4.562182e-03	0	0	7.380846e+00	5.234173e+01	NTRK1;JUN;PARP1;TP53;HRAS
KEGG_2019_Human	Bladder cancer	3/41	1.192596e-03	6.320757e-03	0	0	1.583732e+01	1.066109e+02	CCND1;HRAS;TP53
KEGG_2019_Human	Wnt signaling pathway	5/158	1.299113e-03	6.663195e-03	0	0	6.652180e+00	4.421087e+01	CREBBP;JUN;CCND1;EP300;TP53
KEGG_2019_Human	Hepatitis B	5/163	1.490993e-03	7.408373e-03	0	0	6.440037e+00	4.191377e+01	CREBBP;JUN;EP300;TP53;HRAS
KEGG_2019_Human	Hepatocellular carcinoma	5/168	1.702992e-03	8.037223e-03	0	0	6.240908e+00	3.978809e+01	CCND1;PTEN;TP53;HRAS;NFE2L2
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	4/100	1.718651e-03	8.037223e-03	0	0	8.419218e+00	5.359855e+01	JUN;CCND1;PRKCZ;HRAS
KEGG_2019_Human	Nucleotide excision repair	3/47	1.774372e-03	8.060718e-03	0	0	1.367355e+01	8.661251e+01	CUL4A;POLE;CUL4B
KEGG_2019_Human	Influenza A	5/171	1.840360e-03	8.103424e-03	0	0	6.127189e+00	3.858777e+01	HSPA8;CREBBP;JUN;EP300;TRIM25
KEGG_2019_Human	Notch signaling pathway	3/48	1.885702e-03	8.103424e-03	0	0	1.336902e+01	8.386997e+01	CREBBP;SNW1;EP300
