Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	29/530	2.646110e-18	4.384265e-16	0	0	1.037736e+01	4.200073e+02	CDKN1A;HDAC2;HSP90AB1;HDAC1;HHIP;PTEN;RELA;MAPK9;MAPK8;CCND1;ABL1;AKT1;EP300;MAPK1;IKBKG;CREBBP;MAP2K1;JUN;NCOA3;PTCH1;STAT3;ESR1;NFKB1;ESR2;AR;MSH2;MDM2;PPARG;NFE2L2
KEGG_2019_Human	Prostate cancer	16/97	4.739746e-18	4.384265e-16	0	0	3.229385e+01	1.288219e+03	MAP2K1;CREBBP;CDKN1A;HSP90AB1;PTEN;NFKB1;RELA;AR;ZEB1;CCND1;MDM2;AKT1;EP300;MAPK1;ERG;IKBKG
KEGG_2019_Human	Thyroid hormone signaling pathway	14/116	5.686209e-14	3.506496e-12	0	0	2.205117e+01	6.725199e+02	MAP2K1;CREBBP;HDAC2;HDAC3;HDAC1;NCOA3;ESR1;ACTB;NCOR1;CCND1;MDM2;AKT1;EP300;MAPK1
KEGG_2019_Human	Chronic myeloid leukemia	12/76	1.396049e-13	6.456725e-12	0	0	2.969850e+01	8.790744e+02	CDKN1A;MAP2K1;HDAC2;CCND1;HDAC1;ABL1;MDM2;AKT1;MAPK1;IKBKG;RELA;NFKB1
KEGG_2019_Human	Viral carcinogenesis	16/201	6.051727e-13	2.239139e-11	0	0	1.406513e+01	3.956981e+02	CREBBP;JUN;CDKN1A;HDAC2;HDAC3;HDAC1;STAT3;RELA;NFKB1;CCND1;HIST4H4;MDM2;EP300;MAPK1;IKBKG;YWHAH
KEGG_2019_Human	Prolactin signaling pathway	11/70	1.589904e-12	4.902203e-11	0	0	2.930374e+01	7.961049e+02	MAPK9;MAP2K1;MAPK8;CCND1;STAT3;AKT1;MAPK1;ESR1;RELA;NFKB1;ESR2
KEGG_2019_Human	Pancreatic cancer	11/75	3.496278e-12	9.240164e-11	0	0	2.700756e+01	7.124412e+02	MAPK9;CDKN1A;MAP2K1;MAPK8;CCND1;STAT3;AKT1;MAPK1;IKBKG;RELA;NFKB1
KEGG_2019_Human	FoxO signaling pathway	13/132	6.600237e-12	1.526305e-10	0	0	1.739442e+01	4.478004e+02	MAP2K1;CREBBP;CDKN1A;STAT3;PTEN;MAPK9;MAPK8;CCND1;MDM2;AKT1;EP300;MAPK1;ATM
KEGG_2019_Human	Fluid shear stress and atherosclerosis	13/139	1.280793e-11	2.632740e-10	0	0	1.642224e+01	4.118854e+02	PIAS4;JUN;HSP90AB1;CAV1;RELA;ACTB;NFKB1;MAPK9;MAPK8;SUMO1;AKT1;IKBKG;NFE2L2
KEGG_2019_Human	Apoptosis	13/143	1.840140e-11	3.404259e-10	0	0	1.591371e+01	3.933645e+02	MAP2K1;JUN;PARP1;RELA;ACTB;NFKB1;MAPK9;MAPK8;LMNA;AKT1;MAPK1;ATM;IKBKG
KEGG_2019_Human	MicroRNAs in cancer	17/299	2.481339e-11	4.173160e-10	0	0	9.836791e+00	2.402109e+02	CREBBP;MAP2K1;CDKN1A;UBE2I;HDAC1;STAT3;PTEN;BRCA1;NFKB1;ZEB1;CCND1;MDM2;ABL1;EP300;MAPK1;ATM;EZH2
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	15/219	2.882248e-11	4.443466e-10	0	0	1.184848e+01	2.875610e+02	CREBBP;MAP2K1;JUN;CDKN1A;PTEN;RELA;NFKB1;MAPK9;MAPK8;CCND1;AKT1;EP300;MAPK1;ATM;IKBKG
KEGG_2019_Human	Transcriptional misregulation in cancer	14/186	3.863613e-11	5.105489e-10	0	0	1.303054e+01	3.124310e+02	CDKN1A;HDAC2;HDAC1;LMO2;ETV1;RELA;NFKB1;HIST1H3A;ZEB1;NCOR1;MDM2;ATM;PPARG;ERG
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	14/186	3.863613e-11	5.105489e-10	0	0	1.303054e+01	3.124310e+02	CREBBP;MAP2K1;JUN;CDKN1A;STAT3;RELA;NFKB1;MAPK9;MAPK8;CCND1;AKT1;EP300;MAPK1;IKBKG
KEGG_2019_Human	Hepatitis B	13/163	9.647349e-11	1.189840e-09	0	0	1.377790e+01	3.177426e+02	CREBBP;MAP2K1;JUN;CDKN1A;STAT3;RELA;NFKB1;MAPK9;MAPK8;AKT1;EP300;MAPK1;IKBKG
KEGG_2019_Human	Influenza A	13/171	1.758091e-10	2.032793e-09	0	0	1.307498e+01	2.936853e+02	CREBBP;MAP2K1;JUN;RELA;ACTB;NFKB1;MAPK9;MAPK8;HNRNPUL1;AKT1;EP300;TRIM25;MAPK1
KEGG_2019_Human	Epstein-Barr virus infection	13/201	1.297665e-09	1.412165e-08	0	0	1.097182e+01	2.245130e+02	JUN;CDKN1A;HDAC2;HDAC1;STAT3;RELA;NFKB1;MAPK9;MAPK8;CCND1;MDM2;AKT1;IKBKG
KEGG_2019_Human	Breast cancer	11/147	5.561598e-09	5.716087e-08	0	0	1.266322e+01	2.406947e+02	MAP2K1;JUN;CDKN1A;CCND1;NCOA3;PTEN;AKT1;MAPK1;BRCA1;ESR1;ESR2
KEGG_2019_Human	Colorectal cancer	9/86	7.496067e-09	7.298802e-08	0	0	1.806757e+01	3.380242e+02	MAPK9;CDKN1A;MAP2K1;MAPK8;JUN;CCND1;MSH2;AKT1;MAPK1
KEGG_2019_Human	Human papillomavirus infection	15/330	8.419137e-09	7.787702e-08	0	0	7.629977e+00	1.418623e+02	CREBBP;MAP2K1;CDKN1A;HDAC2;HDAC1;PTEN;RELA;NFKB1;CCND1;MDM2;AKT1;EP300;MAPK1;ATM;IKBKG
KEGG_2019_Human	Hepatitis C	11/155	9.705490e-09	8.550074e-08	0	0	1.195486e+01	2.205741e+02	MAP2K1;CDKN1A;CCND1;STAT3;AKT1;MAPK1;IKBKG;RELA;NFKB1;PIAS1;YWHAH
KEGG_2019_Human	Cellular senescence	11/160	1.352520e-08	1.104446e-07	0	0	1.155076e+01	2.092849e+02	MAP2K1;CDKN1A;CCND1;MDM2;PTEN;AKT1;MAPK1;ATM;RELA;NFKB1;HIPK2
KEGG_2019_Human	Cell cycle	10/124	1.373095e-08	1.104446e-07	0	0	1.364070e+01	2.469459e+02	CREBBP;CDKN1A;HDAC2;CCND1;HDAC1;ABL1;MDM2;EP300;ATM;YWHAH
KEGG_2019_Human	Shigellosis	8/65	1.433590e-08	1.105059e-07	0	0	2.154876e+01	3.891813e+02	MAPK9;MAPK8;ABL1;MAPK1;IKBKG;ACTB;RELA;NFKB1
KEGG_2019_Human	IL-17 signaling pathway	9/93	1.505810e-08	1.114299e-07	0	0	1.655608e+01	2.981974e+02	MAPK9;MAPK8;JUN;HSP90AB1;MAPK1;IKBKG;ELAVL1;RELA;NFKB1
KEGG_2019_Human	Acute myeloid leukemia	8/66	1.621989e-08	1.154108e-07	0	0	2.117616e+01	3.798373e+02	MAP2K1;CCND1;STAT3;AKT1;MAPK1;IKBKG;RELA;NFKB1
KEGG_2019_Human	Osteoclast differentiation	10/127	1.729429e-08	1.184979e-07	0	0	1.328892e+01	2.375113e+02	MAPK9;MAP2K1;JUN;MAPK8;AKT1;MAPK1;PPARG;IKBKG;NFKB1;RELA
KEGG_2019_Human	cAMP signaling pathway	12/212	2.564125e-08	1.694154e-07	0	0	9.438240e+00	1.649716e+02	MAPK9;CREBBP;MAP2K1;JUN;MAPK8;HHIP;PTCH1;AKT1;EP300;MAPK1;RELA;NFKB1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	9/100	2.860172e-08	1.763773e-07	0	0	1.527713e+01	2.653607e+02	MAPK9;JUN;MAPK8;CCND1;STAT3;AKT1;MAPK1;NFKB1;RELA
KEGG_2019_Human	HIF-1 signaling pathway	9/100	2.860172e-08	1.763773e-07	0	0	1.527713e+01	2.653607e+02	MAP2K1;CREBBP;CDKN1A;STAT3;AKT1;EP300;MAPK1;NFKB1;RELA
KEGG_2019_Human	Toll-like receptor signaling pathway	9/104	4.036823e-08	2.333788e-07	0	0	1.463092e+01	2.490947e+02	MAPK9;MAP2K1;JUN;MAPK8;AKT1;MAPK1;IKBKG;NFKB1;RELA
KEGG_2019_Human	C-type lectin receptor signaling pathway	9/104	4.036823e-08	2.333788e-07	0	0	1.463092e+01	2.490947e+02	MAPK9;JUN;MAPK8;MDM2;AKT1;MAPK1;IKBKG;NFKB1;RELA
KEGG_2019_Human	Th17 cell differentiation	9/107	5.177657e-08	2.902626e-07	0	0	1.418088e+01	2.379032e+02	MAPK9;JUN;MAPK8;HSP90AB1;STAT3;MAPK1;IKBKG;NFKB1;RELA
KEGG_2019_Human	TNF signaling pathway	9/110	6.590278e-08	3.585886e-07	0	0	1.375758e+01	2.274828e+02	MAPK9;MAP2K1;JUN;MAPK8;AKT1;MAPK1;IKBKG;NFKB1;RELA
KEGG_2019_Human	ErbB signaling pathway	8/85	1.218644e-07	6.441406e-07	0	0	1.593557e+01	2.536999e+02	MAPK9;CDKN1A;MAP2K1;MAPK8;JUN;ABL1;AKT1;MAPK1
KEGG_2019_Human	Neurotrophin signaling pathway	9/119	1.303348e-07	6.679734e-07	0	0	1.262621e+01	2.001653e+02	MAPK9;MAP2K1;JUN;MAPK8;ABL1;AKT1;MAPK1;NFKB1;RELA
KEGG_2019_Human	Salmonella infection	8/86	1.335947e-07	6.679734e-07	0	0	1.573047e+01	2.489891e+02	MAPK9;MAPK8;JUN;MYH9;MAPK1;ACTB;RELA;NFKB1
KEGG_2019_Human	Proteoglycans in cancer	11/201	1.410840e-07	6.868562e-07	0	0	9.039390e+00	1.425865e+02	MAP2K1;CDKN1A;CCND1;CAV1;PTCH1;STAT3;MDM2;AKT1;MAPK1;ESR1;ACTB
KEGG_2019_Human	PI3K-Akt signaling pathway	14/354	1.521862e-07	7.219091e-07	0	0	6.535677e+00	1.025981e+02	MAP2K1;CDKN1A;HSP90AB1;PTEN;BRCA1;RELA;NFKB1;NR4A1;CCND1;MDM2;AKT1;MAPK1;IKBKG;YWHAH
KEGG_2019_Human	Human immunodeficiency virus 1 infection	11/212	2.413847e-07	1.105592e-06	0	0	8.539919e+00	1.301217e+02	CUL4A;MAPK9;MAP2K1;JUN;MAPK8;AKT1;MAPK1;ATM;IKBKG;RELA;NFKB1
KEGG_2019_Human	Hepatocellular carcinoma	10/168	2.450232e-07	1.105592e-06	0	0	9.820094e+00	1.494806e+02	MAP2K1;CDKN1A;SMARCB1;CCND1;PTEN;AKT1;MAPK1;ACTB;SMARCA4;NFE2L2
KEGG_2019_Human	NF-kappa B signaling pathway	8/95	2.906400e-07	1.280200e-06	0	0	1.409677e+01	2.121730e+02	PIAS4;UBE2I;PARP1;TRIM25;ATM;IKBKG;RELA;NFKB1
KEGG_2019_Human	Adipocytokine signaling pathway	7/69	4.593775e-07	1.877687e-06	0	0	1.719690e+01	2.509611e+02	MAPK9;MAPK8;STAT3;AKT1;IKBKG;RELA;NFKB1
KEGG_2019_Human	Renal cell carcinoma	7/69	4.593775e-07	1.877687e-06	0	0	1.719690e+01	2.509611e+02	CDKN1A;MAP2K1;JUN;CREBBP;AKT1;EP300;MAPK1
KEGG_2019_Human	Measles	9/138	4.628057e-07	1.877687e-06	0	0	1.075618e+01	1.568892e+02	MAPK9;JUN;MAPK8;CCND1;STAT3;AKT1;IKBKG;RELA;NFKB1
KEGG_2019_Human	T cell receptor signaling pathway	8/101	4.668842e-07	1.877687e-06	0	0	1.318330e+01	1.921753e+02	MAPK9;MAP2K1;JUN;AKT1;MAPK1;IKBKG;NFKB1;RELA
KEGG_2019_Human	RIG-I-like receptor signaling pathway	7/70	5.075251e-07	1.997705e-06	0	0	1.692308e+01	2.452783e+02	MAPK9;MAPK8;TRIM25;PIN1;IKBKG;RELA;NFKB1
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	8/103	5.430181e-07	2.092882e-06	0	0	1.290445e+01	1.861611e+02	MAPK9;JUN;MAPK8;AKT1;MAPK1;IKBKG;NFKB1;RELA
KEGG_2019_Human	B cell receptor signaling pathway	7/71	5.598430e-07	2.113693e-06	0	0	1.665781e+01	2.397994e+02	MAP2K1;JUN;AKT1;MAPK1;IKBKG;RELA;NFKB1
KEGG_2019_Human	Melanoma	7/72	6.166176e-07	2.281485e-06	0	0	1.640071e+01	2.345140e+02	CDKN1A;MAP2K1;CCND1;PTEN;MDM2;AKT1;MAPK1
KEGG_2019_Human	Glioma	7/75	8.167637e-07	2.962770e-06	0	0	1.567477e+01	2.197277e+02	CDKN1A;MAP2K1;CCND1;PTEN;MDM2;AKT1;MAPK1
KEGG_2019_Human	Toxoplasmosis	8/113	1.103580e-06	3.926200e-06	0	0	1.166955e+01	1.600706e+02	MAPK9;MAPK8;STAT3;AKT1;MAPK1;IKBKG;NFKB1;RELA
KEGG_2019_Human	Focal adhesion	10/199	1.162899e-06	4.059177e-06	0	0	8.196475e+00	1.120015e+02	MAPK9;MAP2K1;JUN;MAPK8;CCND1;CAV1;PTEN;AKT1;MAPK1;ACTB
KEGG_2019_Human	Sphingolipid signaling pathway	8/119	1.634137e-06	5.598432e-06	0	0	1.103541e+01	1.470401e+02	MAPK9;MAP2K1;MAPK8;PTEN;AKT1;MAPK1;NFKB1;RELA
KEGG_2019_Human	Endometrial cancer	6/58	2.795689e-06	9.403682e-06	0	0	1.744950e+01	2.231343e+02	CDKN1A;MAP2K1;CCND1;PTEN;AKT1;MAPK1
KEGG_2019_Human	Relaxin signaling pathway	8/130	3.177583e-06	1.049737e-05	0	0	1.003482e+01	1.270347e+02	MAPK9;MAP2K1;JUN;MAPK8;AKT1;MAPK1;NFKB1;RELA
KEGG_2019_Human	Th1 and Th2 cell differentiation	7/92	3.273023e-06	1.062297e-05	0	0	1.252905e+01	1.582393e+02	MAPK9;MAPK8;JUN;MAPK1;IKBKG;RELA;NFKB1
KEGG_2019_Human	Human cytomegalovirus infection	10/225	3.509456e-06	1.103536e-05	0	0	7.195752e+00	9.037900e+01	MAP2K1;CDKN1A;CCND1;STAT3;MDM2;AKT1;MAPK1;IKBKG;RELA;NFKB1
KEGG_2019_Human	Small cell lung cancer	7/93	3.519385e-06	1.103536e-05	0	0	1.238274e+01	1.554928e+02	CDKN1A;CCND1;PTEN;AKT1;IKBKG;RELA;NFKB1
