Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ubiquitin mediated proteolysis	17/137	5.711301e-19	9.823437e-17	0	0	3.183475e+01	1.337272e+03	DET1;UBE2I;FBXW7;CUL3;UBE2E3;UBE2E1;UBE2E2;CBL;RBX1;UBE2L3;CUL4A;FZR1;COP1;NEDD4;CDC27;MDM2;CUL4B
KEGG_2019_Human	Prostate cancer	11/97	3.338549e-12	2.871152e-10	0	0	2.695435e+01	7.122819e+02	AR;CREBBP;HSP90AB1;CHUK;MDM2;PTEN;E2F1;AKT1;CTNNB1;ERG;PIK3R1
KEGG_2019_Human	Pathways in cancer	17/530	2.309311e-09	1.324005e-07	0	0	7.298733e+00	1.451449e+02	CREBBP;JUN;HSP90AB1;CHUK;NCOA3;PTEN;PIK3R1;CBL;RBX1;AR;SUFU;E2F1;MDM2;DVL2;AKT1;CTNNB1;NFE2L2
KEGG_2019_Human	Hepatocellular carcinoma	10/168	1.940661e-08	8.344841e-07	0	0	1.314923e+01	2.334995e+02	CSNK1A1;E2F1;DVL2;PTEN;AKT1;DPF3;CTNNB1;PIK3R1;ACTB;NFE2L2
KEGG_2019_Human	Breast cancer	9/147	8.074336e-08	2.777572e-06	0	0	1.342188e+01	2.192059e+02	JUN;CSNK1A1;NCOA3;E2F1;DVL2;PTEN;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Bacterial invasion of epithelial cells	7/74	1.210643e-07	3.470509e-06	0	0	2.113859e+01	3.366732e+02	CLTC;PXN;CTNNB1;PIK3R1;CBL;ACTB;BCAR1
KEGG_2019_Human	Wnt signaling pathway	9/158	1.500279e-07	3.686401e-06	0	0	1.242408e+01	1.952126e+02	CREBBP;JUN;CSNK2A1;CSNK1A1;CSNK2A2;DVL2;CTNNB1;CACYBP;RBX1
KEGG_2019_Human	Measles	8/138	6.653887e-07	1.343480e-05	0	0	1.253925e+01	1.783445e+02	HSPA8;JUN;CSNK2A1;CHUK;CSNK2A2;AKT1;PIK3R1;EIF2S1
KEGG_2019_Human	Fluid shear stress and atherosclerosis	8/139	7.029835e-07	1.343480e-05	0	0	1.244291e+01	1.762902e+02	JUN;HSP90AB1;CHUK;AKT1;CTNNB1;PIK3R1;ACTB;NFE2L2
KEGG_2019_Human	Focal adhesion	9/199	1.051749e-06	1.787224e-05	0	0	9.722862e+00	1.338357e+02	JUN;PXN;PTEN;AKT1;CTNNB1;PIK3R1;ACTB;BCAR1;PPP1CA
KEGG_2019_Human	Proteoglycans in cancer	9/201	1.142992e-06	1.787224e-05	0	0	9.620605e+00	1.316278e+02	DDX5;PXN;MDM2;AKT1;CTNNB1;PIK3R1;CBL;ACTB;PPP1CA
KEGG_2019_Human	Human papillomavirus infection	11/330	1.309129e-06	1.876419e-05	0	0	7.181218e+00	9.727784e+01	CREBBP;CHUK;CSNK1A1;PXN;E2F1;MDM2;DVL2;PTEN;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	9/219	2.322771e-06	3.073205e-05	0	0	8.787946e+00	1.140038e+02	EGR1;CREBBP;JUN;CHUK;CDC27;E2F1;PTEN;AKT1;PIK3R1
KEGG_2019_Human	Thyroid hormone signaling pathway	7/116	2.619922e-06	3.218762e-05	0	0	1.296592e+01	1.666428e+02	CREBBP;NCOA3;MDM2;AKT1;CTNNB1;PIK3R1;ACTB
KEGG_2019_Human	Chronic myeloid leukemia	6/76	2.942333e-06	3.373875e-05	0	0	1.716450e+01	2.186124e+02	CHUK;E2F1;MDM2;AKT1;PIK3R1;CBL
KEGG_2019_Human	Cell cycle	7/124	4.087078e-06	4.393609e-05	0	0	1.207448e+01	1.498163e+02	FZR1;CREBBP;PRKDC;CDC27;E2F1;MDM2;RBX1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	8/186	6.219009e-06	6.292174e-05	0	0	9.135642e+00	1.095172e+02	CREBBP;JUN;CHUK;E2F1;AKT1;CTNNB1;CXCL1;PIK3R1
KEGG_2019_Human	Estrogen signaling pathway	7/137	7.898515e-06	7.547470e-05	0	0	1.085989e+01	1.275911e+02	HSPA8;JUN;HSP90AB1;NCOA3;AKT1;PIK3R1;FKBP5
