Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Thyroid hormone signaling pathway	15/116	2.398047e-15	4.292503e-13	0	0	2.405697e+01	8.098568e+02	NOTCH2;MED1;GSK3B;NOTCH1;THRB;MED4;ESR1;MTOR;NRAS;MED24;PIK3CA;MYC;MDM2;AKT1;CTNNB1
KEGG_2019_Human	Breast cancer	14/147	1.564648e-12	1.400360e-10	0	0	1.688490e+01	4.589882e+02	NOTCH2;GSK3B;JUN;NOTCH1;CSNK1A1;ESR1;ESR2;MTOR;NRAS;PIK3CA;MYC;ERBB2;AKT1;CTNNB1
KEGG_2019_Human	Measles	12/138	1.913150e-10	1.141513e-08	0	0	1.503771e+01	3.365004e+02	HSPA8;GSK3B;JUN;PIK3CA;DDX58;CSNK2B;CSNK2A2;AKT1;MSN;MAP3K7;NFKB1;JAK1
KEGG_2019_Human	Pathways in cancer	20/530	5.984442e-10	2.678038e-08	0	0	6.486677e+00	1.377555e+02	NOTCH2;GSK3B;JUN;NOTCH1;HSP90AB1;CUL1;RASGRP2;ESR1;NFKB1;ESR2;MTOR;NRAS;PIK3CA;MYC;ERBB2;MDM2;AKT1;CTNNB1;ARHGEF1;JAK1
KEGG_2019_Human	Prostate cancer	10/97	1.237274e-09	4.429442e-08	0	0	1.789845e+01	3.671036e+02	GSK3B;NRAS;HSP90AB1;PIK3CA;ERBB2;MDM2;AKT1;CTNNB1;NFKB1;MTOR
KEGG_2019_Human	Endometrial cancer	8/58	5.667449e-09	1.690789e-07	0	0	2.457426e+01	4.666291e+02	GSK3B;NRAS;PIK3CA;MYC;ERBB2;ILK;AKT1;CTNNB1
KEGG_2019_Human	Human papillomavirus infection	15/330	8.419137e-09	2.152894e-07	0	0	7.629977e+00	1.418623e+02	NOTCH2;GSK3B;NOTCH1;CSNK1A1;NFKB1;MTOR;PPP2CB;NRAS;PIK3CA;NFX1;IRF1;MDM2;AKT1;CTNNB1;JAK1
KEGG_2019_Human	Proteoglycans in cancer	12/201	1.416694e-08	3.169853e-07	0	0	9.993143e+00	1.805996e+02	NRAS;PIK3CA;MYC;ERBB2;MDM2;AKT1;FLNA;MSN;CTNNB1;ARHGEF1;ESR1;MTOR
KEGG_2019_Human	Prolactin signaling pathway	8/70	2.605449e-08	5.181948e-07	0	0	1.980595e+01	3.458728e+02	GSK3B;NRAS;PIK3CA;IRF1;AKT1;ESR1;NFKB1;ESR2
KEGG_2019_Human	Human cytomegalovirus infection	12/225	4.948311e-08	8.857477e-07	0	0	8.856338e+00	1.489781e+02	GSK3B;AKAP13;NRAS;PIK3CA;MYC;MDM2;AKT1;CTNNB1;ARHGEF1;NFKB1;MTOR;JAK1
