Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	34/530	3.828937e-26	7.581294e-24	0	0	1.601142e+01	9.370622e+02	NOTCH1;HDAC1;CUL1;PIK3R3;CSF2RB;PIK3R2;PIK3R1;CBL;RELA;AKT3;AKT1;JAK2;HRAS;JAK3;MAPK3;APPL1;JAK1;PDGFRB;PDGFRA;MAP2K1;ESR1;NFKB1;PTK2;PIK3CA;GNAQ;GNB1;CDK2;CTNNB1;GRB2;ARHGEF1;KRAS;CALM1;TP53;CRK
KEGG_2019_Human	PI3K-Akt signaling pathway	29/354	2.914126e-25	2.884985e-23	0	0	1.983154e+01	1.120384e+03	IRS1;PIK3R3;PIK3R2;PIK3R1;RELA;ERBB3;ERBB4;AKT3;KDR;AKT1;JAK2;HRAS;JAK3;YWHAH;MAPK3;JAK1;PDGFRB;PDGFRA;NGFR;MAP2K1;NFKB1;PTK2;PIK3CA;GNB1;CDK2;GRB2;KRAS;PIK3AP1;TP53
KEGG_2019_Human	Chronic myeloid leukemia	18/76	1.556780e-24	1.027475e-22	0	0	6.214734e+01	3.406881e+03	MAP2K1;HDAC1;PIK3R3;PIK3R2;GAB2;PIK3R1;CBL;RELA;NFKB1;PIK3CA;AKT3;AKT1;KRAS;GRB2;HRAS;TP53;CRK;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	23/201	1.930913e-23	9.558018e-22	0	0	2.708672e+01	1.416675e+03	MAP2K1;DDX5;CAV1;GAB1;PIK3R3;PIK3R2;PIK3R1;CBL;ESR1;PTK2;PIK3CA;ERBB3;ERBB4;AKT3;KDR;AKT1;CTNNB1;GRB2;ARHGEF1;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Prostate cancer	18/97	1.890487e-22	7.486329e-21	0	0	4.557883e+01	2.279855e+03	PDGFRB;PDGFRA;MAP2K1;PIK3R3;PIK3R2;PIK3R1;NFKB1;RELA;PIK3CA;AKT3;CDK2;AKT1;CTNNB1;GRB2;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	19/119	2.488682e-22	7.575194e-21	0	0	3.835480e+01	1.907964e+03	NGFR;MAP2K1;IRS1;GAB1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PIK3CA;AKT3;AKT1;GRB2;KRAS;CALM1;TP53;CRK;HRAS;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	23/225	2.678099e-22	7.575194e-21	0	0	2.383942e+01	1.184146e+03	PDGFRA;MAP2K1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;PIK3CA;GNAQ;AKT3;GNB1;AKT1;CTNNB1;GRB2;ARHGEF1;KRAS;CALM1;TP53;CRK;HRAS;MAPK3;JAK1
KEGG_2019_Human	ErbB signaling pathway	17/85	7.550043e-22	1.868636e-20	0	0	4.953750e+01	2.409272e+03	MAP2K1;GAB1;PIK3R3;PIK3R2;PIK3R1;CBL;PTK2;PIK3CA;ERBB3;ERBB4;AKT3;AKT1;KRAS;GRB2;HRAS;CRK;MAPK3
KEGG_2019_Human	Hepatitis B	20/163	4.365584e-21	9.604285e-20	0	0	2.846226e+01	1.334326e+03	MAP2K1;DDX3X;DDX58;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PIK3CA;AKT3;CDK2;AKT1;GRB2;KRAS;JAK2;TP53;HRAS;JAK3;MAPK3;JAK1
KEGG_2019_Human	Human papillomavirus infection	25/330	5.753368e-21	1.139167e-19	0	0	1.744298e+01	8.129214e+02	NOTCH1;HDAC1;PIK3R3;PIK3R2;CHD4;PIK3R1;RELA;SLC9A3R1;AKT3;AKT1;HRAS;MAPK3;JAK1;PDGFRB;MAP2K1;CSNK1A1;NFKB1;PTK2;PIK3CA;CDK2;CTNNB1;GRB2;KRAS;TP53;ATR
