Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	ErbB signaling pathway	24/85	5.338986e-32	1.083814e-29	0	0	6.330908e+01	4.558740e+03	MAP2K1;JUN;SRC;EGF;CAMK2A;GAB1;PIK3CD;PIK3R3;CBLB;PIK3R2;PIK3CB;PIK3R1;CBL;PTK2;ERBB3;MYC;ABL1;AKT1;ABL2;PLCG1;RAF1;HRAS;NCK1;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	29/201	2.185520e-29	2.218303e-27	0	0	2.812126e+01	1.855809e+03	SRC;CAMK2A;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;CBL;ERBB3;MYC;AKT1;FLNC;PLCG1;RAC1;PRKACA;HRAS;MAPK3;MAP2K1;CAV1;STAT3;GAB1;RRAS2;FRS2;PTPN11;ANK3;PTK2;RHOA;PTPN6;RAF1
KEGG_2019_Human	Ras signaling pathway	30/232	6.383736e-29	4.319661e-27	0	0	2.494415e+01	1.619404e+03	PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;ABL1;AKT1;ABL2;PLCG1;RAC1;PRKACA;HRAS;MAPK3;PDGFRB;NGFR;MAP2K1;EGF;INSR;GAB1;RRAS2;PTPN11;GAB2;NFKB1;RHOA;GNB2;GNB1;RAF1;CALM1;RAB5A;ARF6
KEGG_2019_Human	Neurotrophin signaling pathway	23/119	1.693235e-26	8.593169e-25	0	0	3.817297e+01	2.265206e+03	NGFR;MAP2K1;JUN;CAMK2A;PSEN2;GAB1;PIK3R3;PIK3CD;FRS2;PIK3R2;PTPN11;PIK3R1;PIK3CB;NFKB1;RHOA;ABL1;AKT1;PLCG1;RAC1;RAF1;CALM1;HRAS;MAPK3
KEGG_2019_Human	Pathways in cancer	36/530	9.237365e-25	3.750370e-23	0	0	1.270971e+01	7.033725e+02	CAMK2A;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;CBL;CASP7;MYC;ABL1;AKT1;PLCG1;RAC1;PRKACA;HRAS;JAK3;MAPK3;APPL1;PDGFRB;MAP2K1;JUN;EGF;STAT3;FOS;NFKB1;PTK2;RHOA;TGFBR1;AR;CCNE1;GNB2;GNB1;RARA;RAF1;CALM1;IL7R
KEGG_2019_Human	Colorectal cancer	18/86	1.339838e-21	4.412236e-20	0	0	4.059850e+01	1.951234e+03	MAP2K1;JUN;EGF;PIK3CD;PIK3R3;PIK3R2;PIK3CB;FOS;PIK3R1;RHOA;TGFBR1;MYC;AKT1;RAC1;RAF1;HRAS;APPL1;MAPK3
KEGG_2019_Human	B cell receptor signaling pathway	17/71	1.521461e-21	4.412236e-20	0	0	4.794630e+01	2.298287e+03	MAP2K1;JUN;INPPL1;PIK3CD;PIK3R3;PIK3R2;PIK3CB;FOS;PIK3R1;NFKB1;BTK;AKT1;PTPN6;RAC1;RAF1;HRAS;MAPK3
KEGG_2019_Human	Phospholipase D signaling pathway	21/148	2.699094e-21	6.848951e-20	0	0	2.588714e+01	1.226050e+03	PDGFRB;MAP2K1;EGF;INSR;GAB1;PIK3R3;RRAS2;PIK3CD;PTPN11;PIK3R2;PIK3R1;GAB2;PIK3CB;RHOA;DNM2;AKT1;PLCG1;RAF1;HRAS;ARF6;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	17/76	5.444250e-21	1.227981e-19	0	0	4.387197e+01	2.047054e+03	MAP2K1;PIK3CD;PIK3R3;PIK3R2;PTPN11;PIK3CB;GAB2;PIK3R1;CBL;TGFBR1;NFKB1;MYC;ABL1;AKT1;RAF1;HRAS;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	22/186	1.709096e-20	3.469464e-19	0	0	2.112966e+01	9.617320e+02	BECN1;MAP2K1;JUN;SRC;STAT3;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;FOS;NFKB1;MYC;GNB2;GNB1;AKT1;PLCG1;RAC1;RAF1;CALM1;HRAS;MAPK3
KEGG_2019_Human	T cell receptor signaling pathway	18/101	2.988364e-20	5.514890e-19	0	0	3.323620e+01	1.494199e+03	MAP2K1;JUN;PIK3R3;PIK3CD;CBLB;PIK3R2;PIK3R1;PIK3CB;FOS;NFKB1;RHOA;AKT1;PTPN6;PLCG1;RAF1;HRAS;NCK1;MAPK3
KEGG_2019_Human	Chemokine signaling pathway	21/190	5.591135e-19	9.458337e-18	0	0	1.941223e+01	8.158559e+02	MAP2K1;SRC;STAT3;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;NFKB1;PTK2;RHOA;GNB2;GNB1;AKT1;RAC1;RAF1;PRKACA;HRAS;JAK3;BCAR1;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	22/225	1.121670e-18	1.751531e-17	0	0	1.703645e+01	7.041458e+02	MAP2K1;SRC;STAT3;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;NFKB1;PTK2;RHOA;MYC;GNB2;GNB1;AKT1;RAC1;RAF1;CALM1;PRKACA;HRAS;BCAR1;MAPK3
