Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ubiquitin mediated proteolysis	17/137	2.313385e-16	3.955888e-14	0	0	2.133868e+01	7.682489e+02	UBE2I;FBXW7;CUL3;UBE2D3;CUL2;CUL1;HUWE1;UBE2D1;BRCA1;RBX1;CUL4A;HERC2;CDC34;NEDD4;BTRC;SKP1;CUL4B
KEGG_2019_Human	Cell cycle	16/124	9.709808e-16	8.301886e-14	0	0	2.215937e+01	7.660101e+02	YWHAE;GSK3B;CDKN1B;YWHAB;CUL1;YWHAZ;RBX1;YWHAQ;MYC;CDK2;CDK1;SFN;TP53;YWHAG;SKP1;MCM2
KEGG_2019_Human	Oocyte meiosis	13/125	8.805055e-12	5.018881e-10	0	0	1.697222e+01	4.320397e+02	YWHAE;YWHAB;CUL1;YWHAZ;RBX1;AURKA;YWHAQ;CDK2;CDK1;BTRC;CALM1;YWHAG;SKP1
KEGG_2019_Human	Hepatitis C	13/155	1.358249e-10	5.806513e-09	0	0	1.336620e+01	3.036754e+02	YWHAE;GSK3B;DDX58;YWHAB;STAT1;YWHAZ;TBK1;YWHAQ;MYC;CDK2;CTNNB1;TP53;YWHAG
KEGG_2019_Human	Viral carcinogenesis	14/201	3.076853e-10	9.521600e-09	0	0	1.098691e+01	2.406347e+02	YWHAE;RANBP1;JUN;DDX3X;CDKN1B;YWHAB;CHD4;YWHAZ;YWHAQ;HIST4H4;CDK2;CDK1;TP53;YWHAG
KEGG_2019_Human	Spliceosome	12/134	3.340912e-10	9.521600e-09	0	0	1.426953e+01	3.113555e+02	EFTUD2;HNRNPM;SF3B3;U2AF2;PCBP1;ALYREF;THOC1;SRSF2;THOC2;SNRNP200;HNRNPA1;PRPF8
KEGG_2019_Human	Wnt signaling pathway	12/158	2.244405e-09	5.482762e-08	0	0	1.190935e+01	2.371726e+02	GSK3B;JUN;MYC;CUL1;CTNNB1;CSNK1E;PSEN1;BTRC;TP53;MAP3K7;RBX1;SKP1
KEGG_2019_Human	Hepatitis B	12/163	3.203484e-09	6.847446e-08	0	0	1.151208e+01	2.251650e+02	JUN;TBK1;DDX3X;YWHAQ;DDX58;YWHAB;STAT1;MYC;CDK2;TP53;MAP3K7;YWHAZ
KEGG_2019_Human	PI3K-Akt signaling pathway	16/354	8.711035e-09	1.655097e-07	0	0	6.998028e+00	1.298741e+02	YWHAE;GSK3B;CDKN1B;HSP90AB1;YWHAB;PTEN;TSC1;BRCA1;YWHAZ;HSP90B1;YWHAQ;MYC;CDK2;TP53;YWHAG;MCL1
KEGG_2019_Human	Pathways in cancer	19/530	1.423301e-08	2.433845e-07	0	0	5.574705e+00	1.007221e+02	GSK3B;JUN;CDKN1B;HSP90AB1;TPM3;MAX;STAT1;CUL2;SLC2A1;CUL1;PTEN;RBX1;HSP90B1;MYC;CDK2;CTNNB1;CALM1;TP53;SKP1
KEGG_2019_Human	Measles	10/138	7.989973e-08	1.242078e-06	0	0	1.116621e+01	1.824838e+02	GSK3B;JUN;TBK1;CDKN1B;DDX58;STAT1;CDK2;ADAR;MAP3K7;TP53
KEGG_2019_Human	Circadian rhythm	6/31	9.373549e-08	1.335731e-06	0	0	3.351042e+01	5.422921e+02	CUL1;CRY1;CSNK1E;BTRC;SKP1;RBX1
KEGG_2019_Human	Hippo signaling pathway	10/160	3.200730e-07	4.210191e-06	0	0	9.517874e+00	1.423371e+02	YWHAE;GSK3B;YWHAQ;YWHAB;MYC;CTNNB1;CSNK1E;BTRC;YWHAZ;YWHAG
KEGG_2019_Human	RNA transport	10/165	4.256918e-07	5.199521e-06	0	0	9.208509e+00	1.350847e+02	FXR1;UBE2I;NUP107;NXT1;XPO1;ALYREF;THOC1;THOC2;EIF3F;KPNB1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	11/212	5.262709e-07	5.999488e-06	0	0	7.849838e+00	1.134886e+02	CUL4A;JUN;TBK1;CUL1;CDK1;CALM1;BTRC;MAP3K7;RBX1;SKP1;CUL4B
KEGG_2019_Human	Prostate cancer	8/97	6.163000e-07	6.586707e-06	0	0	1.268892e+01	1.814457e+02	GSK3B;CDKN1B;HSP90AB1;CDK2;PTEN;CTNNB1;TP53;HSP90B1
KEGG_2019_Human	Human papillomavirus infection	13/330	1.098426e-06	1.104888e-05	0	0	5.934221e+00	8.142720e+01	GSK3B;CDKN1B;STAT1;PTEN;TSC1;CHD4;PSEN1;TUBG1;TBK1;NFX1;CDK2;CTNNB1;TP53
KEGG_2019_Human	Epstein-Barr virus infection	10/201	2.570310e-06	2.441795e-05	0	0	7.459215e+00	9.601117e+01	JUN;TBK1;CDKN1B;DDX58;STAT1;MYC;NEDD4;CDK2;TP53;MAP3K7
