Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Prostate cancer	10/97	1.686330e-10	2.883625e-08	0	0	2.231350e+01	5.021273e+02	AR;CHUK;CCNE1;CDK2;ERBB2;PTEN;E2F1;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Oocyte meiosis	10/125	2.087898e-09	1.785153e-07	0	0	1.685678e+01	3.369182e+02	AR;PPP3CA;CCNE1;CDC27;CDK2;CUL1;CDK1;CALM1;PPP1CA;AURKA
KEGG_2019_Human	Human papillomavirus infection	14/330	4.719798e-09	1.873475e-07	0	0	8.848101e+00	1.696314e+02	CHUK;CSNK1A1;PXN;PTEN;CHD4;PIK3R1;DLG1;CCNE1;CDK2;E2F1;DVL2;AKT1;CTNNB1;CSNK1A1L
KEGG_2019_Human	Ubiquitin mediated proteolysis	10/137	5.104728e-09	1.873475e-07	0	0	1.525475e+01	2.912604e+02	CUL4A;FZR1;UBE2I;FBXW7;NEDD4;CDC27;CUL1;CBL;UBE2L3;CUL4B
KEGG_2019_Human	Measles	10/138	5.477997e-09	1.873475e-07	0	0	1.513480e+01	2.879022e+02	CSNK2A1;CHUK;DDX58;CCNE1;CSNK2B;CDK2;CSNK2A2;AKT1;PIK3R1;EIF2S1
KEGG_2019_Human	Gastric cancer	10/149	1.149250e-08	3.275362e-07	0	0	1.392933e+01	2.546500e+02	CSNK1A1;CCNE1;CDK2;ERBB2;E2F1;DVL2;AKT1;CTNNB1;PIK3R1;CSNK1A1L
KEGG_2019_Human	Cellular senescence	10/160	2.274759e-08	5.556912e-07	0	0	1.290065e+01	2.270361e+02	PPP3CA;CCNE1;CDK2;E2F1;CDK1;PTEN;AKT1;PIK3R1;CALM1;PPP1CA
KEGG_2019_Human	Human immunodeficiency virus 1 infection	11/212	3.014062e-08	6.442557e-07	0	0	1.066731e+01	1.847299e+02	CUL4A;PPP3CA;CHUK;CFL1;PXN;CUL1;CDK1;AKT1;PIK3R1;CALM1;CUL4B
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	11/219	4.206519e-08	7.992386e-07	0	0	1.030465e+01	1.750146e+02	EGR1;PPP3CA;DLG1;CHUK;CCNE1;CDC27;CDK2;E2F1;PTEN;AKT1;PIK3R1
KEGG_2019_Human	Breast cancer	9/147	1.413469e-07	2.417031e-06	0	0	1.250528e+01	1.972338e+02	CSNK1A1;ERBB2;E2F1;DVL2;PTEN;AKT1;CTNNB1;PIK3R1;CSNK1A1L
KEGG_2019_Human	Bacterial invasion of epithelial cells	7/74	1.887782e-07	2.934643e-06	0	0	1.972239e+01	3.053557e+02	CLTC;PXN;CLTA;CTNNB1;PIK3R1;CBL;BCAR1
KEGG_2019_Human	Wnt signaling pathway	9/158	2.617283e-07	3.562102e-06	0	0	1.157562e+01	1.754396e+02	PPP3CA;CSNK2A1;CSNK1A1;CSNK2B;CSNK2A2;CUL1;DVL2;CTNNB1;CSNK1A1L
KEGG_2019_Human	Pathways in cancer	15/530	2.708030e-07	3.562102e-06	0	0	5.817135e+00	8.796599e+01	CHUK;CUL1;PTEN;PIK3R1;CBL;AR;CCNE1;SUFU;CDK2;ERBB2;E2F1;DVL2;AKT1;CTNNB1;CALM1
KEGG_2019_Human	Small cell lung cancer	7/93	9.107340e-07	1.112397e-05	0	0	1.535039e+01	2.135088e+02	CHUK;CCNE1;CDK2;PTEN;E2F1;AKT1;PIK3R1
KEGG_2019_Human	Progesterone-mediated oocyte maturation	7/99	1.392253e-06	1.587168e-05	0	0	1.434493e+01	1.934354e+02	FZR1;CDC27;CDK2;CDK1;AKT1;PIK3R1;AURKA
KEGG_2019_Human	Mitophagy	6/65	1.701089e-06	1.818039e-05	0	0	1.902366e+01	2.527150e+02	USP8;BECN1;CSNK2A1;CSNK2A2;CSNK2B;E2F1
KEGG_2019_Human	Cushing syndrome	8/155	2.611125e-06	2.480568e-05	0	0	1.033019e+01	1.328022e+02	USP8;KMT2A;CCNE1;CDK2;E2F1;DVL2;CTNNB1;ASH2L
KEGG_2019_Human	Hepatitis C	8/155	2.611125e-06	2.480568e-05	0	0	1.033019e+01	1.328022e+02	CHUK;DDX58;CDK2;E2F1;AKT1;CTNNB1;PIK3R1;EIF2S1
KEGG_2019_Human	Hepatitis B	8/163	3.798323e-06	3.418490e-05	0	0	9.793052e+00	1.222266e+02	DDX3X;CHUK;DDX58;CCNE1;CDK2;E2F1;AKT1;PIK3R1
KEGG_2019_Human	Hepatocellular carcinoma	8/168	4.751377e-06	4.033338e-05	0	0	9.484615e+00	1.162537e+02	CSNK1A1;E2F1;DVL2;PTEN;AKT1;CTNNB1;PIK3R1;CSNK1A1L
KEGG_2019_Human	Human cytomegalovirus infection	9/225	4.953222e-06	4.033338e-05	0	0	7.957929e+00	9.720986e+01	PPP3CA;CHUK;PXN;E2F1;AKT1;CTNNB1;PIK3R1;CALM1;BCAR1
KEGG_2019_Human	Cell cycle	7/124	6.276701e-06	4.878708e-05	0	0	1.126553e+01	1.349460e+02	FZR1;CCNE1;CDC27;CDK2;E2F1;CUL1;CDK1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	8/186	1.003551e-05	7.461184e-05	0	0	8.517718e+00	9.803366e+01	PPP3CA;BECN1;CHUK;E2F1;AKT1;CTNNB1;PIK3R1;CALM1
KEGG_2019_Human	NF-kappa B signaling pathway	6/95	1.562203e-05	1.073616e-04	0	0	1.259211e+01	1.393548e+02	UBE2I;CSNK2A1;CHUK;DDX58;CSNK2A2;CSNK2B
KEGG_2019_Human	Focal adhesion	8/199	1.638962e-05	1.073616e-04	0	0	7.932743e+00	8.740980e+01	PXN;ERBB2;PTEN;AKT1;CTNNB1;PIK3R1;BCAR1;PPP1CA
KEGG_2019_Human	Viral carcinogenesis	8/201	1.761673e-05	1.073616e-04	0	0	7.849741e+00	8.592846e+01	DLG1;DDX3X;CCNE1;PXN;CDK2;CDK1;CHD4;PIK3R1
