Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	17/530	1.218854e-07	2.303634e-05	0	0	5.388750e+00	8.578989e+01	PDGFRB;NTRK1;GSK3B;JUN;HDAC2;HSP90AB1;CUL1;RHOA;HSP90B1;TGFBR2;CDC42;CDH1;MYC;AKT1;RAC1;IFNAR1;JAK1
KEGG_2019_Human	Influenza A	10/171	2.697267e-07	2.548918e-05	0	0	9.712610e+00	1.469115e+02	GSK3B;JUN;DDX58;AKT1;EIF2AK2;TRIM25;TNF;HSPA1A;IFNAR1;JAK1
KEGG_2019_Human	Measles	9/138	4.349222e-07	2.740010e-05	0	0	1.084142e+01	1.588062e+02	GSK3B;JUN;DDX58;CSNK2A2;AKT1;EIF2AK2;HSPA1A;IFNAR1;JAK1
KEGG_2019_Human	Adherens junction	7/72	5.867799e-07	2.772535e-05	0	0	1.652868e+01	2.371637e+02	CDC42;PTPRB;CDH1;CSNK2A2;RAC1;RHOA;TGFBR2
KEGG_2019_Human	Viral carcinogenesis	10/201	1.190729e-06	3.738007e-05	0	0	8.174603e+00	1.115093e+02	CDC42;JUN;HDAC2;HIST4H4;CREB3L1;EIF2AK2;CHD4;RAC1;RHOA;JAK1
KEGG_2019_Human	Epstein-Barr virus infection	10/201	1.190729e-06	3.738007e-05	0	0	8.174603e+00	1.115093e+02	JUN;HDAC2;DDX58;MYC;AKT1;EIF2AK2;RAC1;TNF;IFNAR1;JAK1
KEGG_2019_Human	Neurotrophin signaling pathway	8/119	1.546323e-06	3.738007e-05	0	0	1.112218e+01	1.488107e+02	CDC42;NTRK1;GSK3B;JUN;NTRK3;AKT1;RAC1;RHOA
KEGG_2019_Human	Hepatitis B	9/163	1.758553e-06	3.738007e-05	0	0	9.069946e+00	1.201860e+02	JUN;DDX58;CREB3L1;MYC;AKT1;TNF;IFNAR1;TGFBR2;JAK1
KEGG_2019_Human	Protein processing in endoplasmic reticulum	9/165	1.945631e-06	3.738007e-05	0	0	8.952756e+00	1.177281e+02	HSP90AB1;FBXO2;CANX;CUL1;EIF2AK2;RRBP1;CKAP4;HSPA1A;HSP90B1
KEGG_2019_Human	Colorectal cancer	7/86	1.977781e-06	3.738007e-05	0	0	1.358993e+01	1.784838e+02	GSK3B;JUN;MYC;AKT1;RAC1;RHOA;TGFBR2
KEGG_2019_Human	MAPK signaling pathway	11/295	5.676653e-06	9.162782e-05	0	0	6.067042e+00	7.328471e+01	PDGFRB;NTRK1;CDC42;JUN;MYC;AKT1;FLNA;RAC1;TNF;HSPA1A;TGFBR2
KEGG_2019_Human	T cell receptor signaling pathway	7/101	5.817639e-06	9.162782e-05	0	0	1.141267e+01	1.375753e+02	CDC42;GSK3B;JUN;AKT1;CTLA4;TNF;RHOA
KEGG_2019_Human	Focal adhesion	9/199	8.988872e-06	1.306844e-04	0	0	7.338002e+00	8.526409e+01	PDGFRB;CDC42;GSK3B;JUN;AKT1;FLNA;ILK;RAC1;RHOA
KEGG_2019_Human	Hepatitis C	8/155	1.105033e-05	1.413514e-04	0	0	8.383078e+00	9.567649e+01	GSK3B;DDX58;MYC;AKT1;EIF2AK2;TNF;IFNAR1;JAK1
KEGG_2019_Human	Bacterial invasion of epithelial cells	6/74	1.121837e-05	1.413514e-04	0	0	1.343620e+01	1.531452e+02	CDC42;CDH1;CLTC;ILK;RAC1;RHOA
KEGG_2019_Human	Wnt signaling pathway	8/158	1.270919e-05	1.501273e-04	0	0	8.214167e+00	9.259982e+01	GSK3B;JUN;MYC;CSNK2A2;CUL1;GPC4;RAC1;RHOA
KEGG_2019_Human	Human papillomavirus infection	11/330	1.625996e-05	1.807725e-04	0	0	5.391724e+00	5.945349e+01	PDGFRB;CDC42;GSK3B;HDAC2;CREB3L1;AKT1;EIF2AK2;CHD4;TNF;IFNAR1;JAK1
KEGG_2019_Human	Osteoclast differentiation	7/127	2.610853e-05	2.649510e-04	0	0	8.928165e+00	9.422115e+01	JUN;AKT1;RAC1;TNF;IFNAR1;JAK1;TGFBR2
KEGG_2019_Human	Salmonella infection	6/86	2.663528e-05	2.649510e-04	0	0	1.141385e+01	1.202252e+02	CDC42;DYNC1H1;JUN;FLNA;RAC1;PFN2
KEGG_2019_Human	PI3K-Akt signaling pathway	11/354	3.101810e-05	2.931211e-04	0	0	5.008303e+00	5.199089e+01	PDGFRB;NTRK1;GSK3B;HSP90AB1;CREB3L1;MYC;AKT1;RAC1;HSP90B1;IFNAR1;JAK1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	8/186	4.110391e-05	3.699352e-04	0	0	6.912219e+00	6.980932e+01	GSK3B;JUN;MYC;AKT1;EIF2AK2;RAC1;IFNAR1;JAK1
KEGG_2019_Human	Endometrial cancer	5/58	4.633266e-05	3.829087e-04	0	0	1.426689e+01	1.423787e+02	GSK3B;CDH1;MYC;ILK;AKT1
KEGG_2019_Human	Fluid shear stress and atherosclerosis	7/139	4.659735e-05	3.829087e-04	0	0	8.111581e+00	8.090464e+01	JUN;HSP90AB1;AKT1;RAC1;TNF;RHOA;HSP90B1
KEGG_2019_Human	Prostate cancer	6/97	5.266641e-05	4.147480e-04	0	0	1.002857e+01	9.879680e+01	PDGFRB;GSK3B;HSP90AB1;CREB3L1;AKT1;HSP90B1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	6/100	6.248406e-05	4.723795e-04	0	0	9.707038e+00	9.396994e+01	CDC42;JUN;AKT1;RAC1;TNF;TGFBR2
KEGG_2019_Human	Central carbon metabolism in cancer	5/65	8.040186e-05	5.844597e-04	0	0	1.259796e+01	1.187796e+02	PDGFRB;NTRK1;MYC;NTRK3;AKT1
KEGG_2019_Human	JAK-STAT signaling pathway	7/162	1.222763e-04	8.559340e-04	0	0	6.899875e+00	6.216254e+01	PDGFRB;MYC;IL24;AKT1;IL13RA2;IFNAR1;JAK1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	8/219	1.288835e-04	8.699633e-04	0	0	5.821386e+00	5.213984e+01	JUN;CREB3L1;MYC;CANX;AKT1;TNF;TGFBR2;JAK1
KEGG_2019_Human	Human cytomegalovirus infection	8/225	1.551892e-04	1.002466e-03	0	0	5.658698e+00	4.963168e+01	GSK3B;CREB3L1;MYC;AKT1;RAC1;TNF;RHOA;JAK1
KEGG_2019_Human	Pancreatic cancer	5/75	1.591217e-04	1.002466e-03	0	0	1.079280e+01	9.439214e+01	CDC42;AKT1;RAC1;JAK1;TGFBR2
KEGG_2019_Human	NOD-like receptor signaling pathway	7/178	2.187170e-04	1.333468e-03	0	0	6.249195e+00	5.266654e+01	JUN;HSP90AB1;IFI16;TNF;RHOA;IFNAR1;JAK1
KEGG_2019_Human	Estrogen signaling pathway	6/137	3.509855e-04	2.073008e-03	0	0	6.952319e+00	5.530407e+01	JUN;HSP90AB1;CREB3L1;AKT1;HSPA1A;HSP90B1
KEGG_2019_Human	TGF-beta signaling pathway	5/90	3.735340e-04	2.139331e-03	0	0	8.881455e+00	7.009690e+01	MYC;CUL1;TNF;RHOA;TGFBR2
KEGG_2019_Human	IL-17 signaling pathway	5/93	4.345955e-04	2.415840e-03	0	0	8.577377e+00	6.639829e+01	GSK3B;JUN;HSP90AB1;TNF;HSP90B1
KEGG_2019_Human	Proteoglycans in cancer	7/201	4.563969e-04	2.464543e-03	0	0	5.501878e+00	4.232126e+01	CDC42;MYC;AKT1;FLNA;RAC1;TNF;RHOA
KEGG_2019_Human	Rap1 signaling pathway	7/206	5.284571e-04	2.774400e-03	0	0	5.362276e+00	4.046132e+01	PDGFRB;CDC42;CDH1;AKT1;RAC1;RHOA;PFN2
KEGG_2019_Human	Non-alcoholic fatty liver disease (NAFLD)	6/149	5.485579e-04	2.802093e-03	0	0	6.365035e+00	4.779007e+01	CDC42;GSK3B;JUN;AKT1;RAC1;TNF
KEGG_2019_Human	Toll-like receptor signaling pathway	5/104	7.245731e-04	3.603798e-03	0	0	7.620094e+00	5.509273e+01	JUN;AKT1;RAC1;TNF;IFNAR1
KEGG_2019_Human	Renal cell carcinoma	4/69	1.256063e-03	6.087074e-03	0	0	9.230303e+00	6.165633e+01	CDC42;JUN;AKT1;RAC1
KEGG_2019_Human	B cell receptor signaling pathway	4/71	1.397035e-03	6.600990e-03	0	0	8.953867e+00	5.885738e+01	GSK3B;JUN;AKT1;RAC1
KEGG_2019_Human	Cell cycle	5/124	1.592364e-03	7.340409e-03	0	0	6.332991e+00	4.080052e+01	GSK3B;HDAC2;MYC;CUL1;MCM2
KEGG_2019_Human	Chronic myeloid leukemia	4/76	1.797115e-03	8.087018e-03	0	0	8.329966e+00	5.265849e+01	HDAC2;MYC;AKT1;TGFBR2
KEGG_2019_Human	Antigen processing and presentation	4/77	1.885714e-03	8.288372e-03	0	0	8.215442e+00	5.153915e+01	HSP90AB1;CANX;TNF;HSPA1A
KEGG_2019_Human	Thyroid cancer	3/37	2.017852e-03	8.667590e-03	0	0	1.315568e+01	8.164051e+01	NTRK1;CDH1;MYC
KEGG_2019_Human	Ubiquitin mediated proteolysis	5/137	2.463337e-03	1.034602e-02	0	0	5.705529e+00	3.426876e+01	CDC34;FBXW7;FBXO2;HUWE1;CUL1
KEGG_2019_Human	ErbB signaling pathway	4/85	2.706090e-03	1.111850e-02	0	0	7.401048e+00	4.375685e+01	GSK3B;JUN;MYC;AKT1
KEGG_2019_Human	Apoptosis	5/143	2.964436e-03	1.192082e-02	0	0	5.455803e+00	3.175860e+01	NTRK1;JUN;LMNA;AKT1;TNF
KEGG_2019_Human	Human immunodeficiency virus 1 infection	6/212	3.317396e-03	1.306225e-02	0	0	4.404332e+00	2.514246e+01	JUN;CUL1;AKT1;RAC1;TNF;AP1M1
KEGG_2019_Human	Gastric cancer	5/149	3.535379e-03	1.363646e-02	0	0	5.226887e+00	2.950544e+01	GSK3B;CDH1;MYC;AKT1;TGFBR2
KEGG_2019_Human	Hedgehog signaling pathway	3/47	4.007951e-03	1.496753e-02	0	0	1.016063e+01	5.608134e+01	GSK3B;CUL1;CSNK1G2
KEGG_2019_Human	NF-kappa B signaling pathway	4/95	4.038856e-03	1.496753e-02	0	0	6.584416e+00	3.629194e+01	DDX58;CSNK2A2;TRIM25;TNF
KEGG_2019_Human	Choline metabolism in cancer	4/99	4.677430e-03	1.700066e-02	0	0	6.305901e+00	3.383120e+01	PDGFRB;JUN;AKT1;RAC1
KEGG_2019_Human	Necroptosis	5/162	5.036877e-03	1.786443e-02	0	0	4.790927e+00	2.534865e+01	HSP90AB1;EIF2AK2;TNF;IFNAR1;JAK1
KEGG_2019_Human	Ras signaling pathway	6/232	5.138135e-03	1.786443e-02	0	0	4.010483e+00	2.113952e+01	PDGFRB;NTRK1;CDC42;AKT1;RAC1;RHOA
KEGG_2019_Human	Longevity regulating pathway	4/102	5.198643e-03	1.786443e-02	0	0	6.111936e+00	3.214486e+01	HDAC2;CREB3L1;AKT1;HSPA1A
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	4/103	5.380671e-03	1.803453e-02	0	0	6.049893e+00	3.161034e+01	JUN;AKT1;TNF;TGFBR2
KEGG_2019_Human	RNA transport	5/165	5.438985e-03	1.803453e-02	0	0	4.700382e+00	2.450856e+01	EIF4A2;EIF4A1;ALYREF;EIF3F;EIF4G1
KEGG_2019_Human	C-type lectin receptor signaling pathway	4/104	5.566915e-03	1.814046e-02	0	0	5.989091e+00	3.108886e+01	JUN;AKT1;TNF;RHOA
KEGG_2019_Human	Th17 cell differentiation	4/107	6.151375e-03	1.900357e-02	0	0	5.813769e+00	2.959836e+01	JUN;HSP90AB1;JAK1;TGFBR2
KEGG_2019_Human	Tight junction	5/170	6.158813e-03	1.900357e-02	0	0	4.556789e+00	2.319347e+01	CDC42;MYL6;JUN;RAC1;RHOA
KEGG_2019_Human	Legionellosis	3/55	6.233975e-03	1.900357e-02	0	0	8.593985e+00	4.363803e+01	HSF1;TNF;HSPA1A
KEGG_2019_Human	Pathogenic Escherichia coli infection	3/55	6.233975e-03	1.900357e-02	0	0	8.593985e+00	4.363803e+01	CDC42;CDH1;RHOA
KEGG_2019_Human	Insulin resistance	4/108	6.354910e-03	1.906473e-02	0	0	5.757576e+00	2.912486e+01	GSK3B;CREB3L1;AKT1;TNF
KEGG_2019_Human	TNF signaling pathway	4/110	6.775299e-03	2.000831e-02	0	0	5.648370e+00	2.821063e+01	JUN;CREB3L1;AKT1;TNF
KEGG_2019_Human	Toxoplasmosis	4/113	7.439780e-03	2.136635e-02	0	0	5.492077e+00	2.691620e+01	AKT1;TNF;JAK1;HSPA1A
KEGG_2019_Human	VEGF signaling pathway	3/59	7.574314e-03	2.136635e-02	0	0	7.978518e+00	3.895904e+01	CDC42;AKT1;RAC1
KEGG_2019_Human	Lysine degradation	3/59	7.574314e-03	2.136635e-02	0	0	7.978518e+00	3.895904e+01	HADHA;KMT2A;EZH2
KEGG_2019_Human	Axon guidance	5/181	7.973733e-03	2.216229e-02	0	0	4.269604e+00	2.062903e+01	CDC42;GSK3B;ILK;RAC1;RHOA
KEGG_2019_Human	Thyroid hormone signaling pathway	4/116	8.145874e-03	2.231261e-02	0	0	5.344156e+00	2.570669e+01	GSK3B;HDAC2;MYC;AKT1
KEGG_2019_Human	Sphingolipid signaling pathway	4/119	8.894601e-03	2.371852e-02	0	0	5.203953e+00	2.457468e+01	AKT1;RAC1;TNF;RHOA
KEGG_2019_Human	Transcriptional misregulation in cancer	5/186	8.910132e-03	2.371852e-02	0	0	4.150605e+00	1.959321e+01	NTRK1;HDAC2;KMT2A;MYC;TGFBR2
KEGG_2019_Human	Chemokine signaling pathway	5/190	9.712019e-03	2.549405e-02	0	0	4.060037e+00	1.881580e+01	CDC42;GSK3B;AKT1;RAC1;RHOA
