Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	33/530	5.080990e-20	5.275197e-18	0	0	9.878037e+00	4.388436e+02	RB1;GSK3B;HSP90AB1;ARAF;PTEN;PIK3R3;STK4;HIF1A;RELA;HSP90B1;CASP8;PLCG2;AKT1;EP300;VHL;HRAS;NQO1;CREBBP;CHUK;CDKN2A;DAPK3;PTK2;MTOR;MSH2;CDK4;TRAF6;CDK2;BAX;TP53;CRK;FGFR1;BCL2L1;BIRC3
KEGG_2019_Human	Viral carcinogenesis	23/201	5.301705e-20	5.275197e-18	0	0	1.814434e+01	8.053125e+02	RB1;CREBBP;YWHAB;CDKN2A;SRC;PXN;PIK3R3;YWHAZ;RELA;KAT2B;CREB1;CASP8;PKM;CDK4;CHEK1;CDK2;CDK1;REL;BAX;EP300;TP53;HRAS;YWHAG
KEGG_2019_Human	Prostate cancer	18/97	9.309177e-20	6.175087e-18	0	0	3.104705e+01	1.360504e+03	RB1;GSK3B;CREBBP;HSP90AB1;CHUK;ARAF;PTEN;PIK3R3;RELA;MTOR;HSP90B1;CREB1;CDK2;AKT1;EP300;TP53;HRAS;FGFR1
KEGG_2019_Human	Hepatitis C	19/155	2.928944e-17	1.457150e-15	0	0	1.911351e+01	7.276381e+02	RB1;GSK3B;CHUK;YWHAB;ARAF;PIK3R3;YWHAZ;RELA;PIAS1;MAVS;CASP8;CDK4;TRAF6;CDK2;AKT1;BAX;TP53;HRAS;YWHAG
KEGG_2019_Human	Hepatitis B	19/163	7.647801e-17	3.043825e-15	0	0	1.804432e+01	6.696162e+02	RB1;CREBBP;CHUK;YWHAB;SRC;ARAF;PIK3R3;YWHAZ;RELA;MAVS;CASP8;CREB1;TRAF6;CDK2;AKT1;EP300;BAX;TP53;HRAS
KEGG_2019_Human	PI3K-Akt signaling pathway	25/354	1.386191e-16	4.597535e-15	0	0	1.074182e+01	3.922353e+02	GSK3B;HSP90AB1;YWHAB;PTEN;PIK3R3;FOXO3;RELA;HSP90B1;GYS2;STK11;AKT1;HRAS;YWHAG;NGFR;CHUK;YWHAZ;PTK2;MTOR;CREB1;CDK4;CDC37;CDK2;TP53;FGFR1;BCL2L1
KEGG_2019_Human	p53 signaling pathway	14/72	6.425995e-16	1.826819e-14	0	0	3.204189e+01	1.120858e+03	CDKN2A;SERPINE1;PTEN;COP1;CASP8;RRM2B;CDK4;CHEK1;CDK2;CDK1;BAX;MDM4;TP53;BCL2L1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	19/186	9.215188e-16	2.292278e-14	0	0	1.554100e+01	5.380374e+02	RB1;GSK3B;CREBBP;CHUK;SRC;PIK3R3;HIF1A;RELA;MTOR;CREB1;CASP8;UBB;CDK4;PLCG2;BAX;AKT1;EP300;TP53;HRAS
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	20/219	1.382312e-15	3.056445e-14	0	0	1.380188e+01	4.722315e+02	RB1;NRP1;CREBBP;CHUK;CDKN2A;PTEN;PIK3R3;RELA;KAT2B;CREB1;CDK4;CHEK1;CDK2;CANX;BAX;AKT1;EP300;TP53;HRAS;BCL2L1
KEGG_2019_Human	Cell cycle	16/124	4.564910e-15	9.084171e-14	0	0	1.988309e+01	6.565473e+02	RB1;GSK3B;CREBBP;PRKDC;YWHAB;CDKN2A;YWHAZ;CDK7;FZR1;CDK4;CHEK1;CDK2;CDK1;EP300;TP53;YWHAG
KEGG_2019_Human	Small cell lung cancer	14/93	2.754432e-14	4.983018e-13	0	0	2.349945e+01	7.337228e+02	RB1;CHUK;PTEN;PIK3R3;RELA;PTK2;CDK4;TRAF6;CDK2;AKT1;BAX;TP53;BIRC3;BCL2L1
KEGG_2019_Human	Thyroid hormone signaling pathway	15/116	3.272545e-14	5.426971e-13	0	0	1.980466e+01	6.149469e+02	GSK3B;NCOA2;CREBBP;SRC;PIK3R3;HIF1A;ACTB;MTOR;KAT2B;PLCG2;AKT1;PLCE1;EP300;TP53;HRAS
KEGG_2019_Human	Chronic myeloid leukemia	13/76	4.223842e-14	6.465727e-13	0	0	2.720233e+01	8.377078e+02	RB1;CHUK;CDKN2A;ARAF;PIK3R3;RELA;CDK4;AKT1;BAX;HRAS;TP53;CRK;BCL2L1
KEGG_2019_Human	Neurotrophin signaling pathway	15/119	4.818817e-14	6.849604e-13	0	0	1.923044e+01	5.896759e+02	NGFR;GSK3B;PIK3R3;FOXO3;RELA;RPS6KA3;RPS6KA2;TRAF6;RPS6KA1;PLCG2;AKT1;BAX;TP53;HRAS;CRK
KEGG_2019_Human	Human immunodeficiency virus 1 infection	18/212	1.391311e-13	1.845806e-12	0	0	1.256929e+01	3.720931e+02	CHUK;PXN;PIK3R3;RELA;PTK2;MTOR;CUL4A;CASP8;TRAF6;CHEK1;PLCG2;CDK1;BAX;AKT1;CRK;HRAS;BCL2L1;CUL4B
KEGG_2019_Human	Non-small cell lung cancer	12/66	1.919102e-13	2.386883e-12	0	0	2.911405e+01	8.525104e+02	RB1;CDKN2A;CDK4;ARAF;PLCG2;AKT1;PIK3R3;BAX;FOXO3;STK4;HRAS;TP53
KEGG_2019_Human	Human cytomegalovirus infection	18/225	3.878450e-13	4.540069e-12	0	0	1.177211e+01	3.364255e+02	RB1;GSK3B;CHUK;CDKN2A;SRC;PXN;PIK3R3;RELA;PTK2;MTOR;CREB1;CASP8;CDK4;BAX;AKT1;TP53;CRK;HRAS
