Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Endocytosis	19/244	1.041937e-14	2.146390e-12	0	0	1.347884e+01	4.339529e+02	SH3GLB1;HSPA8;SMURF2;SMURF1;SRC;VTA1;NEDD4L;CBL;PML;RAB11A;PARD6A;UBB;TRAF6;CHMP1B;CHMP2B;MDM2;CHMP4B;FGFR3;FGFR2
KEGG_2019_Human	MAPK signaling pathway	18/295	3.513290e-12	3.618689e-10	0	0	1.026138e+01	2.706385e+02	HSPA8;PTPRR;TGFB1;HSPB1;FOS;TNF;MYC;TRAF6;ERBB2;RPS6KA1;GRB2;MAPT;RAF1;SOS1;FGFR3;LAMTOR3;FGFR2;MAP3K5
KEGG_2019_Human	mTOR signaling pathway	13/152	6.298870e-11	4.325224e-09	0	0	1.429630e+01	3.357925e+02	PRKAA2;TNF;FLCN;RRAGC;RRAGB;RPS6KA1;ULK1;GRB2;LAMTOR1;RAF1;SOS1;LAMTOR4;LAMTOR3
KEGG_2019_Human	Chronic myeloid leukemia	10/76	1.513154e-10	6.248174e-09	0	0	2.271809e+01	5.136936e+02	STAT5A;STAT5B;TGFB1;MYC;MDM2;PTPN11;GRB2;RAF1;SOS1;CBL
KEGG_2019_Human	Hepatitis B	13/163	1.516547e-10	6.248174e-09	0	0	1.324052e+01	2.993603e+02	STAT5A;STAT5B;TGFB1;SRC;FOS;TNF;YWHAZ;MYC;TRAF6;BIRC5;GRB2;RAF1;SOS1
KEGG_2019_Human	Ubiquitin mediated proteolysis	12/137	2.671687e-10	9.172791e-09	0	0	1.457206e+01	3.212140e+02	SMURF2;FBXW11;SMURF1;TRAF6;MDM2;KEAP1;NEDD4L;UBA1;STUB1;BTRC;CBL;PML
KEGG_2019_Human	ErbB signaling pathway	10/85	4.699045e-10	1.382862e-08	0	0	1.998283e+01	4.292010e+02	STAT5A;STAT5B;SRC;MYC;ERBB2;GRB2;RAF1;SOS1;CBL;PAK4
KEGG_2019_Human	Pathways in cancer	20/530	1.144128e-09	2.946130e-08	0	0	6.219222e+00	1.280452e+02	STAT5A;STAT5B;HSP90AA1;EGLN3;TGFB1;MGST3;KEAP1;FOS;CBL;PML;MYC;TRAF6;ERBB2;MDM2;BIRC5;GRB2;RAF1;SOS1;FGFR3;FGFR2
KEGG_2019_Human	Hippo signaling pathway	12/160	1.611063e-09	3.687544e-08	0	0	1.229314e+01	2.488915e+02	TGFB1;PARD6A;FRMD6;FBXW11;DLG4;MYC;BIRC5;BTRC;YWHAZ;ACTB;YWHAG;YWHAH
KEGG_2019_Human	Proteoglycans in cancer	13/201	2.021936e-09	4.165188e-08	0	0	1.054387e+01	2.110800e+02	TGFB1;SRC;ANK2;PTPN11;CBL;TNF;ACTB;MYC;ERBB2;MDM2;GRB2;RAF1;SOS1
KEGG_2019_Human	Renal cell carcinoma	8/69	3.072913e-08	5.754728e-07	0	0	1.937558e+01	3.351599e+02	FLCN;EGLN3;TGFB1;PTPN11;GRB2;RAF1;SOS1;PAK4
KEGG_2019_Human	Necroptosis	10/162	2.442152e-07	4.192361e-06	0	0	9.821571e+00	1.495355e+02	STAT5A;STAT5B;HSP90AA1;CHMP1B;CHMP2B;H2AFX;CHMP4B;SLC25A5;TNF;GLUL
KEGG_2019_Human	Autophagy	9/128	3.309990e-07	5.214560e-06	0	0	1.122455e+01	1.674832e+02	SH3GLB1;GABARAPL1;PRKAA2;RRAGC;RRAGB;TRAF6;ULK1;RAF1;GABARAP
KEGG_2019_Human	Central carbon metabolism in cancer	7/65	3.869656e-07	5.214560e-06	0	0	1.770115e+01	2.613562e+02	PKM;MYC;ERBB2;PDHB;RAF1;FGFR3;FGFR2
KEGG_2019_Human	Bladder cancer	6/41	4.221370e-07	5.214560e-06	0	0	2.498697e+01	3.667572e+02	SRC;MYC;ERBB2;MDM2;RAF1;FGFR3
KEGG_2019_Human	FoxO signaling pathway	9/132	4.300972e-07	5.214560e-06	0	0	1.085733e+01	1.591603e+02	USP7;GABARAPL1;TGFB1;PRKAA2;MDM2;GRB2;RAF1;SOS1;GABARAP
KEGG_2019_Human	Acute myeloid leukemia	7/66	4.303277e-07	5.214560e-06	0	0	1.740025e+01	2.550654e+02	STAT5A;STAT5B;MYC;GRB2;RAF1;SOS1;PML
KEGG_2019_Human	Prolactin signaling pathway	7/70	6.469316e-07	7.222129e-06	0	0	1.629218e+01	2.321803e+02	STAT5A;STAT5B;SRC;GRB2;FOS;RAF1;SOS1
KEGG_2019_Human	Fluid shear stress and atherosclerosis	9/139	6.661187e-07	7.222129e-06	0	0	1.026906e+01	1.460445e+02	HSP90AA1;PRKAA2;SRC;MGST3;KEAP1;FOS;TNF;ACTB;MAP3K5
KEGG_2019_Human	PI3K-Akt signaling pathway	13/354	1.499404e-06	1.544386e-05	0	0	5.767828e+00	7.734913e+01	HSP90AA1;PRKAA2;YWHAZ;MYC;ERBB2;MDM2;GRB2;RAF1;SOS1;FGFR3;FGFR2;YWHAG;YWHAH
KEGG_2019_Human	Hepatitis C	9/155	1.659102e-06	1.627500e-05	0	0	9.136265e+00	1.215967e+02	MYC;TRAF6;GRB2;RAF1;SOS1;TNF;YWHAZ;YWHAG;YWHAH
KEGG_2019_Human	Viral carcinogenesis	10/201	1.766203e-06	1.653808e-05	0	0	7.800650e+00	1.033327e+02	STAT5A;STAT5B;USP7;PKM;SRC;MDM2;GRB2;YWHAZ;YWHAG;YWHAH
KEGG_2019_Human	Colorectal cancer	7/86	2.638409e-06	2.363096e-05	0	0	1.298200e+01	1.667581e+02	TGFB1;MYC;BIRC5;GRB2;FOS;RAF1;SOS1
KEGG_2019_Human	Prostate cancer	7/97	5.911679e-06	5.048273e-05	0	0	1.138897e+01	1.371070e+02	HSP90AA1;ERBB2;MDM2;GRB2;RAF1;SOS1;FGFR2
KEGG_2019_Human	Estrogen signaling pathway	8/137	6.126544e-06	5.048273e-05	0	0	9.130626e+00	1.095938e+02	HSPA8;HSP90AA1;SRC;PGR;GRB2;FOS;RAF1;SOS1
KEGG_2019_Human	Mitophagy	6/65	6.743179e-06	5.342673e-05	0	0	1.480484e+01	1.762809e+02	GABARAPL1;UBB;SRC;ULK1;OPTN;GABARAP
KEGG_2019_Human	Non-small cell lung cancer	6/66	7.374470e-06	5.626448e-05	0	0	1.455735e+01	1.720313e+02	STAT5A;STAT5B;ERBB2;GRB2;RAF1;SOS1
KEGG_2019_Human	JAK-STAT signaling pathway	8/162	2.085482e-05	1.497243e-04	0	0	7.638690e+00	8.232923e+01	STAT5A;STAT5B;MYC;GRB2;PTPN11;RAF1;SOS1;GFAP
KEGG_2019_Human	Human immunodeficiency virus 1 infection	9/212	2.107770e-05	1.497243e-04	0	0	6.551909e+00	7.054634e+01	PDIA3;FBXW11;TRAF6;CFL1;FOS;RAF1;BTRC;TNF;PAK4
KEGG_2019_Human	Neurotrophin signaling pathway	7/119	2.264462e-05	1.508502e-04	0	0	9.141667e+00	9.777550e+01	TRAF6;RPS6KA1;GRB2;PTPN11;RAF1;SOS1;MAP3K5
KEGG_2019_Human	Regulation of actin cytoskeleton	9/214	2.270076e-05	1.508502e-04	0	0	6.487328e+00	6.936973e+01	SRC;CFL1;MYH9;RAF1;SOS1;FGFR3;ACTB;FGFR2;PAK4
KEGG_2019_Human	Hepatocellular carcinoma	8/168	2.709230e-05	1.744067e-04	0	0	7.350000e+00	7.729452e+01	TGFB1;MYC;MGST3;KEAP1;GRB2;RAF1;SOS1;ACTB
KEGG_2019_Human	Tight junction	8/170	2.949047e-05	1.790187e-04	0	0	7.258522e+00	7.571686e+01	PRKAA2;PARD6A;SRC;ERBB2;NEDD4L;MYH9;ACTB;MAP3K5
KEGG_2019_Human	Cell cycle	7/124	2.954678e-05	1.790187e-04	0	0	8.748781e+00	9.124573e+01	TGFB1;PRKDC;MYC;MDM2;YWHAZ;YWHAG;YWHAH
KEGG_2019_Human	Oocyte meiosis	7/125	3.111588e-05	1.831392e-04	0	0	8.674200e+00	9.001904e+01	FBXW11;RPS6KA1;PGR;BTRC;YWHAZ;YWHAG;YWHAH
KEGG_2019_Human	Thermogenesis	9/231	4.132592e-05	2.364761e-04	0	0	5.985369e+00	6.041644e+01	CPT1A;PRKAA2;COX15;RPS6KA1;GRB2;SOS1;NDUFV1;ACTB;MAP3K5
KEGG_2019_Human	Endometrial cancer	5/58	5.692066e-05	3.169096e-04	0	0	1.363793e+01	1.332951e+02	MYC;ERBB2;GRB2;RAF1;SOS1
KEGG_2019_Human	T cell receptor signaling pathway	6/101	8.393966e-05	4.550413e-04	0	0	9.177864e+00	8.613804e+01	GRB2;FOS;RAF1;SOS1;TNF;PAK4
KEGG_2019_Human	Breast cancer	7/147	8.728159e-05	4.610258e-04	0	0	7.302963e+00	6.825620e+01	MYC;ERBB2;PGR;GRB2;FOS;RAF1;SOS1
KEGG_2019_Human	Gastric cancer	7/149	9.500769e-05	4.892896e-04	0	0	7.199374e+00	6.667738e+01	TGFB1;MYC;ERBB2;GRB2;RAF1;SOS1;FGFR2
KEGG_2019_Human	Cellular senescence	7/160	1.481027e-04	7.441258e-04	0	0	6.678044e+00	5.888435e+01	TGFB1;FBXW11;MYC;MDM2;RAF1;BTRC;SLC25A5
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	8/219	1.737138e-04	8.520251e-04	0	0	5.559029e+00	4.813064e+01	STAT5A;STAT5B;TGFB1;XPO1;MYC;FOS;SLC25A5;TNF
KEGG_2019_Human	Human cytomegalovirus infection	8/225	2.088425e-04	1.000501e-03	0	0	5.403673e+00	4.579035e+01	PDIA3;SRC;MYC;MDM2;GRB2;RAF1;SOS1;TNF
KEGG_2019_Human	Axon guidance	7/181	3.153170e-04	1.476257e-03	0	0	5.865815e+00	4.728980e+01	PARD6A;SRC;SEMA4C;CFL1;PTPN11;RAF1;PAK4
KEGG_2019_Human	Relaxin signaling pathway	6/130	3.339122e-04	1.528576e-03	0	0	7.021110e+00	5.620140e+01	TGFB1;SRC;GRB2;FOS;RAF1;SOS1
KEGG_2019_Human	Hedgehog signaling pathway	4/47	3.427586e-04	1.534962e-03	0	0	1.335693e+01	1.065680e+02	SMURF2;FBXW11;SMURF1;BTRC
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	7/186	3.717458e-04	1.629354e-03	0	0	5.700517e+00	4.501870e+01	GABARAPL1;UBB;SRC;MYC;FOS;RAF1;GABARAP
KEGG_2019_Human	Insulin signaling pathway	6/137	4.419309e-04	1.896620e-03	0	0	6.643579e+00	5.131737e+01	PRKAA2;GRB2;RAF1;SOS1;CBL;FBP1
KEGG_2019_Human	TGF-beta signaling pathway	5/90	4.552921e-04	1.914085e-03	0	0	8.489910e+00	6.532622e+01	TGFB1;SMURF2;SMURF1;MYC;TNF
KEGG_2019_Human	Apoptosis	6/143	5.546800e-04	2.249713e-03	0	0	6.350687e+00	4.761186e+01	BIRC5;FOS;RAF1;TNF;ACTB;MAP3K5
KEGG_2019_Human	Focal adhesion	7/199	5.569678e-04	2.249713e-03	0	0	5.311034e+00	3.979559e+01	SRC;ERBB2;GRB2;RAF1;SOS1;ACTB;PAK4
KEGG_2019_Human	Non-alcoholic fatty liver disease (NAFLD)	6/149	6.886228e-04	2.728006e-03	0	0	6.082374e+00	4.428465e+01	GSK3A;TGFB1;PRKAA2;TNF;NDUFV1;MAP3K5
KEGG_2019_Human	Glucagon signaling pathway	5/103	8.425826e-04	3.274944e-03	0	0	7.358856e+00	5.209363e+01	CPT1A;PKM;PRKAA2;PDHB;FBP1
KEGG_2019_Human	C-type lectin receptor signaling pathway	5/104	8.801492e-04	3.357606e-03	0	0	7.284155e+00	5.124709e+01	SRC;MDM2;PTPN11;RAF1;TNF
KEGG_2019_Human	Th17 cell differentiation	5/107	1.000352e-03	3.746773e-03	0	0	7.068842e+00	4.882734e+01	STAT5A;STAT5B;HSP90AA1;TGFB1;FOS
KEGG_2019_Human	Insulin resistance	5/108	1.043005e-03	3.836769e-03	0	0	6.999858e+00	4.805857e+01	CPT1A;PRKAA2;RPS6KA1;PTPN11;TNF
KEGG_2019_Human	Protein processing in endoplasmic reticulum	6/165	1.169598e-03	4.186960e-03	0	0	5.465871e+00	3.690062e+01	PDIA3;HSPA8;HSP90AA1;WFS1;STUB1;MAP3K5
KEGG_2019_Human	Shigellosis	4/65	1.178853e-03	4.186960e-03	0	0	9.406985e+00	6.343331e+01	FBXW11;SRC;BTRC;ACTB
KEGG_2019_Human	MicroRNAs in cancer	8/299	1.353276e-03	4.592437e-03	0	0	4.014361e+00	2.651577e+01	MYC;ERBB2;MDM2;GRB2;RAF1;SOS1;FGFR3;PAK4
KEGG_2019_Human	Circadian rhythm	3/31	1.361569e-03	4.592437e-03	0	0	1.528520e+01	1.008688e+02	PRKAA2;FBXW11;BTRC
KEGG_2019_Human	Ras signaling pathway	7/232	1.364956e-03	4.592437e-03	0	0	4.524477e+00	2.984632e+01	GRB2;PTPN11;RAF1;SOS1;FGFR3;FGFR2;PAK4
