Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Neurotrophin signaling pathway	24/119	7.476005e-31	1.263445e-28	0	0	5.494043e+01	3.811132e+03	YWHAE;MAP2K1;PDPK1;PIK3R3;PIK3CD;FRS2;PTPN11;PIK3R2;PIK3R1;PIK3CB;RHOA;NFKBIA;RPS6KA3;NRAS;PIK3CA;RPS6KA2;RPS6KA1;GRB2;KRAS;PLCG1;RAC1;SOS1;TP53;HRAS
KEGG_2019_Human	Proteoglycans in cancer	27/201	1.285271e-29	1.086054e-27	0	0	3.475686e+01	2.312165e+03	SRC;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;CBL;NRAS;CCND1;PLCG1;RAC1;HRAS;MAP2K1;PDPK1;CAV1;FRS2;PTPN11;RHOA;PIK3CA;MDM2;PTPN6;GRB2;KRAS;SOS1;TP53;CD44;FGFR1
KEGG_2019_Human	Rap1 signaling pathway	26/206	8.513123e-28	3.875321e-26	0	0	3.198065e+01	1.993379e+03	SRC;PDGFB;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;PRKCZ;NRAS;PARD6A;PDGFD;RAC2;PLCG1;RAC1;HRAS;PRKCI;MAP2K1;INSR;RHOA;FGF17;PIK3CA;PARD3;KRAS;FGFR3;FGFR2;FGFR1
KEGG_2019_Human	Prostate cancer	21/97	9.172356e-28	3.875321e-26	0	0	5.822914e+01	3.625125e+03	MAP2K1;PDPK1;PDGFB;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;NFKBIA;NRAS;CCND1;PIK3CA;PDGFD;MDM2;GRB2;KRAS;SOS1;TP53;HRAS;FGFR2;FGFR1
KEGG_2019_Human	PI3K-Akt signaling pathway	30/354	8.062215e-27	2.725029e-25	0	0	2.130828e+01	1.280257e+03	YWHAE;PDGFB;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;PIK3CG;PPP2CA;NRAS;CCND1;PPP2R1A;PDGFD;RAC1;HRAS;MAP2K1;PDPK1;INSR;YWHAZ;FGF17;PIK3CA;MDM2;GRB2;KRAS;IL7R;SOS1;TP53;FGFR3;FGFR2;FGFR1
KEGG_2019_Human	Chronic myeloid leukemia	19/76	1.668809e-26	4.700479e-25	0	0	6.884722e+01	4.086434e+03	MAP2K1;CTBP1;PIK3CD;PIK3R3;PIK3R2;PTPN11;PIK3CB;PIK3R1;CBL;NFKBIA;NRAS;CCND1;PIK3CA;MDM2;KRAS;GRB2;SOS1;HRAS;TP53
KEGG_2019_Human	Ras signaling pathway	25/232	5.577007e-25	1.346449e-23	0	0	2.640633e+01	1.474687e+03	PDGFB;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;NRAS;PDGFD;RAC2;PLCG1;RAC1;HRAS;PAK4;MAP2K1;INSR;PTPN11;RHOA;FGF17;PIK3CA;GRB2;KRAS;SOS1;FGFR3;FGFR2;FGFR1
KEGG_2019_Human	T cell receptor signaling pathway	19/101	6.344068e-24	1.340184e-22	0	0	4.779688e+01	2.553047e+03	MAP2K1;PDPK1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;RHOA;NFKBIA;NRAS;PIK3CA;GRB2;FYN;PTPN6;KRAS;PLCG1;SOS1;HRAS;PAK4
KEGG_2019_Human	Fc epsilon RI signaling pathway	17/68	8.442334e-24	1.585283e-22	0	0	6.746259e+01	3.584205e+03	MAP2K1;PDPK1;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;NRAS;PIK3CA;RAC2;FYN;KRAS;GRB2;RAC1;PLCG1;SOS1;HRAS
KEGG_2019_Human	Renal cell carcinoma	17/69	1.115051e-23	1.862361e-22	0	0	6.616189e+01	3.496693e+03	MAP2K1;PDGFB;PIK3CD;PIK3R3;PIK3R2;PTPN11;PIK3CB;PIK3R1;NRAS;PIK3CA;KRAS;GRB2;RAC1;VHL;SOS1;HRAS;PAK4
