Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteoglycans in cancer	20/201	5.188266e-19	8.508757e-17	0	0	2.176685e+01	9.164436e+02	SRC;PXN;FN1;PIK3R3;FRS2;PTPN11;PIK3R2;PIK3R1;CBL;FGF2;PPP1CA;ERBB3;MDM2;AKT1;CTNNB1;PTPN6;GRB2;PLCG1;SOS1;FGFR1
KEGG_2019_Human	Ubiquitin mediated proteolysis	17/137	6.075326e-18	4.981767e-16	0	0	2.717799e+01	1.077398e+03	UBE2I;SMURF2;FBXW7;SMURF1;NEDD4L;WWP1;CBL;UBE2L3;CUL4A;FZR1;ITCH;SOCS1;TRAF6;NEDD4;CDC27;MDM2;CUL4B
KEGG_2019_Human	Breast cancer	16/147	5.097375e-16	2.714946e-14	0	0	2.319319e+01	8.166933e+02	CSNK1A1;NCOA3;PTEN;PIK3R3;PIK3R2;PIK3R1;FGF1;FGF2;E2F1;DVL2;AKT1;CTNNB1;PGR;GRB2;SOS1;FGFR1
KEGG_2019_Human	Prostate cancer	14/97	6.621819e-16	2.714946e-14	0	0	3.150239e+01	1.101040e+03	CHUK;PTEN;PIK3R3;PIK3R2;PIK3R1;AR;MDM2;E2F1;AKT1;CTNNB1;GRB2;SOS1;FGFR2;FGFR1
KEGG_2019_Human	Pathways in cancer	25/530	8.761499e-16	2.873772e-14	0	0	1.009640e+01	3.500524e+02	PTEN;PIK3R3;PIK3R2;PIK3R1;FGF1;CBL;FGF2;SUFU;E2F1;DVL2;AKT1;PLCG1;STAT5B;CHUK;NCOA3;FN1;AR;TRAF6;MDM2;CTNNB1;GRB2;SOS1;FGFR3;FGFR2;FGFR1
KEGG_2019_Human	Endocytosis	18/244	6.871014e-15	1.878077e-13	0	0	1.534669e+01	5.004782e+02	SH3GLB1;USP8;SH3GL3;SMURF2;SMURF1;SRC;NEDD4L;WWP1;CBL;RNF41;ITCH;HGS;TRAF6;NEDD4;MDM2;FGFR3;FGFR2;SH3GL1
KEGG_2019_Human	Chronic myeloid leukemia	12/76	2.784770e-14	6.524319e-13	0	0	3.440278e+01	1.073780e+03	STAT5B;CHUK;E2F1;MDM2;AKT1;PIK3R3;PIK3R2;PTPN11;GRB2;PIK3R1;SOS1;CBL
KEGG_2019_Human	Rap1 signaling pathway	16/206	1.081224e-13	2.057403e-12	0	0	1.594332e+01	4.759960e+02	SRC;MAGI3;MAGI2;PIK3R3;PIK3R2;PIK3R1;FGF1;FGF2;AKT1;CTNNB1;PLCG1;PFN1;FGFR3;FGFR2;BCAR1;FGFR1
KEGG_2019_Human	ErbB signaling pathway	12/85	1.129062e-13	2.057403e-12	0	0	3.014764e+01	8.987681e+02	STAT5B;ERBB3;SRC;AKT1;PIK3R3;PIK3R2;GRB2;PIK3R1;PLCG1;SOS1;CBL;PAK4
KEGG_2019_Human	Regulation of actin cytoskeleton	16/214	1.956419e-13	3.208527e-12	0	0	1.529293e+01	4.475092e+02	SRC;PXN;FN1;PIK3R3;PIK3R2;PIK3R1;FGF1;FGF2;PPP1CA;PFN1;SOS1;FGFR3;FGFR2;BCAR1;PAK4;FGFR1
KEGG_2019_Human	Neurotrophin signaling pathway	13/119	3.074877e-13	4.584363e-12	0	0	2.266461e+01	6.529751e+02	PIK3R3;FRS2;PIK3R2;PTPN11;PIK3R1;RPS6KA3;RPS6KA2;TRAF6;RPS6KA1;AKT1;GRB2;PLCG1;SOS1
KEGG_2019_Human	T cell receptor signaling pathway	12/101	9.442836e-13	1.290521e-11	0	0	2.470787e+01	6.841200e+02	PPP3CA;DLG1;CHUK;AKT1;PIK3R3;PIK3R2;GRB2;PTPN6;PIK3R1;PLCG1;SOS1;PAK4
KEGG_2019_Human	Human papillomavirus infection	18/330	1.226614e-12	1.547421e-11	0	0	1.106787e+01	3.035559e+02	CHUK;CSNK1A1;PXN;FN1;PTEN;EIF2AK2;PIK3R3;PIK3R2;PIK3R1;DLG1;PKM;E2F1;MDM2;DVL2;AKT1;CTNNB1;GRB2;SOS1
KEGG_2019_Human	PI3K-Akt signaling pathway	18/354	3.986531e-12	4.669937e-11	0	0	1.026471e+01	2.694290e+02	CHUK;MAGI2;FN1;PTEN;PIK3R3;PIK3R2;PIK3R1;FGF1;FGF2;YWHAZ;ERBB3;MDM2;AKT1;GRB2;SOS1;FGFR3;FGFR2;FGFR1
KEGG_2019_Human	Gastric cancer	13/149	5.666147e-12	6.194987e-11	0	0	1.763826e+01	4.567695e+02	CSNK1A1;PIK3R3;PIK3R2;PIK3R1;FGF1;FGF2;E2F1;DVL2;AKT1;CTNNB1;GRB2;SOS1;FGFR2
KEGG_2019_Human	Human cytomegalovirus infection	15/225	6.103335e-12	6.255919e-11	0	0	1.338095e+01	3.455254e+02	CHUK;SRC;PXN;PIK3R3;PIK3R2;PIK3R1;PPP3CA;E2F1;MDM2;AKT1;CTNNB1;PTK2B;GRB2;SOS1;BCAR1
KEGG_2019_Human	Ras signaling pathway	15/232	9.472070e-12	9.137761e-11	0	0	1.294470e+01	3.285711e+02	CHUK;PIK3R3;PTPN11;PIK3R2;PIK3R1;FGF1;FGF2;AKT1;GRB2;PLCG1;SOS1;FGFR3;FGFR2;PAK4;FGFR1
KEGG_2019_Human	Focal adhesion	14/199	1.564003e-11	1.397658e-10	0	0	1.406068e+01	3.498465e+02	SRC;PXN;FN1;PTEN;PIK3R3;PIK3R2;PIK3R1;PPP1CA;AKT1;CTNNB1;GRB2;SOS1;BCAR1;PAK4
KEGG_2019_Human	Melanoma	10/72	1.619238e-11	1.397658e-10	0	0	2.905865e+01	7.220052e+02	PTEN;E2F1;MDM2;AKT1;PIK3R3;PIK3R2;PIK3R1;FGF1;FGF2;FGFR1
KEGG_2019_Human	Hepatitis B	13/163	1.780617e-11	1.460106e-10	0	0	1.598069e+01	3.955455e+02	STAT5B;CHUK;SRC;PIK3R3;PIK3R2;PIK3R1;YWHAZ;TRAF6;E2F1;AKT1;PTK2B;GRB2;SOS1
