Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	35/530	1.967727e-24	3.620617e-22	0	0	1.304040e+01	7.118126e+02	CAMK2B;CDKN1A;HSP90AB1;ARAF;LPAR1;RELA;GNAI1;GNAI2;FGF5;NRAS;DVL2;RAC2;MAPK1;FGF23;HRAS;JAK1;EGLN1;JUN;HSP90AA1;STAT1;STAT3;ARNT;BRAF;TRAF6;CDK2;MDM2;CTNNB1;GRB2;KRAS;RAF1;SOS1;FGFR3;SOS2;FGFR1;BCL2L1
KEGG_2019_Human	Prostate cancer	18/97	5.556437e-21	5.111922e-19	0	0	3.694314e+01	1.723003e+03	CDKN1A;HSP90AA1;HSP90AB1;ARAF;BRAF;RELA;NRAS;CDK2;MDM2;MAPK1;CTNNB1;GRB2;KRAS;RAF1;SOS1;HRAS;SOS2;FGFR1
KEGG_2019_Human	PI3K-Akt signaling pathway	25/354	3.181480e-18	1.951308e-16	0	0	1.290538e+01	5.199472e+02	CDKN1A;HSP90AB1;LPAR1;RELA;PIK3CG;FGF5;NRAS;ERBB3;MAPK1;FGF23;HRAS;JAK1;HSP90AA1;RHEB;CDC37;CDK2;MDM2;GRB2;KRAS;RAF1;SOS1;FGFR3;SOS2;FGFR1;BCL2L1
KEGG_2019_Human	Hepatitis C	18/155	3.523765e-17	1.429708e-15	0	0	2.124052e+01	8.046846e+02	CDKN1A;STAT1;STAT3;ARAF;BRAF;RELA;NRAS;TRAF6;CDK2;CTNNB1;MAPK1;GRB2;KRAS;RAF1;SOS1;SOS2;HRAS;JAK1
KEGG_2019_Human	Renal cell carcinoma	14/69	3.885075e-17	1.429708e-15	0	0	4.001010e+01	1.511854e+03	EGLN1;CDKN1A;JUN;ARAF;ARNT;BRAF;NRAS;MAPK1;KRAS;GRB2;RAF1;SOS1;HRAS;SOS2
KEGG_2019_Human	Hepatitis B	18/163	8.768193e-17	2.688913e-15	0	0	2.006049e+01	7.416927e+02	JUN;CDKN1A;STAT1;STAT3;ARAF;BRAF;RELA;NRAS;TRAF6;CDK2;MAPK1;GRB2;KRAS;RAF1;SOS1;SOS2;HRAS;JAK1
KEGG_2019_Human	MAPK signaling pathway	22/295	1.264932e-16	3.324963e-15	0	0	1.337661e+01	4.896686e+02	JUN;ARAF;BRAF;RELA;FGF5;RPS6KA3;NRAS;DUSP10;ERBB3;TRAF6;RAC2;MAPK1;GRB2;KRAS;RAF1;SOS1;FGF23;FGFR3;SOS2;HRAS;HSPA1A;FGFR1
KEGG_2019_Human	Chronic myeloid leukemia	14/76	1.657153e-16	3.811451e-15	0	0	3.548029e+01	1.289221e+03	CDKN1A;ARAF;BRAF;RELA;NRAS;MDM2;MAPK1;KRAS;GRB2;RAF1;SOS1;HRAS;SOS2;BCL2L1
KEGG_2019_Human	Breast cancer	17/147	2.989894e-16	6.112672e-15	0	0	2.097624e+01	7.498191e+02	JUN;CDKN1A;ARAF;BRAF;FGF5;NRAS;DVL2;CTNNB1;MAPK1;GRB2;KRAS;RAF1;SOS1;FGF23;SOS2;HRAS;FGFR1
KEGG_2019_Human	ErbB signaling pathway	14/85	8.687608e-16	1.598520e-14	0	0	3.096870e+01	1.073978e+03	CAMK2B;CDKN1A;JUN;ARAF;BRAF;NRAS;ERBB3;MAPK1;KRAS;GRB2;RAF1;SOS1;HRAS;SOS2
