Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Fluid shear stress and atherosclerosis	14/139	1.125830e-13	2.015236e-11	0	0	2.087321e+01	6.223365e+02	NQO1;JUN;HSP90AA1;HSP90AB1;NCF1;KEAP1;RELA;MAPK7;SUMO1;SUMO3;SUMO2;SQSTM1;MAP2K6;NFE2L2
KEGG_2019_Human	Hepatitis B	14/163	1.029399e-12	9.213124e-11	0	0	1.748981e+01	4.827544e+02	PRKCG;JUN;CDKN1A;STAT3;PRKCA;RELA;CREB3;MYC;CASP3;CDK2;GRB2;KRAS;ATF4;MAP2K6
KEGG_2019_Human	Pathways in cancer	21/530	6.414755e-12	3.827470e-10	0	0	8.072692e+00	2.080528e+02	PRKCG;GSK3B;NQO1;JUN;HSP90AA1;CDKN1A;HSP90AB1;STAT3;KEAP1;PRKCA;RELA;MYC;CASP3;CDK2;MDM2;DVL2;GRB2;PPARG;KRAS;FGFR3;NFE2L2
KEGG_2019_Human	Prostate cancer	11/97	1.465698e-11	6.407145e-10	0	0	2.322744e+01	5.794341e+02	GSK3B;CREB3;CDKN1A;HSP90AA1;HSP90AB1;CDK2;MDM2;GRB2;KRAS;RELA;ATF4
KEGG_2019_Human	Viral carcinogenesis	14/201	1.789705e-11	6.407145e-10	0	0	1.390889e+01	3.441947e+02	JUN;CDKN1A;STAT3;RELA;CREB3;HIST4H4;CASP3;CDK2;MDM2;REL;GRB2;HIST1H2BH;KRAS;ATF4
KEGG_2019_Human	Hepatocellular carcinoma	13/168	2.611065e-11	7.789679e-10	0	0	1.546126e+01	3.767705e+02	PRKCG;GSK3B;NQO1;CDKN1A;KEAP1;PRKCA;SMARCA4;MYC;DPF1;DVL2;GRB2;KRAS;NFE2L2
KEGG_2019_Human	Human cytomegalovirus infection	14/225	8.101222e-11	2.071598e-09	0	0	1.231181e+01	2.860825e+02	PRKCG;GSK3B;CDKN1A;STAT3;PRKCA;RELA;CREB3;MYC;CASP3;MDM2;GRB2;KRAS;ATF4;MAP2K6
KEGG_2019_Human	MAPK signaling pathway	15/295	2.812654e-10	5.608450e-09	0	0	1.000000e+01	2.199172e+02	PRKCG;HSPA8;JUN;PRKCA;RELA;MAPK7;MYC;CASP3;DDIT3;GRB2;KRAS;FGFR3;HSPA1A;ATF4;MAP2K6
KEGG_2019_Human	Osteoclast differentiation	11/127	2.819891e-10	5.608450e-09	0	0	1.719424e+01	3.780868e+02	FOSL1;JUN;NCF1;FOSB;GRB2;PPARG;SQSTM1;JUNB;RELA;FOSL2;MAP2K6
KEGG_2019_Human	MicroRNAs in cancer	14/299	3.327346e-09	5.589183e-08	0	0	9.080768e+00	1.772665e+02	PRKCG;CDKN1A;STAT3;PRKCA;BRCA1;BMI1;MAPK7;MYC;CASP3;MDM2;GRB2;KRAS;FGFR3;EZH2
KEGG_2019_Human	PI3K-Akt signaling pathway	15/354	3.434693e-09	5.589183e-08	0	0	8.234724e+00	1.604893e+02	GSK3B;HSP90AA1;CDKN1A;HSP90AB1;PRKCA;BRCA1;RELA;CREB3;MYC;CDK2;MDM2;GRB2;KRAS;FGFR3;ATF4
KEGG_2019_Human	IL-17 signaling pathway	9/93	4.687895e-09	6.929246e-08	0	0	1.910811e+01	3.664607e+02	FOSL1;GSK3B;HSP90AA1;JUN;HSP90AB1;MAPK7;CASP3;FOSB;RELA
KEGG_2019_Human	Mitophagy	8/65	5.032413e-09	6.929246e-08	0	0	2.484085e+01	4.746433e+02	JUN;EIF2AK3;KRAS;SQSTM1;OPTN;RELA;ATF4;ATG5
KEGG_2019_Human	Estrogen signaling pathway	10/137	9.995552e-09	1.278003e-07	0	0	1.413958e+01	2.604671e+02	CREB3;HSPA8;JUN;HSP90AA1;HSP90AB1;PRKCD;GRB2;KRAS;HSPA1A;ATF4
KEGG_2019_Human	Transcriptional misregulation in cancer	11/186	1.610944e-08	1.922393e-07	0	0	1.136330e+01	2.039015e+02	CDKN1A;MAF;NCOR1;MYC;DDIT3;MDM2;REL;ETV1;PPARG;BMI1;RELA
KEGG_2019_Human	Hepatitis C	10/155	3.266176e-08	3.654034e-07	0	0	1.237304e+01	2.132749e+02	GSK3B;CDKN1A;MYC;CASP3;CDK2;STAT3;EIF2AK3;GRB2;KRAS;RELA
KEGG_2019_Human	ErbB signaling pathway	8/85	4.342976e-08	4.392576e-07	0	0	1.837013e+01	3.114127e+02	PRKCG;GSK3B;CDKN1A;JUN;MYC;PRKCA;KRAS;GRB2
KEGG_2019_Human	Cellular senescence	10/160	4.417115e-08	4.392576e-07	0	0	1.195758e+01	2.025039e+02	CDKN1A;FBXW11;MYC;CDK2;MDM2;KRAS;BTRC;SQSTM1;RELA;MAP2K6
KEGG_2019_Human	GnRH signaling pathway	8/93	8.831486e-08	8.320190e-07	0	0	1.663445e+01	2.701827e+02	JUN;MAPK7;PRKCD;PRKCA;KRAS;GRB2;ATF4;MAP2K6
KEGG_2019_Human	Measles	9/138	1.491181e-07	1.334607e-06	0	0	1.241420e+01	1.951330e+02	HSPA8;GSK3B;JUN;CASP3;CDK2;STAT3;EIF2AK3;RELA;HSPA1A
KEGG_2019_Human	Longevity regulating pathway	8/102	1.818300e-07	1.549884e-06	0	0	1.503495e+01	2.333454e+02	HSPA8;CREB3;PPARG;KRAS;RELA;ATF4;ATG5;HSPA1A
KEGG_2019_Human	Epstein-Barr virus infection	10/201	3.736302e-07	3.039991e-06	0	0	9.371252e+00	1.386945e+02	NCOR2;JUN;CDKN1A;MYC;CASP3;CDK2;STAT3;MDM2;RELA;MAP2K6
KEGG_2019_Human	Wnt signaling pathway	9/158	4.720575e-07	3.673839e-06	0	0	1.073699e+01	1.563967e+02	PRKCG;FOSL1;GSK3B;JUN;FBXW11;MYC;DVL2;PRKCA;BTRC
KEGG_2019_Human	Neurotrophin signaling pathway	8/119	5.974700e-07	4.365181e-06	0	0	1.272136e+01	1.823043e+02	GSK3B;JUN;MAPK7;PRKCD;GRB2;KRAS;RELA;ATF4
KEGG_2019_Human	Human immunodeficiency virus 1 infection	10/212	6.096622e-07	4.365181e-06	0	0	8.855986e+00	1.267323e+02	DCAF1;PRKCG;JUN;FBXW11;CASP3;PRKCA;KRAS;BTRC;RELA;MAP2K6
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	10/219	8.202826e-07	5.647330e-06	0	0	8.556329e+00	1.199051e+02	FOSL1;CREB3;JUN;CDKN1A;MYC;CDK2;KRAS;RELA;ETS2;ATF4
KEGG_2019_Human	Colorectal cancer	7/86	8.520023e-07	5.648460e-06	0	0	1.552672e+01	2.169964e+02	GSK3B;CDKN1A;JUN;MYC;CASP3;KRAS;GRB2
KEGG_2019_Human	Influenza A	9/171	9.174835e-07	5.865341e-06	0	0	9.868869e+00	1.371934e+02	HSPA8;GSK3B;JUN;EIF2AK3;PRKCA;KPNA2;RELA;HSPA1A;MAP2K6
KEGG_2019_Human	Ubiquitin mediated proteolysis	8/137	1.740855e-06	1.074528e-05	0	0	1.093632e+01	1.450280e+02	FBXW11;CUL3;UBE2E3;MDM2;KEAP1;UBE2E2;BRCA1;BTRC
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	9/186	1.846233e-06	1.101586e-05	0	0	9.025653e+00	1.191599e+02	GSK3B;JUN;CDKN1A;MYC;CASP3;STAT3;KRAS;RELA;MAP2K6
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	8/139	1.941416e-06	1.121011e-05	0	0	1.076827e+01	1.416252e+02	GSK3B;MYC;STAT3;DVL2;GRB2;KRAS;BMI1;FGFR3
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	7/100	2.368607e-06	1.284790e-05	0	0	1.318004e+01	1.707238e+02	JUN;CASP3;PRKCD;STAT3;PRKCA;KRAS;RELA
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	7/100	2.368607e-06	1.284790e-05	0	0	1.318004e+01	1.707238e+02	PRKCG;ASIC4;PRKCH;PRKCD;PRKCA;PRKCQ;MAP2K6
KEGG_2019_Human	Non-small cell lung cancer	6/66	2.786110e-06	1.466805e-05	0	0	1.738596e+01	2.223815e+02	PRKCG;CDKN1A;STAT3;PRKCA;KRAS;GRB2
KEGG_2019_Human	Breast cancer	8/147	2.952445e-06	1.509965e-05	0	0	1.014440e+01	1.291674e+02	GSK3B;JUN;CDKN1A;MYC;DVL2;GRB2;KRAS;BRCA1
KEGG_2019_Human	Amphetamine addiction	6/68	3.323702e-06	1.652618e-05	0	0	1.682343e+01	2.122180e+02	PRKCG;CREB3;JUN;FOSB;PRKCA;ATF4
KEGG_2019_Human	Proteoglycans in cancer	9/201	3.494013e-06	1.690347e-05	0	0	8.314189e+00	1.044633e+02	PRKCG;CDKN1A;MYC;CASP3;STAT3;MDM2;PRKCA;GRB2;KRAS
KEGG_2019_Human	Th17 cell differentiation	7/107	3.727304e-06	1.755756e-05	0	0	1.225310e+01	1.531616e+02	JUN;HSP90AA1;HSP90AB1;STAT3;PRKCQ;GATA3;RELA
KEGG_2019_Human	TNF signaling pathway	7/110	4.481731e-06	2.017470e-05	0	0	1.189441e+01	1.464856e+02	CREB3;JUN;CASP3;JUNB;RELA;ATF4;MAP2K6
KEGG_2019_Human	Bladder cancer	5/41	4.508314e-06	2.017470e-05	0	0	2.396618e+01	2.950138e+02	CDKN1A;MYC;MDM2;KRAS;FGFR3
KEGG_2019_Human	Glioma	6/75	5.909283e-06	2.579907e-05	0	0	1.511137e+01	1.819255e+02	PRKCG;CDKN1A;MDM2;PRKCA;KRAS;GRB2
KEGG_2019_Human	Thyroid hormone signaling pathway	7/116	6.375285e-06	2.657767e-05	0	0	1.123626e+01	1.344203e+02	PRKCG;GSK3B;NCOR1;MYC;MDM2;PRKCA;KRAS
KEGG_2019_Human	Chronic myeloid leukemia	6/76	6.384579e-06	2.657767e-05	0	0	1.489474e+01	1.781653e+02	CDKN1A;MYC;MDM2;KRAS;GRB2;RELA
KEGG_2019_Human	Protein processing in endoplasmic reticulum	8/165	6.949404e-06	2.827144e-05	0	0	8.973157e+00	1.065729e+02	HSPA8;HSP90AA1;HSP90AB1;DDIT3;EIF2AK3;HSPA1A;ATF4;NFE2L2
KEGG_2019_Human	Cocaine addiction	5/49	1.104086e-05	4.391807e-05	0	0	1.960079e+01	2.237216e+02	CREB3;JUN;FOSB;RELA;ATF4
KEGG_2019_Human	Relaxin signaling pathway	7/130	1.347948e-05	5.245275e-05	0	0	9.950284e+00	1.115859e+02	CREB3;JUN;PRKCA;GRB2;KRAS;RELA;ATF4
KEGG_2019_Human	Legionellosis	5/55	1.957240e-05	7.454168e-05	0	0	1.724348e+01	1.869433e+02	HSPA8;CASP3;RELA;HSPD1;HSPA1A
KEGG_2019_Human	Apoptosis	7/143	2.501306e-05	9.283583e-05	0	0	8.993233e+00	9.529330e+01	JUN;CASP3;DDIT3;EIF2AK3;KRAS;RELA;ATF4
KEGG_2019_Human	Endometrial cancer	5/58	2.541316e-05	9.283583e-05	0	0	1.626497e+01	1.720874e+02	GSK3B;CDKN1A;MYC;KRAS;GRB2
KEGG_2019_Human	Human papillomavirus infection	10/330	3.046246e-05	1.086149e-04	0	0	5.556818e+00	5.778544e+01	CREB3;GSK3B;CDKN1A;CASP3;CDK2;MDM2;DVL2;GRB2;KRAS;RELA
KEGG_2019_Human	Gastric cancer	7/149	3.257771e-05	1.086149e-04	0	0	8.610619e+00	8.896391e+01	GSK3B;CDKN1A;MYC;CDK2;DVL2;GRB2;KRAS
KEGG_2019_Human	Non-alcoholic fatty liver disease (NAFLD)	7/149	3.257771e-05	1.086149e-04	0	0	8.610619e+00	8.896391e+01	GSK3B;JUN;CASP3;DDIT3;EIF2AK3;RELA;ATF4
KEGG_2019_Human	T cell receptor signaling pathway	6/101	3.276650e-05	1.086149e-04	0	0	1.096122e+01	1.131867e+02	GSK3B;JUN;PRKCQ;GRB2;KRAS;RELA
KEGG_2019_Human	Melanogenesis	6/101	3.276650e-05	1.086149e-04	0	0	1.096122e+01	1.131867e+02	PRKCG;GSK3B;CREB3;DVL2;PRKCA;KRAS
KEGG_2019_Human	mTOR signaling pathway	7/152	3.701217e-05	1.204578e-04	0	0	8.431187e+00	8.603406e+01	PRKCG;GSK3B;DVL2;PRKCA;GRB2;KRAS;LAMTOR1
