Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	19/124	4.538962e-20	7.353119e-18	0	0	2.813881e+01	1.253274e+03	YWHAE;GSK3B;CDKN1A;MCM7;CUL1;SMC3;SMC1A;YWHAZ;FZR1;CCNE1;CDK2;MDM2;EP300;MCM4;MCM5;MCM6;TP53;YWHAG;MCM2
KEGG_2019_Human	Spliceosome	15/134	5.578291e-14	4.518415e-12	0	0	1.898935e+01	5.795039e+02	SF3B2;SF3B3;EIF4A3;CDC5L;PRPF40A;PRPF8;HNRNPM;HNRNPK;SNW1;PUF60;MAGOH;DHX15;SNRPE;SNRPF;SF3B1
KEGG_2019_Human	Viral carcinogenesis	16/201	1.640807e-12	8.860359e-11	0	0	1.308541e+01	3.550834e+02	YWHAE;HDAC5;JUN;CDKN1A;HDAC3;CHD4;YWHAZ;HNRNPK;SNW1;CCNE1;HIST4H4;CDK2;MDM2;EP300;TP53;YWHAG
KEGG_2019_Human	Oocyte meiosis	11/125	1.952931e-09	7.909372e-08	0	0	1.410916e+01	2.829442e+02	YWHAE;AR;CCNE1;CDK2;CUL1;SMC3;CALM1;SMC1A;YWHAZ;YWHAG;PPP1CA
KEGG_2019_Human	DNA replication	6/36	2.219366e-07	7.190746e-06	0	0	2.832000e+01	4.338872e+02	MCM7;RPA1;MCM4;MCM5;MCM6;MCM2
KEGG_2019_Human	Prostate cancer	8/97	5.556428e-07	1.500236e-05	0	0	1.287412e+01	1.854278e+02	AR;GSK3B;CDKN1A;CCNE1;CDK2;MDM2;EP300;TP53
KEGG_2019_Human	Pathways in cancer	16/530	1.717502e-06	3.693234e-05	0	0	4.630949e+00	6.147418e+01	GSK3B;JUN;CDKN1A;CTBP1;CUL1;FN1;ESR1;AR;CCNE1;CDK2;MDM2;DVL2;EP300;CALM1;TP53;FGFR3
KEGG_2019_Human	Ribosome	9/153	1.876745e-06	3.693234e-05	0	0	8.991788e+00	1.185655e+02	RPS19;RPS8;RPL31;RPLP0;RPL13;RPL35;RPL26;RPS10;RPL19
KEGG_2019_Human	PI3K-Akt signaling pathway	13/354	2.051797e-06	3.693234e-05	0	0	5.593213e+00	7.325317e+01	YWHAE;GSK3B;CDKN1A;FN1;BRCA1;YWHAZ;CCNE1;CDC37;CDK2;MDM2;TP53;FGFR3;YWHAG
KEGG_2019_Human	Hepatitis C	8/155	1.853231e-05	3.002234e-04	0	0	7.771665e+00	8.468003e+01	YWHAE;GSK3B;CDKN1A;PSME3;CDK2;TP53;YWHAZ;YWHAG
KEGG_2019_Human	Wnt signaling pathway	8/158	2.128630e-05	3.134891e-04	0	0	7.615072e+00	8.191874e+01	GSK3B;JUN;CSNK2A1;CTBP1;CUL1;DVL2;EP300;TP53
KEGG_2019_Human	Ubiquitin mediated proteolysis	7/137	6.668589e-05	9.002595e-04	0	0	7.640730e+00	7.346958e+01	CUL7;FZR1;SMURF1;CUL1;MDM2;WWP2;BRCA1
KEGG_2019_Human	Breast cancer	7/147	1.038972e-04	1.294718e-03	0	0	7.091367e+00	6.504279e+01	GSK3B;JUN;CDKN1A;DVL2;BRCA1;TP53;ESR1
KEGG_2019_Human	Mitophagy	5/65	1.123947e-04	1.300567e-03	0	0	1.169858e+01	1.063810e+02	JUN;CSNK2A1;TP53;GABARAP;ATG5
KEGG_2019_Human	Human papillomavirus infection	10/330	1.593670e-04	1.644808e-03	0	0	4.488511e+00	3.924889e+01	GSK3B;CDKN1A;CCNE1;CDK2;MDM2;FN1;DVL2;EP300;CHD4;TP53
KEGG_2019_Human	Cellular senescence	7/160	1.759037e-04	1.644808e-03	0	0	6.484554e+00	5.606269e+01	CDKN1A;CCNE1;CDK2;MDM2;CALM1;TP53;PPP1CA
KEGG_2019_Human	Hippo signaling pathway	7/160	1.759037e-04	1.644808e-03	0	0	6.484554e+00	5.606269e+01	YWHAE;GSK3B;DVL2;CCN2;YWHAZ;YWHAG;PPP1CA
KEGG_2019_Human	p53 signaling pathway	5/72	1.827564e-04	1.644808e-03	0	0	1.047264e+01	9.014172e+01	CDKN1A;CCNE1;CDK2;MDM2;TP53
KEGG_2019_Human	Hepatitis B	7/163	1.972213e-04	1.681571e-03	0	0	6.358882e+00	5.424880e+01	JUN;CDKN1A;CCNE1;CDK2;EP300;TP53;YWHAZ
KEGG_2019_Human	Thyroid hormone signaling pathway	6/116	2.095111e-04	1.697040e-03	0	0	7.692468e+00	6.516084e+01	GSK3B;HDAC3;MDM2;EP300;TP53;ESR1
KEGG_2019_Human	Bladder cancer	4/41	2.237053e-04	1.725727e-03	0	0	1.508717e+01	1.268104e+02	CDKN1A;MDM2;FGFR3;TP53
KEGG_2019_Human	MicroRNAs in cancer	9/299	3.576811e-04	2.542015e-03	0	0	4.431815e+00	3.517030e+01	CDKN1A;HNRNPK;CCNE1;MDM2;EP300;BRCA1;TP53;FGFR3;EZH2
KEGG_2019_Human	Alcoholism	7/180	3.609034e-04	2.542015e-03	0	0	5.729072e+00	4.541378e+01	HDAC5;HIST1H3A;HDAC3;HIST4H4;H3F3A;CALM1;PPP1CA
KEGG_2019_Human	Notch signaling pathway	4/48	4.131585e-04	2.637421e-03	0	0	1.268246e+01	9.881765e+01	SNW1;CTBP1;DVL2;EP300
KEGG_2019_Human	FoxO signaling pathway	6/132	4.202867e-04	2.637421e-03	0	0	6.710204e+00	5.216897e+01	CDKN1A;CDK2;MDM2;EP300;ATG12;GABARAP
KEGG_2019_Human	Transcriptional misregulation in cancer	7/186	4.395702e-04	2.637421e-03	0	0	5.535348e+00	4.278665e+01	CDKN1A;HIST1H3A;EWSR1;FUS;H3F3A;MDM2;TP53
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	7/186	4.395702e-04	2.637421e-03	0	0	5.535348e+00	4.278665e+01	GSK3B;JUN;CDKN1A;EP300;CALM1;TP53;GABARAP
KEGG_2019_Human	Measles	6/138	5.322128e-04	3.037315e-03	0	0	6.403247e+00	4.827067e+01	GSK3B;JUN;CSNK2A1;CCNE1;CDK2;TP53
KEGG_2019_Human	mRNA surveillance pathway	5/91	5.437169e-04	3.037315e-03	0	0	8.151080e+00	6.127234e+01	NUDT21;EIF4A3;MAGOH;RNPS1;PPP1CA
KEGG_2019_Human	Small cell lung cancer	5/93	6.005972e-04	3.243225e-03	0	0	7.965023e+00	5.908124e+01	CDKN1A;CCNE1;CDK2;FN1;TP53
KEGG_2019_Human	Epstein-Barr virus infection	7/201	6.970846e-04	3.642829e-03	0	0	5.103464e+00	3.709505e+01	JUN;CDKN1A;SNW1;CCNE1;CDK2;MDM2;TP53
