Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	44/354	7.685622e-49	1.383412e-46	0	0	4.342782e+01	4.811252e+03	FLT1;IRS1;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;FGF1;FGF2;RELA;FGF3;IGF1R;FGF5;FGF6;FGF7;ERBB3;ERBB4;AKT3;KDR;AKT1;JAK2;HRAS;JAK3;YWHAH;MAPK3;JAK1;PDGFRB;NTRK1;PDGFRA;NGFR;MAP2K1;PDPK1;PTK2;PIK3CA;CCNE1;GNB1;KIT;MDM2;GRB2;KRAS;FGFR4;SOS1;TP53;EPHA2
KEGG_2019_Human	Ras signaling pathway	36/232	3.561445e-43	3.205301e-41	0	0	5.024490e+01	4.910986e+03	FLT1;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;FGF1;FGF2;RELA;FGF3;IGF1R;FGF5;FGF6;FGF7;AKT3;KDR;AKT1;PLCG1;HRAS;MAPK3;PDGFRB;NTRK1;PDGFRA;NGFR;MAP2K1;GAB1;PTPN11;GAB2;PIK3CA;GNB1;KIT;GRB2;KRAS;FGFR4;SOS1;EPHA2
KEGG_2019_Human	Pathways in cancer	45/530	2.082640e-42	1.249584e-40	0	0	2.858174e+01	2.743131e+03	NOTCH1;FLT4;PIK3R3;FASLG;CSF2RB;PIK3R2;PIK3R1;FGF1;CBL;FGF2;RELA;FGF3;IGF1R;FGF5;FGF6;FGF7;AKT3;AKT1;PLCG1;JAK2;HRAS;JAK3;MAPK3;APPL1;JAK1;PDGFRB;NTRK1;PDGFRA;MAP2K1;STAT1;STAT3;ESR1;PTK2;PIK3CA;CCNE1;TRAF6;GNB1;KIT;MDM2;GRB2;KRAS;FGFR4;SOS1;TP53;CRK
KEGG_2019_Human	MAPK signaling pathway	35/295	1.147939e-37	5.165725e-36	0	0	3.620232e+01	3.079285e+03	PTPRR;FLT1;FLT4;FASLG;FGF1;FGF2;RELA;FGF3;IGF1R;FGF5;FGF6;FGF7;ERBB3;ERBB4;AKT3;KDR;AKT1;HRAS;MAPK3;PDGFRB;MAP2K3;NTRK1;PDGFRA;NGFR;MAP2K1;TNFRSF1A;TRAF6;KIT;GRB2;KRAS;FGFR4;SOS1;TP53;CRK;EPHA2
KEGG_2019_Human	Proteoglycans in cancer	31/201	6.078991e-37	2.188437e-35	0	0	4.670604e+01	3.894854e+03	DDX5;PIK3R3;FASLG;PIK3R2;PIK3R1;CBL;FGF2;IGF1R;ERBB3;ERBB4;AKT3;KDR;AKT1;PLCG1;HRAS;MAPK3;MAP2K1;PDPK1;CAV1;STAT3;GAB1;PTPN11;ESR1;PTK2;PIK3CA;MDM2;PTPN6;GRB2;KRAS;SOS1;TP53
KEGG_2019_Human	Neurotrophin signaling pathway	25/119	2.296281e-33	6.606602e-32	0	0	6.343886e+01	4.767685e+03	IRS1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;AKT3;AKT1;PLCG1;HRAS;MAPK3;NTRK1;NGFR;MAP2K1;PDPK1;PRKCD;GAB1;PTPN11;PIK3CA;TRAF6;GRB2;KRAS;SOS1;TP53;CRK
KEGG_2019_Human	Rap1 signaling pathway	29/206	2.569234e-33	6.606602e-32	0	0	4.088786e+01	3.068295e+03	FLT1;FLT4;PIK3R3;PIK3R2;PIK3R1;FGF1;FGF2;FGF3;IGF1R;FGF5;FGF6;FGF7;AKT3;KDR;AKT1;PLCG1;HRAS;MAPK3;PDGFRB;MAP2K3;PDGFRA;NGFR;MAP2K1;PIK3CA;KIT;KRAS;FGFR4;CRK;EPHA2
KEGG_2019_Human	Melanoma	21/72	1.887254e-31	4.246322e-30	0	0	9.390602e+01	6.643383e+03	PDGFRB;PDGFRA;MAP2K1;PIK3R3;PIK3R2;PIK3R1;FGF1;FGF2;FGF3;IGF1R;FGF5;FGF6;FGF7;PIK3CA;AKT3;MDM2;AKT1;KRAS;HRAS;TP53;MAPK3
KEGG_2019_Human	Breast cancer	24/147	3.354854e-29	6.709708e-28	0	0	4.592102e+01	3.010792e+03	MAP2K1;NOTCH1;FLT4;PIK3R3;PIK3R2;PIK3R1;FGF1;ESR1;FGF2;FGF3;IGF1R;FGF5;FGF6;FGF7;PIK3CA;AKT3;KIT;AKT1;GRB2;KRAS;SOS1;TP53;HRAS;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	19/76	4.626920e-27	8.328456e-26	0	0	7.428839e+01	4.504692e+03	MAP2K1;PIK3R3;PIK3R2;PTPN11;GAB2;PIK3R1;CBL;RELA;PIK3CA;AKT3;MDM2;AKT1;KRAS;GRB2;SOS1;HRAS;TP53;CRK;MAPK3
KEGG_2019_Human	Prostate cancer	20/97	1.351809e-26	2.212051e-25	0	0	5.848583e+01	3.483754e+03	PDGFRB;PDGFRA;MAP2K1;PDPK1;PIK3R3;PIK3R2;PIK3R1;RELA;IGF1R;PIK3CA;CCNE1;AKT3;MDM2;AKT1;GRB2;KRAS;SOS1;TP53;HRAS;MAPK3
KEGG_2019_Human	Hepatitis B	23/163	1.839132e-26	2.758698e-25	0	0	3.817613e+01	2.262238e+03	MAP2K3;MAP2K1;STAT1;STAT3;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;PIK3CA;CCNE1;TRAF6;AKT3;AKT1;GRB2;KRAS;SOS1;JAK2;TP53;HRAS;JAK3;MAPK3;JAK1
KEGG_2019_Human	ErbB signaling pathway	19/85	4.954333e-26	6.859845e-25	0	0	6.412904e+01	3.736604e+03	MAP2K1;GAB1;PIK3R3;PIK3R2;PIK3R1;CBL;PTK2;PIK3CA;ERBB3;ERBB4;AKT3;AKT1;KRAS;GRB2;PLCG1;SOS1;HRAS;CRK;MAPK3
KEGG_2019_Human	Glioma	18/75	2.563582e-25	3.296034e-24	0	0	6.959649e+01	3.940778e+03	PDGFRB;PDGFRA;MAP2K1;PIK3R3;PIK3R2;PIK3R1;IGF1R;PIK3CA;AKT3;MDM2;AKT1;KRAS;GRB2;PLCG1;SOS1;HRAS;TP53;MAPK3
