Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Endocytosis	19/244	1.316752e-16	2.475493e-14	0	0	1.766326e+01	6.458783e+02	ARF1;RAB5C;SMURF1;AGAP1;ARRB1;STAM;CBL;PML;EGFR;RHOA;TGFBR2;CDC42;RAB35;MDM2;CHMP4B;STAM2;HSPA1A;RAB7A;ARF6
KEGG_2019_Human	Pathways in cancer	24/530	2.091413e-15	1.965928e-13	0	0	1.032873e+01	3.491207e+02	CAMK2B;HSP90AA1;HSP90AB1;CAMK2A;PRKCA;PIK3R1;FOS;CBL;ESR1;PML;EGFR;RHOA;TGFBR2;CDC42;MDM2;ABL1;AKT1;RAC3;RAC1;IL6ST;RAF1;IL7R;TP53;JAK1
KEGG_2019_Human	Proteoglycans in cancer	15/201	4.859016e-13	3.044983e-11	0	0	1.621215e+01	4.596593e+02	CAMK2B;CAMK2A;PRKCA;PIK3R1;CBL;TNF;ESR1;EGFR;RHOA;CDC42;MDM2;AKT1;RAC1;RAF1;TP53
KEGG_2019_Human	PI3K-Akt signaling pathway	18/354	1.384729e-12	6.508226e-11	0	0	1.102500e+01	3.010433e+02	YWHAE;MAGI1;HSP90AA1;HSP90AB1;SYK;INSR;PRKCA;PIK3R1;OSMR;EGFR;CDC37;MDM2;AKT1;RAC1;RAF1;IL7R;TP53;JAK1
KEGG_2019_Human	Ras signaling pathway	15/232	3.893258e-12	1.463865e-10	0	0	1.387426e+01	3.645014e+02	RAB5C;INSR;PRKCA;PIK3R1;EGFR;RHOA;CDC42;AFDN;ABL1;AKT1;RAC3;RAC1;RIN1;RAF1;ARF6
KEGG_2019_Human	Fc epsilon RI signaling pathway	10/68	4.881419e-12	1.529511e-10	0	0	3.319217e+01	8.645094e+02	SYK;BTK;AKT1;RAC3;PRKCA;FYN;RAC1;PIK3R1;RAF1;TNF
KEGG_2019_Human	Adherens junction	10/72	8.834998e-12	2.372828e-10	0	0	3.104447e+01	7.901532e+02	CDC42;AFDN;FER;INSR;RAC3;FYN;RAC1;RHOA;EGFR;TGFBR2
KEGG_2019_Human	Pancreatic cancer	10/75	1.346708e-11	3.164763e-10	0	0	2.960717e+01	7.410903e+02	CDC42;AKT1;RAC3;RAC1;PIK3R1;RAF1;TP53;EGFR;JAK1;TGFBR2
KEGG_2019_Human	Phospholipase D signaling pathway	12/148	4.473092e-11	9.343792e-10	0	0	1.725480e+01	4.111881e+02	ARF1;SYK;INSR;AKT1;PTK2B;PRKCA;FYN;PIK3R1;RAF1;EGFR;RHOA;ARF6
KEGG_2019_Human	Colorectal cancer	10/86	5.463153e-11	1.027073e-09	0	0	2.530787e+01	5.980353e+02	AKT1;RAC3;RAC1;FOS;PIK3R1;RAF1;TP53;RHOA;EGFR;TGFBR2
KEGG_2019_Human	Neurotrophin signaling pathway	11/119	7.215440e-11	1.233184e-09	0	0	1.975027e+01	4.612126e+02	YWHAE;CDC42;CAMK2B;CAMK2A;ABL1;AKT1;PIK3R1;RAC1;RAF1;TP53;RHOA
KEGG_2019_Human	MAPK signaling pathway	15/295	1.180388e-10	1.849274e-09	0	0	1.071811e+01	2.450161e+02	INSR;PRKCA;ARRB1;FOS;TNF;EGFR;TGFBR2;CDC42;PPP5C;AKT1;RAC3;RAC1;RAF1;TP53;HSPA1A
KEGG_2019_Human	Glioma	9/75	3.905004e-10	5.489817e-09	0	0	2.598907e+01	5.630167e+02	CAMK2B;CAMK2A;MDM2;AKT1;PRKCA;PIK3R1;RAF1;TP53;EGFR
KEGG_2019_Human	Tuberculosis	12/179	4.109946e-10	5.489817e-09	0	0	1.402976e+01	3.032174e+02	CAMK2B;RAB5C;SYK;LAMP2;CAMK2A;AKT1;RAF1;TNF;TIRAP;RHOA;RAB7A;JAK1
KEGG_2019_Human	Human cytomegalovirus infection	13/225	4.652454e-10	5.489817e-09	0	0	1.206486e+01	2.592552e+02	PRKCA;PIK3R1;TNF;EGFR;RHOA;MDM2;AKT1;RAC3;PTK2B;RAC1;RAF1;TP53;JAK1
KEGG_2019_Human	Axon guidance	12/181	4.672185e-10	5.489817e-09	0	0	1.386232e+01	2.978213e+02	CDC42;CAMK2B;EFNB1;CAMK2A;ABL1;RAC3;PRKCA;FYN;PIK3R1;RAC1;RAF1;RHOA
KEGG_2019_Human	ErbB signaling pathway	9/85	1.221503e-09	1.350839e-08	0	0	2.255807e+01	4.629634e+02	CAMK2B;CAMK2A;ABL1;AKT1;PRKCA;PIK3R1;RAF1;CBL;EGFR
KEGG_2019_Human	Sphingolipid signaling pathway	10/119	1.405927e-09	1.468412e-08	0	0	1.761646e+01	3.590687e+02	AKT1;RAC3;PRKCA;FYN;PIK3R1;RAC1;RAF1;TP53;TNF;RHOA
KEGG_2019_Human	Viral carcinogenesis	12/201	1.553930e-09	1.537573e-08	0	0	1.238284e+01	2.511547e+02	YWHAE;CDC42;HDAC4;SYK;MDM2;EIF2AK2;PIK3R1;RAC1;IL6ST;TP53;RHOA;JAK1
KEGG_2019_Human	JAK-STAT signaling pathway	11/162	1.997175e-09	1.821613e-08	0	0	1.409531e+01	2.823507e+02	AKT1;STAM;PIK3R1;IL6ST;RAF1;IL7R;OSMR;STAM2;PTPN2;EGFR;JAK1
