Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteoglycans in cancer	9/201	2.636888e-06	4.271759e-04	0	0	8.626752e+00	1.108185e+02	PPP1CB;PPP1CC;MYC;HSPB2;FLNB;MAPK14;TP53;HIF1A;EGFR
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	9/219	5.311440e-06	4.274127e-04	0	0	7.880107e+00	9.570900e+01	SMAD4;XPO1;TRRAP;CDK4;MYC;EP300;TCF3;TP53;MAD1L1
KEGG_2019_Human	Cell cycle	7/124	7.915051e-06	4.274127e-04	0	0	1.084992e+01	1.274512e+02	ZBTB17;SMAD4;CDK4;MYC;EP300;TP53;MAD1L1
KEGG_2019_Human	Pathways in cancer	13/530	1.252334e-05	5.071951e-04	0	0	4.728005e+00	5.336933e+01	ZBTB17;SMAD4;HSP90AA1;HSP90AB1;EPAS1;MAX;HIF1A;EGFR;CASP7;CDK4;MYC;EP300;TP53
KEGG_2019_Human	Central carbon metabolism in cancer	5/65	3.766008e-05	9.560009e-04	0	0	1.488288e+01	1.516106e+02	MYC;TP53;HIF1A;EGFR;HK1
KEGG_2019_Human	Wnt signaling pathway	7/158	3.812313e-05	9.560009e-04	0	0	8.392430e+00	8.539037e+01	SMAD4;CSNK2A1;FBXW11;MYC;RUVBL1;EP300;TP53
KEGG_2019_Human	Cellular senescence	7/160	4.130868e-05	9.560009e-04	0	0	8.281885e+00	8.360098e+01	PPP1CB;PPP1CC;FBXW11;CDK4;MYC;MAPK14;TP53
KEGG_2019_Human	MAPK signaling pathway	9/295	5.616026e-05	1.137245e-03	0	0	5.763741e+00	5.641147e+01	PPP5C;MAX;MYC;HSPB1;FLNB;MAPK14;TP53;EGFR;HSPA1A
KEGG_2019_Human	Bladder cancer	4/41	9.218070e-05	1.659253e-03	0	0	1.915734e+01	1.780054e+02	CDK4;MYC;TP53;EGFR
KEGG_2019_Human	Transcriptional misregulation in cancer	7/186	1.067380e-04	1.729156e-03	0	0	7.069602e+00	6.465245e+01	ZBTB17;CCNT1;MAX;FUS;MYC;TCF3;TP53
KEGG_2019_Human	Viral carcinogenesis	7/201	1.725533e-04	2.541240e-03	0	0	6.518018e+00	5.647735e+01	CDK4;HIST4H4;EP300;CHD4;TP53;SND1;MAD1L1
KEGG_2019_Human	Small cell lung cancer	5/93	2.082995e-04	2.812044e-03	0	0	1.013309e+01	8.589346e+01	ZBTB17;MAX;CDK4;MYC;TP53
KEGG_2019_Human	Prostate cancer	5/97	2.535926e-04	3.160153e-03	0	0	9.690560e+00	8.023572e+01	HSP90AA1;HSP90AB1;EP300;TP53;EGFR
KEGG_2019_Human	Th17 cell differentiation	5/107	3.995415e-04	4.623266e-03	0	0	8.736089e+00	6.836158e+01	SMAD4;HSP90AA1;HSP90AB1;MAPK14;HIF1A
KEGG_2019_Human	Renal cell carcinoma	4/69	6.946067e-04	7.501753e-03	0	0	1.088956e+01	7.919068e+01	FLCN;EPAS1;EP300;HIF1A
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	6/186	7.598239e-04	7.693217e-03	0	0	5.970909e+00	4.288560e+01	CDK4;MYC;EP300;MAPK14;TP53;HIF1A
KEGG_2019_Human	Adherens junction	4/72	8.156592e-04	7.772752e-03	0	0	1.040756e+01	7.401353e+01	SMAD4;CSNK2A1;EP300;EGFR
KEGG_2019_Human	Pancreatic cancer	4/75	9.508903e-04	8.499763e-03	0	0	9.966298e+00	6.934661e+01	SMAD4;CDK4;TP53;EGFR
KEGG_2019_Human	Chronic myeloid leukemia	4/76	9.992694e-04	8.499763e-03	0	0	9.827381e+00	6.789233e+01	SMAD4;CDK4;MYC;TP53
KEGG_2019_Human	Antigen processing and presentation	4/77	1.049353e-03	8.499763e-03	0	0	9.692270e+00	6.648491e+01	HSP90AA1;HSP90AB1;PSME3;HSPA1A
KEGG_2019_Human	Estrogen signaling pathway	5/137	1.223631e-03	9.191814e-03	0	0	6.740377e+00	4.520051e+01	HSP90AA1;GABBR1;HSP90AB1;EGFR;HSPA1A
KEGG_2019_Human	Measles	5/138	1.263836e-03	9.191814e-03	0	0	6.689359e+00	4.464213e+01	CSNK2A1;CDK4;RAB9A;TP53;HSPA1A
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	5/139	1.305011e-03	9.191814e-03	0	0	6.639102e+00	4.409389e+01	SMAD4;MYC;TCF3;MAPK14;POU5F1
KEGG_2019_Human	Colorectal cancer	4/86	1.582180e-03	1.067971e-02	0	0	8.624564e+00	5.561940e+01	SMAD4;MYC;TP53;EGFR
KEGG_2019_Human	Hepatitis C	5/155	2.107335e-03	1.365553e-02	0	0	5.926126e+00	3.651875e+01	CDK4;MYC;PSME3;TP53;EGFR
KEGG_2019_Human	Hippo signaling pathway	5/160	2.419108e-03	1.492108e-02	0	0	5.733508e+00	3.454069e+01	PPP1CB;PPP1CC;SMAD4;FBXW11;MYC
KEGG_2019_Human	Hepatitis B	5/163	2.621548e-03	1.492108e-02	0	0	5.623788e+00	3.342774e+01	SMAD4;MYC;EP300;MAPK14;TP53
KEGG_2019_Human	Progesterone-mediated oocyte maturation	4/99	2.647765e-03	1.492108e-02	0	0	7.439474e+00	4.414613e+01	HSP90AA1;HSP90AB1;MAPK14;MAD1L1
KEGG_2019_Human	HIF-1 signaling pathway	4/100	2.745913e-03	1.492108e-02	0	0	7.361607e+00	4.341612e+01	EP300;HIF1A;EGFR;HK1
KEGG_2019_Human	Protein processing in endoplasmic reticulum	5/165	2.763163e-03	1.492108e-02	0	0	5.552928e+00	3.271440e+01	HSP90AA1;HSP90AB1;WFS1;STUB1;HSPA1A
KEGG_2019_Human	Hepatocellular carcinoma	5/168	2.985869e-03	1.560357e-02	0	0	5.449898e+00	3.168497e+01	SMAD4;CDK4;MYC;TP53;EGFR
KEGG_2019_Human	Legionellosis	3/55	4.005032e-03	2.027548e-02	0	0	1.012526e+01	5.589347e+01	EEF1A1;CASP7;HSPA1A
KEGG_2019_Human	PI3K-Akt signaling pathway	7/354	4.608166e-03	2.162440e-02	0	0	3.615763e+00	1.945253e+01	HSP90AA1;HSP90AB1;CDK4;MYC;CDC37;TP53;EGFR
KEGG_2019_Human	Endometrial cancer	3/58	4.651633e-03	2.162440e-02	0	0	9.571521e+00	5.140420e+01	MYC;TP53;EGFR
KEGG_2019_Human	Thyroid hormone signaling pathway	4/116	4.671939e-03	2.162440e-02	0	0	6.304847e+00	3.383295e+01	MYC;EP300;TP53;HIF1A
KEGG_2019_Human	Oocyte meiosis	4/125	6.077510e-03	2.734880e-02	0	0	5.833235e+00	2.976793e+01	PPP1CB;PPP1CC;FBXW11;MAD1L1
KEGG_2019_Human	Mitophagy	3/65	6.394807e-03	2.799888e-02	0	0	8.487868e+00	4.288299e+01	CSNK2A1;TP53;HIF1A
KEGG_2019_Human	Non-small cell lung cancer	3/66	6.671377e-03	2.844113e-02	0	0	8.352718e+00	4.184652e+01	CDK4;TP53;EGFR
KEGG_2019_Human	Long-term potentiation	3/67	6.954973e-03	2.888989e-02	0	0	8.221792e+00	4.084832e+01	PPP1CB;PPP1CC;EP300
KEGG_2019_Human	FoxO signaling pathway	4/132	7.347269e-03	2.975644e-02	0	0	5.512277e+00	2.708417e+01	SMAD4;EP300;MAPK14;EGFR
KEGG_2019_Human	Spliceosome	4/134	7.739789e-03	3.058160e-02	0	0	5.426923e+00	2.638234e+01	SF3B3;HNRNPU;SF3B1;HSPA1A
KEGG_2019_Human	Melanoma	3/72	8.479791e-03	3.270777e-02	0	0	7.624086e+00	3.636742e+01	CDK4;TP53;EGFR
KEGG_2019_Human	Fluid shear stress and atherosclerosis	4/139	8.780844e-03	3.308132e-02	0	0	5.224603e+00	2.473945e+01	HSP90AA1;HSP90AB1;MAPK14;TP53
KEGG_2019_Human	Glioma	3/75	9.481516e-03	3.490922e-02	0	0	7.305310e+00	3.403114e+01	CDK4;TP53;EGFR
KEGG_2019_Human	Human cytomegalovirus infection	5/225	1.008367e-02	3.630122e-02	0	0	4.026208e+00	1.850783e+01	CDK4;MYC;MAPK14;TP53;EGFR
