Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Mismatch repair	7/23	1.661740e-10	3.024368e-08	0	0	6.478591e+01	1.458848e+03	POLD3;EXO1;MSH3;RPA3;RPA2;PMS2;MLH1
KEGG_2019_Human	Viral carcinogenesis	13/201	1.853006e-09	1.686236e-07	0	0	1.062679e+01	2.136670e+02	HDAC4;DDX3X;HLA-B;RHOA;HDAC6;CDC42;HNRNPK;IRF3;HIST4H4;HIST1H2BH;HIST1H2BG;RAC1;IKBKG
KEGG_2019_Human	Ribosome	11/153	1.146170e-08	6.953434e-07	0	0	1.174902e+01	2.148222e+02	RPS14;RPL10;RPL31;RPL22;RPL13;RPS20;RPS3A;RPS2;RPL17;RPS10;RPL6
KEGG_2019_Human	RNA transport	10/165	2.711821e-07	1.233878e-05	0	0	9.704014e+00	1.467293e+02	EEF1A1;NXF1;PRMT5;POM121;SEC13;DDX39B;SUMO2;EIF4B;KPNB1;EIF3B
KEGG_2019_Human	Homologous recombination	6/41	4.049085e-07	1.396102e-05	0	0	2.517333e+01	3.705415e+02	POLD3;TOP3B;BARD1;RPA3;RPA2;BRCA1
KEGG_2019_Human	Spliceosome	9/134	4.602535e-07	1.396102e-05	0	0	1.076400e+01	1.570628e+02	EFTUD2;HSPA8;HNRNPK;SF3B3;DDX39B;HNRNPU;HNRNPA1;SF3B1;RBMX
KEGG_2019_Human	Fanconi anemia pathway	6/54	2.157338e-06	5.609079e-05	0	0	1.834352e+01	2.393212e+02	TOP3B;RPA3;PMS2;RPA2;BRCA1;MLH1
KEGG_2019_Human	Colorectal cancer	7/86	2.517032e-06	5.726247e-05	0	0	1.307954e+01	1.686270e+02	MSH3;MYC;AKT1;RAC1;MLH1;RHOA;EGFR
KEGG_2019_Human	Alcoholism	9/180	5.355046e-06	1.082909e-04	0	0	7.850080e+00	9.528012e+01	HDAC4;HIST1H3A;HIST4H4;HIST1H2AE;HIST2H2AB;HIST1H2BH;HIST1H2BG;HDAC6;HIST2H2AC
KEGG_2019_Human	Endocytosis	10/244	9.275452e-06	1.688132e-04	0	0	6.402101e+00	7.418844e+01	CDC42;HSPA8;TFRC;HLA-B;AGAP1;EGFR;RHOA;RAB8A;RAB7A;ARF6
KEGG_2019_Human	Adherens junction	6/72	1.176187e-05	1.946054e-04	0	0	1.332862e+01	1.512885e+02	CDC42;AFDN;RAC1;IQGAP1;RHOA;EGFR
KEGG_2019_Human	Pancreatic cancer	6/75	1.489842e-05	2.259593e-04	0	0	1.274718e+01	1.416754e+02	CDC42;STAT1;AKT1;RAC1;IKBKG;EGFR
KEGG_2019_Human	Necroptosis	8/162	1.981468e-05	2.774055e-04	0	0	7.696514e+00	8.334622e+01	HSP90AA1;PARP1;STAT1;HIST1H2AE;HIST2H2AB;SQSTM1;HIST2H2AC;SLC25A6
KEGG_2019_Human	Systemic lupus erythematosus	7/133	4.426929e-05	5.755007e-04	0	0	8.181177e+00	8.201810e+01	HIST1H3A;HIST4H4;HIST1H2AE;HIST2H2AB;HIST1H2BH;HIST1H2BG;HIST2H2AC
KEGG_2019_Human	Measles	7/138	5.599942e-05	6.668692e-04	0	0	7.866925e+00	7.701853e+01	HSPA8;IRF3;STAT1;RACK1;AKT1;RAB9A;IKBKG
KEGG_2019_Human	Fluid shear stress and atherosclerosis	7/139	5.862586e-05	6.668692e-04	0	0	7.806931e+00	7.607335e+01	HSP90AA1;SUMO2;AKT1;RAC1;IKBKG;SQSTM1;RHOA
KEGG_2019_Human	Epstein-Barr virus infection	8/201	9.154146e-05	9.255859e-04	0	0	6.129105e+00	5.699282e+01	IRF3;STAT1;MYC;PSMD2;HLA-B;AKT1;RAC1;IKBKG
KEGG_2019_Human	Proteoglycans in cancer	8/201	9.154146e-05	9.255859e-04	0	0	6.129105e+00	5.699282e+01	CDC42;MYC;AKT1;IQGAP1;RAC1;EGFR;RHOA;EIF4B
KEGG_2019_Human	DNA replication	4/36	1.170119e-04	1.120851e-03	0	0	1.809033e+01	1.637760e+02	POLD3;RPA3;RPA2;MCM2
KEGG_2019_Human	Cellular senescence	7/160	1.417417e-04	1.289849e-03	0	0	6.728222e+00	5.962217e+01	MYC;HLA-B;AKT1;RAD1;SQSTM1;RAD9A;SLC25A6
KEGG_2019_Human	Human cytomegalovirus infection	8/225	1.989729e-04	1.690067e-03	0	0	5.444579e+00	4.640057e+01	IRF3;MYC;HLA-B;AKT1;RAC1;IKBKG;EGFR;RHOA
KEGG_2019_Human	PI3K-Akt signaling pathway	10/354	2.111034e-04	1.690067e-03	0	0	4.330508e+00	3.664979e+01	HSP90AA1;MYC;CDC37;AKT1;PKN2;BRCA1;RAC1;IKBKG;EGFR;EIF4B
KEGG_2019_Human	Influenza A	7/171	2.135798e-04	1.690067e-03	0	0	6.273435e+00	5.301993e+01	NXF1;HSPA8;DDX39B;IRF3;STAT1;AKT1;SLC25A6
