Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ras signaling pathway	29/232	1.687093e-31	3.205477e-29	0	0	3.472134e+01	2.460255e+03	CSF1R;RAB5C;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;IGF1R;CDC42;AKT3;RAC3;RAC1;HRAS;MAPK3;PDGFRB;NGFR;MAP2K1;GAB1;NFKB1;RHOA;AFDN;PIK3CA;GNB1;GRB2;KRAS;GNB5;RIN1;ARF6
KEGG_2019_Human	PI3K-Akt signaling pathway	31/354	7.952378e-29	7.554759e-27	0	0	2.377149e+01	1.538051e+03	CSF1R;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;IGF1R;ERBB3;ERBB4;AKT3;RAC1;HRAS;YWHAH;MAPK3;JAK1;PDGFRB;MAGI1;NGFR;MAP2K1;HSP90AA1;PDPK1;NFKB1;PTK2;PIK3CA;CDC37;GNB1;GRB2;KRAS;GNB5;TP53
KEGG_2019_Human	Proteoglycans in cancer	26/201	1.241430e-28	7.862389e-27	0	0	3.487007e+01	2.240615e+03	DDX5;PIK3R3;FASLG;PIK3R2;PIK3R1;CBL;IGF1R;CDC42;ERBB3;ERBB4;AKT3;RAC1;HRAS;MAPK3;MAP2K1;PDPK1;CAV1;GAB1;ESR1;PTK2;RHOA;PIK3CA;GRB2;ARHGEF1;KRAS;TP53
KEGG_2019_Human	Neurotrophin signaling pathway	21/119	3.525624e-26	1.674671e-24	0	0	4.765329e+01	2.792824e+03	NGFR;MAP2K1;PDPK1;PRKCD;GAB1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;RHOA;CDC42;PIK3CA;AKT3;GRB2;KRAS;RAC1;TP53;HRAS;MAPK3
KEGG_2019_Human	Pathways in cancer	33/530	6.573195e-26	2.497814e-24	0	0	1.672291e+01	9.696647e+02	CSF1R;NOTCH1;HDAC1;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;CBL;RELA;IGF1R;CDC42;AKT3;RAC3;RAC1;HRAS;MAPK3;JAK1;PDGFRB;MAP2K1;HSP90AA1;ESR1;NFKB1;PTK2;RHOA;PIK3CA;GNAQ;GNB1;GRB2;ARHGEF1;KRAS;GNB5;TP53
KEGG_2019_Human	Human cytomegalovirus infection	24/225	2.195849e-24	6.953520e-23	0	0	2.733634e+01	1.489160e+03	MAP2K1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;RHOA;TNFRSF1A;PIK3CA;GNAQ;AKT3;GNB1;RAC3;GRB2;ARHGEF1;KRAS;GNB5;RAC1;TP53;HRAS;MAPK3;JAK1
KEGG_2019_Human	Chemokine signaling pathway	21/190	9.979231e-22	2.708649e-20	0	0	2.753414e+01	1.331451e+03	MAP2K1;PRKCD;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;RHOA;CDC42;HCK;PIK3CA;AKT3;GNB1;RAC3;GRB2;KRAS;GNB5;RAC1;HRAS;MAPK3
KEGG_2019_Human	Prostate cancer	17/97	2.797318e-21	6.143918e-20	0	0	4.526478e+01	2.142184e+03	PDGFRB;MAP2K1;HSP90AA1;PDPK1;PIK3R3;PIK3R2;PIK3R1;NFKB1;RELA;IGF1R;PIK3CA;AKT3;GRB2;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Sphingolipid signaling pathway	18/119	2.910277e-21	6.143918e-20	0	0	3.833427e+01	1.812676e+03	MAP2K1;PDPK1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;RHOA;TNFRSF1A;PIK3CA;GNAQ;AKT3;RAC3;KRAS;RAC1;TP53;HRAS;MAPK3
KEGG_2019_Human	Rap1 signaling pathway	21/206	5.581889e-21	1.060559e-19	0	0	2.513240e+01	1.172044e+03	PDGFRB;MAGI1;NGFR;CSF1R;MAP2K1;FLT4;PIK3R3;PIK3R2;PIK3R1;RHOA;IGF1R;CDC42;AFDN;PIK3CA;GNAQ;AKT3;RAC3;KRAS;RAC1;HRAS;MAPK3
KEGG_2019_Human	MAPK signaling pathway	23/295	2.970305e-20	5.130527e-19	0	0	1.906753e+01	8.573340e+02	PDGFRB;NGFR;CSF1R;MAP2K1;FLT4;FASLG;RELA;NFKB1;IGF1R;TNFRSF1A;CDC42;PPP5C;ERBB3;ERBB4;AKT3;RAC3;GRB2;KRAS;RAC1;TP53;HRAS;HSPA1A;MAPK3
KEGG_2019_Human	Focal adhesion	20/199	6.899095e-20	1.092357e-18	0	0	2.447052e+01	1.079647e+03	PDGFRB;MAP2K1;PDPK1;CAV1;FLT4;ILK;PIK3R3;PIK3R2;PIK3R1;PTK2;RHOA;IGF1R;CDC42;PIK3CA;AKT3;RAC3;GRB2;RAC1;HRAS;MAPK3
KEGG_2019_Human	Pancreatic cancer	15/75	8.216726e-20	1.200906e-18	0	0	5.218421e+01	2.293263e+03	MAP2K1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;CDC42;PIK3CA;AKT3;RAC3;KRAS;RAC1;TP53;JAK1;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	15/76	1.019162e-19	1.383149e-18	0	0	5.132614e+01	2.244499e+03	MAP2K1;HDAC1;PIK3R3;PIK3R2;PIK3R1;CBL;RELA;NFKB1;PIK3CA;AKT3;KRAS;GRB2;HRAS;TP53;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	20/212	2.461438e-19	3.117821e-18	0	0	2.279861e+01	9.768834e+02	MAP2K1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;TNFRSF1A;PIK3CA;GNAQ;AKT3;GNB1;RAC3;KRAS;GNB5;RAC1;HRAS;ATR;MAPK3
KEGG_2019_Human	Human papillomavirus infection	23/330	3.714953e-19	4.411506e-18	0	0	1.686357e+01	7.156350e+02	PDGFRB;MAGI1;MAP2K1;NOTCH1;HDAC1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;TNFRSF1A;CDC42;PIK3CA;AKT3;GRB2;KRAS;TP53;HRAS;ATR;MAPK3;JAK1
KEGG_2019_Human	ErbB signaling pathway	15/85	6.198141e-19	6.927334e-18	0	0	4.470677e+01	1.874325e+03	MAP2K1;GAB1;PIK3R3;PIK3R2;PIK3R1;CBL;PTK2;PIK3CA;ERBB3;ERBB4;AKT3;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	Renal cell carcinoma	14/69	1.184579e-18	1.250389e-17	0	0	5.259280e+01	2.170881e+03	MAP2K1;GAB1;PIK3R3;PIK3R2;PIK3R1;CDC42;FLCN;PIK3CA;AKT3;KRAS;GRB2;RAC1;HRAS;MAPK3
KEGG_2019_Human	B cell receptor signaling pathway	14/71	1.827916e-18	1.827916e-17	0	0	5.074232e+01	2.072487e+03	MAP2K1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PIK3CA;AKT3;RAC3;KRAS;GRB2;RAC1;HRAS;MAPK3
KEGG_2019_Human	Viral carcinogenesis	19/201	2.014395e-18	1.913676e-17	0	0	2.260911e+01	9.212354e+02	HDAC4;GSN;HDAC1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;RHOA;CDC42;PIK3CA;GRB2;KRAS;RAC1;TP53;HRAS;YWHAH;MAPK3;JAK1
KEGG_2019_Human	Apoptosis	17/143	2.760283e-18	2.497399e-17	0	0	2.867281e+01	1.159276e+03	NGFR;MAP2K1;PDPK1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;TNFRSF1A;TUBA1B;PIK3CA;AKT3;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Endometrial cancer	13/58	5.206111e-18	4.496187e-17	0	0	5.910309e+01	2.352108e+03	MAP2K1;PDPK1;ILK;PIK3R3;PIK3R2;PIK3R1;PIK3CA;AKT3;KRAS;GRB2;HRAS;TP53;MAPK3
KEGG_2019_Human	VEGF signaling pathway	13/59	6.647342e-18	5.491282e-17	0	0	5.781533e+01	2.286730e+03	MAP2K1;PIK3R3;PIK3R2;PIK3R1;PTK2;CDC42;PIK3CA;AKT3;RAC3;KRAS;RAC1;HRAS;MAPK3
KEGG_2019_Human	T cell receptor signaling pathway	15/101	9.546116e-18	7.557342e-17	0	0	3.635985e+01	1.424957e+03	MAP2K1;PDPK1;PIK3R3;PIK3R2;PIK3R1;NFKB1;RHOA;RELA;CDC42;PIK3CA;AKT3;GRB2;KRAS;HRAS;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	18/186	1.113335e-17	7.848590e-17	0	0	2.296817e+01	8.965989e+02	MAP2K1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;TNFRSF1A;HCK;PIK3CA;AKT3;GNB1;KRAS;GNB5;RAC1;TP53;HRAS;MAPK3;JAK1
KEGG_2019_Human	Longevity regulating pathway	15/102	1.114206e-17	7.848590e-17	0	0	3.594011e+01	1.402951e+03	HDAC1;IRS4;PRKAG1;PIK3R3;PIK3R2;PIK3R1;NFKB1;RELA;IGF1R;PIK3CA;AKT3;KRAS;TP53;HRAS;HSPA1A
KEGG_2019_Human	Hepatitis C	17/155	1.115326e-17	7.848590e-17	0	0	2.616363e+01	1.021292e+03	MAP2K1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;TNFRSF1A;PIK3CA;AKT3;GRB2;KRAS;TP53;HRAS;YWHAH;MAPK3;JAK1
KEGG_2019_Human	Colorectal cancer	14/86	3.221575e-17	2.131957e-16	0	0	4.014062e+01	1.524303e+03	MAP2K1;PIK3R3;PIK3R2;PIK3R1;RHOA;PIK3CA;AKT3;RAC3;KRAS;GRB2;RAC1;HRAS;TP53;MAPK3
KEGG_2019_Human	Acute myeloid leukemia	13/66	3.254039e-17	2.131957e-16	0	0	5.016164e+01	1.904339e+03	CSF1R;MAP2K1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PIK3CA;AKT3;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	Fluid shear stress and atherosclerosis	16/139	4.907087e-17	3.031939e-16	0	0	2.735444e+01	1.027248e+03	HSP90AA1;CAV1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;RHOA;TNFRSF1A;PIK3CA;AKT3;RAC3;RAC1;SQSTM1;TP53
KEGG_2019_Human	Fc epsilon RI signaling pathway	13/68	4.946848e-17	3.031939e-16	0	0	4.833271e+01	1.814661e+03	MAP2K1;PDPK1;PIK3R3;PIK3R2;PIK3R1;PIK3CA;AKT3;RAC3;KRAS;GRB2;RAC1;HRAS;MAPK3
KEGG_2019_Human	Prolactin signaling pathway	13/70	7.418069e-17	4.404479e-16	0	0	4.663212e+01	1.731918e+03	MAP2K1;PIK3R3;PIK3R2;PIK3R1;ESR1;RELA;NFKB1;PIK3CA;AKT3;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	Bacterial invasion of epithelial cells	13/74	1.606312e-16	9.248466e-16	0	0	4.356549e+01	1.584364e+03	CAV1;GAB1;ILK;PIK3R3;PIK3R2;PIK3R1;CBL;RHOA;DNM1;PTK2;CDC42;PIK3CA;RAC1
KEGG_2019_Human	Glioma	13/75	1.934363e-16	1.080968e-15	0	0	4.286066e+01	1.550766e+03	PDGFRB;MAP2K1;PIK3R3;PIK3R2;PIK3R1;IGF1R;PIK3CA;AKT3;KRAS;GRB2;HRAS;TP53;MAPK3
KEGG_2019_Human	Choline metabolism in cancer	14/99	2.544338e-16	1.381212e-15	0	0	3.397917e+01	1.220107e+03	PDGFRB;MAP2K1;PDPK1;PIK3R3;PIK3R2;PIK3R1;PIK3CA;AKT3;RAC3;GRB2;KRAS;RAC1;HRAS;MAPK3
KEGG_2019_Human	Osteoclast differentiation	15/127	3.332507e-16	1.758823e-15	0	0	2.788252e+01	9.936671e+02	CSF1R;MAP2K1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;TNFRSF1A;PIK3CA;AKT3;GRB2;RAC1;SQSTM1;MAPK3;JAK1
KEGG_2019_Human	FoxO signaling pathway	15/132	6.016058e-16	3.089327e-15	0	0	2.668421e+01	9.351996e+02	MAP2K1;PDPK1;IRS4;PRKAG1;PIK3R3;FASLG;PIK3R2;PIK3R1;IGF1R;PIK3CA;AKT3;GRB2;KRAS;HRAS;MAPK3
KEGG_2019_Human	Estrogen signaling pathway	15/137	1.060186e-15	5.300931e-15	0	0	2.558412e+01	8.821491e+02	MAP2K1;HSP90AA1;PRKCD;PIK3R3;PIK3R2;PIK3R1;ESR1;PIK3CA;GNAQ;AKT3;GRB2;KRAS;HRAS;HSPA1A;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	12/66	1.589157e-15	7.742045e-15	0	0	4.497959e+01	1.532705e+03	MAP2K1;PIK3CA;PDPK1;AKT3;PIK3R3;PIK3R2;KRAS;GRB2;PIK3R1;HRAS;TP53;MAPK3
KEGG_2019_Human	Thyroid hormone signaling pathway	14/116	2.510873e-15	1.192664e-14	0	0	2.829167e+01	9.511134e+02	MAP2K1;NOTCH1;PDPK1;HDAC1;PIK3R3;PIK3R2;PIK3R1;ESR1;PIK3CA;AKT3;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Regulation of actin cytoskeleton	17/214	2.675130e-15	1.232810e-14	0	0	1.827307e+01	6.131490e+02	PDGFRB;MAP2K1;GSN;PIK3R3;PIK3R2;PIK3R1;PTK2;RHOA;CDC42;PIK3CA;RAC3;ARHGEF1;KRAS;PIP4K2C;RAC1;HRAS;MAPK3
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	13/91	2.725159e-15	1.232810e-14	0	0	3.404124e+01	1.141615e+03	MAP2K1;GSN;PRKCD;PIK3R3;PIK3R2;PIK3R1;CDC42;HCK;PIK3CA;AKT3;RAC1;ARF6;MAPK3
KEGG_2019_Human	Breast cancer	15/147	3.084574e-15	1.362951e-14	0	0	2.363397e+01	7.896668e+02	MAP2K1;NOTCH1;FLT4;PIK3R3;PIK3R2;PIK3R1;ESR1;IGF1R;PIK3CA;AKT3;GRB2;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Phospholipase D signaling pathway	15/148	3.417114e-15	1.475572e-14	0	0	2.345509e+01	7.812884e+02	PDGFRB;MAP2K1;GAB1;PIK3R3;PIK3R2;PIK3R1;RHOA;DNM1;PIK3CA;AKT3;GRB2;KRAS;HRAS;ARF6;MAPK3
KEGG_2019_Human	Melanoma	12/72	4.826300e-15	2.037771e-14	0	0	4.046939e+01	1.334061e+03	PDGFRB;MAP2K1;PIK3CA;AKT3;PIK3R3;PIK3R2;KRAS;PIK3R1;HRAS;TP53;IGF1R;MAPK3
KEGG_2019_Human	mTOR signaling pathway	15/152	5.108292e-15	2.109947e-14	0	0	2.276566e+01	7.491702e+02	MAP2K1;PDPK1;PIK3R3;PIK3R2;PIK3R1;RHOA;IGF1R;TNFRSF1A;FLCN;PIK3CA;AKT3;GRB2;KRAS;HRAS;MAPK3
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	13/100	9.703719e-15	3.922780e-14	0	0	3.050587e+01	9.843104e+02	PRKCD;PIK3R3;PIK3R2;PIK3R1;NFKB1;RELA;CDC42;PIK3CA;AKT3;KRAS;RAC1;HRAS;MAPK3
