Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteoglycans in cancer	17/201	1.315864e-13	2.664957e-11	0	0	1.397880e+01	4.145989e+02	SRC;CAV1;PTCH1;STAT3;TNF;EGFR;ACTB;RHOA;CDC42;SMO;MYC;ERBB2;MDM2;AKT1;RAC1;TP53;EIF4B
KEGG_2019_Human	Endocytosis	18/244	2.562459e-13	2.664957e-11	0	0	1.211793e+01	3.513306e+02	ARF1;RAB5C;SRC;CAV1;AGAP1;EGFR;RHOA;RAB11A;PLD2;CDC42;RAB11FIP1;CHMP1B;RAB35;MDM2;CHMP4B;RAB8A;RAB7A;ARF6
KEGG_2019_Human	Fluid shear stress and atherosclerosis	13/139	3.144697e-11	2.180323e-09	0	0	1.518900e+01	3.673112e+02	HSP90AA1;HSP90AB1;SRC;CAV1;FOS;TNF;ACTB;RHOA;HSP90B1;AKT1;RAC1;SQSTM1;TP53
KEGG_2019_Human	Hepatitis B	12/163	2.964414e-09	1.287692e-07	0	0	1.159794e+01	2.277439e+02	PCNA;YWHAQ;SRC;MYC;STAT3;VDAC3;AKT1;FOS;TP53;TNF;YWHAZ;TIRAP
KEGG_2019_Human	Viral carcinogenesis	13/201	3.095414e-09	1.287692e-07	0	0	1.014786e+01	1.988306e+02	HDAC4;SRC;STAT3;CHD4;YWHAZ;RHOA;CDC42;YWHAQ;MDM2;VDAC3;RAC1;TP53;YWHAG
KEGG_2019_Human	Central carbon metabolism in cancer	8/65	2.491292e-08	8.636478e-07	0	0	1.998839e+01	3.499543e+02	LDHA;MYC;PGAM1;ERBB2;SLC2A1;AKT1;TP53;EGFR
KEGG_2019_Human	Necroptosis	11/162	3.208329e-08	9.533322e-07	0	0	1.055327e+01	1.820960e+02	HSP90AA1;HSP90AB1;CHMP1B;STAT3;VDAC3;CHMP4B;VDAC1;SQSTM1;TNF;SLC25A4;SPATA2L
KEGG_2019_Human	Prostate cancer	9/97	4.035876e-08	1.049328e-06	0	0	1.464797e+01	2.493885e+02	HSP90AA1;HSP90AB1;ERBB2;MDM2;AKT1;TMPRSS2;TP53;EGFR;HSP90B1
KEGG_2019_Human	PI3K-Akt signaling pathway	15/354	5.570339e-08	1.287367e-06	0	0	6.541298e+00	1.092608e+02	HSP90AA1;HSP90AB1;YWHAZ;EGFR;HSP90B1;YWHAQ;MYC;CDC37;ERBB2;MDM2;AKT1;RAC1;TP53;YWHAG;EIF4B
KEGG_2019_Human	Pathways in cancer	18/530	7.162833e-08	1.489869e-06	0	0	5.270985e+00	8.671706e+01	HSP90AA1;HSP90AB1;HHIP;PTCH1;STAT3;SLC2A1;FOS;EGFR;RHOA;HSP90B1;CDC42;SMO;MYC;ERBB2;MDM2;AKT1;RAC1;TP53
