Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Endocytosis	15/244	1.721361e-11	3.012494e-09	0	0	1.237739e+01	3.067777e+02	USP8;HSPA8;ARF1;RAB5C;HLA-B;AGAP1;CBL;EGFR;RHOA;CDC42;NEDD4;RAB35;RAB8A;HSPA1A;ARF6
KEGG_2019_Human	Ubiquitin mediated proteolysis	12/137	3.328722e-11	3.012494e-09	0	0	1.772501e+01	4.276309e+02	CUL4A;FZR1;UBE2I;SOCS1;FBXW7;NEDD4;CDC27;TRIM37;STUB1;CBL;UBE2L3;CUL4B
KEGG_2019_Human	Proteoglycans in cancer	13/201	2.220297e-10	1.339579e-08	0	0	1.284670e+01	2.855591e+02	PXN;PIK3R1;IQGAP1;CBL;EGFR;RHOA;PPP1CA;CDC42;ERBB3;AKT1;CTNNB1;ARHGEF1;RAC1
KEGG_2019_Human	Adherens junction	9/72	4.274614e-10	1.934263e-08	0	0	2.573766e+01	5.552426e+02	CDC42;AFDN;CSNK2A1;CSNK2A2;CTNNB1;RAC1;IQGAP1;RHOA;EGFR
KEGG_2019_Human	Human cytomegalovirus infection	13/225	8.918774e-10	3.228596e-08	0	0	1.137847e+01	2.371011e+02	CHUK;PXN;HLA-B;PIK3R1;EGFR;RHOA;PPP3CA;IRF3;AKT1;CTNNB1;ARHGEF1;RAC1;BCAR1
KEGG_2019_Human	Rap1 signaling pathway	12/206	3.739450e-09	1.128067e-07	0	0	1.138087e+01	2.208380e+02	MAGI1;CDC42;AFDN;MAGI2;AKT1;CTNNB1;PIK3R1;RAC1;PFN1;EGFR;RHOA;BCAR1
KEGG_2019_Human	Human papillomavirus infection	14/330	1.047112e-08	2.707532e-07	0	0	8.255274e+00	1.516877e+02	MAGI1;CHUK;CSNK1A1;PXN;HLA-B;PTEN;PIK3R1;EGFR;CDC42;DLG1;IRF3;DVL2;AKT1;CTNNB1
KEGG_2019_Human	Bacterial invasion of epithelial cells	8/74	1.344924e-08	3.042892e-07	0	0	2.163800e+01	3.921746e+02	CDC42;PXN;CTNNB1;RAC1;PIK3R1;CBL;RHOA;BCAR1
KEGG_2019_Human	Focal adhesion	11/199	2.966177e-08	5.965312e-07	0	0	1.066898e+01	1.849298e+02	CDC42;PXN;PTEN;AKT1;CTNNB1;PIK3R1;RAC1;EGFR;RHOA;BCAR1;PPP1CA
KEGG_2019_Human	Regulation of actin cytoskeleton	11/214	6.247153e-08	1.130735e-06	0	0	9.873107e+00	1.637806e+02	CDC42;PXN;ARHGEF1;PIK3R1;IQGAP1;RAC1;PFN1;EGFR;RHOA;BCAR1;PPP1CA
