Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Adherens junction	9/72	1.409355e-09	2.508652e-07	0	0	2.227334e+01	4.539337e+02	CDC42;PTPRB;CDH1;RAC3;RAC1;ACTB;RHOA;EGFR;TGFBR2
KEGG_2019_Human	Endocytosis	13/244	1.235192e-08	1.099321e-06	0	0	8.982825e+00	1.635723e+02	RAB5C;AGAP1;EGFR;RHOA;TGFBR2;CDC42;RAB35;MDM2;CHMP4B;RAB8A;HSPA1A;RAB7A;ARF6
KEGG_2019_Human	MAPK signaling pathway	13/295	1.150164e-07	6.824306e-06	0	0	7.339157e+00	1.172665e+02	PDGFRB;HSPB1;TNF;EGFR;TGFBR2;CDC42;PPP5C;RAC3;MAPT;RAC1;TP53;MAP3K11;HSPA1A
KEGG_2019_Human	Fluid shear stress and atherosclerosis	9/139	4.623795e-07	2.057589e-05	0	0	1.075748e+01	1.569181e+02	HSP90AA1;KEAP1;RAC3;RAC1;SQSTM1;TP53;TNF;ACTB;RHOA
KEGG_2019_Human	Rap1 signaling pathway	10/206	1.487648e-06	5.296026e-05	0	0	7.964043e+00	1.068640e+02	PDGFRB;MAGI1;CDC42;CDH1;RAC3;RAC1;EGFR;ACTB;RHOA;PFN2
KEGG_2019_Human	Protein processing in endoplasmic reticulum	9/165	1.945631e-06	5.772040e-05	0	0	8.952756e+00	1.177281e+02	HSP90AA1;HSPA5;FBXO2;CANX;RRBP1;STUB1;FBXO6;CRYAB;HSPA1A
KEGG_2019_Human	Bladder cancer	5/41	8.312548e-06	2.113762e-04	0	0	2.102205e+01	2.459106e+02	CDH1;MDM2;TP53;EGFR;HBEGF
KEGG_2019_Human	Proteoglycans in cancer	9/201	9.741692e-06	2.167527e-04	0	0	7.260827e+00	8.378338e+01	CDC42;MDM2;RAC1;TP53;TNF;EGFR;ACTB;RHOA;HBEGF
KEGG_2019_Human	Pancreatic cancer	6/75	1.212629e-05	2.398310e-04	0	0	1.324080e+01	1.498877e+02	CDC42;RAC3;RAC1;TP53;EGFR;TGFBR2
KEGG_2019_Human	Antigen processing and presentation	6/77	1.412045e-05	2.513441e-04	0	0	1.286652e+01	1.436919e+02	HSP90AA1;HSPA5;PSME3;CANX;TNF;HSPA1A
