Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	14/124	2.655593e-13	5.390853e-11	0	0	1.948259e+01	5.641563e+02	TGFB1;CDKN1B;MCM7;PRKDC;HDAC1;YWHAZ;CDC20;YWHAQ;MYC;MDM2;EP300;TP53;YWHAG;MCM2
KEGG_2019_Human	Hepatitis B	15/163	7.526266e-13	7.639160e-11	0	0	1.560573e+01	4.356373e+02	TGFB1;SRC;PRKCA;FOS;TNF;YWHAZ;RELA;MAPK8;IRF3;YWHAQ;MYC;AKT1;EP300;RAF1;TP53
KEGG_2019_Human	Viral carcinogenesis	15/201	1.577240e-11	1.067266e-09	0	0	1.239352e+01	3.082611e+02	CDKN1B;SRC;HDAC1;CHD4;YWHAZ;RELA;CDC20;HNRNPK;IRF3;YWHAQ;MDM2;REL;EP300;TP53;YWHAG
KEGG_2019_Human	Proteoglycans in cancer	14/201	1.941971e-10	9.855502e-09	0	0	1.141566e+01	2.552787e+02	TGFB1;SRC;RPS6;PRKCA;IQGAP1;TNF;THBS1;EGFR;ACTB;MYC;MDM2;AKT1;RAF1;TP53
KEGG_2019_Human	Influenza A	13/171	3.012112e-10	1.222917e-08	0	0	1.246772e+01	2.733325e+02	HSPA8;PRKCA;TNF;PML;RELA;ACTB;MAPK8;XPO1;DDX39B;IRF3;AKT1;EP300;RAF1
KEGG_2019_Human	Bladder cancer	8/41	4.389126e-10	1.484987e-08	0	0	3.559865e+01	7.670342e+02	SRC;CDH1;MYC;MDM2;RAF1;THBS1;TP53;EGFR
KEGG_2019_Human	Hepatitis C	12/155	1.212972e-09	3.517620e-08	0	0	1.262841e+01	2.592637e+02	IRF3;YWHAQ;MYC;PSME3;AKT1;RAF1;TP53;TNF;YWHAZ;RELA;EGFR;YWHAG
KEGG_2019_Human	Prostate cancer	10/97	1.881697e-09	4.366712e-08	0	0	1.708582e+01	3.432727e+02	TCF7L2;HSP90AA1;CDKN1B;MDM2;AKT1;EP300;RAF1;TP53;RELA;EGFR
KEGG_2019_Human	Human papillomavirus infection	16/330	1.935981e-09	4.366712e-08	0	0	7.841115e+00	1.573136e+02	TCF7L2;CDKN1B;HDAC1;CHD4;PSEN1;TUBG1;TNF;THBS1;RELA;EGFR;IRF3;MDM2;AKT1;EP300;RAF1;TP53
KEGG_2019_Human	Chronic myeloid leukemia	9/76	3.594471e-09	7.296775e-08	0	0	1.983849e+01	3.857371e+02	CDKN1B;TGFB1;HDAC1;MYC;MDM2;AKT1;RAF1;TP53;RELA
KEGG_2019_Human	PI3K-Akt signaling pathway	16/354	5.281579e-09	9.746915e-08	0	0	7.275404e+00	1.386622e+02	NGFR;HSP90AA1;CDKN1B;RPS6;PRKCA;YWHAZ;THBS1;RELA;EGFR;YWHAQ;MYC;MDM2;AKT1;RAF1;TP53;YWHAG
