Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	26/530	2.524535e-15	4.468426e-13	0	0	8.997104e+00	3.024171e+02	ITGB1;SPI1;FLT3;PIK3R3;PIK3R1;HSP90B1;MYC;PIM1;E2F2;DVL3;STAT5A;CREBBP;HSP90AA1;CDKN2A;STAT3;ESR1;ESR2;VEGFA;AR;SP1;GNB2;GNB1;CKS2;CTNNB1;GRB2;TP53
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	14/186	3.863613e-11	3.419298e-09	0	0	1.303054e+01	3.124310e+02	LYN;CREBBP;SYK;STAT3;PIK3R3;PIK3R1;VEGFA;HCK;MYC;GNB2;GNB1;E2F2;CTNNB1;TP53
KEGG_2019_Human	Viral carcinogenesis	14/201	1.090301e-10	6.432776e-09	0	0	1.197617e+01	2.747262e+02	STAT5A;LYN;CREBBP;SYK;CDKN2A;STAT3;PIK3R3;CHD4;ACTN4;PIK3R1;SNW1;GRB2;HIST1H2BG;TP53
KEGG_2019_Human	Acute myeloid leukemia	9/66	6.771835e-10	2.996537e-08	0	0	2.443174e+01	5.158293e+02	STAT5A;SPI1;FLT3;MYC;STAT3;PIM1;PIK3R3;GRB2;PIK3R1
KEGG_2019_Human	Prostate cancer	10/97	1.237274e-09	4.379951e-08	0	0	1.789845e+01	3.671036e+02	AR;CREBBP;HSP90AA1;PIK3R3;E2F2;CTNNB1;GRB2;PIK3R1;TP53;HSP90B1
KEGG_2019_Human	Chronic myeloid leukemia	9/76	2.460295e-09	7.257870e-08	0	0	2.077472e+01	4.118170e+02	STAT5A;CDKN2A;MYC;PIK3R3;E2F2;PTPN11;GRB2;PIK3R1;TP53
KEGG_2019_Human	Human cytomegalovirus infection	13/225	5.108801e-09	1.230504e-07	0	0	9.717856e+00	1.855362e+02	CDKN2A;STAT3;PIK3R3;PIK3R1;VEGFA;SP1;MYC;GNB2;GNB1;E2F2;CTNNB1;GRB2;TP53
KEGG_2019_Human	Breast cancer	11/147	5.561598e-09	1.230504e-07	0	0	1.266322e+01	2.406947e+02	SP1;MYC;E2F2;PIK3R3;DVL3;CTNNB1;GRB2;PIK3R1;TP53;ESR1;ESR2
KEGG_2019_Human	Non-small cell lung cancer	8/66	1.621989e-08	3.189912e-07	0	0	2.117616e+01	3.798373e+02	STAT5A;CDKN2A;STAT3;PIK3R3;E2F2;GRB2;PIK3R1;TP53
KEGG_2019_Human	PI3K-Akt signaling pathway	15/354	2.147873e-08	3.801736e-07	0	0	7.081097e+00	1.250253e+02	ITGB1;HSP90AA1;SYK;FLT3;PIK3R3;PIK3R1;HSP90B1;VEGFA;MYC;GNB2;MYB;GNB1;GRB2;PKN1;TP53
