Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Adherens junction	13/72	2.016683e-14	3.715871e-12	0	0	2.905243e+01	9.161607e+02	TCF7L2;CSNK2A1;SRC;IQGAP1;ACTB;EGFR;CDC42;CDH1;CSNK2B;EP300;FYN;RAC1;VCL
KEGG_2019_Human	Focal adhesion	18/199	4.636028e-14	3.715871e-12	0	0	1.348097e+01	4.138972e+02	PRKCB;SRC;FLT4;FN1;ILK;PIK3R3;EGFR;ACTB;PTK2;PPP1CA;MYL12B;RAP1B;CDC42;ZYX;GRB2;FYN;RAC1;VCL
KEGG_2019_Human	Viral carcinogenesis	18/201	5.518620e-14	3.715871e-12	0	0	1.333228e+01	4.070086e+02	YWHAB;CDKN2A;SRC;HDAC1;PIK3R3;SCRIB;YWHAZ;CDC42;HNRNPK;PKM;YWHAQ;HIST4H4;CDK1;EP300;GRB2;RAC1;TP53;YWHAG
KEGG_2019_Human	Cell cycle	14/124	1.626620e-12	8.214430e-11	0	0	1.685040e+01	4.573959e+02	MCM7;PRKDC;YWHAB;HDAC1;CDKN2A;YWHAZ;YWHAQ;CDK1;EP300;MCM5;BUB3;TP53;YWHAG;MCM2
KEGG_2019_Human	Spliceosome	14/134	4.765158e-12	1.925124e-10	0	0	1.543837e+01	4.024734e+02	HSPA8;DDX5;HNRNPA3;SRSF1;PRPF40A;USP39;PRPF8;EFTUD2;PRPF4;HNRNPK;DDX39B;SNRNP70;SF3B1;SNRPA
KEGG_2019_Human	Proteoglycans in cancer	16/201	9.028678e-12	3.039655e-10	0	0	1.156213e+01	2.940320e+02	DDX5;PRKCB;SRC;RPS6;FN1;PIK3R3;IQGAP1;ESR1;EGFR;ACTB;PTK2;PPP1CA;CDC42;GRB2;RAC1;TP53
KEGG_2019_Human	Bacterial invasion of epithelial cells	11/74	2.012821e-11	5.808427e-10	0	0	2.271449e+01	5.594330e+02	CDC42;CDH1;SRC;FN1;ILK;PIK3R3;ARPC4;RAC1;ACTB;VCL;PTK2
KEGG_2019_Human	Pathways in cancer	20/530	1.301822e-08	3.287102e-07	0	0	5.300151e+00	9.623439e+01	NQO1;TCF7L2;HSP90AA1;HSP90AB1;PRKCB;CDKN2A;HDAC1;FLT4;FN1;PIK3R3;ESR1;EGFR;PTK2;CDC42;CDH1;RARA;EP300;GRB2;RAC1;TP53
KEGG_2019_Human	Regulation of actin cytoskeleton	13/214	2.301402e-08	5.165368e-07	0	0	8.466600e+00	1.489035e+02	SRC;FN1;PIK3R3;ARPC4;IQGAP1;EGFR;ACTB;PTK2;PPP1CA;MYL12B;CDC42;RAC1;VCL
KEGG_2019_Human	Leukocyte transendothelial migration	10/112	2.715760e-08	5.485835e-07	0	0	1.264578e+01	2.203098e+02	RAP1B;CDC42;VCAM1;PRKCB;PIK3R3;RAC1;ACTB;VCL;PTK2;MYL12B
KEGG_2019_Human	PI3K-Akt signaling pathway	16/354	3.478107e-08	6.387069e-07	0	0	6.279113e+00	1.078387e+02	HSP90AA1;HSP90AB1;YWHAB;FLT4;RPS6;FN1;PIK3R3;YWHAZ;EGFR;PTK2;PPP2CA;YWHAQ;GRB2;RAC1;TP53;YWHAG
KEGG_2019_Human	Ribosome	11/153	5.170127e-08	8.703046e-07	0	0	1.003730e+01	1.684036e+02	RPS26;RPL5;RPS17;RPS28;RPS7;RPL23;RPS6;RPL11;RPS3;RPL26;RPL28
KEGG_2019_Human	Fluid shear stress and atherosclerosis	10/139	2.117807e-07	3.290746e-06	0	0	9.985307e+00	1.534513e+02	NQO1;HSP90AA1;VCAM1;HSP90AB1;SRC;PIK3R3;RAC1;TP53;ACTB;PTK2
KEGG_2019_Human	Pathogenic Escherichia coli infection	7/55	3.065878e-07	4.423625e-06	0	0	1.849933e+01	2.774486e+02	CDC42;YWHAQ;CDH1;FYN;ARPC4;YWHAZ;ACTB
KEGG_2019_Human	Endometrial cancer	7/58	4.450574e-07	5.993440e-06	0	0	1.740850e+01	2.546004e+02	TCF7L2;CDH1;ILK;PIK3R3;GRB2;TP53;EGFR
KEGG_2019_Human	VEGF signaling pathway	7/59	5.015342e-07	6.331870e-06	0	0	1.707286e+01	2.476519e+02	CDC42;PRKCB;SRC;HSPB1;PIK3R3;RAC1;PTK2
KEGG_2019_Human	Wnt signaling pathway	10/158	6.958390e-07	8.268205e-06	0	0	8.695019e+00	1.232793e+02	RNF43;TCF7L2;MMP7;CSNK2A1;PRKCB;CSNK2B;EP300;CACYBP;RAC1;TP53
KEGG_2019_Human	Hippo signaling pathway	10/160	7.810888e-07	8.765552e-06	0	0	8.578214e+00	1.206318e+02	PPP2CA;TCF7L2;YWHAQ;CDH1;YWHAB;SCRIB;YWHAZ;ACTB;YWHAG;PPP1CA
KEGG_2019_Human	Hepatitis B	10/163	9.260737e-07	9.845625e-06	0	0	8.408732e+00	1.168167e+02	YWHAQ;PRKCB;YWHAB;SRC;EP300;PIK3R3;TAB2;GRB2;TP53;YWHAZ
KEGG_2019_Human	Prostate cancer	8/97	1.280021e-06	1.292821e-05	0	0	1.145227e+01	1.553916e+02	TCF7L2;HSP90AA1;HSP90AB1;EP300;PIK3R3;GRB2;TP53;EGFR
KEGG_2019_Human	Tight junction	10/170	1.359026e-06	1.307254e-05	0	0	8.037990e+00	1.085831e+02	ACTR3;PPP2CA;CDC42;ACTR2;MYL6;SRC;SCRIB;RAC1;ACTB;MYL12B
KEGG_2019_Human	Estrogen signaling pathway	9/137	1.869204e-06	1.716269e-05	0	0	8.998630e+00	1.186919e+02	HSPA8;HSP90AA1;HSP90AB1;SRC;RARA;PIK3R3;GRB2;ESR1;EGFR
KEGG_2019_Human	Human papillomavirus infection	13/330	3.250904e-06	2.855141e-05	0	0	5.336698e+00	6.743760e+01	TCF7L2;HDAC1;FN1;PIK3R3;SCRIB;EGFR;PTK2;PPP2CA;CDC42;PKM;EP300;GRB2;TP53
KEGG_2019_Human	Thyroid hormone signaling pathway	8/116	4.937160e-06	4.155443e-05	0	0	9.428435e+00	1.152034e+02	PRKCB;SRC;HDAC1;EP300;PIK3R3;TP53;ESR1;ACTB
KEGG_2019_Human	Hepatitis C	9/155	5.173703e-06	4.180352e-05	0	0	7.882005e+00	9.593915e+01	PPP2CA;YWHAQ;YWHAB;PIK3R3;GRB2;TP53;YWHAZ;YWHAG;EGFR
KEGG_2019_Human	MAPK signaling pathway	12/295	5.677123e-06	4.410688e-05	0	0	5.491026e+00	6.632646e+01	RAP1B;CDC42;HSPA8;PRKCB;FLT4;STMN1;HSPB1;GRB2;TAB2;RAC1;TP53;EGFR
KEGG_2019_Human	Rap1 signaling pathway	10/206	7.575729e-06	5.667767e-05	0	0	6.549620e+00	7.722369e+01	RAP1B;CDC42;CDH1;PRKCB;SRC;FLT4;PIK3R3;RAC1;EGFR;ACTB
