Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Thyroid hormone signaling pathway	11/116	3.671217e-11	5.478657e-09	0	0	2.115121e+01	5.082195e+02	CREBBP;HDAC2;HDAC3;CCND1;HDAC1;MYC;EP300;TP53;ESR1;HIF1A;HRAS
KEGG_2019_Human	Viral carcinogenesis	13/201	7.256499e-11	5.478657e-09	0	0	1.419210e+01	3.313364e+02	HDAC4;HDAC5;CREBBP;HDAC2;HDAC3;HDAC1;HDAC6;SNW1;CCND1;EP300;HIST1H2BG;TP53;HRAS
KEGG_2019_Human	Alcoholism	12/180	2.867195e-10	1.443155e-08	0	0	1.452356e+01	3.191193e+02	HDAC4;HDAC5;HDAC2;HIST1H3A;HDAC3;H2AFY;H2AFZ;HDAC1;H2AFX;HIST1H2BG;HRAS;HDAC6
KEGG_2019_Human	MicroRNAs in cancer	14/299	9.232051e-10	3.485099e-08	0	0	1.013791e+01	2.109007e+02	HDAC4;CREBBP;HDAC1;PTEN;KIF23;BRCA1;BMI1;CCND1;MYC;EP300;E2F3;TP53;HRAS;PAK4
KEGG_2019_Human	Cell cycle	9/124	2.556211e-08	7.719758e-07	0	0	1.547687e+01	2.705690e+02	CREBBP;HDAC2;CCND1;HDAC1;MYC;EP300;E2F3;SMC3;TP53
KEGG_2019_Human	Prostate cancer	8/97	5.801905e-08	1.460146e-06	0	0	1.762332e+01	2.936484e+02	CREBBP;HSP90AA1;CCND1;PTEN;EP300;E2F3;TP53;HRAS
KEGG_2019_Human	Pathways in cancer	15/530	1.884298e-07	3.559819e-06	0	0	6.003718e+00	9.296482e+01	CREBBP;HSP90AA1;HDAC2;HDAC1;PTEN;ESR1;HIF1A;MSH6;RAD51;CCND1;MYC;EP300;E2F3;TP53;HRAS
KEGG_2019_Human	Chronic myeloid leukemia	7/76	1.885997e-07	3.559819e-06	0	0	1.971498e+01	3.052596e+02	HDAC2;CCND1;HDAC1;MYC;E2F3;HRAS;TP53
KEGG_2019_Human	Cellular senescence	9/160	2.306491e-07	3.869779e-06	0	0	1.176556e+01	1.798057e+02	RAD50;MRE11;CCND1;MYC;PTEN;E2F3;NBN;TP53;HRAS
KEGG_2019_Human	Hepatocellular carcinoma	9/168	3.489873e-07	5.269708e-06	0	0	1.116906e+01	1.660641e+02	CCND1;MYC;DPF1;PTEN;E2F3;ARID1A;TP53;ARID1B;HRAS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	9/186	8.216780e-07	1.127940e-05	0	0	1.002407e+01	1.404564e+02	CREBBP;CCND1;MYC;EP300;E2F3;TP53;HIF1A;HRAS;GABARAP
KEGG_2019_Human	Breast cancer	8/147	1.428696e-06	1.797776e-05	0	0	1.125550e+01	1.514850e+02	CCND1;MYC;PTEN;E2F3;BRCA1;TP53;ESR1;HRAS
KEGG_2019_Human	Bladder cancer	5/41	2.809694e-06	3.030455e-05	0	0	2.651576e+01	3.389360e+02	CCND1;MYC;E2F3;HRAS;TP53
KEGG_2019_Human	Homologous recombination	5/41	2.809694e-06	3.030455e-05	0	0	2.651576e+01	3.389360e+02	RAD50;MRE11;RAD51;BRCA1;NBN
KEGG_2019_Human	Notch signaling pathway	5/48	6.228296e-06	6.269818e-05	0	0	2.219141e+01	2.659953e+02	HDAC2;CREBBP;SNW1;HDAC1;EP300
KEGG_2019_Human	FoxO signaling pathway	7/132	7.919766e-06	7.474280e-05	0	0	1.085192e+01	1.274683e+02	CREBBP;CCND1;FBXO25;PTEN;EP300;HRAS;GABARAP
