Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	RNA transport	13/165	9.574301e-12	1.359551e-09	0	0	1.687862e+01	4.282433e+02	NDC1;UBE2I;NUP107;NUP155;NUP153;NUP93;NXF1;SUMO3;TPR;SUMO2;SAP18;RAE1;KPNB1
KEGG_2019_Human	Ubiquitin mediated proteolysis	11/137	3.329677e-10	2.364071e-08	0	0	1.691340e+01	3.691007e+02	PRKN;CUL7;UBE2I;CDC34;FBXW7;CUL3;MDM2;UBA1;BRCA1;RCHY1;RBX1
KEGG_2019_Human	Transcriptional misregulation in cancer	10/186	1.029979e-07	4.875233e-06	0	0	1.087323e+01	1.749347e+02	HDAC2;SP1;HDAC1;MYC;NSD2;MDM2;PPARG;NUPR1;BMI1;KDM6A
KEGG_2019_Human	Thyroid hormone signaling pathway	8/116	3.094209e-07	1.098444e-05	0	0	1.395344e+01	2.091420e+02	HDAC2;HDAC3;HDAC1;MYC;MDM2;CTNNB1;EP300;HIF1A
KEGG_2019_Human	Cell cycle	8/124	5.165279e-07	1.466939e-05	0	0	1.298588e+01	1.879853e+02	HDAC2;HDAC1;MYC;MDM2;EP300;E2F3;CDC25C;RBX1
KEGG_2019_Human	MicroRNAs in cancer	11/299	1.043479e-06	2.469568e-05	0	0	7.338950e+00	1.010790e+02	HDAC4;UBE2I;HDAC1;MYC;MDM2;EP300;E2F3;BRCA1;CDC25C;BMI1;EZH2
KEGG_2019_Human	Pathways in cancer	14/530	1.759751e-06	3.569781e-05	0	0	5.308786e+00	7.034320e+01	HSP90AA1;HDAC2;HDAC1;HIF1A;RBX1;MECOM;SP1;MYC;TPR;MDM2;CTNNB1;EP300;E2F3;PPARG
KEGG_2019_Human	Viral carcinogenesis	9/201	2.119143e-06	3.761478e-05	0	0	8.876953e+00	1.159729e+02	HDAC4;HDAC5;HDAC2;HDAC3;HIST4H4;HDAC1;MDM2;EP300;HDAC9
KEGG_2019_Human	Chronic myeloid leukemia	6/76	4.509787e-06	7.115441e-05	0	0	1.587477e+01	1.954066e+02	HDAC2;MECOM;HDAC1;MYC;MDM2;E2F3
KEGG_2019_Human	Lysine degradation	5/59	2.067552e-05	2.935924e-04	0	0	1.700360e+01	1.834104e+02	KMT2D;EHMT2;NSD2;DLST;EZH2
KEGG_2019_Human	Thyroid cancer	4/37	5.525224e-05	7.132562e-04	0	0	2.207840e+01	2.164478e+02	MYC;TPR;CTNNB1;PPARG
KEGG_2019_Human	Alcoholism	7/180	7.367478e-05	8.718182e-04	0	0	7.525248e+00	7.160913e+01	HDAC4;HDAC5;HDAC2;HDAC3;HIST4H4;HDAC1;HDAC9
KEGG_2019_Human	Prostate cancer	5/97	2.244827e-04	2.452042e-03	0	0	9.961252e+00	8.369157e+01	HSP90AA1;MDM2;EP300;CTNNB1;E2F3
KEGG_2019_Human	Longevity regulating pathway	5/102	2.837128e-04	2.877659e-03	0	0	9.445399e+00	7.714575e+01	HSPA8;HDAC2;HDAC1;EHMT2;PPARG
KEGG_2019_Human	Mitophagy	4/65	5.015888e-04	4.748374e-03	0	0	1.192721e+01	9.061970e+01	PRKN;PINK1;SP1;HIF1A
