Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	37/530	5.236347e-30	1.000142e-27	0	0	1.842162e+01	1.242021e+03	CAMK2B;ARAF;CUL1;CBL;ETS1;ELK1;GNAI1;BBC3;GNAI2;NRAS;FRAT2;CCND1;ERBB2;ABL1;RAC2;PMAIP1;EP300;MAPK1;HRAS;JAK1;EGLN1;CREBBP;CHUK;CDKN2A;ARNT;ESR1;SP1;TRAF6;FAS;CTNNB1;KRAS;RAF1;CALM1;FGFR3;SOS2;FGFR1;BCL2L1
KEGG_2019_Human	Human cytomegalovirus infection	19/225	4.820592e-17	4.603665e-15	0	0	1.871094e+01	7.029897e+02	ATF2;CHUK;CDKN2A;ELK1;GNAI1;GNAI2;NRAS;CCND1;SP1;RAC2;FAS;CTNNB1;MAPK1;KRAS;RAF1;CALM1;SOS2;HRAS;JAK1
KEGG_2019_Human	Proteoglycans in cancer	18/201	1.202311e-16	7.654714e-15	0	0	1.977350e+01	7.248396e+02	CAMK2B;ARAF;CBL;ANK1;ESR1;ELK1;NRAS;CCND1;ERBB3;ERBB2;FAS;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;FGFR1
KEGG_2019_Human	Prostate cancer	14/97	4.067305e-16	1.809345e-14	0	0	3.274439e+01	1.160408e+03	CREBBP;CHUK;ARAF;NRAS;CCND1;ERBB2;EP300;MAPK1;CTNNB1;KRAS;RAF1;HRAS;SOS2;FGFR1
KEGG_2019_Human	Chronic myeloid leukemia	13/76	4.736506e-16	1.809345e-14	0	0	3.970920e+01	1.401181e+03	CHUK;CDKN2A;ARAF;CBL;NRAS;CCND1;ABL1;MAPK1;KRAS;RAF1;HRAS;SOS2;BCL2L1
KEGG_2019_Human	ErbB signaling pathway	13/85	2.194435e-15	6.985617e-14	0	0	3.472977e+01	1.172229e+03	CAMK2B;ARAF;CBL;ELK1;NRAS;ERBB3;ERBB2;ABL1;MAPK1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Renal cell carcinoma	12/69	5.403039e-15	1.367215e-13	0	0	4.013563e+01	1.318528e+03	EGLN1;NRAS;CREBBP;ARAF;EP300;ARNT;MAPK1;KRAS;RAF1;ETS1;HRAS;SOS2
KEGG_2019_Human	Human immunodeficiency virus 1 infection	17/212	5.726555e-15	1.367215e-13	0	0	1.733815e+01	5.685815e+02	CHUK;CUL1;GNAI1;GNAI2;NRAS;TRAF6;CDK1;RAC2;FAS;MAPK1;KRAS;RAF1;CALM1;BTRC;HRAS;BCL2L1;CUL4B
KEGG_2019_Human	Breast cancer	15/147	6.957302e-15	1.476494e-13	0	0	2.222322e+01	7.244545e+02	ARAF;BRCA1;ESR1;NRAS;FRAT2;CCND1;SP1;ERBB2;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;FGFR1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	16/186	1.259933e-14	2.406471e-13	0	0	1.855435e+01	5.938345e+02	ATG3;CREBBP;CHUK;PIK3CG;C3;NRAS;CCND1;FAS;CTNNB1;EP300;MAPK1;KRAS;RAF1;CALM1;HRAS;JAK1
KEGG_2019_Human	Ras signaling pathway	17/232	2.557260e-14	4.106325e-13	0	0	1.570933e+01	4.916588e+02	CHUK;ETS1;ELK1;NRAS;ABL1;RAC2;MAPK1;SHOC2;KRAS;RAF1;CALM1;RGL2;FGFR3;SOS2;HRAS;FGFR1;BCL2L1
KEGG_2019_Human	Endometrial cancer	11/58	2.786583e-14	4.106325e-13	0	0	4.421621e+01	1.380049e+03	NRAS;CCND1;ERBB2;ARAF;MAPK1;CTNNB1;KRAS;RAF1;ELK1;HRAS;SOS2
KEGG_2019_Human	Bladder cancer	10/41	2.794881e-14	4.106325e-13	0	0	6.041692e+01	1.885516e+03	NRAS;CCND1;CDKN2A;ERBB2;ARAF;MAPK1;KRAS;RAF1;HRAS;FGFR3
KEGG_2019_Human	Hepatitis B	15/163	3.272545e-14	4.464686e-13	0	0	1.980466e+01	6.149469e+02	ATF2;CREBBP;CHUK;ARAF;ELK1;NRAS;TRAF6;FAS;EP300;MAPK1;KRAS;RAF1;SOS2;HRAS;JAK1
