Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	36/530	1.143024e-26	2.400350e-24	0	0	1.486256e+01	8.877933e+02	HSP90AB1;HDAC1;ARAF;GLI1;EGFR;GNAI1;IKBKB;GNA13;NRAS;GNG4;GNA11;GNG8;AKT1;RAC1;JAK3;SMAD2;NTRK1;HSP90AA1;EGLN3;CHUK;AXIN1;ARNT;BRAF;NFKB1;RHOA;AR;CDK4;GNB2;GNAQ;GNB1;GNAS;MDM2;KRAS;CALM1;BCL2L1;BIRC3
KEGG_2019_Human	Human cytomegalovirus infection	21/225	1.622861e-18	1.704004e-16	0	0	1.840307e+01	7.538330e+02	CHUK;EGFR;NFKB1;RHOA;GNAI1;IKBKB;GNA13;NRAS;GNG4;CDK4;GNB2;GNAQ;GNA11;GNB1;GNAS;MDM2;GNG8;AKT1;KRAS;RAC1;CALM1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	18/212	2.852659e-15	1.996861e-13	0	0	1.615500e+01	5.410396e+02	CHUK;NFKB1;GNAI1;IKBKB;NRAS;GNG4;GNB2;GNAQ;GNA11;GNB1;CDK1;GNG8;AKT1;KRAS;RAC1;CALM1;BTRC;BCL2L1
KEGG_2019_Human	Prostate cancer	13/97	6.504244e-14	2.433294e-12	0	0	2.594885e+01	7.879040e+02	HSP90AA1;HSP90AB1;CHUK;ARAF;BRAF;NFKB1;EGFR;IKBKB;AR;NRAS;MDM2;AKT1;KRAS
KEGG_2019_Human	Pancreatic cancer	12/75	6.868039e-14	2.433294e-12	0	0	3.170228e+01	9.608743e+02	IKBKB;SMAD2;CHUK;CDK4;ARAF;AKT1;BRAF;KRAS;RAC1;EGFR;NFKB1;BCL2L1
KEGG_2019_Human	MAPK signaling pathway	19/295	7.208322e-14	2.433294e-12	0	0	1.204280e+01	3.644266e+02	NTRK1;MAP3K3;HSPA8;CHUK;ARAF;BRAF;HSPA2;EGFR;NFKB1;DUSP6;STK3;IKBKB;NRAS;AKT1;FLNA;KRAS;FLNC;MAPT;RAC1
KEGG_2019_Human	Chronic myeloid leukemia	12/76	8.110978e-14	2.433294e-12	0	0	3.120536e+01	9.406222e+02	IKBKB;NRAS;CHUK;HDAC1;CDK4;ARAF;MDM2;AKT1;BRAF;KRAS;NFKB1;BCL2L1
KEGG_2019_Human	PI3K-Akt signaling pathway	20/354	1.767961e-13	4.640897e-12	0	0	1.053838e+01	3.094467e+02	NTRK1;HSP90AA1;HSP90AB1;CHUK;EGFR;NFKB1;IKBKB;NRAS;GNG4;CDK4;GNB2;GNB1;MDM2;GNG8;AKT1;KRAS;RAC1;PCK1;JAK3;BCL2L1
KEGG_2019_Human	Chemokine signaling pathway	15/190	1.935971e-12	4.517265e-11	0	0	1.455222e+01	3.924793e+02	CHUK;BRAF;NFKB1;RHOA;GNAI1;IKBKB;NRAS;GNG4;GNB2;GNB1;GNG8;AKT1;KRAS;RAC1;JAK3
KEGG_2019_Human	Ras signaling pathway	16/232	2.717781e-12	5.707339e-11	0	0	1.265894e+01	3.371228e+02	NTRK1;CHUK;EGFR;NFKB1;RHOA;IKBKB;NRAS;GNG4;GNB2;GNB1;GNG8;AKT1;KRAS;RAC1;CALM1;BCL2L1
KEGG_2019_Human	Alcoholism	14/180	1.346062e-11	2.569755e-10	0	0	1.420255e+01	3.555077e+02	HDAC1;ARAF;BRAF;GNAI1;PPP1CB;NRAS;GNG4;HIST4H4;GNB2;GNB1;GNAS;GNG8;KRAS;CALM1
KEGG_2019_Human	Relaxin signaling pathway	12/130	5.594777e-11	9.598915e-10	0	0	1.687879e+01	3.984509e+02	SMAD2;NRAS;GNG4;GNB2;GNB1;GNAS;AKT1;GNG8;KRAS;NFKB1;EGFR;GNAI1
KEGG_2019_Human	Proteoglycans in cancer	14/201	5.942186e-11	9.598915e-10	0	0	1.259418e+01	2.965470e+02	SMAD2;ARAF;BRAF;EGFR;ACTB;RHOA;PPP1CB;NRAS;MDM2;AKT1;FLNA;KRAS;FLNC;RAC1
KEGG_2019_Human	FoxO signaling pathway	12/132	6.700514e-11	1.005077e-09	0	0	1.659580e+01	3.887773e+02	SMAD2;IKBKB;NRAS;CHUK;CAT;ARAF;MDM2;AKT1;BRAF;KRAS;PCK1;EGFR
KEGG_2019_Human	Apelin signaling pathway	12/137	1.038236e-10	1.362685e-09	0	0	1.592793e+01	3.661565e+02	SMAD2;GNA13;NRAS;GNG4;GNB2;GNAQ;GNB1;GNG8;AKT1;KRAS;CALM1;GNAI1
KEGG_2019_Human	Estrogen signaling pathway	12/137	1.038236e-10	1.362685e-09	0	0	1.592793e+01	3.661565e+02	HSPA8;NRAS;HSP90AA1;HSP90AB1;GNAQ;GNAS;AKT1;KRAS;HSPA2;CALM1;EGFR;GNAI1
KEGG_2019_Human	Long-term depression	9/60	1.873462e-10	2.314277e-09	0	0	2.866635e+01	6.420706e+02	GNA13;NRAS;GNA11;GNAQ;ARAF;GNAS;BRAF;KRAS;GNAI1
KEGG_2019_Human	Serotonergic synapse	11/113	2.052398e-10	2.394464e-09	0	0	1.776446e+01	3.962690e+02	NRAS;GNG4;GNB2;GNAQ;GNB1;ARAF;GNAS;GNG8;BRAF;KRAS;GNAI1
KEGG_2019_Human	Colorectal cancer	10/86	2.384262e-10	2.635237e-09	0	0	2.152349e+01	4.768951e+02	SMAD2;NRAS;ARAF;AXIN1;AKT1;BRAF;KRAS;RAC1;RHOA;EGFR
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	13/186	2.850423e-10	2.992944e-09	0	0	1.254276e+01	2.756697e+02	CHUK;NFKB1;IKBKB;NRAS;GNG4;CDK4;GNB2;GNB1;GNG8;AKT1;KRAS;RAC1;CALM1
KEGG_2019_Human	Neurotrophin signaling pathway	11/119	3.600652e-10	3.600652e-09	0	0	1.677245e+01	3.647126e+02	IKBKB;NTRK1;MAP3K3;NRAS;AKT1;BRAF;KRAS;RAC1;CALM1;NFKB1;RHOA
KEGG_2019_Human	Acute myeloid leukemia	9/66	4.538489e-10	4.332194e-09	0	0	2.564107e+01	5.516229e+02	IKBKB;NRAS;CHUK;ARAF;AKT1;BRAF;KRAS;DUSP6;NFKB1
KEGG_2019_Human	Cellular senescence	12/160	6.334429e-10	5.783609e-09	0	0	1.343697e+01	2.845931e+02	PPP1CB;SMAD2;NRAS;MRE11;CDK4;MDM2;CDK1;AKT1;KRAS;CALM1;BTRC;NFKB1
KEGG_2019_Human	cAMP signaling pathway	13/212	1.427849e-09	1.231108e-08	0	0	1.088962e+01	2.217899e+02	BRAF;ADRB2;GLI1;NFKB1;RHOA;TSHR;GNAI1;PPP1CB;GNAS;AKT1;RAC1;CALM1;CFTR
KEGG_2019_Human	Glioma	9/75	1.465605e-09	1.231108e-08	0	0	2.213450e+01	4.502378e+02	NRAS;CDK4;ARAF;MDM2;AKT1;BRAF;KRAS;CALM1;EGFR
KEGG_2019_Human	Fluid shear stress and atherosclerosis	11/139	1.910478e-09	1.543078e-08	0	0	1.413743e+01	2.838219e+02	IKBKB;HSP90AA1;HSP90AB1;CHUK;SUMO1;AKT1;RAC1;CALM1;ACTB;NFKB1;RHOA
KEGG_2019_Human	Cholinergic synapse	10/112	3.301714e-09	2.568000e-08	0	0	1.601604e+01	3.127745e+02	NRAS;GNG4;GNB2;GNAQ;GNA11;GNB1;AKT1;GNG8;KRAS;GNAI1
KEGG_2019_Human	Sphingolipid signaling pathway	10/119	5.972113e-09	4.382495e-08	0	0	1.498218e+01	2.837051e+02	GNA13;NRAS;GNAQ;AKT1;KRAS;RAC1;NFKB1;RHOA;GNAI1;CERS2
KEGG_2019_Human	Hepatitis C	11/155	6.052017e-09	4.382495e-08	0	0	1.255642e+01	2.376036e+02	IKBKB;NRAS;CHUK;CD81;CDK4;ARAF;AKT1;BRAF;KRAS;EGFR;NFKB1
KEGG_2019_Human	Bladder cancer	7/41	8.218854e-09	5.753198e-08	0	0	3.293287e+01	6.131059e+02	NRAS;CDK4;ARAF;MDM2;BRAF;KRAS;EGFR
KEGG_2019_Human	Rap1 signaling pathway	12/206	1.122508e-08	7.482296e-08	0	0	1.022698e+01	1.872060e+02	NRAS;GNAQ;GNAS;AKT1;BRAF;KRAS;RAC1;CALM1;EGFR;ACTB;RHOA;GNAI1
KEGG_2019_Human	Non-small cell lung cancer	8/66	1.140159e-08	7.482296e-08	0	0	2.221587e+01	4.063174e+02	NRAS;CDK4;ARAF;AKT1;BRAF;KRAS;JAK3;EGFR
KEGG_2019_Human	Hepatocellular carcinoma	11/168	1.405891e-08	8.946577e-08	0	0	1.150913e+01	2.080852e+02	SMAD2;NRAS;CDK4;ARAF;AXIN1;AKT1;BRAF;KRAS;EGFR;ACTB;BCL2L1
KEGG_2019_Human	Dopaminergic synapse	10/131	1.515253e-08	9.358913e-08	0	0	1.348815e+01	2.428555e+02	PPP1CB;GNG4;GNB2;GNAQ;GNB1;GNAS;AKT1;GNG8;CALM1;GNAI1
KEGG_2019_Human	Renal cell carcinoma	8/69	1.632804e-08	9.796824e-08	0	0	2.112009e+01	3.786912e+02	NRAS;EGLN3;ARAF;AKT1;ARNT;BRAF;KRAS;RAC1
KEGG_2019_Human	Progesterone-mediated oocyte maturation	9/99	1.770176e-08	1.032603e-07	0	0	1.621230e+01	2.893830e+02	HSP90AA1;FZR1;HSP90AB1;ARAF;CDK1;AKT1;BRAF;KRAS;GNAI1
KEGG_2019_Human	B cell receptor signaling pathway	8/71	2.054964e-08	1.166331e-07	0	0	2.044754e+01	3.619301e+02	IKBKB;NRAS;CHUK;CD81;AKT1;KRAS;RAC1;NFKB1
