Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	25/530	5.236002e-15	9.424804e-13	0	0	9.218393e+00	3.031304e+02	HSP90AB1;HDAC1;PTEN;STK4;GLI1;HIF1A;GNAI1;IKBKB;CCND1;MYC;AKT1;EP300;E2F3;HRAS;NTRK1;CREBBP;HSP90AA1;EGLN3;CHUK;ESR1;MSH6;RAD51;CDK4;TP53;BIRC3
KEGG_2019_Human	Cell cycle	14/124	6.265435e-14	5.638892e-12	0	0	2.186988e+01	6.648694e+02	CREBBP;HDAC1;SMC3;CDC14A;CDC25B;FZR1;CCND1;CDK4;MYC;CDK1;EP300;E2F3;BUB3;TP53
KEGG_2019_Human	Prostate cancer	12/97	1.379658e-12	8.277947e-11	0	0	2.387451e+01	6.519934e+02	IKBKB;CREBBP;HSP90AA1;HSP90AB1;CCND1;CHUK;PTEN;AKT1;EP300;E2F3;TP53;HRAS
KEGG_2019_Human	Cellular senescence	14/160	2.182931e-12	9.823188e-11	0	0	1.644729e+01	4.416155e+02	MRE11;PTEN;PPP1CB;RAD50;CCND1;CDK4;MYC;CDK1;AKT1;E2F3;NBN;BTRC;TP53;HRAS
KEGG_2019_Human	FoxO signaling pathway	12/132	5.586686e-11	1.747702e-09	0	0	1.688120e+01	3.985321e+02	IKBKB;CREBBP;PRKAA2;CCND1;CHUK;FBXO25;PTEN;AKT1;EP300;STK4;HRAS;PRKAG3
KEGG_2019_Human	Chronic myeloid leukemia	10/76	5.825673e-11	1.747702e-09	0	0	2.521645e+01	5.942549e+02	IKBKB;CCND1;CHUK;HDAC1;CDK4;MYC;AKT1;E2F3;HRAS;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	14/219	1.510429e-10	3.883961e-09	0	0	1.167864e+01	2.640945e+02	MAP3K3;CREBBP;CHUK;PTEN;IKBKB;CCND1;CDK4;MYC;AKT1;EP300;E2F3;BUB3;TP53;HRAS
KEGG_2019_Human	Thyroid hormone signaling pathway	11/116	2.310900e-10	5.199524e-09	0	0	1.754851e+01	3.893700e+02	CREBBP;CCND1;HDAC1;MYC;AKT1;EP300;TP53;HIF1A;ESR1;HRAS;ACTB
KEGG_2019_Human	Small cell lung cancer	10/93	4.496727e-10	8.993455e-09	0	0	2.003442e+01	4.311909e+02	IKBKB;CCND1;CHUK;CDK4;MYC;PTEN;AKT1;E2F3;TP53;BIRC3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	12/186	2.975310e-09	5.355558e-08	0	0	1.161037e+01	2.279455e+02	IKBKB;CREBBP;CCND1;CHUK;CDK4;MYC;AKT1;EP300;E2F3;TP53;HIF1A;HRAS
