Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	25/530	1.322193e-15	2.353504e-13	0	0	9.887210e+00	3.387307e+02	HSP90AB1;HDAC1;PTEN;PIK3R1;GLI1;CBL;IKBKB;GNA13;SUFU;E2F1;DVL2;AKT1;VHL;SMAD2;SMAD4;HSP90AA1;CHUK;NCOA3;STAT3;AR;RPS6KB1;CDK4;GNB1;CTNNB1;TP53
KEGG_2019_Human	Hepatocellular carcinoma	15/168	1.099019e-13	6.884242e-12	0	0	1.807312e+01	5.392871e+02	SMAD2;SMAD4;SMARCC2;CSNK1A1;PTEN;PIK3R1;ACTB;SMARCA4;RPS6KB1;CDK4;E2F1;DVL2;AKT1;CTNNB1;TP53
KEGG_2019_Human	Ubiquitin mediated proteolysis	14/137	1.160265e-13	6.884242e-12	0	0	2.081978e+01	6.201164e+02	UBE2I;FBXW7;CBL;UBE2L3;CUL4A;FZR1;ITCH;SOCS1;NEDD4;CDC27;TRIM37;VHL;BTRC;CUL4B
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	16/219	3.642221e-13	1.620788e-11	0	0	1.462961e+01	4.190069e+02	SMAD2;MAP3K3;EGR1;SMAD4;CHUK;PTEN;PIK3R1;IKBKB;PPP3CA;DLG1;CDK4;CDC27;E2F1;AKT1;BUB3;TP53
KEGG_2019_Human	Pancreatic cancer	11/75	9.686185e-13	3.448282e-11	0	0	3.068046e+01	8.487107e+02	IKBKB;SMAD2;SMAD4;CHUK;RPS6KB1;CDK4;STAT3;E2F1;AKT1;PIK3R1;TP53
KEGG_2019_Human	Human cytomegalovirus infection	15/225	7.787918e-12	2.310416e-10	0	0	1.312951e+01	3.358324e+02	CHUK;PXN;STAT3;PIK3R1;IKBKB;GNA13;PPP3CA;RPS6KB1;CDK4;GNB1;E2F1;AKT1;CTNNB1;TP53;BCAR1
KEGG_2019_Human	Cellular senescence	13/160	1.739520e-11	3.477079e-10	0	0	1.600843e+01	3.966060e+02	SMAD2;PTEN;RRAS2;PIK3R1;PPP1CA;PPP1CB;PPP3CA;CDK4;E2F1;CDK1;AKT1;BTRC;TP53
KEGG_2019_Human	Hippo signaling pathway	13/160	1.739520e-11	3.477079e-10	0	0	1.600843e+01	3.966060e+02	SMAD2;YWHAE;SMAD4;AFP;ACTB;PPP1CA;PPP1CB;LATS1;DLG1;TP53BP2;DVL2;CTNNB1;BTRC
KEGG_2019_Human	Prostate cancer	11/97	1.758073e-11	3.477079e-10	0	0	2.280662e+01	5.647881e+02	IKBKB;AR;HSP90AA1;HSP90AB1;CHUK;PTEN;E2F1;AKT1;CTNNB1;PIK3R1;TP53
KEGG_2019_Human	Proteoglycans in cancer	14/201	2.246461e-11	3.998700e-10	0	0	1.364993e+01	3.346837e+02	SMAD2;PXN;STAT3;RRAS2;PIK3R1;CBL;ACTB;PPP1CA;PPP1CB;ERBB3;RPS6KB1;AKT1;CTNNB1;TP53
KEGG_2019_Human	Chronic myeloid leukemia	10/76	3.334597e-11	5.395985e-10	0	0	2.680195e+01	6.465724e+02	IKBKB;SMAD4;CHUK;HDAC1;CDK4;E2F1;AKT1;PIK3R1;CBL;TP53
KEGG_2019_Human	Cell cycle	11/124	2.604094e-10	3.862740e-09	0	0	1.733357e+01	3.825306e+02	SMAD2;YWHAE;FZR1;SMAD4;CDK4;HDAC1;CDC27;E2F1;CDK1;BUB3;TP53
KEGG_2019_Human	Breast cancer	11/147	1.619201e-09	2.121486e-08	0	0	1.438540e+01	2.911797e+02	RPS6KB1;CSNK1A1;CDK4;NCOA3;E2F1;DVL2;PTEN;AKT1;CTNNB1;PIK3R1;TP53
KEGG_2019_Human	Human papillomavirus infection	15/330	1.668584e-09	2.121486e-08	0	0	8.706275e+00	1.759651e+02	CHUK;CSNK1A1;HDAC1;PXN;PTEN;PIK3R1;IKBKB;DLG1;RPS6KB1;CDK4;E2F1;DVL2;AKT1;CTNNB1;TP53
KEGG_2019_Human	Human immunodeficiency virus 1 infection	12/212	6.880035e-09	8.164308e-08	0	0	1.073345e+01	2.017314e+02	CUL4A;IKBKB;PPP3CA;CHUK;RPS6KB1;GNB1;PXN;CDK1;AKT1;PIK3R1;BTRC;CUL4B
KEGG_2019_Human	Measles	10/138	1.258449e-08	1.400025e-07	0	0	1.377651e+01	2.506057e+02	IKBKB;CSNK2A1;CHUK;CDK4;CSNK2A2;STAT3;AKT1;PIK3R1;HSPA2;TP53
KEGG_2019_Human	Fluid shear stress and atherosclerosis	10/139	1.349098e-08	1.412585e-07	0	0	1.366902e+01	2.476997e+02	IKBKB;HSP90AA1;PRKAA2;HSP90AB1;CHUK;AKT1;CTNNB1;PIK3R1;TP53;ACTB
