Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	26/530	3.629779e-16	5.626158e-14	0	0	9.893014e+00	3.517183e+02	HSP90AB1;CTBP2;CTBP1;HDAC1;GLI1;IKBKB;CCND1;MYC;AKT1;E2F3;VHL;SMAD2;TCF7L2;CREBBP;SMAD4;HSP90AA1;CHUK;STAT3;TRAF1;KIF7;PML;AR;APC;CDK4;TP53;PPARD
KEGG_2019_Human	Chronic myeloid leukemia	12/76	5.562706e-14	4.179038e-12	0	0	3.229728e+01	9.857165e+02	IKBKB;SMAD4;CCND1;CHUK;CTBP2;HDAC1;CTBP1;CDK4;MYC;AKT1;E2F3;TP53
KEGG_2019_Human	Wnt signaling pathway	15/158	8.088461e-14	4.179038e-12	0	0	1.847840e+01	5.570452e+02	TCF7L2;CREBBP;SMAD4;CTBP2;CSNK2A1;CTBP1;CSNK2A2;NLK;APC;CCND1;MYC;RUVBL1;BTRC;TP53;PPARD
KEGG_2019_Human	Hippo signaling pathway	14/160	1.757085e-12	6.808706e-11	0	0	1.674009e+01	4.531101e+02	SMAD2;YWHAE;TCF7L2;SMAD4;ACTB;AMOT;SMAD7;PPP1CB;SOX2;APC;CCND1;MYC;TP53BP2;BTRC
KEGG_2019_Human	Cell cycle	12/124	2.211132e-11	6.854509e-10	0	0	1.841087e+01	4.517094e+02	SMAD2;YWHAE;CREBBP;SMAD4;CCND1;CDK4;HDAC1;MYC;CDK1;E2F3;BUB3;TP53
KEGG_2019_Human	Prostate cancer	11/97	2.732106e-11	7.057940e-10	0	0	2.181806e+01	5.306887e+02	IKBKB;AR;TCF7L2;CREBBP;HSP90AA1;HSP90AB1;CCND1;CHUK;AKT1;E2F3;TP53
KEGG_2019_Human	Pancreatic cancer	10/75	4.351480e-11	9.635421e-10	0	0	2.604602e+01	6.214039e+02	IKBKB;SMAD2;SMAD4;CCND1;CHUK;CDK4;STAT3;AKT1;E2F3;TP53
KEGG_2019_Human	Hepatocellular carcinoma	13/168	5.390450e-11	1.044400e-09	0	0	1.450673e+01	3.429944e+02	SMAD2;TCF7L2;SMAD4;SMARCC2;ACTB;SMARCA4;APC;CCND1;CDK4;MYC;AKT1;E2F3;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	14/219	1.222524e-10	2.105458e-09	0	0	1.188655e+01	2.713098e+02	SMAD2;MAP3K3;CREBBP;SMAD4;CHUK;SRF;IKBKB;CCND1;CDK4;MYC;AKT1;E2F3;BUB3;TP53
KEGG_2019_Human	Acute myeloid leukemia	9/66	3.437491e-10	5.328111e-09	0	0	2.651561e+01	5.778046e+02	IKBKB;TCF7L2;CCND1;CHUK;MYC;STAT3;AKT1;PML;PPARD
KEGG_2019_Human	Adherens junction	9/72	7.656063e-10	1.078809e-08	0	0	2.398305e+01	5.034127e+02	SMAD2;TCF7L2;AFDN;CREBBP;SMAD4;CSNK2A1;CSNK2A2;NLK;ACTB
KEGG_2019_Human	Measles	11/138	1.269592e-09	1.639889e-08	0	0	1.474382e+01	3.020209e+02	IKBKB;CCND1;CSNK2A1;CHUK;DDX58;CDK4;CSNK2A2;STAT3;RACK1;AKT1;TP53
KEGG_2019_Human	Hepatitis C	11/155	4.356970e-09	5.194849e-08	0	0	1.299204e+01	2.501161e+02	YWHAE;IKBKB;CCND1;CHUK;DDX58;CDK4;MYC;STAT3;AKT1;E2F3;TP53
KEGG_2019_Human	Epstein-Barr virus infection	12/201	5.981281e-09	6.288499e-08	0	0	1.086763e+01	2.057746e+02	IKBKB;CCND1;CHUK;DDX58;CDK4;HDAC1;MYC;STAT3;AKT1;E2F3;RUNX3;TP53
KEGG_2019_Human	Cellular senescence	11/160	6.085644e-09	6.288499e-08	0	0	1.255288e+01	2.374670e+02	PPP1CB;SMAD2;CCND1;CDK4;MYC;CDK1;AKT1;E2F3;BTRC;FOXM1;TP53
KEGG_2019_Human	Hepatitis B	11/163	7.395523e-09	7.054563e-08	0	0	1.230326e+01	2.303464e+02	SMAD2;IKBKB;CREBBP;SMAD4;CHUK;DDX58;MYC;STAT3;AKT1;E2F3;TP53
KEGG_2019_Human	Small cell lung cancer	9/93	7.737262e-09	7.054563e-08	0	0	1.796822e+01	3.355964e+02	IKBKB;CCND1;CHUK;CDK4;MYC;AKT1;E2F3;TRAF1;TP53
KEGG_2019_Human	FoxO signaling pathway	10/132	1.208772e-08	1.040887e-07	0	0	1.383705e+01	2.522642e+02	SMAD2;IKBKB;CREBBP;SMAD4;PRKAA2;CCND1;CHUK;STAT3;AKT1;NLK
KEGG_2019_Human	Fluid shear stress and atherosclerosis	10/139	1.987764e-08	1.621597e-07	0	0	1.308156e+01	2.319841e+02	IKBKB;HSP90AA1;PRKAA2;HSP90AB1;CHUK;CAV1;SUMO2;AKT1;TP53;ACTB
KEGG_2019_Human	Viral carcinogenesis	11/201	6.468374e-08	5.012990e-07	0	0	9.823639e+00	1.626181e+02	YWHAE;CREBBP;CCND1;CDK4;HIST4H4;HDAC1;SRF;STAT3;CDK1;TRAF1;TP53
KEGG_2019_Human	Colorectal cancer	8/86	7.417737e-08	5.474996e-07	0	0	1.706098e+01	2.800868e+02	SMAD2;TCF7L2;SMAD4;CCND1;APC;MYC;AKT1;TP53
KEGG_2019_Human	Transcriptional misregulation in cancer	10/186	3.101046e-07	2.089836e-06	0	0	9.565365e+00	1.433500e+02	TLX3;FUS;PAX7;HDAC1;MYC;FEV;TRAF1;TP53;PML;MEN1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	10/186	3.101046e-07	2.089836e-06	0	0	9.565365e+00	1.433500e+02	IKBKB;CREBBP;CCND1;CHUK;CDK4;MYC;STAT3;AKT1;E2F3;TP53
KEGG_2019_Human	Gastric cancer	9/149	4.656575e-07	3.007372e-06	0	0	1.075042e+01	1.567392e+02	SMAD2;TCF7L2;SMAD4;APC;CCND1;MYC;AKT1;E2F3;TP53
KEGG_2019_Human	Endometrial cancer	6/58	1.798128e-06	1.114839e-05	0	0	1.890114e+01	2.500388e+02	TCF7L2;CCND1;APC;MYC;AKT1;TP53
KEGG_2019_Human	NF-kappa B signaling pathway	7/95	2.450519e-06	1.460886e-05	0	0	1.311506e+01	1.694362e+02	IKBKB;UBE2I;CSNK2A1;CHUK;DDX58;CSNK2A2;TRAF1
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	8/139	2.973256e-06	1.706869e-05	0	0	1.013125e+01	1.289288e+02	SMAD2;SOX2;SMAD4;APC;MYC;STAT3;AKT1;PAX6
KEGG_2019_Human	MicroRNAs in cancer	11/299	3.318237e-06	1.836881e-05	0	0	6.448605e+00	8.135610e+01	IKBKB;CREBBP;UBE2I;APC;CCND1;HDAC1;MYC;STAT3;IGF2BP1;E2F3;TP53
KEGG_2019_Human	Apoptosis	8/143	3.674152e-06	1.963771e-05	0	0	9.829069e+00	1.230028e+02	IKBKB;DAXX;TUBA1B;CHUK;AKT1;TRAF1;TP53;ACTB
KEGG_2019_Human	Non-small cell lung cancer	6/66	3.872579e-06	2.000832e-05	0	0	1.637438e+01	2.040508e+02	CCND1;CDK4;STAT3;AKT1;E2F3;TP53
KEGG_2019_Human	Breast cancer	8/147	4.510482e-06	2.255241e-05	0	0	9.544284e+00	1.174816e+02	TCF7L2;APC;CCND1;CDK4;MYC;AKT1;E2F3;TP53
KEGG_2019_Human	Th17 cell differentiation	7/107	5.430094e-06	2.618403e-05	0	0	1.153425e+01	1.398361e+02	SMAD2;IKBKB;SMAD4;HSP90AA1;HSP90AB1;CHUK;STAT3
