Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Spliceosome	17/134	1.405408e-16	2.895140e-14	0	0	2.205865e+01	8.051634e+02	SF3B2;ALYREF;CDC5L;PRPF40A;PRPF19;PRPF8;HNRNPM;SNRNP40;HNRNPK;SNW1;U2AF2;MAGOH;SNRPB2;PRPF31;SF3B1;RBMX;SNRPB
KEGG_2019_Human	Cell cycle	12/124	1.242296e-10	1.279565e-08	0	0	1.566746e+01	3.573574e+02	YWHAE;GSK3B;STAG1;CCNE1;CHEK2;MDM2;EP300;TP53;YWHAZ;YWHAG;ATR;MCM2
KEGG_2019_Human	Viral carcinogenesis	14/201	2.810351e-10	1.929774e-08	0	0	1.107008e+01	2.434592e+02	YWHAE;JUN;HDAC3;PIK3R1;YWHAZ;HNRNPK;SNW1;PIK3CA;CCNE1;HIST4H4;MDM2;EP300;TP53;YWHAG
KEGG_2019_Human	Thyroid hormone signaling pathway	11/116	9.417003e-10	4.849757e-08	0	0	1.521204e+01	3.161570e+02	GSK3B;PLCB3;HDAC3;PIK3CA;MDM2;AKT1;EP300;PIK3R1;TP53;ESR1;ACTB
KEGG_2019_Human	Estrogen signaling pathway	11/137	5.561598e-09	2.291378e-07	0	0	1.266322e+01	2.406947e+02	JUN;PLCB3;PIK3CA;GNAQ;GNAS;RARA;AKT1;PIK3R1;CALM1;ESR1;GRM1
KEGG_2019_Human	Calcium signaling pathway	12/188	1.486238e-08	5.102752e-07	0	0	9.937879e+00	1.791246e+02	CHRM3;LHCGR;PLCB3;GRM5;TBXA2R;GNAQ;PTAFR;GNAS;HTR2C;HTR2A;CALM1;GRM1
KEGG_2019_Human	Platelet activation	10/124	2.699355e-08	7.943816e-07	0	0	1.263862e+01	2.202617e+02	PLCB3;PIK3CA;TBXA2R;GNAQ;BTK;GNAS;AKT1;PIK3R1;ACTB;PPP1CA
KEGG_2019_Human	Prostate cancer	9/97	4.035876e-08	1.039238e-06	0	0	1.464797e+01	2.493885e+02	AR;GSK3B;PIK3CA;CCNE1;MDM2;AKT1;EP300;PIK3R1;TP53
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	9/100	5.272571e-08	1.206833e-06	0	0	1.416292e+01	2.373446e+02	PLCB3;PIK3CA;GNAQ;GNAS;HTR2C;PIK3R1;HTR2A;CALM1;PPP1CA
KEGG_2019_Human	Fluid shear stress and atherosclerosis	10/139	8.024357e-08	1.653018e-06	0	0	1.116053e+01	1.823429e+02	JUN;SUMO1;PIK3CA;SUMO2;PECAM1;AKT1;PIK3R1;CALM1;TP53;ACTB
KEGG_2019_Human	Cellular senescence	10/160	3.004915e-07	5.627386e-06	0	0	9.587835e+00	1.439886e+02	PIK3CA;CCNE1;CHEK2;MDM2;AKT1;PIK3R1;CALM1;TP53;PPP1CA;ATR
KEGG_2019_Human	Long-term potentiation	7/67	6.038158e-07	1.036550e-05	0	0	1.649417e+01	2.361964e+02	GRM5;PLCB3;GNAQ;EP300;CALM1;GRM1;PPP1CA
KEGG_2019_Human	Measles	9/138	8.387365e-07	1.329075e-05	0	0	9.971689e+00	1.395176e+02	GSK3B;JUN;CSNK2A1;PIK3CA;CCNE1;AKT1;PIK3R1;RCHY1;TP53
KEGG_2019_Human	Hedgehog signaling pathway	6/47	1.191965e-06	1.753891e-05	0	0	2.056253e+01	2.804710e+02	GSK3B;GRK2;CSNK1A1;CUL3;ARRB1;ARRB2
KEGG_2019_Human	Breast cancer	9/147	1.424007e-06	1.955637e-05	0	0	9.317108e+00	1.254272e+02	GSK3B;JUN;PIK3CA;CSNK1A1;AKT1;PIK3R1;BRCA1;TP53;ESR1
KEGG_2019_Human	Pathways in cancer	16/530	1.880961e-06	2.406842e-05	0	0	4.595360e+00	6.058398e+01	GSK3B;JUN;PIK3R1;ESR1;AR;PLCB3;PIK3CA;CCNE1;GNAQ;GNAS;MDM2;RARA;AKT1;EP300;CALM1;TP53
KEGG_2019_Human	Ribosome	9/153	1.986229e-06	2.406842e-05	0	0	8.926178e+00	1.171942e+02	RPS19;RPS8;RPL31;RPLP0;RPL35;RPSA;RPL26;RPS10;RPL19
KEGG_2019_Human	Hepatitis C	9/155	2.211904e-06	2.531402e-05	0	0	8.803008e+00	1.146297e+02	YWHAE;GSK3B;PIK3CA;PSME3;AKT1;PIK3R1;TP53;YWHAZ;YWHAG
KEGG_2019_Human	Neurotrophin signaling pathway	8/119	2.772677e-06	3.006166e-05	0	0	1.023631e+01	1.309807e+02	YWHAE;GSK3B;JUN;PIK3CA;AKT1;PIK3R1;CALM1;TP53
KEGG_2019_Human	Gap junction	7/88	3.876199e-06	3.992485e-05	0	0	1.220494e+01	1.520815e+02	GRM5;PLCB3;GNAQ;GNAS;HTR2C;HTR2A;GRM1
KEGG_2019_Human	Relaxin signaling pathway	8/130	5.365382e-06	5.263185e-05	0	0	9.308173e+00	1.129597e+02	JUN;PLCB3;PIK3CA;GNAS;AKT1;ARRB1;PIK3R1;ARRB2
KEGG_2019_Human	Dopaminergic synapse	8/131	5.679204e-06	5.317801e-05	0	0	9.232029e+00	1.115109e+02	GSK3B;PLCB3;GNAQ;GNAS;AKT1;ARRB2;CALM1;PPP1CA
KEGG_2019_Human	Human cytomegalovirus infection	10/225	6.591068e-06	5.903304e-05	0	0	6.667119e+00	7.953737e+01	GSK3B;PLCB3;PIK3CA;GNAQ;GNAS;MDM2;AKT1;PIK3R1;CALM1;TP53
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	7/103	1.103782e-05	9.095165e-05	0	0	1.029010e+01	1.174531e+02	JUN;PLCB3;PIK3CA;GNAQ;GNAS;AKT1;PIK3R1
KEGG_2019_Human	Glucagon signaling pathway	7/103	1.103782e-05	9.095165e-05	0	0	1.029010e+01	1.174531e+02	PLCB3;GNAQ;GNAS;AKT1;EP300;CALM1;ACACA
KEGG_2019_Human	Prolactin signaling pathway	6/70	1.266890e-05	1.003767e-04	0	0	1.315758e+01	1.483696e+02	GSK3B;LHCGR;PIK3CA;AKT1;PIK3R1;ESR1
KEGG_2019_Human	B cell receptor signaling pathway	6/71	1.375518e-05	1.024357e-04	0	0	1.295450e+01	1.450139e+02	GSK3B;JUN;PIK3CA;BTK;AKT1;PIK3R1
KEGG_2019_Human	Phospholipase D signaling pathway	8/148	1.392330e-05	1.024357e-04	0	0	8.104008e+00	9.061859e+01	PLCB3;GRM5;PIK3CA;GNAS;AKT1;PIK3R1;GRM1;ARF6
KEGG_2019_Human	p53 signaling pathway	6/72	1.491548e-05	1.059513e-04	0	0	1.275758e+01	1.417764e+02	CCNE1;CHEK2;MDM2;RCHY1;TP53;ATR
KEGG_2019_Human	Oxytocin signaling pathway	8/153	1.772445e-05	1.143819e-04	0	0	7.822575e+00	8.558339e+01	RGS2;JUN;PLCB3;GNAQ;GNAS;CALM1;ACTB;PPP1CA
KEGG_2019_Human	Epstein-Barr virus infection	9/201	1.821458e-05	1.143819e-04	0	0	6.678329e+00	7.288253e+01	JUN;SNW1;PIK3CA;CCNE1;BTK;MDM2;AKT1;PIK3R1;TP53
