Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	18/530	2.779606e-09	5.364640e-07	0	0	6.675551e+00	1.315147e+02	ITGB1;CREBBP;HSP90AB1;AXIN1;ESR1;ESR2;CDC42;AR;SP1;MYC;GNB2;GNB1;GNAS;AKT1;E2F2;CTNNB1;CALM1;TP53
KEGG_2019_Human	Adherens junction	7/72	2.503216e-07	1.646570e-05	0	0	1.888428e+01	2.870508e+02	CDC42;CREBBP;CSNK2A1;CSNK2A2;CSNK2B;CTNNB1;ACTB
KEGG_2019_Human	Breast cancer	9/147	2.559435e-07	1.646570e-05	0	0	1.159929e+01	1.760577e+02	SP1;MYC;AXIN1;AKT1;E2F2;CTNNB1;TP53;ESR1;ESR2
KEGG_2019_Human	Wnt signaling pathway	9/158	4.720575e-07	1.896352e-05	0	0	1.073699e+01	1.563967e+02	CREBBP;CSNK2A1;MYC;RUVBL1;CSNK2B;CSNK2A2;AXIN1;CTNNB1;TP53
KEGG_2019_Human	Thyroid hormone signaling pathway	8/116	4.912829e-07	1.896352e-05	0	0	1.307672e+01	1.899556e+02	CREBBP;MYC;AKT1;CTNNB1;ATP1A1;TP53;ESR1;ACTB
KEGG_2019_Human	Human cytomegalovirus infection	10/225	1.048893e-06	3.373938e-05	0	0	8.315011e+00	1.144792e+02	SP1;MYC;GNB2;GNB1;GNAS;AKT1;E2F2;CTNNB1;CALM1;TP53
KEGG_2019_Human	Morphine addiction	7/91	1.252103e-06	3.452226e-05	0	0	1.459882e+01	1.984080e+02	GRK5;GNB2;GRK6;GNB1;GNAS;ARRB1;ARRB2
KEGG_2019_Human	Estrogen signaling pathway	8/137	1.740855e-06	3.723377e-05	0	0	1.093632e+01	1.450280e+02	HSPA8;HSP90AB1;SP1;GNAS;AKT1;CALM1;ESR1;ESR2
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	9/186	1.846233e-06	3.723377e-05	0	0	9.025653e+00	1.191599e+02	CREBBP;MYC;GNB2;GNB1;AKT1;E2F2;CTNNB1;CALM1;TP53
KEGG_2019_Human	Prostate cancer	7/97	1.929211e-06	3.723377e-05	0	0	1.362144e+01	1.792363e+02	AR;CREBBP;HSP90AB1;AKT1;E2F2;CTNNB1;TP53
